time	ATIII	II	IIa	IIa_ATIII	IX	IXa	IXa_ATIII	IXa_VIIIa	IXa_VIIIa_X	TF	TFPI	TF_VII	TF_VIIa	TF_VIIa_ATIII	TF_VIIa_IX	TF_VIIa_X	TF_VIIa_Xa	TF_VIIa_Xa_TFPI	V	VII	VIII	VIIIa	VIIIa1_L	VIIIa2	VIIa	Va	X	Xa	Xa_ATIII	Xa_TFPI	Xa_Va	Xa_Va_II	mIIa	mIIa_ATIII
357.0.	3.3831989100053487e-06	1.3759791600197279e-06	1.382445669675532e-11	2.9915852799409124e-11	8.999763211951477e-08	1.701509687954168e-12	6.501585204515748e-13	4.304345735714189e-15	8.383614675380328e-15	3.1566543512555493e-13	2.495628709120108e-09	3.822311309135233e-12	1.645284376208624e-14	4.7920414618034806e-15	3.5243163747804785e-15	9.3314985071295e-15	2.832402403748784e-15	8.250901532296677e-13	1.9509298312822134e-08	9.780746688010826e-09	6.828254409487754e-10	1.0518553299833898e-11	6.6433177909789516e-12	6.6433177909789516e-12	3.1456897742430773e-10	4.822106520390322e-10	1.599733176194599e-07	5.274820010806909e-12	8.524686994602879e-12	3.546200726664402e-12	4.649149283356173e-12	3.841885855438741e-12	7.211263280630814e-09	1.676199450429317e-08
364.0.	3.381941456724215e-06	1.374207917569852e-06	1.552291182455044e-11	3.237926651783111e-11	8.999758745728001e-08	1.72519101601192e-12	6.700371538672775e-13	4.666546392339031e-15	9.088735791888622e-15	3.1381913417585675e-13	2.4955396913587144e-09	3.808457228043258e-12	1.6615855092768892e-14	4.882088082991037e-15	3.559267903572303e-15	9.423955736260894e-15	2.86051531961662e-15	8.403819556456783e-13	1.9469316854595584e-08	9.776052062813958e-09	6.814260899108462e-10	1.14557033285809e-11	7.104451478387903e-12	7.104451478387903e-12	3.1926175632023403e-10	5.215518344097571e-10	1.599724218365512e-07	5.253488875106168e-12	8.711681730553037e-12	3.619926685642404e-12	5.002638997043909e-12	4.128671997571376e-12	7.723274171518577e-09	1.8016777408293254e-08
371.0.	3.380594553235922e-06	1.372303608692749e-06	1.7492881463792452e-11	3.5149359718946467e-11	8.999754235982001e-08	1.7489223587221429e-12	6.901831024942601e-13	5.069018203152494e-15	9.872198349698641e-15	3.119701843710598e-13	2.495451129736341e-09	3.7944677100729e-12	1.677550827308184e-14	4.972978467960744e-15	3.593502173404326e-15	9.514507920994458e-15	2.888051961929576e-15	8.558175567586716e-13	1.942443856262325e-08	9.771380210667137e-09	6.79855349691815e-10	1.2522108671066217e-11	7.607600420565367e-12	7.607600420565367e-12	3.239317595172507e-10	5.657321202596016e-10	1.599714794628017e-07	5.222399344165482e-12	8.897675714809223e-12	3.693052706902771e-12	5.388423545891613e-12	4.440893571205285e-12	8.278603599938031e-09	1.936070457256334e-08
378.0.	3.37915063247683e-06	1.370254381568037e-06	1.978286386501679e-11	3.827537607353627e-11	8.999749683668871e-08	1.7726764450264621e-12	7.105960168214197e-13	5.517920825429198e-15	1.0745980472256891e-14	3.101197283667875e-13	2.495363183797079e-09	3.7803457809145915e-12	1.69314714339889e-14	5.064690239298915e-15	3.6269481454465235e-15	9.60296658566215e-15	2.914955178171386e-15	8.713934591360576e-13	1.937389735475167e-08	9.766739555349937e-09	6.780864074163096e-10	1.373870636031021e-11	8.158622322081881e-12	8.158622322081881e-12	3.28570564378444e-10	6.155117872103674e-10	1.599704857387286e-07	5.181014781986335e-12	9.082308345934453e-12	3.765422743787312e-12	5.809821343444728e-12	4.781036694467496e-12	8.881484977291006e-09	2.0801294178042782e-08
385.0.	3.3776013944608027e-06	1.368047224966132e-06	2.2450676893664808e-11	4.1815362131593154e-11	8.999745089834787e-08	1.7964223669804542e-12	7.312751388995917e-13	6.020480060266584e-15	1.1724133029823581e-14	3.08268998013917e-13	2.4952760202857398e-09	3.766094714733785e-12	1.708340531112111e-14	5.1571989277085804e-15	3.6595331592798354e-15	9.689138954025459e-15	2.941166506235671e-15	8.871058443939291e-13	1.931679663070019e-08	9.762138834073902e-09	6.76087882074508e-10	1.513004512667508e-11	8.764328185726418e-12	8.764328185726418e-12	3.331694349241229e-10	6.717810194623219e-10	1.5996943516538e-07	5.1289479737481424e-12	9.265202655679308e-12	3.83687386986914e-12	6.270514098644143e-12	5.1518357387932225e-12	9.536568617036007e-09	2.234678854207199e-08
392.0.	3.375937735117135e-06	1.365667850828636e-06	2.5565343359065415e-11	4.5837854099879586e-11	8.999740455617927e-08	1.820125049759466e-12	7.522192504310248e-13	6.585181104862393e-15	1.282315528419615e-14	3.06419295981501e-13	2.4951898105153022e-09	3.751718045858947e-12	1.723096897146875e-14	5.250477924592861e-15	3.691184151498864e-15	9.772831175967594e-15	2.9666271518218486e-15	9.02950568784204e-13	1.9252086505343642e-08	9.757586932832105e-09	6.738230276870282e-10	1.672491702691117e-11	9.432646949671174e-12	9.432646949671174e-12	3.377194864638844e-10	7.355825884319134e-10	1.5996832137460857e-07	5.06599577765681e-12	9.44597129064728e-12	3.907238915916667e-12	6.774599916585733e-12	5.556306307825798e-12	1.024896607985476e-08	2.40062235877458e-08
399.0.	3.374149667454751e-06	1.363100560009457e-06	2.920938528005175e-11	5.042390470032673e-11	8.999735782247914e-08	1.843744644392646e-12	7.734266137301141e-13	7.22199620606894e-15	1.40624374125454e-14	3.045719749314392e-13	2.495104727213587e-09	3.737219574689093e-12	1.737382665808825e-14	5.344498466989324e-15	3.721829114471543e-15	9.853852187707675e-15	2.9912791579735005e-15	9.189231647942388e-13	1.9178537272968332e-08	9.753092689521934e-09	6.712488045538924e-10	1.855709223529602e-11	1.017281877719266e-11	1.017281877719266e-11	3.422118824530039e-10	8.081382772064828e-10	1.599671369756906e-07	4.9921704584643e-12	9.624223670239011e-12	3.97634962162112e-12	7.326661456500689e-12	5.997788368653035e-12	1.102430326643201e-08	2.5789505645766063e-08
406.0.	3.372226233431613e-06	1.360328086332665e-06	3.348164339691102e-11	5.566952463758136e-11	8.999731071043284e-08	1.867235830416188e-12	7.948949045582216e-13	7.942652421027967e-15	1.546478097059812e-14	3.027284138970246e-13	2.495020940906998e-09	3.7226033672210544e-12	1.751165570005842e-14	5.43922966051714e-15	3.751398783918731e-15	9.932018175158042e-15	3.0150667575203133e-15	9.350188498047508e-13	1.9094708592578012e-08	9.748664667454456e-09	6.683148007402311e-10	2.0666170221293297e-11	1.0995621605083521e-11	1.0995621605083521e-11	3.466380609594474e-10	8.908795537145371e-10	1.599658733741085e-07	4.9077270386106184e-12	9.799574186170098e-12	4.044040243199908e-12	7.931852506088749e-12	6.4800012013288226e-12	1.186878536267412e-08	2.770749713542842e-08
413.0.	3.370155404320229e-06	1.357331412599624e-06	3.850075410314011e-11	6.168863381124181e-11	8.999726323406675e-08	1.890547015346289e-12	8.166211357017172e-13	8.760945214754566e-15	1.705700846413279e-14	3.0088999186772153e-13	2.494938615952234e-09	3.707873747618815e-12	1.76441552969675e-14	5.534638545343857e-15	3.7798285156592195e-15	1.0007157533884361e-14	3.037937876215315e-15	9.512325427453938e-13	1.8998913794382162e-08	9.744310904638022e-09	6.64961982803376e-10	2.3098563079491117e-11	1.191363616345334e-11	1.191363616345334e-11	3.509899853538526e-10	9.85483081124331e-10	1.599645205576676e-07	4.813180498857949e-12	9.971651187988196e-12	4.110151505023268e-12	8.596009433733453e-12	7.0071150597454095e-12	1.2789277658408312e-08	2.977211323899713e-08
420.0.	3.367923966663696e-06	1.354089550788109e-06	4.440948642852245e-11	6.861664286316742e-11	8.999721540817543e-08	1.913619414164261e-12	8.386015699757136e-13	9.693104774673347e-15	1.88706753573477e-14	2.9905805878657664e-13	2.494857906375257e-09	3.693035283327073e-12	1.777105595245711e-14	5.630690208825406e-15	3.8070603032758174e-15	1.00791161973245e-14	3.0598457476591963e-15	9.675588894768091e-13	1.888917872864941e-08	9.740038646679272e-09	6.611212555027304e-10	2.590862539427662e-11	1.294155532286046e-11	1.294155532286046e-11	3.552604113795201e-10	1.0939116383770272e-09	1.599630668444297e-07	4.7093129449241935e-12	1.0140106389268658e-11	4.174534735268219e-12	9.325791767191591e-12	7.583841206326422e-12	1.3793406886605481e-08	3.199643235479074e-08
