time	IKK	IKKIkBa	IKKIkBaNFkB	IKKIkBb	IKKIkBbNFkB	IKKIkBe	IKKIkBeNFkB	IkBa	IkBaNFkB	IkBan	IkBanNFkBn	IkBat	IkBb	IkBbNFkB	IkBbn	IkBbnNFkBn	IkBbt	IkBe	IkBeNFkB	IkBen	IkBenNFkBn	IkBet	NFkB	NFkBn
3000.0.	0.03007722367154	0.041410010100908	0.007016560354250001	0.00046363562282400006	0.00022973414993000002	0.000262152988557	8.356798346975238e-05	0.34817904152509105	0.026964689944661002	0.0036240993434900003	0.006809827841034	0.15529352554969802	0.006471693562366001	0.0014077921612320001	3.676559163765654e-05	0.00018555977954300002	0.0006362520736800001	0.0032719573295610003	0.00048943605093	1.8538479793650323e-05	9.288444797985124e-05	0.00045418815789	0.000581680023647	0.05613797726332
3250.0.	0.026608428678914	0.042490865656837004	0.008685125657972	0.00038591130695400004	0.000218162418206	0.000222444494514	8.474454687486523e-05	0.39732142496188905	0.037571469106939	0.00532134767026	0.007733301884226	0.15494418256904202	0.006304304370955	0.0015461192754790002	4.6029178284384715e-05	0.000178203150449	0.00063621571589	0.0032340924422610004	0.0005682559055360001	2.3528232895111073e-05	9.025130999292814e-05	0.00045414646317700006	0.0006605829589150001	0.042663493785405
3500.0.	0.024229555318503	0.042602068114159	0.010277958469862	0.00032895979104000003	0.00021557987232500003	0.000193618162328	8.776666138370194e-05	0.433369970637956	0.048621587230089004	0.008089662940704	0.008213296872222001	0.15000451852447602	0.00612454200994	0.0017043323717120002	6.231233639585839e-05	0.00016815205971000002	0.0006361818161110001	0.0031894069791700004	0.000652094581734	3.229983323146827e-05	8.630024350709168e-05	0.00045410758728400006	0.000739573122326	0.029233068515125003
3750.0.	0.022704034580738	0.042104838642729	0.011652991327174001	0.00028820918907000004	0.00021822718782600002	0.00017321219161700003	9.188541627581295e-05	0.455206036868722	0.05852765172903301	0.012806315832433001	0.008087191001145001	0.14242092665799802	0.005938452927524001	0.0018611612033790001	9.108978331627432e-05	0.00015384682105	0.0006361502081670001	0.003138071109369	0.0007329535867510001	4.784689707107766e-05	8.001968878572806e-05	0.000454071339641	0.0008136658673390001	0.017780116171237002
4000.0.	0.021855596989031	0.041316957126391	0.012654345071715001	0.000259956800427	0.000223828448964	0.00015933506532	9.647233831172536e-05	0.46397816928210306	0.06562583019944801	0.020363917765958	0.007415067471477001	0.13391440050084502	0.005754017820444	0.0019964184842910003	0.00013766444786200002	0.000135396194961	0.000636120737115	0.0030825044300250002	0.0008019824028990001	7.317637588014166e-05	7.130821312476205e-05	0.000454037542563	0.0008746018481620001	0.010104459326643
4250.0.	0.021506850316532003	0.040456727332571	0.013230361847008001	0.00024124352717600002	0.000230520708712	0.000150491337416	0.000100859154096	0.462308250460414	0.06938814491005	0.030232639367895	0.0067456897361020006	0.125486303748851	0.005580257168959	0.0020959351495520003	0.000198458873458	0.00011847541210900001	0.000636093258488	0.0030267172779570002	0.0008527062461410001	0.0001065961025	6.311157543610808e-05	0.00045400603037700003	0.000918424026745	0.0062554812340430005
4500.0.	0.021468673847358	0.039561063422735	0.013527026572010001	0.00022931197732000002	0.00023704210117800003	0.000145205912603	0.00010468219563900001	0.45299660804592706	0.07091786924938001	0.040396982229134	0.0064775106315260005	0.11748688893995701	0.005421778895476	0.0021612405311040002	0.00026162044164	0.00010887783535900001	0.000636067637587	0.002973222334987	0.0008864494807640001	0.000141818472714	5.8601847949686666e-05	0.00045397664860900004	0.0009531139051040001	0.00456729564998
4750.0.	0.021622629488471	0.038568201867803006	0.013720838253400001	0.00022173077103200003	0.00024331878181000003	0.000142139689818	0.00010817730142300001	0.438156174344964	0.071383944039433	0.049264706442556004	0.006491576620058	0.10998382899000601	0.005276135896317	0.002204615360552	0.000318651027658	0.00010602879401200001	0.0006360437488160001	0.0029212024144320003	0.0009097863170650001	0.00017416134437	5.7598224710975596e-05	0.00045394925323000005	0.0009891367563990001	0.0037846895511330003
5000.0.	0.021919430168974	0.037440925349358	0.013894824052366	0.00021682157902100003	0.000250012924869	0.000140385580411	0.00011182717995100001	0.41923243827475304	0.071307311064132	0.056006003682956	0.006647584409885001	0.10297108632727701	0.005137680242262001	0.002237690263563	0.000365369006199	0.00010753776079900001	0.000636021475075	0.002868188771503	0.0009285673485390001	0.000201188783077	5.8900349037734095e-05	0.00045392370994800003	0.0010315362111160001	0.003423918435739
5250.0.	0.022335401976131	0.036175571551391006	0.014072960421106001	0.00021357534872900002	0.00025777174935500004	0.000139407139767	0.00011599315033800001	0.397296788212374	0.070878616911769	0.06015016328113001	0.00689090157943	0.096426170698754	0.005001094202459	0.002268010511552	0.000399015317818	0.00011199107737600001	0.000636000707175	0.0028118210908520003	0.0009462846207810001	0.00022121208055600003	6.179377039611384e-05	0.00045389989355	0.001081919833404	0.003313466374486
