time	e	ez	w	z
32.0.4.0	2.063271358306138e-06	8.213026195006263e-07	2.8845739778067686e-06	2.029412340269261e-05
33.0.6.0	2.110993779950403e-06	8.711863678605391e-07	2.982180147810947e-06	2.014663348432852e-05
34.0.8.0	2.157322746061541e-06	9.217880580282173e-07	3.0791108040897627e-06	1.999910113788202e-05
36.0.	2.202308650681294e-06	9.730576613282112e-07	3.175366312009511e-06	1.9851576026662282e-05
37.0.199999999999996.0	2.2460000179523167e-06	1.024947220137027e-06	3.27094723808935e-06	1.9704105541773634e-05
38.0.4.0	2.288443568719162e-06	1.077410771898327e-06	3.3658543406174927e-06	1.9556734887484183e-05
39.0.6.0	2.329684285302839e-06	1.1304042753200789e-06	3.4600885606229213e-06	1.9409507164057e-05
40.0.8.0	2.369765474434324e-06	1.183885538757727e-06	3.5536510131920537e-06	1.9262463448050223e-05
42.0.	2.408728828354984e-06	1.2378141507629648e-06	3.646542979117953e-06	1.9115642870119093e-05
43.0.199999999999996.0	2.44661448406945e-06	1.2921514128043768e-06	3.7387658968738293e-06	1.896908269032179e-05
44.0.4.0	2.4834610807723575e-06	1.346860274126402e-06	3.830321354898764e-06	1.8822818370974842e-05
45.0.6.0	2.519305815463648e-06	1.401905268721724e-06	3.9212110841853755e-06	1.867688364709291e-05
46.0.8.0	2.554184496762792e-06	1.457252454397832e-06	4.011436951160627e-06	1.8531310594441553e-05
48.0.	2.588131596959614e-06	1.5128693538883881e-06	4.101000950848006e-06	1.8386129695263623e-05
49.0.199999999999996.0	2.621180302321458e-06	1.5687248979810229e-06	4.189905200302486e-06	1.8241369901716513e-05
50.0.4.0	2.6533625616871397e-06	1.624789370621615e-06	4.27815193230876e-06	1.8097058697069652e-05
51.0.6.0	2.684709133391463e-06	1.681034355940713e-06	4.365743489332179e-06	1.7953222154727142e-05
52.0.8.0	2.7152496305431447e-06	1.7374326871718278e-06	4.452682317714978e-06	1.7809884995113222e-05
54.0.	2.745012564703307e-06	1.793958397404388e-06	4.538970962107701e-06	1.766707064048794e-05
55.0.199999999999996.0	2.774025388003304e-06	1.850586672123979e-06	4.624612060127289e-06	1.7524801267748773e-05
56.0.4.0	2.802314533734815e-06	1.9072938034995089e-06	4.709608337234328e-06	1.738309785926619e-05
57.0.599999999999994.0	2.82990545546321e-06	1.964057146356862e-06	4.793962601820078e-06	1.7241980251823092e-05
58.0.8.0	2.856822664699328e-06	2.020855075796808e-06	4.8776777404961445e-06	1.7101467183707083e-05
60.0.	2.883089767170941e-06	2.077666946408287e-06	4.96075671357924e-06	1.696157634001252e-05
61.0.199999999999996.0	2.908729497743111e-06	2.134473053019552e-06	5.043202550762673e-06	1.682232439621782e-05
62.0.4.0	2.9337637540193977e-06	2.191254592949212e-06	5.125018346968621e-06	1.668372706008221e-05
63.0.599999999999994.0	2.958213628672435e-06	2.247993629700894e-06	5.206207258373339e-06	1.6545799111925803e-05
