time	Akt	AktPIP	AktPIP3	AktPIPP	E	ERK	ERKP	ERKPP	GS	HRG	MEK	MEKP	MEKPP	MKP3	PI3K	PI3Kstar	PIP3	PP2A	P_I	R	RHRG	RHRG2	RP	RPI3K	RPI3Kstar	RShGS	RShP	RShc	Raf	Rafstar	RasGDP	RasGTP	ShGS	ShP	Shc	internalization
252.0.	3.685665692766004	1.179830037198586	0.41140226145871905	4.723102008576598	7	364.97151378665916	279.66496064656627	355.36352556677474	9.966782429669696	250.03073427940475	1.02340403734092	27.33994426397797	91.63665169868113	2.4	3.3854386356998702	5.994088159853051	0.05151773384780001	11.4	793.6341479589244	0.030734279406041003	12.125362766642235	14.690295472467097	15.147237874266274	0.43429683043827705	0.186176374008743	0.032935094380366	0.030090067516218004	0.008097122266882001	99.20270465505536	0.7972953449447271	119.99998762593366	1.237406657219496e-05	0.000282475950444	999.9156652942278	0.012929945654864002	3.392822641631768
270.0.	3.699999753023166	1.18132759140319	0.41172983173842304	4.706942823835123	7	330.5946595686056	272.78562239588985	396.6197180355048	9.967089795557937	250.03062394125823	0.93954027421416	28.81275408755923	90.2477056382266	2.4	3.4066776491408612	5.975629664174286	0.051358621766028005	11.4	793.6486411312633	0.030623941259503	12.08182842290185	14.584957493210169	15.006457215905812	0.432952562722959	0.184740123961839	0.032627739776738	0.029808522960091004	0.008026732436854	99.32109926348964	0.678900736510407	119.99998762642817	1.237357206054969e-05	0.00028246466582600003	999.9162502189802	0.013004321176846	3.664203426944611
288.0.	3.726187746204372	1.182435550730579	0.413359952108774	4.678016750956209	7	299.99154878901055	264.57407969388754	435.43437151710185	9.967393565252491	250.0305140251017	0.886641812150978	30.540119749965868	88.57323843788318	2.4	3.427928047768839	5.957146822839278	0.051199266720460004	11.4	793.67498847949	0.030514025102959003	12.038460672431603	14.480399572211406	14.867311596914707	0.43160667718049806	0.183318452211328	0.032323981215025	0.029530289529813004	0.007957170413494	99.42286368939965	0.577136310600413	119.99998762691604	1.2373084199798502e-05	0.00028245353296900004	999.9168268817226	0.013079223582695	3.933064911556198
306.0.	3.762130612617254	1.1832072641228	0.41604852793742203	4.638613595322414	7	272.79713689230545	255.62060387559342	471.5822592321011	9.96769379140003	250.03040453009172	0.8573894471571961	32.48418157394545	86.65842897889736	2.4	3.449189111932996	5.938640496037955	0.051039690897806	11.4	793.7110909217256	0.030404530092977004	11.995259180149333	14.376616568293507	14.729777363443693	0.43025923371759106	0.181911158311407	0.032023766051437	0.029255318405784003	0.007888423991212	99.50996968248259	0.49003031751747106	119.99998762739737	1.23726028663802e-05	0.000282442549057	999.9173953933004	0.013154655698712001	4.199436312663969
324.0.	3.806330691155348	1.183661037011373	0.419620548778658	4.590387723054489	7	248.66188739027004	246.37550177404893	504.96261083568095	9.967990525710096	250.030295455363	0.8469914635210911	34.6134469358603	84.53956160061857	2.4	3.470460124114323	5.920111538740261	0.050879911680561	11.4	793.7554507794806	0.030295455364220004	11.952223602380915	14.273603348008063	14.593831275135637	0.42891029190144603	0.180518045243921	0.031727042579112005	0.028983561645179002	0.007820481183683	99.58427196558692	0.41572803441315204	119.9999876278723	1.2372127939504991e-05	0.000282431711331	999.9179558625071	0.013230620370122001	4.463346425430122
342.0.	3.85770260437066	1.183790744900022	0.423948301441854	4.534558349287337	7	227.2592524870906	237.1737880907857	535.5669594221239	9.968283818975078	250.03018680002896	0.8522799994865141	36.900693620226896	82.24702638028656	2.4	3.491740368968598	5.901560800718138	0.050719942983192004	11.4	793.8069826613932	0.030186800030166	11.90935358714088	14.171354786558819	14.459450496802141	0.42755991096049806	0.179138919352715	0.031433760008362004	0.028714972163274004	0.007753330219095001	99.64747438893134	0.35252561106871805	119.99998762834095	1.2371659300895e-05	0.00028242101709400003	999.9185083961275	0.013307120460991001	4.7248236303493005
360.0.	3.915439706723178	1.183573463500334	0.42893605115835504	4.472050778617998	7	208.28922635644076	228.25786601221557	563.452907631344	9.96857372108916	250.03007856318257	0.8711529187311451	39.32162804477321	79.80721903649558	2.4	3.513029133369436	5.882989126566108	0.050559796234749	11.4	793.8648799104943	0.030078563183799003	11.866648774406118	14.06986576869046	14.326612590282966	0.42620814978528804	0.17777359027911402	0.03114386844769	0.028449503715483004	0.007686959535689	99.70111390406636	0.298886095933723	119.99998762880342	1.2371196834696951e-05	0.000282410463702	999.9190530989795	0.013384158854207	4.983895900468079
378.0.	3.978920562863811	1.182975082653108	0.43450936374676	4.403594990736193	7	191.479459099845	219.79726259531387	588.7232783048415	9.968860281066648	250.02997074389708	0.9022209479187061	41.854049740500216	77.24372931158105	2.4	3.534325706451324	5.864397355720637	0.05039948108909	11.4	793.9285210817806	0.029970743898292	11.824108796383058	13.969131189544168	14.195295506484767	0.42485506692921804	0.176421870898773	0.030857318885321002	0.028187110879883	0.007621357777379	99.74655706624077	0.25344293375931504	119.99998762925982	1.237074042741736e-05	0.000282400048564	999.9195900739534	0.013461738451473	5.240590808459563
396.0.	4.04764387934876	1.181954535502032	0.440607714134358	4.329793871014748	7	176.58487945856007	211.90520537596942	611.509915165471	9.969143547060174	250.0298633412265	0.944579612769698	44.477347973211366	74.57807241401892	2.4	3.555629379652682	5.845786322478271	0.050239005931169006	11.4	793.9974048734236	0.029863341227669003	11.781733277768469	13.869145955480782	14.065477577594669	0.42350072060922106	0.17508357725978002	0.030574063171219003	0.027927749040208002	0.007556513789509001	99.78500493963104	0.21499506036902002	119.99998762971029	1.2370289967891451e-05	0.000282389769146	999.9201194220527	0.013539862173317001	5.494935533556252
414.0.	4.121183470842125	1.180467065360811	0.44717940047491606	4.251170063322068	7	163.38643447145935	204.65219907068337	631.9613664578576	9.969423566378175	250.02975635420628	0.9976587589995771	47.17221069771843	71.83013054328197	2.4	3.576939446758856	5.827156856012694	0.050078378234899	11.4	794.0711050926134	0.029756354207452002	11.739521836004037	13.769904984872754	13.937137509465316	0.422145168706377	0.173758528522025	0.030294053999409	0.027671374369139003	0.007492416614669001	99.81750327339775	0.18249672660229202	119.99998763015489	1.2369845347205481e-05	0.00028237962296100003	999.9206412424307	0.013618532959083001	5.746956868344299
432.0.	4.199157242064881	1.178466816635613	0.454178065466922	4.168197875832478	7	151.68933829980116	198.07692915619367	650.2337325440053	9.96970038550217	250.02964978185415	1.061121334445603	49.92046457188133	69.01841409367302	2.4	3.598255203945151	5.8085097803905725	0.049917604814893005	11.4	794.1492396372563	0.029649781855295	11.697474081524732	13.671403208865213	13.810254374166588	0.42078846876644305	0.17244654689778602	0.030017244890789004	0.027417943812057	0.007429055488635001	99.84495564089721	0.155044359102834	119.99998763059381	1.2369406458659581e-05	0.00028236960757400004	999.92115563243	0.013697753766932	5.996681225422207
450.0.	4.281205936649733	1.175908945257597	0.46156033358972604	4.081324784502855	7	141.32108352759283	192.19487538660348	666.4840410858039	9.969974050103614	250.0295436231705	1.1347940642975831	52.70499183873918	66.16021409696316	2.4	3.619575949819738	5.789845914586371	0.049756692003367006	11.4	794.2314492446529	0.029543623171599004	11.655589618001255	13.573635572107595	13.684807602701092	0.419430678000332	0.17114745759351602	0.029743590176304003	0.027167415071148	0.007366419836395001	99.868137899012	0.131862100988034	119.99998763102705	1.2368973197717762e-05	0.000282359720601	999.9216626876178	0.013777527573851001	6.244134643926939
468.0.	4.366978684354165	1.172751382267161	0.46928422207879006	3.990985711299754	7	132.12937771499975	187.00501573143012	680.8656065535703	9.970244605060344	250.02943787713903	1.218619137029104	55.50968883124991	63.271692031720924	2.4	3.640900985466557	5.771166072496074	0.049595645774984	11.4	794.3173830385857	0.029437877140117003	11.613868042576552	13.476597033456208	13.560776977878945	0.418071853284515	0.169861088752813	0.02947304498047	0.026919746589846003	0.007304499268259001	99.88771284469128	0.11228715530876601	119.9999876314548	1.2368545461951671e-05	0.000282349959704	999.9221625018221	0.013857857375644001	6.4893427959303445
