time	ADP	ATP	BPG	Glc	NAD	NADH	P3G	gap	pep	pyr
39.0.04.0	0.000275848548653	9.999724151451352	0.002440160233303	8.93834968252659	0.00027551935866400003	0.19972448064133502	1.9356340029346262	1.426925836832065	8.935909851483277	1.214090148516716
40.0.26.0	0.000274879216398	9.999725120783607	0.002467346089489	8.90840742093807	0.00027455742209400003	0.199725442577905	1.9056655174264852	1.456867136484019	8.905940396642883	1.244059603357111
41.0.48.0	0.000273890355288	9.999726109644719	0.0024935463028430004	8.878670708870887	0.000273576040616	0.199726423959384	1.875903586527421	1.48660286716973	8.876177476882711	1.273822523117285
42.0.699999999999996.0	0.000272881713031	9.999727118286977	0.0025187625001170002	8.84914026922882	0.000272574962189	0.19972742503781002	1.8463489317665052	1.5161323057333709	8.846621813479539	1.303378186520457
43.0.92.0	0.00027185303691900004	9.999728146963088	0.0025429963054040003	8.819816835932555	0.000271553934313	0.19972844606568702	1.817002285692826	1.545454718001763	8.817274138729745	1.332725861270249
45.0.14.0	0.000270804073937	9.99972919592607	0.0025662493427500003	8.790701153898798	0.000270512704135	0.199729487295864	1.787864391851897	1.574569358805347	8.788135195925836	1.36186480407416
46.0.36.0	0.000269734570889	9.999730265429118	0.002588523238847	8.761793979015346	0.000269451018574	0.199730548981426	1.758936004757906	1.6034754720032391	8.7592057393288	1.390794260671199
47.0.58.0	0.00026864427451800003	9.999731355725487	0.0026098196258150003	8.733096078111698	0.000268368624438	0.19973163137556202	1.7302178898614282	1.63217229051275	8.730486534135949	1.419513465864049
48.0.8.0	0.00026753293164900004	9.999732467068357	0.002630140144068	8.704608228924824	0.000267265268563	0.19973273473143702	1.7017108235121698	1.660659036343755	8.701978356443828	1.448021643556175
50.0.019999999999996.0	0.000266400289325	9.99973359971068	0.0026494864452790002	8.676331220059646	0.000266140697949	0.199733859302051	1.6734155929163932	1.6889349206383222	8.673681993205728	1.4763180067942772
51.0.24.0	0.00026524609495800003	9.99973475390505	0.002667860195442	8.648265850943886	0.00026499465991100004	0.199735005340089	1.6453329960885	1.716999143716051	8.645598242183475	1.5044017578165372
52.0.46.0	0.000264070096491	9.999735929903515	0.0026852630780490002	8.620412931776697	0.00026382690223200004	0.199736173097767	1.617463841796377	1.744850895125567	8.61772791189289	1.532272088107126
53.0.68.0	0.000262872042562	9.999737127957443	0.002701696797366	8.592773283470699	0.000262637173331	0.199737362826668	1.589808949499956	1.772489353702672	8.590071821542546	1.5599281784574761
54.0.9.0	0.000261651682685	9.99973834831732	0.0027171630818400004	8.565347737586817	0.00026142522243600004	0.19973857477756302	1.562369149282493	1.799913687635662	8.562630800965206	1.5873691990348169
56.0.12.0	0.00026040876743000003	9.999739591232576	0.0027316636876240003	8.53813713626146	0.000260190799766	0.19973980920023301	1.535145281774015	1.827123054538356	8.535405690541472	1.6145943094585502
57.0.339999999999996.0	0.000259143048626	9.999740856951382	0.0027452004022360003	8.511142332125358	0.00025893365672800003	0.19974106634327202	1.508138198066343	1.854116601531414	8.508397341114991	1.641602658885025
58.0.56.0	0.000257854279564	9.999742145720445	0.002757775048359	8.48436418821361	0.00025765354611700003	0.199742346453882	1.481348759619083	1.880893465332552	8.481606613898666	1.668393386101346
59.0.78.0	0.000256542215218	9.999743457784792	0.0027693894877830003	8.457803577866077	0.000256350222336	0.199743649777663	1.454777838155912	1.907452772356299	8.455034380371142	1.694965619628864
61.0.	0.00025520661247100003	9.99974479338754	0.0027800456255050003	8.431461384617675	0.00025502344161800004	0.19974497655838103	1.428426315550507	1.933793638823981	8.428681522162991	1.721318477837015
62.0.22.0	0.00025384723036000003	9.999746152769653	0.0027897454139900004	8.405338502077663	0.000253672962267	0.199746327037733	1.402295083701365	1.959915170884639	8.402548930931735	1.747451069068268
63.0.44.0	0.000252463830329	9.999747536169686	0.0027984908576040002	8.379435833797281	0.00025229854490800004	0.19974770145509202	1.37638504439473	1.985816464747659	8.376637508225066	1.7733624917749342
64.0.66.0	0.00025105617649600004	9.999748943823517	0.0028062840172230004	8.353754293124876	0.000250899952752	0.19974910004724802	1.350697109154862	2.011496606827909	8.350948165331367	1.799051834668636
65.0.88.0	0.00024962403593600005	9.999750375964078	0.002813127015036	8.328294803047674	0.000249476951872	0.19975052304812801	1.325232199080727	2.03695467390423	8.325481823116673	1.8245181768833292
67.0.1.0	0.00024816717897700003	9.999751832821039	0.0028190220395430004	8.303058296019334	0.000248029311498	0.199751970688502	1.299991244668251	2.062189733292201	8.300239411847238	1.8497605881527661
68.0.32.0	0.000246685379508	9.999753314620506	0.0028239713507620004	8.278045713772274	0.000246556804322	0.199753443195678	1.274975185617145	2.087200843032088	8.275221870996665	1.874778129003341
69.0.53999999999999.0	0.00024517841531	9.999754821584705	0.0028279772856570004	8.253258007113816	0.000245059206822	0.19975494079317802	1.250184970621286	2.111987052093051	8.250430149036616	1.8995698509633971
70.0.76.0	0.00024364606839800002	9.999756353931616	0.0028310422637930002	8.228696135705059	0.00024353629960100002	0.199756463700399	1.2256215571416131	2.136547400594589	8.225865203210029	1.9241347967899831
71.0.98.0	0.00024208812538100002	9.999757911874635	0.0028331687932360004	8.204361067821386	0.00024198786774300003	0.19975801213225602	1.20128591116035	2.160880920046408	8.201527999285753	1.948472000714263
73.0.2.0	0.000240504377842	9.999759495622175	0.002834359476706	8.18025378009334	0.00024041370119200003	0.19975958629880802	1.177179006915392	2.184986633607897	8.17741951129325	1.9725804887067602
74.0.42.0	0.00023889462273800002	9.999761105377283	0.002834617017992	8.156375257226781	0.00023881359513700003	0.199761186404862	1.153301826613598	2.208863556368406	8.153540721236356	1.996459278763659
75.0.64.0	0.00023725866281300003	9.999762741337204	0.00283394422865	8.13272649170074	0.000237187350437	0.19976281264956303	1.129655360121598	2.2325106956497462	8.129892618784433	2.020107381215583
76.0.86.0	0.000235596307044	9.999764403692973	0.002832344034996	8.109308483441856	0.00023553477404300002	0.199764465225957	1.10624060463276	2.255927051332239	8.10647620093983	2.04352379906019
78.0.08.0	0.00023390737109700002	9.99976609262892	0.0028298194853970003	8.08612223947371	0.00023385567946300001	0.19976614432053702	1.083058564308794	2.279111616205804	8.083292471679918	2.066707528320103
79.0.3.0	0.00023219167781000002	9.999767808322208	0.002826373757891	8.06316877353958	0.00023214988723600002	0.19976785011276402	1.060110249894392	2.302063376347713	8.060342441572233	2.089657558427792
80.0.52.0	0.00023044905770400003	9.999769550942311	0.002822010168142	8.040449105696942	0.000230417225436	0.19976958277456403	1.037396678303309	2.324781311528546	8.037627127361045	2.112372872638981
81.0.74.0	0.00022867934951200001	9.999771320650503	0.002816732177743	8.01796426188205	0.000228657530196	0.19977134246980402	1.014918872174054	2.3472643956482	8.015147551523599	2.134852448476429
82.0.96.0	0.000226882400741	9.999773117599274	0.002810543402897	7.995715273442573	0.000226870646263	0.199773129353737	0.9926778593933561	2.369511597203743	7.992904741794133	2.157095258205897
84.0.17999999999999.0	0.00022505806825300003	9.99977494193176	0.0028034476234710002	7.9737031766366275	0.000225056427578	0.199774943572422	0.9706746725855221	2.391521879791004	7.97089973065381	2.179100269346219
85.0.39999999999999.0	0.000223206218883	9.999776793781125	0.002795448792464	7.951929012095884	0.00022321473788200003	0.199776785262118	0.9489103485654831	2.41329420264205	7.949133554784401	2.200866445215628
86.0.62.0	0.00022132673008000002	9.999778673269926	0.00278655104589	7.930393824250803	0.000221345451356	0.19977865454864402	0.927385927753503	2.434827521200603	7.927607254483617	2.222392745516411
87.0.84.0	0.000219419490586	9.99978058050942	0.0027767587131070004	7.909098660715646	0.00021944845328700002	0.199780551546713	0.906102453549196	2.4561207877376923	7.906321873039816	2.243678126960212
89.0.06.0	0.000217484401136	9.99978251559887	0.002766076327598	7.888044571630812	0.000217523640772	0.19978247635922802	0.8850609716623871	2.47717295201001	7.8852784560635545	2.264721543936472
90.0.28.0	0.000215521375207	9.999784478624797	0.002754508638247	7.86723260896018	0.00021557092344700002	0.19978442907655303	0.8642625293984341	2.497982961963314	7.864478050773671	2.285521949226353
91.0.5.0	0.00021353033979	9.999786469660215	0.002742060621067	7.846663825740481	0.000213590224261	0.19978640977574003	0.8437081748951011	2.518549764483827	7.843921705234921	2.306078294765104
