time	ATIII	II	IIa	IIa_ATIII	IX	IXa	IXa_ATIII	IXa_VIIIa	IXa_VIIIa_X	TF	TFPI	TF_VII	TF_VIIa	TF_VIIa_ATIII	TF_VIIa_IX	TF_VIIa_X	TF_VIIa_Xa	TF_VIIa_Xa_TFPI	V	VII	VIII	VIIIa	VIIIa1_L	VIIIa2	VIIa	Va	X	Xa	Xa_ATIII	Xa_TFPI	Xa_Va	Xa_Va_II	mIIa	mIIa_ATIII
70.0.	3.399472314662673e-06	1.3977260400850158e-06	7.594158194153632e-12	4.808703713751156e-12	8.999516293344996e-08	4.536684817743345e-12	2.655532764655638e-13	5.76124227725756e-16	1.1148276602711793e-15	3.498202492298634e-12	2.4957808693184853e-09	1.948300502067858e-11	1.543944630794706e-13	9.768371188983843e-15	3.313750390079765e-14	8.766253605490656e-14	2.658969825318984e-14	1.707239914545454e-12	1.9920474821867e-08	9.835171259869872e-09	6.972166187653448e-10	2.496789739288042e-12	2.84900543478858e-13	2.84900543478858e-13	2.43326942622422e-10	7.430721867207089e-11	1.5995735292025462e-07	2.73450638185659e-11	5.7495587222978934e-12	2.511890766967381e-12	2.83702187500252e-12	2.380937585923633e-12	1.7423243622473941e-09	5.168517532419093e-10
77.0.	3.399104684464773e-06	1.396481424241701e-06	8.980513099976626e-12	6.2043740904247165e-12	8.999475646979775e-08	4.888762141122744e-12	3.20523641157717e-13	8.808657997412966e-16	1.7058898994667803e-15	3.072044908527558e-12	2.4952113149773273e-09	1.9777776720090567e-11	1.475298581782889e-13	1.0594029749485829e-14	3.165766424891526e-14	8.37529827658696e-14	2.540427883694441e-14	1.851239557602394e-12	1.989744907200852e-08	9.810265068347356e-09	6.96410717520298e-10	3.182867379962138e-12	4.038283440401954e-13	4.038283440401954e-13	2.6780697656116133e-10	9.547614004117357e-11	1.599536787695323e-07	2.761528947192729e-11	6.731604871026175e-12	2.937445465068154e-12	3.8480780311741936e-12	3.226709919124844e-12	2.618115722595399e-09	8.820484385933374e-10
84.0.	3.398569211897639e-06	1.394832869722818e-06	1.081284320033362e-11	7.868101968710403e-12	8.99943667938907e-08	5.219517729979559e-12	3.79463784810708e-13	1.291403659975418e-15	2.5024759412846035e-15	2.739801675284196e-12	2.494647980232434e-09	1.998254513039172e-11	1.418435245076224e-13	1.1385264083548681e-14	3.043071489713073e-14	8.051261342799082e-14	2.442164119892822e-14	1.989059436208882e-12	1.9870032052988272e-08	9.785443760845454e-09	6.954511218545888e-10	3.991069716908938e-12	5.54014548900433e-13	5.54014548900433e-13	2.9229604082981793e-10	1.207571118848512e-10	1.59950114165155e-07	2.749941616924548e-11	7.716127050497713e-12	3.362960331355057e-12	5.0125355676030244e-12	4.19829955927804e-12	3.7294380081613185e-09	1.414813024291377e-09
91.0.	3.397824776577857e-06	1.392722831966401e-06	1.340501941165826e-11	9.900052357722522e-12	8.999399081687611e-08	5.532210475730986e-12	4.421398671845988e-13	1.8342038666911022e-15	3.555905845701661e-15	2.480191297258608e-12	2.4940954953522493e-09	2.011760371458876e-11	1.372695190012891e-13	1.2148316556547952e-14	2.944267126244402e-14	7.790419150287608e-14	2.363054654507758e-14	2.121809743284416e-12	1.983659194428509e-08	9.761011211285696e-09	6.942807180499778e-10	4.972327204754073e-12	7.415646355554468e-13	7.415646355554468e-13	3.1646898001155173e-10	1.517588303917568e-10	1.599466185340242e-07	2.703262997216335e-11	8.690015388634035e-12	3.782694904464558e-12	6.343821685677372e-12	5.305403637477603e-12	5.092378491978659e-09	2.156179066211784e-09
98.0.	3.396827252013721e-06	1.390086149757479e-06	1.719456852851624e-11	1.24631881551424e-11	8.999362565886887e-08	5.8298276099258045e-12	5.083531848969783e-13	2.5466783177279024e-15	4.938647225267177e-15	2.276672041913966e-12	2.493558250729345e-09	2.0198622117429246e-11	1.3372066215326482e-13	1.288900338336463e-14	2.867501076046511e-14	7.587846158038006e-14	2.301610617921723e-14	2.250526596600107e-12	1.979447949899813e-08	9.737255491852812e-09	6.928067824649342e-10	6.210354547146521e-12	9.753776623758158e-13	9.753776623758158e-13	3.400211801890909e-10	1.910740419376006e-10	1.599431496059371e-07	2.6217524182332068e-11	9.640828330418808e-12	4.191222674053206e-12	7.87385172491395e-12	6.572607339352226e-12	6.7274971508947415e-09	3.1501227276029892e-09
105.0.	3.395528331410412e-06	1.3868437576489041e-06	2.278989899469013e-11	1.58074737235979e-11	8.999326871020916e-08	6.115007365282764e-12	5.779364201931564e-13	3.4840801479823103e-15	6.7576710666691364e-15	2.116427058846395e-12	2.4930408895970422e-09	2.0237686599828998e-11	1.3108658716787971e-13	1.3612589561684261e-14	2.810425415983331e-14	7.437304036848425e-14	2.2559446879227073e-14	2.376150423187513e-12	1.973964852335786e-08	9.714474448592901e-09	6.908876983175243e-10	7.833311968156155e-12	1.2687479631042212e-12	1.2687479631042212e-12	3.6264197846594065e-10	2.4266342859665045e-10	1.599396623770712e-07	2.5031045402623506e-11	1.055572891909546e-11	4.5829599797687185e-12	9.650839232221292e-12	8.03720881327215e-12	8.664893931631346e-09	4.44471383793283e-09
112.0.	3.393873701987563e-06	1.3828986366965908e-06	3.104399242233762e-11	2.030406927290949e-11	8.999291769324961e-08	6.389952808356275e-12	6.507487762814555e-13	4.7294255971710005e-15	9.173674036304504e-15	1.989561842285596e-12	2.4925485921059354e-09	2.024412355638146e-11	1.2923434098833192e-13	1.4323661731091302e-14	2.770206611811287e-14	7.331271213498088e-14	2.223779884864638e-14	2.4995040215118083e-12	1.9666132082606453e-08	9.692989464733748e-09	6.883146228912248e-10	1.0029934451752428e-11	1.641539557388441e-12	1.641539557388441e-12	3.8400009710853097e-10	3.123964552377527e-10	1.599361071509282e-07	2.344435969587137e-11	1.1420895140768229e-11	4.951903872550789e-12	1.1730248386887968e-11	9.741213768912609e-12	1.094636605236172e-08	6.093907975582788e-09
119.0.	3.391801067540824e-06	1.378136139034279e-06	4.314998147680353e-11	2.649522845194297e-11	8.999257071435105e-08	6.656342605087145e-12	7.266698202711877e-13	6.407996043855786e-15	1.242917752479091e-14	1.88846181721622e-12	2.4920869705613282e-09	2.0225153239070162e-11	1.2801224113753341e-13	1.502601964759921e-14	2.743605004885352e-14	7.261156435696609e-14	2.20251423535055e-14	2.621273926169184e-12	1.9565302981097253e-08	9.673137580571219e-09	6.847856043384028e-10	1.3072303492255179e-11	2.123254995772573e-12	2.123254995772573e-12	4.0375088124598745e-10	4.0881881598544113e-10	1.599324260371409e-07	2.145385738286424e-11	1.222180723580879e-11	5.291755512500133e-12	1.415981209671647e-11	1.1718390820596971e-11	1.362302363732446e-08	8.159473727647092e-09
126.0.	3.389239413402023e-06	1.372431593671333e-06	6.072786465475529e-11	3.515709661218475e-11	8.999222630719107e-08	6.915234558904348e-12	8.055928376335159e-13	8.706937729083748e-15	1.688652101064721e-14	1.807315125547914e-12	2.4916613708462022e-09	2.018636268905743e-11	1.2726035368992382e-13	1.572258411755504e-14	2.727195370876042e-14	7.217886648864858e-14	2.189398885292776e-14	2.741994438536862e-12	1.942500712286714e-08	9.655230775781836e-09	6.79875249300349e-10	1.734214813809596e-11	2.757009102814426e-12	2.757009102814426e-12	4.2157653934370684e-10	5.440540191538421e-10	1.599285476767631e-07	1.9118993965342268e-11	1.2944882762151749e-11	5.596634715257976e-12	1.696058659843809e-11	1.397827138058096e-11	1.67468797928403e-08	1.0711663303178791e-08
133.0.	3.386109840904766e-06	1.3656633374346541e-06	8.587141693095123e-11	4.737540488834371e-11	8.999188343277807e-08	7.166992862862863e-12	8.874165919415573e-13	1.19018113202966e-14	2.307937462904222e-14	1.741689915021504e-12	2.4912756769615132e-09	2.0132102511165838e-11	1.2682419299662971e-13	1.641539207171939e-14	2.717658121797016e-14	7.192679916042262e-14	2.181772411090539e-14	2.8620468842550203e-12	1.922865201788974e-08	9.639488642837654e-09	6.730028206261404e-10	2.335746427558058e-11	3.6047339123290628e-12	3.6047339123290628e-12	4.3725304707736116e-10	7.347333729792068e-10	1.599243788781925e-07	1.658515805641868e-11	1.358020768335292e-11	5.862276154228508e-12	2.011674741284454e-11	1.649786171820681e-11	2.0358618231132902e-08	1.382829965067607e-08
140.0.	3.382328463728325e-06	1.357725319337239e-06	1.211301120561797e-10	6.462212563749542e-11	8.999154144138837e-08	7.41123556810985e-12	9.72036563299373e-13	1.638919569177018e-14	3.177609055063195e-14	1.688200489815042e-12	2.49093104151153e-09	2.0065776998775126e-11	1.265706045375558e-13	1.710566914696598e-14	2.7121194007930783e-14	7.177945324081524e-14	2.1773334055385417e-14	2.981672256421203e-12	1.895458273245476e-08	9.625968113627462e-09	6.634103956359156e-10	3.178814770933128e-11	4.7532913685098115e-12	4.7532913685098115e-12	4.5072008686234854e-10	1.002592644463885e-09	1.599197926298756e-07	1.4064055817948838e-11	1.4124403858545719e-11	6.08728623204488e-12	2.359031548652032e-11	1.9234307594838238e-11	2.447789351752943e-08	1.759180059994345e-08
147.0.	3.377810066355086e-06	1.348528338558242e-06	1.694828968022192e-10	8.882555146816903e-11	8.999119999414928e-08	7.646813923910696e-12	1.059335873989917e-12	2.2722410016451308e-14	4.404924663551211e-14	1.644238675799258e-12	2.49062531445258e-09	1.999005944061018e-11	1.264010516544527e-13	1.779398553746369e-14	2.708439618808026e-14	7.168041824319606e-14	2.1743702792841248e-14	3.100998329174556e-12	1.857607837449344e-08	9.614533112331061e-09	6.501627431072696e-10	4.344967151013915e-11	6.32081372593821e-12	6.32081372593821e-12	4.6211112634473327e-10	1.37439353852584e-09	1.599146118939139e-07	1.176598899731629e-11	1.458187119272519e-11	6.27368721824189e-12	2.736612404617355e-11	2.216196293454006e-11	2.910574193816477e-08	2.208544909238887e-08
154.0.	3.372469957719482e-06	1.337982753236769e-06	2.344562886892665e-10	1.224438186890714e-10	8.999085895946434e-08	7.871825320164283e-12	1.149176323943828e-12	3.16448507367836e-14	6.134069313568309e-14	1.6077679558263189e-12	2.4903536376537492e-09	1.9907050646238e-11	1.2625694863516518e-13	1.8480465187465368e-14	2.705334769657819e-14	7.159590745349987e-14	2.17185618077586e-14	3.220076167155231e-12	1.806210786354388e-08	9.604889356441015e-09	6.32173775224035e-10	5.927100817847737e-11	8.46223105361417e-12	8.46223105361417e-12	4.71718411514803e-10	1.881074041379564e-09	1.599085892527945e-07	9.828280898430565e-12	1.496335372166565e-11	6.426286179092645e-12	3.150428836388005e-11	2.5313806712673077e-11	3.424356539782859e-08	2.739146745131218e-08
161.0.	3.366221635843832e-06	1.3259668918477489e-06	3.2055656538837177e-10	1.6858025118560382e-10	8.999051830959083e-08	8.083653718657549e-12	1.241389858551288e-12	4.4114480456255914e-14	8.550946029592618e-14	1.5771761933911338e-12	2.4901098107535102e-09	1.981839732790304e-11	1.261152887702389e-13	1.916499657093861e-14	2.702289121717433e-14	7.151236592227239e-14	2.169377214185781e-14	3.338917164083365e-12	1.737867153961085e-08	9.596661243207224e-09	6.082535038863788e-10	8.024385067443768e-11	1.137302149843042e-11	1.137302149843042e-11	4.799159329861543e-10	2.55635681812934e-09	1.5990138326441392e-07	8.293438783402517e-12	1.5282749697822152e-11	6.551272082403799e-12	3.616993845315444e-11	2.880170380665924e-11	3.992192903144807e-08	3.359324060042302e-08
168.0.	3.3589696026076547e-06	1.312291963834428e-06	4.341242278287184e-10	2.3120157811973063e-10	8.99901780392232e-08	8.279032076771516e-12	1.3357706587265501e-12	6.131363648572394e-14	1.188510632102477e-13	1.5511750066324258e-12	2.4898875793394913e-09	1.972538328230569e-11	1.259782143818713e-13	1.9847398850030663e-14	2.6993341664150158e-14	7.143057983003396e-14	2.1669546321584693e-14	3.4575226300142238e-12	1.649048350722503e-08	9.589462671806675e-09	5.771669227528749e-10	1.0736230718876401e-10	1.5290605358664208e-11	1.5290605358664208e-11	4.870885031999486e-10	3.4350641872750154e-09	1.5989253307112122e-07	7.136136818453595e-12	1.5554114710350948e-11	6.654898030489739e-12	4.16382776308262e-11	3.281402786914059e-11	4.6227610250303626e-08	4.078228608145125e-08
175.0.	3.350598241573249e-06	1.29667020906632e-06	5.8470492144284e-10	3.155344627122931e-10	8.998983811400229e-08	8.454133922352174e-12	1.432068005743615e-12	8.463860297602855e-14	1.640773164683972e-13	1.528729919265944e-12	2.489681371893507e-09	1.9629001412039788e-11	1.2586217535426673e-13	2.052752511391936e-14	2.6968150202047393e-14	7.135949429754916e-14	2.164857747424974e-14	3.5759027462522467e-12	1.536311720015338e-08	9.582934833585154e-09	5.37709102005367e-10	1.41549193290831e-10	2.0492988784356456e-11	2.0492988784356456e-11	4.935938963341065e-10	4.5509831748743295e-09	1.5988143323836832e-07	6.301482724673207e-12	1.5789940439872948e-11	6.7427253602358944e-12	4.829383772766592e-11	3.7605787244639e-11	5.3322964334220324e-08	4.906898142806072e-08
182.0.	3.3409581076484177e-06	1.278687296530077e-06	7.871183970805595e-10	4.2873444189221236e-10	8.998949844405299e-08	8.604724012106137e-12	1.529980332831103e-12	1.1566002437247693e-13	2.2423934018810213e-13	1.509007991855635e-12	2.489486523525339e-09	1.953001126250563e-11	1.2579028595404631e-13	2.1205311139821702e-14	2.695223752438018e-14	7.131182109647752e-14	2.163470681744276e-14	3.694086383106584e-12	1.3966477383776082e-08	9.576752438269906e-09	4.88826708432162e-10	1.8353982419600442e-10	2.729356800727196e-11	2.729356800727196e-11	4.997565697219447e-10	5.933396931577198e-09	1.598673115498675e-07	5.731484875236389e-12	1.600061826761303e-11	6.819390091550216e-12	5.6635980916188636e-11	4.348970373053867e-11	6.145775482144972e-08	5.859560610577107e-08
189.0.	3.329850836149139e-06	1.257778815727099e-06	1.064561804507747e-09	5.809575456258298e-10	8.998915887216238e-08	8.726428855896405e-12	1.6291514336416122e-12	1.560365734883419e-13	3.025597727221378e-13	1.4913350395066272e-12	2.4892992000672393e-09	1.942898454027935e-11	1.2578876264662532e-13	2.188079007217695e-14	2.6951201861263998e-14	7.130196328942551e-14	2.163229167785222e-14	3.812125410666693e-12	1.228151177817672e-08	9.57060921693994e-09	4.2985291223618457e-10	2.3365939849359364e-10	3.602909292401034e-11	3.602909292401034e-11	5.058821180995551e-10	7.600371204212691e-09	1.598492139079839e-07	5.378186986169057e-12	1.619459345867273e-11	6.888674522089662e-12	6.729094082183644e-11	5.082607678875633e-11	7.097447816643403e-08	6.955036067954505e-08
196.0.	3.3170137888116242e-06	1.2332127579881e-06	1.453278688918145e-09	7.870309957478546e-10	8.998881916614602e-08	8.815230881494207e-12	1.729170691174316e-12	2.0734944734167573e-13	4.02111541848501e-13	1.4751583329322079e-12	2.4891161862203123e-09	1.932633996664673e-11	1.258869068884864e-13	2.2554093868338573e-14	2.697129215384473e-14	7.13459625741075e-14	2.164618649654396e-14	3.930097258439754e-12	1.031315766082769e-08	9.564190027033556e-09	3.609605181289685e-10	2.913956427803433e-10	4.7034378101497166e-11	4.7034378101497166e-11	5.122851312993668e-10	9.545812312455573e-09	1.59826003007715e-07	5.2092200816520156e-12	1.637882801586046e-11	6.953716521245197e-12	8.102566249581464e-11	6.000436422093759e-11	8.230587832319323e-08	8.218104963981956e-08
203.0.	3.302106063853729e-06	1.204083743816182e-06	2.0094985295165522e-09	1.069004295187374e-09	8.998847900697043e-08	8.868333815214235e-12	1.829580725932478e-12	2.708091958096611e-13	5.252493007576201e-13	1.4600120809049941e-12	2.4889346110697092e-09	1.9222368491288318e-11	1.2611991841635372e-13	2.3225458259129618e-14	2.701999184162556e-14	7.146306483815339e-14	2.168221467969928e-14	4.0481087797717314e-12	8.112501290969679e-09	9.557130906580526e-09	2.839375451839383e-10	3.546733990321128e-10	6.059299728738073e-11	6.059299728738073e-11	5.193291055003692e-10	1.171733500668772e-08	1.597963822886475e-07	5.21082997447489e-12	1.6559395524625922e-11	7.017280150516676e-12	9.875647827278436e-11	7.140722406982617e-11	9.595982648567752e-08	9.680651964936671e-08
210.0.	3.2846984887462967e-06	1.16932907023651e-06	2.8194181679934163e-09	1.459960204106703e-09	8.998813796555897e-08	8.885527339334446e-12	1.929897460654726e-12	3.4679225003710733e-13	6.727102479409464e-13	1.44548347098908e-12	2.488751622618031e-09	1.91172491366008e-11	1.2653422828104111e-13	2.389524497308896e-14	2.710714306177885e-14	7.167872624768905e-14	2.174807728180947e-14	4.166303972564723e-12	5.80656198106896e-09	9.548963874051263e-09	2.032296693374133e-10	4.1889900942091397e-10	7.685181874369369e-11	7.685181874369369e-11	5.274816094197156e-10	1.398654800522699e-08	1.5975896202623588e-07	5.391276035632038e-12	1.674216959068461e-11	7.082073409401321e-12	1.215432952503925e-10	8.534671845366164e-11	1.124833495856443e-07	1.138228550872912e-07
217.0.	3.264271691821576e-06	1.127780942799516e-06	4.012718049717709e-09	2.0095307616192973e-09	8.99877954613137e-08	8.870943429906291e-12	2.029647867660414e-12	4.3424523756825923e-13	8.424555080925247e-13	1.43117680522388e-12	2.48856399558658e-09	1.901105512611223e-11	1.2719551378522512e-13	2.456399439830221e-14	2.724664304731681e-14	7.202915029046006e-14	2.1854725598254968e-14	4.284878041544333e-12	3.618902708078091e-09	9.539040844255754e-09	1.266615947827329e-10	4.763623185910569e-10	9.569938588054842e-11	9.569938588054842e-11	5.37390332549458e-10	1.612857405380569e-08	1.5971238569193938e-07	5.7851006722729374e-12	1.693362547449379e-11	7.151126371874116e-12	1.5055846623175163e-10	1.0196477188447499e-10	1.323950540378021e-07	1.3369978957945952e-07
224.0.	3.240227954600064e-06	1.078270518110473e-06	5.779116006261967e-09	2.7914972849327154e-09	8.998745069458437e-08	8.834449392364814e-12	2.128425920048926e-12	5.30218169951171e-13	1.0287531429131548e-12	1.416673240119586e-12	2.488367676298439e-09	1.8903749321521317e-11	1.281997564636471e-13	2.523252301981189e-14	2.745879034356768e-14	7.256755525869506e-14	2.201825786957305e-14	4.404100555403792e-12	1.8382020627338512e-09	9.526432358581714e-09	6.433707219568464e-11	5.174530554990466e-10	1.166509009924035e-10	1.166509009924035e-10	5.499843146583929e-10	1.785366944669363e-08	1.596555192956231e-07	6.4548254776831046e-12	1.7141725668888548e-11	7.228223146155166e-12	1.870259797634561e-10	1.2110251080906442e-10	1.560765133566412e-07	1.569612527308819e-07
