time	species_10	species_11	species_13	species_14	species_15	species_17	species_18	species_2	species_20	species_21	species_22	species_23	species_24	species_25	species_27	species_28	species_29	species_30	species_31	species_33	species_34	species_4	species_5	species_6	species_7	species_8
399.0.	3.666666666666667	68984.41154136544	9621.83198261834	100	100	22.89421491602615	104.13773454777822	3026.1692375686966	412.87549398144535	25.869843426517868	100	129.23768356367836	100	84.19029688817159	359.7071947473213	11229.984684009652	13339.51284529418	62.199003673331184	100	100	100	392.1872135892893	457.27191312976214	155782.2479135474	57711.74906757662	289470.4900424603
406.0.	3.666666666666667	68986.84580506812	9622.391552469593	100	100	22.895513886717062	104.12584447673338	3026.3658173264594	420.1647168604905	25.871311740368732	100	129.26497621236018	100	84.13509864542378	365.5985622541459	11230.381829988637	13580.96266218346	62.201206962893416	100	100	100	392.1987639858841	457.28541404356804	158522.2622715157	57715.10529565329	294591.00645007077
413.0.	3.666666666666661	68988.90320441485	9622.902849216467	100	100	22.896697298892583	104.11436762333248	3026.545430150985	427.45312185273406	25.87264943389025	100	129.29074339869337	100	84.08344913567328	371.4861913526263	11230.71752854631	13822.420326433294	62.20306950955143	100	100	100	392.2093185140451	457.2977511114708	161262.35399135397	57718.17198743562	299711.98550179304
420.0.	3.666666666666666	68990.62625644114	9623.369770746414	100	100	22.897774736903038	104.10330988947769	3026.7094491653525	434.7407381096479	25.873867340375675	100	129.3150555346584	100	84.03513745613705	377.37032300735325	11230.998710620297	14063.884594704725	62.204629741308445	100	100	100	392.2189575588113	457.30901825957085	164002.51638431326	57720.97252202215	304833.38718094834
427.0.	3.666666666666666	68992.0532872277	9623.795924350887	100	100	22.898755049156968	104.09267402999335	3026.859144502361	442.0275950831058	25.874975461302295	100	129.33798133420385	100	83.98996366013613	383.2511838055973	11231.231624032931	14305.354365017734	62.20592229900605	100	100	100	392.22775551282786	457.31930241417996	166742.7433032449	57723.52853554695	309955.1747143179
434.0.	3.666666666666666	68993.21881306982	9624.184645655643	100	100	22.89964639832981	104.08246007241046	3026.995690123251	449.3137223200419	25.87598302308188	100	129.3595876576997	100	83.94773834414809	389.1289867097907	11231.421895616184	14546.828662760194	62.2069783807237	100	100	100	392.2357811668584	457.32868395769594	169483.02910203458	57725.860034717916	315077.3143286373
441.0.	3.666666666666667	68994.15388892699	9624.539016700086	100	100	22.900456308988495	104.07266569455714	3027.1201703108654	456.5991492849918	25.876898530883555	100	129.37993938987657	100	83.90828223267395	395.00393178102274	11231.574588004305	14788.30662797256	62.2078260566179	100	100	100	392.24309808274484	457.3372371640415	172223.36859770605	57727.9855052576	320199.77502321574
448.0.	3.666666666666666	68994.88642682521	9624.86188313932	100	100	22.901191712630027	104.06328656348208	3027.2335858302367	463.8839052076912	25.87772981953779	100	129.39909934705506	100	83.87142576370543	400.8762068734818	11231.694251529329	15029.78750379879	62.20849055661526	100	100	100	392.2497649481881	457.345030612908	174963.75703507106	57729.92201507946	325322.52835791017
455.0.	3.666666666666666	68995.44148668218	9625.155870554509	100	100	22.901858990153205	104.05431663901217	3027.33685975659	471.1680189531433	25.878484101538923	100	129.41712820990793	100	83.83700867716107	406.74598829997154	11231.784971622174	15271.270626002733	62.20899453319065	100	100	100	392.25583591313983	457.3521275825721	177704.19005379692	57731.68531211622	330445.5482556731
462.0.	3.666666666666667	68995.84154183108	9625.423399874357	100	100	22.902464011817706	104.04574844501884	3027.4308429743337	478.45151891178693	25.879168012208506	100	129.4340844784569	100	83.80487960829382	412.6134414687807	11231.850412090116	15512.755413457473	62.20935830128648	100	100	100	392.2613609078452	457.3585864213139	180444.66365776415	57733.28991681642	335568.81081888353
