time	T	Tstar	Tstarstar	Ttot	V
1277.0.5.0	999.9770291432883	0.016782467622381	0.000204733274785	999.9940163441834	0.020221265187575003
1314.0.	999.9714916439028	0.020828121666837	0.00025408730324200004	999.9925738528709	0.025095907420497002
1350.0.5.0	999.9646194293041	0.025848890293624003	0.00031533709508000003	999.9907836566907	0.031145482412758003
1387.0.	999.9560908924963	0.032079723025023	0.00039134892303300004	999.9885619644425	0.038653089894216
1423.0.5.0	999.9455069887316	0.03981213617106601	0.00048567917020100003	999.985804804071	0.047969991746789
1460.0.	999.9323726195846	0.049407808567479006	0.00060274020909	999.9823831683591	0.059531996101981004
1496.0.5.0	999.9160735579006	0.061315432406169004	0.0007480060019530001	999.9781369963066	0.073879764894625
1533.0.	999.8958478542211	0.07609159167000601	0.000928266852812	999.9728677127412	0.09168397642307101
1569.0.5.0	999.8707504183116	0.09442662032346501	0.0011519449364070001	999.9663289835688	0.113776491317573
1606.0.	999.8396091674431	0.11717661181043401	0.001429484911026	999.958215264162	0.141188935293002
1642.0.5.0	999.800970765246	0.14540301825617502	0.001773837185548	999.9481476206851	0.17520043453525302
1679.0.	999.7530335291382	0.180421600591252	0.0022010553614650002	999.9356561850882	0.21739662999552903
1715.0.5.0	999.6935645474028	0.22386287865662902	0.002731034120897	999.9201584601775	0.26974256640973804
1752.0.	999.6197974056774	0.27774669209297304	0.003388419493353	999.9009325172606	0.33467261163079604
1788.0.5.0	999.5283061650061	0.34457402593144704	0.004203730103606001	999.877083921038	0.415201221474757
1825.0.	999.4148503518152	0.42743988318215703	0.005214735735901001	999.84750497073	0.515059130360624
1861.0.5.0	999.27418471475	0.53017169711252	0.006468148317957	999.8108245601774	0.6388604160526871
1898.0.	999.099826390552	0.657498552212336	0.008021690052977001	999.7653466328145	0.7923068404659711
1934.0.5.0	998.8837709442847	0.815257287157363	0.009946613472795001	999.708974844912	0.9824368651829061
1971.0.	998.6161475958937	1.010642312096889	0.012330757793974	999.6391206657814	1.217927696212294
2007.0.5.0	998.2848029734093	1.252506557288427	0.015282233611888001	999.5525917643062	1.509459478612762
2044.0.	997.8748022097049	1.551721166310664	0.018933831129816	999.4454572071419	1.870151088953
2080.0.5.0	997.3678365538357	1.9216010140967312	0.02344824173989	999.312885809669	2.316076464143491
2117.0.	996.7415285649633	2.378401344843343	0.029024162608792002	999.148954072412	2.8668684451708613
2153.0.5.0	995.968630393113	2.941887011618967	0.035903309679187	998.9464207144077	3.546412789033925
2190.0.	995.0161190657436	3.6359688488136053	0.044378282831394	998.696466197385	4.383626997106439
2226.0.5.0	993.8442070856287	4.489390102823779	0.054801089502964	998.388398277952	5.413305113263489
2263.0.	992.405309617841	5.5364276288317384	0.06759191599190101	998.0093291626611	6.676988305622036
2299.0.5.0	990.6430442679077	6.817545425339255	0.083247410519699	997.5438371037629	8.2237890451217
2336.0.	988.4913892790945	8.37989970979845	0.10234727967582101	996.973636268565	10.111051125567034
2372.0.5.0	985.8741935003152	10.277543630220817	0.125557379439003	996.2772945099707	12.404666546979682
2409.0.	982.7053166572316	12.571116727101453	0.153626709843032	995.430060094172	15.178793941292222
2445.0.5.0	978.8897753783555	15.32673527545748	0.187374862904227	994.4038855167132	18.514637973745792
2482.0.	974.3263624729211	18.613739276037812	0.227665694636684	993.167767443592	22.497871391972367
2518.0.5.0	968.9122609993708	22.50092779549663	0.27536261892942404	991.6885514137933	27.214242984897016
2555.0.	962.5501364946689	27.050970021116363	0.331261474160342	989.9323679899419	32.7429668762579
2591.0.5.0	955.1579868861791	32.312870840145116	0.395999080404618	987.8668568067254	39.14769933195251
2628.0.	946.6815837221977	38.31274999419367	0.46994006736215704	985.46427378375	46.46534660514591
2664.0.5.0	937.1086106451263	45.04377879566713	0.5530515876062071	982.7054410283957	54.69364026979962
2701.0.	926.4826551217308	52.456836408734866	0.6447843957357261	979.5842759261975	63.779294438331064
2737.0.5.0	914.9142611627833	60.45409415883469	0.743987117212287	976.1123424388265	73.60939241359372
2774.0.	902.5857061004637	68.88797884318032	0.8488843454138401	972.322569289054	84.0090438935186
2810.0.5.0	889.7464990255106	77.5674523178263	0.9571440173230921	968.2710953606561	94.74786227389662
2847.0.	876.6981141527556	86.27211802399178	1.066042951966798	964.0362751287103	105.55619114051774
2883.0.5.0	863.7690024759382	94.77258661033584	1.17271407684823	959.7143031631182	116.1495035436935
2920.0.	851.2837109074673	102.85351854446662	1.274433101235366	955.411662553165	126.25682884092616
2956.0.5.0	839.5318745626569	110.33469949598245	1.368887329965383	951.2354613886006	135.64753282880767
2993.0.	828.743049545704	117.08595276671494	1.454372671751245	947.283374984166	144.15106841684022
3029.0.5.0	819.0716867954612	123.03350636814469	1.529885941930266	943.635079105532	151.66637303134354
3066.0.	810.5937262196384	128.15782154112597	1.595109153014279	940.3466569137747	158.16052153507906
3102.0.5.0	803.3134554592015	132.48488955405352	1.65030849899004	937.448653512241	163.6588443861046
3139.0.	797.1773797264655	136.07399202159232	1.696184693544033	934.9475564415974	168.23013549022082
3175.0.5.0	792.0912557211634	139.0048372390272	1.733711680843212	932.8298046410293	171.9706354517344
3212.0.	787.936945487105	141.36619544161096	1.763991606039311	931.067132534751	174.98958307558036
3248.0.5.0	784.5868384764208	143.24714439607536	1.788141363133768	929.6221242356255	177.39788165015347
3285.0.	781.9147701533386	144.73116850430603	1.8072148468373972	928.4531535044774	179.30030951528883
3321.0.5.0	779.803309872185	145.89279202849272	1.822157539345752	927.5182594400192	180.79095192296035
3358.0.	778.1478810749791	146.79616865154847	1.833786434948434	926.7778361614719	181.95116382294657
3394.0.5.0	776.8584398909604	147.49501172703452	1.842787573169605	926.1962391911601	182.84929580636327
3431.0.	775.8594677754746	148.03333421156213	1.849724383085003	925.7425263701169	183.54150564580877
3467.0.5.0	775.088931914994	148.4465974688725	1.8550516361768081	925.3905810200383	184.0731355580757
3504.0.	774.4967139536349	148.76299701544718	1.8591314346022272	925.1188424036797	184.48029738708172
3540.0.5.0	774.0428537450963	149.004719102066	1.86224902319498	924.9098218703525	184.791443733816
3577.0.	773.69582544765	149.18907922501785	1.8646272190397861	924.7495318917024	185.02880359633548
3613.0.5.0	773.4309662221523	149.32950496346433	1.86643892781606	924.6269101134277	185.2096287316625
3650.0.	773.2291113077712	149.436356722858	1.8678176311881771	924.5332856618126	185.3472386078281
