time	TFPI	VIIa_TF	VIIa_TF_X	VIIa_TF_Xa	X	Xa	Xa_TFPI	Xa_TFPI_VIIa_TF
4.0.16.0	0.004351231481336	0.14280741627637902	0.013099340432694001	0.142220208692449	21.82277885744204	145.62615382491413	1.693775033920189	0.7018727345984771
4.0.32.0	0.004298929637846	0.13837354083807002	0.012198911653233	0.13830080589881602	20.9742080163167	146.479492195769	1.684573628752276	0.711126441609881
4.0.48.0	0.00425102439275	0.134268685291595	0.011390293038404001	0.134647030464144	20.182899149717535	147.2752155511726	1.676054284401396	0.719693691205857
4.0.64.0	0.00420702790218	0.13046623662008902	0.010661898813687001	0.131241586509168	19.44309387941907	148.01911066316018	1.668161994040767	0.7276299780570561
4.0.8.0	0.004166520761356	0.126942029113706	0.010003839644725001	0.12806813367806502	18.749751949168388	148.71624359827015	1.660846781675143	0.7349856975635041
4.0.96.0	0.004129140253995	0.123674080475951	0.009407641011491	0.12511128331566002	18.098447294360277	149.3710639215666	1.654063164549109	0.741806695196898
5.0.12.0	0.004094570985295001	0.12064236138308101	0.008866013663603001	0.12235657868271801	17.485281168127603	149.98749181051136	1.6477696827441082	0.7481347462705981
5.0.28.0	0.004062537343748	0.117828593614482	0.00837266559437	0.11979046450955101	16.90680920427775	150.56899120296208	1.641928486374657	0.7540079762815971
5.0.44.0	0.004032797382532	0.11521607267129001	0.007922147291227	0.11740024972839301	16.359979923500504	151.11863147686242	1.636504972308379	0.7594612303090901
5.0.6000000000000005.0	0.004005137814031	0.112789511455958	0.007509723793559001	0.11517406615713101	15.842082679165737	151.63913966869757	1.631467463592618	0.764526398593353
5.0.76.0	0.003979369885116	0.11053490212496501	0.007131268452802	0.11310082512414601	15.350703424575961	152.13294485173216	1.626786925816798	0.7692327042980881
5.0.92.0	0.003955325955242	0.10843939367286201	0.00678317434472	0.111170173449328	14.883686988600978	152.6022159895601	1.62243671551167	0.773606958533091
6.0.08.0	0.003932856639657	0.10649118317579101	0.00646228010456	0.10937244977419901	14.439104789249201	153.04889433751157	1.618392356414896	0.7776737869454511
6.0.24.0	0.003911828410332	0.10467941893077501	0.006165807597694001	0.10769864192422701	14.015227108655568	153.4747212702327	1.614631340042367	0.781455831547305
6.0.4.0	0.003892121570123	0.102994113984524	0.005891309343125001	0.106140345759287	13.61049920870197	153.88126225776554	1.611132947516815	0.7849739309130661
6.0.5600000000000005.0	0.0038736285331940003	0.10142606876145001	0.005636624005923001	0.104689725802331	13.22352069212378	154.26992758660094	1.607878090036512	0.7882472814302981
6.0.72.0	0.0038562523582670004	0.099966801682248	0.00539983859128	0.10333947781569701	12.853027615756288	154.64199032019485	1.604849165730962	0.791293581910776
6.0.88.0	0.0038399054917570004	0.09860848681771	0.005179256225284001	0.10208279340748401	12.49787694540871	154.99860191045013	1.602029930958723	0.794129163549523
7.0.04.0	0.00382450868607	0.09734389775225301	0.004973368609759001	0.10091332668826301	12.157033009527872	155.34080580386	1.599405384364207	0.796769106949727
7.0.2.0	0.00380999006482	0.096166356941892	0.0047808324011960005	0.09982516295471101	11.829555664319608	155.66954933038915	1.596961662232982	0.799227347702202
7.0.36.0	0.0037962843118900004	0.095069689945211	0.004600448895171001	0.098812789346713	11.514589928693042	155.98569411737682	1.594685943875208	0.801516771812906
7.0.5200000000000005.0	0.0037833319653180005	0.094048183986058	0.004431146504216	0.097871067404474	11.211356885152034	156.2900252329044	1.592566365929432	0.8036493021052531
7.0.68.0	0.0037710788003410003	0.093096550375348	0.004271965603812	0.09699520743961601	10.919145674067767	156.58325923168894	1.5905919446184371	0.8056359765812251
7.0.84.0	0.0037594752885450004	0.09220989037822701	0.004122045392061	0.096180744627018	10.637306434816722	156.86605125045253	1.5887525051087632	0.8074870196026951
8.0.	0.0037484761222630002	0.09138366416361501	0.003980612466635	0.095423516720884	10.365244069014578	157.13900127791993	1.587038617228873	0.8092119066488671
8.0.16.0	0.0037380397951070005	0.090613662516869	0.0038469708704420005	0.094719643298021	10.10241271928741	157.40265970633902	1.585441536890227	0.810819423314669
8.0.32.0	0.0037281282309640004	0.089895981034166	0.0037204933968700005	0.09406550643276801	9.848310872319473	157.6575322560817	1.583953152632842	0.8123177191361981
8.0.48.0	0.0037187064549940004	0.089226996550018	0.0036006139781290004	0.093457732710853	9.602477007806279	157.9040843519596	1.582565936784009	0.813714356761001
8.0.64.0	0.0037097423011270003	0.088603345577847	0.003486821007375	0.09289317649311701	9.3644857258334	158.1427450189671	1.581272900777214	0.8150163569216621
8.0.8.0	0.0037012061513990004	0.08802190456836301	0.0033786514678740003	0.09236890434433301	9.13394429443167	158.37391035590738	1.580067554229174	0.8162302396194301
8.0.96.0	0.0036930707031150004	0.08747977181218	0.0032756857613950004	0.09188218054687401	8.91048956690256	158.5979466374922	1.578943867417337	0.8173620618795521
9.0.120000000000001.0	0.003685310760438	0.08697425083205701	0.0031775431438090004	0.091430453623686	8.693785225190638	158.8151930888022	1.5778962368391172	0.818417452400448
9.0.28.0	0.0036779030474500003	0.08650283512676801	0.003083877689226	0.091011343799693	8.483519311288982	159.02596437026943	1.5769194535682391	0.8194016433843131
9.0.44.0	0.0036708260401510004	0.08606319414320901	0.0029943747151710003	0.09062263133534501	8.279402013552982	159.23055280643652	1.576008674153576	0.820319499806275
9.0.6.0	0.0036640598151880003	0.08565316036619801	0.0029087476108	0.09026224567047501	8.081163678996067	159.42923038753773	1.575159393832287	0.8211755463525261
9.0.76.0	0.0036575859134340004	0.085270717426755	0.00282673501817	0.08992825532086801	7.888553026253981	159.62225056932027	1.5743674218523611	0.8219739922342071
9.0.92.0	0.0036513872167200003	0.084913989139657	0.0027480983233930003	0.089618858473964	7.701335537021095	159.80984989339805	1.573628858720296	0.8227187540629861
10.0.08.0	0.0036454478363140003	0.08458122938996	0.00267261942031	0.08933237423395801	7.519292006457406	159.99224944772448	1.572940075207917	0.823413476955771
10.0.24.0	0.0036397530118430005	0.08427081279600401	0.002600098714263	0.08906723447008201	7.342217235400307	160.169656184427	1.572297692968507	0.8240615540196511
10.0.4.0	0.003634289019573	0.083981226083435	0.0025303533377780004	0.08882197622524	7.169918849243607	160.3422641102128	1.571698566626882	0.824666144353547
10.0.56.0	0.00362904308905	0.083711060111015	0.002463215553614	0.08859523464525501	7.002216230111514	160.5102553627786	1.571139767220836	0.8252301896901161
10.0.72.0	0.003624003327261	0.0834590024945	0.002398531323731	0.08838573639189501	6.838939550494776	160.67380118511676	1.570618566882866	0.8257564297898751
10.0.88.0	0.0036191586495370005	0.083223830779868	0.002336159025442	0.08819229350553301	6.679928897861505	160.8330628082569	1.570132424661308	0.826247416689156
11.0.040000000000001.0	0.0036144987165280004	0.08300440612161501	0.002275968298303	0.08801379768581201	6.525033480932966	160.9881922517994	1.569678973389204	0.8267055278942701
11.0.200000000000001.0	0.003610013876659	0.08279966742578601	0.0022178390073230004	0.087849214960955	6.374110909347909	161.13933305056042	1.569256007517407	0.827132978605936
11.0.36.0	0.003605695113533	0.082608625921036	0.002161660309808	0.087697580718557	6.227026539346935	161.2866209147381	1.568861471835869	0.8275318330505991
11.0.52.0	0.0036015339977950003	0.082430360124188	0.002107329814645	0.08755799507263401	6.083652878907703	161.4301843302026	1.568493451013674	0.827904014988532
11.0.68.0	0.0035975226430590003	0.08226401116967601	0.002054752824177	0.08742961854355401	5.94386904646681	161.5701451048083	1.568150159894349	0.8282513174625941
11.0.84.0	0.0035936536654940002	0.082108778474876	0.0020038416499190003	0.08731166802916501	5.807560277986735	161.70661886599953	1.567829934488468	0.8285754118460411
12.0.	0.0035899201467520002	0.081963915715692	0.001954514994423	0.087203413047002	5.674617477677217	161.83971551442804	1.567531223610366	0.828877856242884
12.0.16.0	0.003586315599921	0.08182872708888701	0.001906697392413	0.087104172228896	5.544936808168604	161.96953963781002	1.5672525811102762	0.829160103289804
12.0.32.0	0.0035828339382320004	0.081702563839618	0.0018603187051210001	0.08701331005066601	5.418419316367961	162.09619088881448	1.566992658657174	0.829423507404595
12.0.48.0	0.0035794694462850003	0.08158482103436901	0.001815313662412	0.08693023378077	5.294970591613701	162.21976433038938	1.5667501990312669	0.829669331522449
12.0.64.0	0.0035762167535580004	0.08147493456108401	0.001771621447882	0.08685439063299401	5.174500453087234	162.34035075158533	1.5665240298884031	0.8298987533580401
