time	R5	R7	r5	r7
396.0.	1.297123321820583	0.125428776995408	0.9994492211762461	0.9997155793584431
408.0.	1.303492438388558	0.12704440412395201	0.9994831765360871	0.999723913715958
420.0.	1.309471200881703	0.128614759140985	0.9995147256627881	0.9997314775196551
432.0.	1.315086698343896	0.13014407771473102	0.9995441192004161	0.9997383287908541
444.0.	1.320363218573097	0.13163629241916902	0.9995715789722791	0.9997445171534911
456.0.	1.325322562762432	0.133095077941755	0.9995973023319521	0.9997500846992111
468.0.	1.329984312795387	0.13452389198172202	0.9996214658404661	0.9997550666743171
480.0.	1.3343660583105241	0.135926012798042	0.9996442284041901	0.999759492006643
492.0.	1.338483589219752	0.13730457428525	0.9996657339828391	0.999763383684337
504.0.	1.3423510581879001	0.13866259940866502	0.9996861139582941	0.9997667589927021
516.0.	1.345981116592446	0.140003032818485	0.9997054892413931	0.9997696296091431
528.0.	1.349385026625232	0.14132877348717102	0.9997239721845791	0.999772001549707
540.0.	1.352572751424972	0.14264270828196002	0.999741668362889	0.999773874952903
552.0.	1.35555302439552	0.14394774750317002	0.9997586782840051	0.9997752436770171
564.0.	1.35833339812461	0.145246863603397	0.9997750990903581	0.999776094674767
576.0.	1.360920272519453	0.14654313457415202	0.999791026323063	0.999776407092635
588.0.	1.3633189008557611	0.147839793876992	0.999806555830215	0.9997761510193871
600.0.	1.365533371310905	0.14914028935412302	0.999821785922772	0.9997752857759731
612.0.	1.367566560101714	0.15044835435163	0.9998368199134261	0.9997737575923731
624.0.	1.369420050399788	0.15176809543886702	0.9998517692229311	0.9997714964480641
636.0.	1.371094008490971	0.15310410278401201	0.99986675731325	0.9997684117494511
648.0.	1.372587004776428	0.154461591723834	0.9998819248222001	0.9997643863590481
660.0.	1.3738957615382201	0.15584658779017801	0.9998974364542271	0.9997592682431321
672.0.	1.3750148008680951	0.15726617316153002	0.9999134904681821	0.99975285860755
684.0.	1.375935953042767	0.158728821438806	0.9999303320679661	0.999744894740176
696.0.	1.376647664939115	0.160244861964069	0.999948272776578	0.9997350246815211
708.0.	1.3771340145572961	0.161827138487972	0.9999677192010481	0.999722768941084
720.0.	1.377373281771972	0.163491967042314	0.9999892169421851	0.9997074610602931
732.0.	1.377335828949094	0.16526056825267602	1.000013519703301	0.999688152456712
744.0.	1.376980872386839	0.16716127793742402	1.000041701861585	0.9996634546018021
756.0.	1.376251403087216	0.16923308568819	1.000075349189886	0.9996312662854681
768.0.	1.375065882863498	0.17153154639930202	1.000116897115864	0.9995882789725871
780.0.	1.373304027274463	0.17413917117306502	1.000170264065335	0.9995290264792911
792.0.	1.37078105944705	0.177184854659746	1.000242117552699	0.9994439266909311
804.0.	1.36719772584047	0.180883094534133	1.000344618620837	0.9993148787144901
816.0.	1.3620342632328781	0.185621353016091	1.000502017271211	0.99910419268939
828.0.	1.35429750234159	0.19218198669807302	1.000768824314427	0.998722269166829
840.0.	1.341810513709687	0.202421381556179	1.001290446516388	0.9979109753713
852.0.	1.3186564907483191	0.22204277975978	1.002573916898717	0.9956594984621151
864.0.	1.26110859229872	0.279517160863536	1.007470228179805	0.9850003649788971
876.0.	1.013294212544421	0.6236050061013381	1.03408443793152	0.906956841235485
888.0.	0.6893508540683051	1.094136695918053	1.016049282062991	0.9391212255919221
900.0.	0.6035274331496411	1.279803220968063	1.003363354376943	0.9777685575987091
912.0.	0.5859578672839151	1.345056694990321	1.000691998099767	0.9922517867480721
924.0.	0.582465173212067	1.367683247753263	1.0001193083121	0.9973150839319741
936.0.	0.5822288162749091	1.37554119850746	0.9999744478093321	0.9990648809513841
948.0.	0.582876730367278	1.378305112953111	0.9999327356640151	0.9996681070118071
960.0.	0.583784639551653	1.379313263927856	0.9999205197290201	0.9998760463319011
972.0.	0.5847634998053101	1.379715717597708	0.9999176469864051	0.9999478367852581
984.0.	0.585751924413212	1.379908523541587	0.9999178562529831	0.9999727433549571
996.0.	0.586729627687348	1.380028069491227	0.9999190778663691	0.9999815032643611
1008.0.	0.5876901097501811	1.380121340422682	0.999920610760585	0.999984699171867
1020.0.	0.588631560013534	1.380204541356922	0.999922216067135	0.999985974503337
1032.0.	0.589553761638284	1.380283280112737	0.999923813017869	0.9999865836858921
1044.0.	0.5904570300014651	1.3803595154790171	0.9999253751395831	0.999986958717432
1056.0.	0.5913418481236941	1.38043394911991	0.999926894593638	0.999987248477552
1068.0.	0.592208741831743	1.380506848978337	0.9999283699000051	0.9999875043827731
1080.0.	0.5930582374682261	1.380578332745348	0.9999298017104321	0.9999877442946811
1092.0.	0.593890848009707	1.380648465472105	0.9999311913549551	0.999987974518263
1104.0.	0.594707068937126	1.380717293207134	0.999932540344121	0.9999881973740421
1116.0.	0.595507377430299	1.3807848546121781	0.9999338502004611	0.9999884138046191
1128.0.	0.596292232673108	1.380851184996898	0.9999351224032281	0.9999886242720991
1140.0.	0.597062076508715	1.380916317742563	0.9999363583720211	0.999988829067261
1152.0.	0.597817334184763	1.380980284825387	0.9999375594636161	0.999989028416265
1164.0.	0.598558415100897	1.381043117028339	0.9999387269732031	0.9999892225176491
1176.0.	0.5992857135302261	1.381104844044157	0.999939862136991	0.999989411555339
1188.0.	0.5999996093066361	1.3811654945394252	0.999940966135142	0.9999895957033731
1200.0.	0.6007004684767431	1.3812250962038282	0.9999420400947041	0.9999897751277711
