time	s1	s10	s11	s12	s13	s14	s15	s16	s17	s2	s3	s4	s5	s6	s7	s8	s9
10.0.5.0	0.20312178220885202	10.247708692742869	0.57279197294938	0.49897012078934105	0.7638524546998361	0.22649725754795302	0.187252734132656	0.150500828793937	0.21964689129661802	1.130180739525828	68.12100912246837	0.18329352723279202	3.026611498854762	6.446010656924952	0.044602371810603	6.983178211668702	0.9947711363525291
10.0.799999999999999.0	0.20124094578897903	10.408766244267227	0.569185868489485	0.48630215375137703	0.7440925790699091	0.22553308957315502	0.18272292062310103	0.148442841429087	0.22014705182416602	1.118968376726575	68.13197490566681	0.182883531339981	2.940554562415016	6.446220881609925	0.043567257540004005	6.983405955077425	0.9659908348077311
11.0.1.0	0.19946314309595803	10.567083020077735	0.565584290067763	0.47469275185304804	0.7252598484368731	0.22456149673080403	0.17838317581380803	0.146424060973426	0.22062781154410202	1.108381194047512	68.13682246227751	0.18248513009220202	2.859516412758934	6.445904933656624	0.042572915808151	6.983063678128014	0.93917367463749
11.0.4.0	0.19778155468302402	10.722834376054717	0.561990413404811	0.46404159218185403	0.7073124441949941	0.22358377552320402	0.17422612478562702	0.144444505719021	0.221090180033564	1.098377418208918	68.13594032486363	0.182097504705815	2.783199716326473	6.445096076746432	0.041617901690287	6.9821874164753055	0.9141786744022651
11.0.7.0	0.19618984922617203	10.876183369651764	0.558407142656257	0.454258498352883	0.6902101796377821	0.222601124881489	0.17024460762173602	0.14250411573840602	0.22153510186121503	1.088918303544233	68.1296913140274	0.18171990099842403	2.711324313995785	6.443825392377824	0.040700803673727005	6.980810841742646	0.890875140012175
12.0.	0.194682145238864	11.027281642541803	0.5548371305837081	0.445262370619165	0.6739144622183351	0.221614653199997	0.16643168041991502	0.140602760735935	0.22196346118153001	1.079967890523079	68.11841437370973	0.181351623769322	2.64362628746347	6.442121933786689	0.039820244737245006	6.978965428268916	0.869141911002227
12.0.299999999999999.0	0.193252976101063	11.176270239382541	0.551282797169038	0.43698023165272004	0.658388253533509	0.220625384830053	0.16278061528999402	0.138740247234513	0.22237608597320202	1.071492785785022	68.1024262626898	0.18099203172473102	2.579857069085585	6.4400128679947635	0.038974883162779	6.9766806069943295	0.8488666613963011
12.0.6.0	0.19189725808548902	11.323280367279075	0.54774634680287	0.429346375311344	0.64359602754981	0.21963426607872902	0.159284899472663	0.13691632515461	0.222773751952087	1.063461961460249	68.0820231148269	0.180640532885728	2.519782594106216	6.437523606996356	0.038163413111205004	6.97398390757939	0.8299452513472491
12.0.9.0	0.190610261098402	11.468434100205656	0.544229784165989	0.422301607107575	0.6295037275221891	0.218642170753959	0.15593823370078902	0.13513069383723	0.22315718618621502	1.055846571858289	68.05748187933318	0.180296580426548	2.463182494081649	6.434677928998682	0.037384564990577004	6.970901089748575	0.812281125984457
13.0.2.0	0.189387581881852	11.611845032352594	0.5407349289115571	0.41579256634259204	0.616078721997899	0.21764990529353	0.15273452991098802	0.13338300755784502	0.22352707043788303	1.048619785843214	68.02906165127374	0.17995966889831802	2.409849330218893	6.431498090546173	0.036637105642292	6.967456264758355	0.795784758132261
13.0.5.0	0.18822511945026102	11.753618884087324	0.537263429246229	0.409771120976097	0.603289760245453	0.21665821351209402	0.14966790840124702	0.13167288057405302	0.22388404425548203	1.0417566334065	67.99700490152375	0.17962933079892401	2.359587865282665	6.428004930283001	0.035919838367929	6.963672007806587	0.7803731317823641
