time	AMP	Acetic_acid	Amadori	C5	Cn	Formic_acid	Fru	Glu	Melanoidin	Triose	lys_R
8.0.4.0	0.8050216237214831	0.8398556150009461	1.233476273899227	0.6561488203759951	0.009226308981077	0.6561488203759951	11.941318213476869	143.79186785891056	0.37008100869055105	0.733687480830003	12.591421093688737
8.0.8.0	0.8438855152676231	0.8962251235390281	1.237101117957717	0.6884796075913391	0.010574053335167	0.6884796075913391	12.440984915598449	143.0863633128372	0.41135579011486	0.8017832875231881	12.507657576659795
9.0.200000000000001.0	0.8813072332199731	0.95283791485844	1.238959088720297	0.720896855059251	0.012043756779958	0.720896855059251	12.93488486613761	142.38630252384675	0.454540004499134	0.8725867840977171	12.425193673560587
9.0.600000000000001.0	0.9172558196032051	1.009624465767007	1.239246230531288	0.75339905645125	0.013640141124521001	0.75339905645125	13.423078485843021	141.6916250920374	0.49956063345189705	0.9460605737546751	12.343937316413598
10.0.	0.9517123947663171	1.066523461573553	1.2381384176906671	0.7859847206605871	0.015367862867547	0.7859847206605871	13.905625469339217	141.00227221523198	0.546343418628571	1.022167667085787	12.263805768914434
10.0.4.0	0.9846684903525791	1.123480945254524	1.235793416686308	0.8186523717753501	0.017231513908497	0.8186523717753501	14.382584801901332	140.31818656859076	0.594813423755943	1.100871477274746	12.184724669205156
10.0.8.0	1.016124573926569	1.180449553668635	1.232352737256588	0.8514005490371861	0.019235622250414003	0.8514005490371861	14.854014774860195	139.63931219657695	0.644895518099702	1.182135815398424	12.106627170717127
11.0.200000000000001.0	1.046088744575987	1.237387831906515	1.227943293961312	0.8842278067872781	0.021384652694563	0.8842278067872781	15.319972999812451	138.96559441595178	0.6965147904414191	1.265924885820517	12.029453171021268
11.0.600000000000001.0	1.074575580982361	1.2942596177772039	1.222678897707371	0.91713271440105	0.023683007527068003	0.91713271440105	15.780516421787492	138.2969797286206	0.749596901651522	1.352203281671117	11.953148619658734
12.0.	1.101605125404377	1.35103348925397	1.216661594674364	0.9501138562129181	0.026135027197668	0.9501138562129181	16.23570133150343	137.63341574327788	0.8040683830681961	1.440935980406485	11.877664896853052
12.0.4.0	1.12720198876397	1.40768226843823	1.209982868290823	0.9831698314322721	0.028744990990756003	0.9831698314322721	16.68558337682698	136.97485110491263	0.8598568871078911	1.532088339444055	11.802958255837304
12.0.8.0	1.15139456358949	1.4641825762608351	1.202724718302225	1.016299254051766	0.03151711768881	1.016299254051766	17.13021757353692	136.32123543133673	0.9168913958316801	1.625626091868278	11.728989322276593
13.0.200000000000001.0	1.174214332971408	1.520514432732592	1.194960629528504	1.049500752748879	0.034455566228342005	1.049500752748879	17.569658315478026	135.67251925598796	0.975102392564387	1.721515342203495	11.65572264493569
13.0.600000000000001.0	1.19569526494075	1.5766608980876051	1.186756441614151	1.082772970781603	0.037564436348481	1.082772970781603	18.00395938418045	135.02865397634127	1.034422001102499	1.8197225622504472	11.583126292342584
14.0.	1.215873282804291	1.632607750640049	1.178171129912759	1.116114565879035	0.040847769232302	1.116114565879035	18.43317395800996	134.38959180733218	1.094784096545428	1.920214586983471	11.511171490737507
