time	A	E	G	R
46.0.400000000000006.0	0.20535230428723303	956.8630696842259	385281.86133559723	208.94960185215564
48.0.	0.194127548648438	904.2420960700089	364088.32450733794	196.53656662406505
49.0.6.0	0.183534097144594	854.6150638367988	344101.2309047447	184.9288657782096
51.0.2.0	0.173534555171573	807.8008729615175	325247.5385221605	174.06717334303883
52.0.800000000000004.0	0.164093944111317	763.630534691025	307459.09715637966	163.89723929432768
54.0.400000000000006.0	0.155179524068768	721.9462383034385	290672.2707277367	154.36939145783538
56.0.	0.146760631794244	682.6005026343798	274827.5939814125	145.4380906285486
57.0.6.0	0.138808532272047	645.4554033595003	259869.45990720863	137.06153336590663
59.0.2.0	0.13129628262999002	610.3818681161189	245745.83466054694	129.2012972977577
60.0.800000000000004.0	0.124198607176176	577.2590324917253	232407.9971521733	121.82202420967937
62.0.400000000000006.0	0.117491782501839	545.973650726703	219810.3008076676	114.89113665937604
64.0.	0.11115353170511601	516.419555690903	207909.95528771923	108.37858430810456
65.0.60000000000001.0	0.105162926892451	488.4971633139687	196666.826212482	102.25661658604753
67.0.2.0	0.09950029920386101	462.11301719053483	186043.25115345462	96.4995786982655
68.0.8.0	0.09414715568717001	437.17936955462744	176003.8703487564	91.0837283295338
70.0.4.0	0.08908610241593401	413.6137952321468	166515.4707661955	85.98707072027831
72.0.	0.084300773307316	391.33883554420515	157546.84228642224	81.18921006394451
73.0.60000000000001.0	0.07977576415067801	370.28166945411556	149068.6449084962	76.67121542131262
75.0.2.0	0.075496571406023	350.37380953281775	141053.28599474815	72.4154995626941
76.0.80000000000001.0	0.07144953537437801	331.5508205664487	133474.80667291494	68.40570933782341
78.0.4.0	0.06762178738046	313.7520588499032	126308.7766029101	64.62662633867963
80.0.	0.064001200642069	296.9204304052437	119532.19639476038	61.064076765267195
81.0.60000000000001.0	0.06057634453107601	281.00216653689813	113123.4070344844	57.704849531135324
83.0.2.0	0.05733644195812201	265.9466152894154	107062.00573711125	54.53662175640489
84.0.80000000000001.0	0.054271329637490005	251.70604751054302	101328.76770161405	51.547890893328734
86.0.4.0	0.051371421010492004	238.2354763445542	95905.57329208474	48.72791281470571
88.0.	0.048627671625350005	225.49248908987227	90775.34021372675	46.06664527034769
89.0.60000000000001.0	0.046031546789188006	213.43709045267173	85921.96029182787	43.554696182607806
91.0.2.0	0.04357499132368901	202.03155631559972	81330.24049732991	41.1832763098829
92.0.80000000000001.0	0.041250401270266	191.24029721924876	76985.84789442373	38.94415585801682
94.0.4.0	0.039050597403595004	181.0297308245438	72875.2582141774	36.82962466453051
96.0.	0.036968800424045004	171.3681626876729	68985.70778391966	34.83245562034721
97.0.60000000000001.0	0.034998607710142	162.2256747363879	65305.14856526951	32.945871028829345
99.0.2.0	0.033133971521818004	153.57402088811523	61822.20607460612	31.16351163306496
100.0.80000000000001.0	0.031369178553943	145.38652929695488	58526.1399786589	29.479408069933466
102.0.4.0	0.029698830747524003	137.63801075884865	55406.80717498386	27.887954533975343
104.0.	0.028117827273222002	130.3046728424306	52454.62718256859	26.38388445586027
105.0.60000000000001.0	0.026621347608365	123.36403934775953	49660.54968184696	24.962248019621722
107.0.2.0	0.025204835634661003	116.79487472663868	47016.02405615396	23.618391360087653
108.0.80000000000001.0	0.023863984689276002	110.57711312687908	44512.97079824325	22.347937297334024
110.0.4.0	0.022594723506953	104.6917917489574	42143.75465604609	21.146767478739907
112.0.	0.021393202995424	99.12098822730077	39901.15940147	20.011005811517965
113.0.60000000000001.0	0.020255783790566	93.84776177014443	37778.36411481589	18.937003079600256
115.0.2.0	0.019179024541595	88.85609781174674	35768.920885414984	17.921322648622684
116.0.80000000000001.0	0.018159670880147	84.1308559488948	33866.73383642415	16.960727171600006
118.0.4.0	0.017194645030309	79.65772095025918	32066.039388438538	16.052166215831043
120.0.	0.016281036019694002	75.42315664239571	30361.387682740482	15.192764738719214
121.0.60000000000001.0	0.015416090454360001	71.41436249018415	28747.62509065756	14.37981234662572
123.0.2.0	0.014597203822958002	67.61923270234628	27219.87774069679	13.610753276667932
124.0.80000000000001.0	0.013821912297798	64.02631770451156	25773.535999899006	12.883177046603278
126.0.4.0	0.013087885002714001	60.62478783318431	24404.23985025559	12.194809722659214
128.0.	0.01239291671958	57.404399113999624	23107.865105082048	11.543505759436679
129.0.6.0	0.01173492100721	54.35546099691369	21880.510413982025	10.927240369875054
131.0.20000000000002.0	0.011111923708068001	51.46880592952108	20718.485008487016	10.34410238676363
132.0.8.0	0.010522056819809	48.73576065759254	19618.29714364704	9.792287580455337
134.0.4.0	0.009963552710147	46.14811914923754	18576.643193798915	9.270092400316152
136.0.	0.009434738654916001	43.698117045862666	17590.39736347088	8.77590811005828
137.0.6.0	0.008934031680456	41.37840754937085	16656.601976913997	8.308215289482966
139.0.20000000000002.0	0.008459933692643001	39.182038660863945	15772.45831209934	7.865578677323537
140.0.8.0	0.008011026875980001	37.10243169151187	14935.317947198924	7.446642331851803
142.0.4.0	0.007585969347202	35.13336097127013	14142.67458959371	7.050125087710333
144.0.	0.007183491048773001	33.26893468579164	13392.15635933363	6.67481628907598
145.0.6.0	0.006802389868588001	31.503576776220495	12681.518500726314	6.3195717807615335
147.0.20000000000002.0	0.006441527972975001	29.832009840596296	12008.636497361214	5.983310140235975
148.0.8.0	0.00609982834092	28.249238979364726	11371.499567395362	5.6650091348017195
150.0.4.0	0.005776271488110001	26.750536531000588	10768.204517342812	5.363702389319963
152.0.	0.0054698923701100004	25.331427647026942	10196.949933931699	5.078476250933105
153.0.60000000000002.0	0.005179777454603	23.987676658772333	9656.030694825939	4.808466838204424
155.0.20000000000002.0	0.0049050619532150005	22.71527419106637	9143.832780161361	4.552857262987916
156.0.8.0	0.004644927204007001	21.51042498074465	8658.828367922739	4.310875014162489
158.0.4.0	0.004398598196254	20.36953636033333	8199.57119719586	4.08178949312108
160.0.	0.004165341229576	19.28920736966435	7764.692184288529	3.86490969161096
