time	C	M	X	Y	Z
24.0.	0.21966126685213402	0.356748239275668	0.153048341008501	3.035343337528862	0.42228351881534304
25.0.	0.22702806248829302	0.432860210115706	0.18596744153558	3.070590566933943	0.432240504311166
26.0.	0.21696406308436303	0.496699142025303	0.23022702698862202	3.104445698752702	0.441823528975184
27.0.	0.18916050533699102	0.5385465266046391	0.281327940188204	3.139605566187602	0.44834586500806606
28.0.	0.14651412732190802	0.5482502966473181	0.333106139977831	3.1783848680235742	0.44938870448678003
29.0.	0.096550966861492	0.515058723992865	0.37764163737862605	3.222179910775767	0.44336648880675306
30.0.	0.053381701393039	0.43176122406840506	0.40566183625476204	3.270674992154481	0.43037883879411704
31.0.	0.032313295726492004	0.31198567060632504	0.408979031812836	3.3211012090730883	0.41304832453301804
32.0.	0.029304961224746004	0.19378835006106201	0.38551796301833	3.369822574202206	0.395021538650822
33.0.	0.033838241465734005	0.10880407274222301	0.34072022182417	3.41500504873313	0.37826933838848104
34.0.	0.044101694890587004	0.070546071122038	0.284891625047123	3.455886698052589	0.363742149823619
35.0.	0.061324035756997006	0.06968190139640901	0.22900266349297702	3.491728046106552	0.35239885900598705
36.0.	0.08630064142681501	0.09183782416798801	0.180947958208448	3.52165150259126	0.34537203991978704
37.0.	0.117639064723457	0.131358458554716	0.14585516265085502	3.544900189765497	0.34371043512561605
38.0.	0.15136076095390402	0.18607758140826103	0.126839375131825	3.56127128949149	0.34793041061092805
39.0.	0.18203583680555102	0.252595048542598	0.12477549375010101	3.57143680228286	0.357662092362925
40.0.	0.20437568961876001	0.325292451395837	0.13859694916825102	3.576967887552731	0.37158410457517804
41.0.	0.21426570731289601	0.39688734358368305	0.166182148039138	3.580108254490808	0.38761450685699905
42.0.	0.209197264498194	0.45916426232484303	0.204734592202986	3.583444317724219	0.40321814613656204
43.0.	0.18859081253315002	0.5034748778452031	0.25048397724147503	3.589559146362322	0.415745629164578
44.0.	0.15434345848122402	0.520948451221928	0.29828499597482705	3.600666449196285	0.422808144802693
45.0.	0.111709130423287	0.50259284899149	0.341471679349164	3.618173474126733	0.42274111264367703
46.0.	0.070398218285268	0.44137073831903506	0.37211080095340004	3.642104288619961	0.41522984835855903
47.0.	0.043151634237944006	0.341769174996349	0.38238258869100505	3.670485980203498	0.402000277928357
48.0.	0.034304203583365	0.23004310027103303	0.36813804709129805	3.699826723967944	0.38642729760194006
49.0.	0.036456176544438	0.138941768706485	0.33192316578832404	3.7273790253812242	0.37129016724289504
50.0.	0.04543455413666601	0.088531832966004	0.282075093589691	3.751782457340484	0.358070182206009
51.0.	0.06144788979002701	0.07820237694105	0.229299469921061	3.77206969608159	0.34790402006464005
52.0.	0.08503430659539901	0.095135968845938	0.182480595819126	3.787251166442695	0.341993535195424
53.0.	0.11485827169878302	0.13119492066646002	0.14749834665994	3.796497812089485	0.341421164069703
54.0.	0.147185539575572	0.182831483361257	0.127809587368857	3.799553376962118	0.34672119180777805
55.0.	0.176876054446633	0.24634349464499103	0.12450315054641001	3.79704763332989	0.357532762234099
56.0.	0.19888117135132002	0.31626697219445005	0.136670133358573	3.790516634287369	0.372538278178621
57.0.	0.20925292604467802	0.38563239433620905	0.162293078048514	3.782169400670153	0.38966085225116803
58.0.	0.20556532635833202	0.44659050497574504	0.19869346415381903	3.77455074892114	0.40637913371371404
59.0.	0.187194260778617	0.490887523534957	0.24230544896431203	3.770194023511372	0.42006786046875105
60.0.	0.155782866392344	0.510111783493455	0.28829822818079803	3.771265254946274	0.42836268439602304
61.0.	0.11597651940157501	0.49587845589350504	0.33042448115501905	3.7791536471250162	0.42959559371391604
62.0.	0.076284852497237	0.44156001324841804	0.36124540459270005	3.793954619816117	0.423358289591092
63.0.	0.048115123852178004	0.34989488975167105	0.37328575407464903	3.813926850481459	0.41111623414483406
64.0.	0.037165569836488006	0.24279518078876802	0.362048767765048	3.835771719103146	0.39601118596309
65.0.	0.038111821226501	0.151431969717226	0.32910544000581304	3.856550941032868	0.380973314473775
66.0.	0.046449778995621006	0.09737083859550401	0.281873577471464	3.874649375248228	0.367710642100787
67.0.	0.061900603036683	0.08317199685082201	0.230646446486887	3.88898326016876	0.35745666734068104
68.0.	0.08483964454380001	0.09763245991150701	0.18449852386517102	3.8985152129468883	0.351444951908914
69.0.	0.11394706514258501	0.132037318698244	0.14959732289539002	3.902390667780215	0.350768967939636
70.0.	0.145606046648067	0.182250038743063	0.12957426021708401	3.9003327303817983	0.35597023453847704
