time	Active_R2	Active_Rec	Active_Rec_endo	Inactive_Rec	S2_c	S2_n	S4_c	S4_n	S7	Smad7mRNA	Smad7mRNA1	TGFb	TGFb_In	TGFb_R1_endo	TGFb_R1_surface	TGFb_R2_endo	TGFb_R2_surface	pS2_c	pS2_n	pS2_pS2_S4_c	pS2_pS2_S4_n	pS2_pS2_pS2_c	pS2_pS2_pS2_n
63.0.	2.3191595546125932e-51	9.930138386472177e-51	-5.002050076443375e-50	5.402770876097675e-50	638.6434569983305	237.39868237466953	460.47553390939777	169.41748794160216	12.04336522068238	0.05642005114558601	0.36708251187032304	6.002349479294532e-51	-1.229379818398626e-48	18.76309651441353	16.10971602608647	28.05808131865988	6.941118732440118	-9.712414241392003e-30	-3.408969872144212e-30	1.2199443528064491e-55	2.3071469000955774e-56	-1.853059651387203e-85	-8.603399909257506e-84
66.0.	2.258935285820853e-51	9.672271124973655e-51	-1.7977687894356491e-50	5.262470945109681e-50	638.6434569983305	237.39868237466953	460.47553390939777	169.41748794160216	12.04336522068238	0.05642005114558601	0.36708251187032304	5.846479604923867e-51	-1.7462338138642328e-49	18.76309651441353	16.10971602608647	28.05808131865988	6.941118732440118	-9.112280140034683e-30	-3.1983282108717185e-30	1.073846297605554e-55	2.0308468516187383e-56	-1.531183725480161e-85	-8.079468042632341e-84
69.0.	2.200274929500889e-51	9.421100197601083e-51	-5.408798133062032e-51	5.125814342903648e-50	638.6434569983305	237.39868237466953	460.47553390939777	169.41748794160216	12.04336522068238	0.05642005114558601	0.36708251187032304	5.694657381863762e-51	-2.508790295747395e-50	18.76309651441353	16.10971602608647	28.05808131865988	6.941118732440118	-8.54922857353024e-30	-3.0007021851512412e-30	9.452343247684277e-56	1.787617965718316e-56	-1.2650269775237031e-85	-7.57161299375207e-84
72.0.	2.143137873748756e-51	9.176451712986993e-51	-8.822700877678251e-51	4.992706458993884e-50	638.6434569983305	237.39868237466953	460.47553390939777	169.41748794160216	12.04336522068238	0.05642005114558601	0.36708251187032304	5.546777700122965e-51	-4.047676293137261e-51	18.76309651441353	16.10971602608647	28.05808131865988	6.941118732440118	-8.020968196680978e-30	-2.8152875534675974e-30	8.320349839623408e-56	1.57353583225487e-56	-1.045029020096714e-85	-7.0828170623941235e-84
75.0.	2.0874845612762697e-51	8.93815629539996e-51	-5.80604127272519e-51	4.863055139753394e-50	638.6434569983305	237.39868237466953	460.47553390939777	169.41748794160216	12.04336522068238	0.05642005114558601	0.36708251187032304	5.402738179221591e-51	-1.025053657739351e-51	18.76309651441353	16.10971602608647	28.05808131865988	6.941118732440118	-7.525349247458643e-30	-2.6413297687221474e-30	7.323841670851846e-56	1.385077816772964e-56	-8.632182102843233e-86	-6.615104769355619e-84
78.0.	2.033276462024594e-51	8.706048967481905e-51	-5.969715379590042e-51	4.736770624613819e-50	638.6434569983305	237.39868237466953	460.47553390939777	169.41748794160216	12.04336522068238	0.05642005114558601	0.36708251187032304	5.262439097310775e-51	-4.3701533806538884e-52	18.76309651441353	16.10971602608647	28.05808131865988	6.941118732440118	-7.06035479852168e-30	-2.478120907594204e-30	6.446753283787938e-56	1.219203217326041e-56	-7.130011978486251e-86	-6.169740677931349e-84
81.0.	1.980476046488999e-51	8.479969036030497e-51	-2.8856561866785634e-51	4.613765483922143e-50	638.6434569983305	237.39868237466953	460.47553390939777	169.41748794160216	12.04336522068238	0.05642005114558601	0.36708251187032304	5.125783322132963e-51	-4.7006498400654735e-53	18.76309651441353	16.10971602608647	28.05808131865988	6.941118732440118	-6.624092549304911e-30	-2.324996789638473e-30	5.674641241244259e-56	1.07318263482862e-56	-5.8889689648811845e-86	-5.747390908581826e-84
84.0.	1.9290467597363332e-51	8.259759980747597e-51	-3.1154822125143135e-51	4.493954558411154e-50	638.6434569983305	237.39868237466953	460.47553390939777	169.41748794160216	12.04336522068238	0.05642005114558601	0.36708251187032304	4.992676243775035e-51	-2.43324354355336e-52	18.76309651441353	16.10971602608647	28.05808131865988	6.941118732440118	-6.2147871252793566e-30	-2.1813342743946473e-30	4.995057744340188e-56	9.446600799729386e-57	-4.86381656105802e-86	-5.348255644259724e-84
87.0.	1.8789529960972012e-51	8.045269345876685e-51	-6.465728376134672e-51	4.377254900241739e-50	638.6434569983305	237.39868237466953	460.47553390939777	169.41748794160216	12.04336522068238	0.05642005114558601	0.36708251187032304	4.863025709167692e-51	-1.464256760001104e-52	18.76309651441353	16.10971602608647	28.05808131865988	6.941118732440118	-5.8307728530439896e-30	-2.0465487255097255e-30	4.396811764103143e-56	8.315207663790668e-57	-4.0170097477924275e-86	-4.97217634546396e-84
90.0.	1.8301600745153534e-51	7.836348634654224e-51	-6.564498233016142e-51	4.263585715576194e-50	638.6434569983305	237.39868237466953	460.47553390939777	169.41748794160216	12.04336522068238	0.05642005114558601	0.36708251187032304	4.736741958285798e-51	-2.313379579200877e-52	18.76309651441353	16.10971602608647	28.05808131865988	6.941118732440118	-5.4704869818475935e-30	-1.920091631553268e-30	3.87025852719349e-56	7.319392321254321e-57	-3.317597479688219e-86	-4.618722973995989e-84
