time	I1	I2	S
204.0.	3993.849420684888	351.92777077996595	30.421216082638853
210.0.	3972.8495102581373	350.0773125234052	30.2612593743315
216.0.	3951.9600186534003	348.23658408637056	30.102143756322338
222.0.	3931.1803652946796	346.4055343122813	29.943864789976352
228.0.	3910.50997265112	344.58411231156475	29.786418069320327
234.0.	3889.948266225365	342.77226746139416	29.62979921548223
240.0.	3869.4946745394564	340.9699494047691	29.474003874274477
246.0.	3849.1486291197325	339.1771080493207	29.319027715104642
252.0.	3828.9095644813638	337.393693566006	29.164866430446402
258.0.	3808.776918112773	335.6196563877601	29.011515735547484
264.0.	3788.750130460062	333.8549472081338	28.858971368237714
270.0.	3768.8286449114844	332.0995169799293	28.707229088779894
276.0.	3749.0119077819845	330.3533169138401	28.556284679739015
282.0.	3729.299368297815	328.6162984770962	28.406133945859544
288.0.	3709.690478581229	326.8884133921156	28.25677271394654
294.0.	3690.1846936352567	325.16961363516253	28.10819683274869
300.0.	3670.7814713285543	323.45985143501315	27.960402172842514
306.0.	3651.4802723803396	321.75907927162757	27.81338462651743
312.0.	3632.280560345401	320.06724987482926	27.667140107661496
318.0.	3613.181801599191	318.3843162229913	27.521664551647838
324.0.	3594.1834653229944	316.71023154172923	27.376953915221655
330.0.	3575.28502348917	315.0449493026017	27.233004176387826
336.0.	3556.4859508464824	313.3884232218162	27.08981133429914
342.0.	3537.7857249054996	311.7406072589438	26.947371409145095
348.0.	3519.183825924071	310.10145561563877	26.805680442041268
354.0.	3500.6797368928824	308.4709227343658	26.664734494919323
360.0.	3482.2729435210886	306.8489632971345	26.5245296504175
366.0.	3463.9629342220173	305.2355322242388	26.385062011771808
372.0.	3445.7492000989496	303.63058467300465	26.246327702707685
378.0.	3427.6312349309796	302.03407603654387	26.108322867332223
384.0.	3409.6085351589413	300.4459619425138	25.97104367002708
390.0.	3391.6805998714135	298.8661982518844	25.8344862953418
396.0.	3373.8469307908003	297.29474105771135	25.69864694788786
