time	W_star	Wt	Y	Z
2.0.45.0	0.38008425682010505	1	1.561966481879479	0.24831182505995902
2.0.5.0	0.348166111401697	1	1.616743376873799	0.253172635024289
2.0.5500000000000003.0	0.31822927582881905	1	1.668811337910987	0.258257154051142
2.0.6.0	0.290372021154362	1	1.718015322233751	0.26360048719774204
2.0.6500000000000004.0	0.264708292845152	1	1.764162107066682	0.26925426623997
2.0.7.0	0.24137095456465502	1	1.807007507127699	0.275290461564978
2.0.75.0	0.22051564055114603	1	1.8462343777989552	0.281811058315732
2.0.8000000000000003.0	0.20232672732947202	1	1.881415270869619	0.288966305935541
2.0.85.0	0.187028561649163	1	1.911945187897778	0.29699001866942404
2.0.9000000000000004.0	0.17490959752034502	1	1.936909228135312	0.306273983865378
2.0.95.0	0.166379196514636	1	1.954788516181015	0.317545502952061
3.0.	0.162114200864024	1	1.962684070431207	0.33237298944654103
3.0.0500000000000003.0	0.163502965713894	1	1.9536383844304632	0.35506273111923004
3.0.1.0	0.17455578826307902	1	1.9012692183019562	0.404667997683881
3.0.1500000000000004.0	0.22888274571673803	1	1.238416285036014	0.9836776492357351
3.0.2.0	0.433316845538385	1	0.6675642950820141	1.121415964197294
3.0.25.0	0.5781070075765391	1	0.7347760961945881	0.7686447982298931
3.0.3000000000000003.0	0.6435021772061631	1	0.9426376718352071	0.444791128291083
3.0.35.0	0.6383187759308301	1	1.1200954173068811	0.27949244351587005
3.0.4000000000000004.0	0.6051892101164621	1	1.218335048108933	0.23915015251390803
3.0.45.0	0.566065327956178	1	1.292594149537327	0.23257235886090002
3.0.5.0	0.526743993662804	1	1.359507404682891	0.234134177776798
3.0.5500000000000003.0	0.48865867227145704	1	1.422921619612141	0.23778289980152703
3.0.6.0	0.45219564152941805	1	1.483689198333163	0.24206821925281702
3.0.6500000000000004.0	0.417492573199638	1	1.5419486373755271	0.24664098284743202
3.0.7.0	0.38463258491198604	1	1.597653666816882	0.25142749004070103
3.0.75.0	0.35369349371158504	1	1.650696653289108	0.256429662836732
3.0.8000000000000003.0	0.324761704390076	1	1.700934489931246	0.261676340579505
3.0.85.0	0.29793747859235403	1	1.748188536492766	0.267213177543758
3.0.9000000000000004.0	0.273338500345428	1	1.7922346141474832	0.27310415471286703
3.0.95.0	0.251103943674311	1	1.832784688379218	0.279439094113191
4.0.	0.23140054183437303	1	1.869456053254225	0.286348276321684
4.0.05.0	0.21443314372684003	1	1.9017172022822662	0.29403017051254604
4.0.1000000000000005.0	0.20046533259954802	1	1.9287849242683062	0.30280789025181903
4.0.15.0	0.18986385285349502	1	1.949406255841906	0.313257497893252
4.0.2.0	0.18320467018313302	1	1.961321211884159	0.32654847404693604
4.0.25.0	0.181566671185137	1	1.959603498862225	0.345583245726146
4.0.3.0	0.18760293968712702	1	1.9290829657737931	0.38070028756621305
4.0.3500000000000005.0	0.21337539862568203	1	1.7482464040819572	0.5316367933174401
4.0.4.0	0.381837428282819	1	0.6775896471304751	1.256431470598729
4.0.45.0	0.552743371801734	1	0.695942577115366	0.8886347412944121
4.0.5.0	0.6470276586200651	1	0.8581520830783901	0.551692697954707
4.0.55.0	0.662196205747117	1	1.070423603172651	0.31611250095422405
4.0.6000000000000005.0	0.6348127318760061	1	1.188023620912095	0.24691846958621302
4.0.65.0	0.596556921390754	1	1.267548335872689	0.23334346048829702
4.0.7.0	0.556900200016148	1	1.3363104605201	0.23319362197927102
4.0.75.0	0.518176718117579	1	1.4007928562987462	0.23638225286938802
4.0.800000000000001.0	0.48098486143763003	1	1.46246355759658	0.240509751939728
4.0.8500000000000005.0	0.44550938219093306	1	1.5216111124578702	0.24499637055282802
4.0.9.0	0.41183988514891	1	1.5782306107593391	0.249709163831023
4.0.95.0	0.380049991901084	1	1.632230700491184	0.254632673806032
