time	CC	Cn	Mp	Mt	P0	P1	P2	T0	T1	T2
7.0.92.0	0.137397794183571	0.73759955291004	0.7380884233628261	0.7380884233628261	0.18468441213810602	0.159073074878051	0.084332176716752	0.18468441213810602	0.159073074878051	0.084332176716752
8.0.64.0	0.131116895495515	0.687817251075411	0.899922027996898	0.899922027996898	0.231212482927654	0.19975951738540101	0.108040674559189	0.231212482927654	0.19975951738540101	0.108040674559189
9.0.36.0	0.127515373703357	0.64302150270127	1.076008382784754	1.076008382784754	0.28460411199998004	0.24689913580414602	0.138567961507641	0.28460411199998004	0.24689913580414602	0.138567961507641
10.0.08.0	0.127806034164747	0.603817114380514	1.263027175282609	1.263027175282609	0.34466318623297304	0.300491567091466	0.17741354824648	0.34466318623297304	0.300491567091466	0.17741354824648
10.0.799999999999999.0	0.13388620219082	0.5713429533020581	1.457479922290281	1.457479922290281	0.41105725852663605	0.360439758256588	0.22616782240269	0.41105725852663605	0.360439758256588	0.22616782240269
11.0.52.0	0.14857098129641	0.54752033327616	1.655796811324592	1.655796811324592	0.483317590829461	0.42653589718178403	0.286219641627731	0.483317590829461	0.42653589718178403	0.286219641627731
12.0.24.0	0.17571694229602203	0.535343510692722	1.854207870053735	1.854207870053735	0.5607753059268791	0.49838176498002507	0.35825732965709	0.5607753059268791	0.49838176498002507	0.35825732965709
12.0.959999999999999.0	0.22001273957383402	0.539119103822838	2.048251265080841	2.048251265080841	0.642382793341949	0.575228726980732	0.441681550400757	0.64238279334195	0.575228726980732	0.441681550400757
13.0.68.0	0.286214348278975	0.564479020033524	2.231611286484263	2.231611286484263	0.7263067656021791	0.655710874056009	0.5342102412734241	0.7263067656021791	0.655710874056009	0.5342102412734241
14.0.399999999999999.0	0.377814550899701	0.617963664799137	2.393675373870198	2.393675373870198	0.809048593869753	0.737370885421696	0.631896599694867	0.809048593869754	0.737370885421696	0.631896599694867
15.0.12.0	0.495409690600268	0.706057099893819	2.515216831154971	2.515216831154971	0.883705559418933	0.815727402224508	0.7293895086459941	0.883705559418934	0.815727402224508	0.7293895086459941
15.0.84.0	0.6349718555932921	0.833682302860956	2.564253965034572	2.564253965034572	0.9374258124570841	0.8826143836744761	0.8198944219719081	0.9374258124570841	0.8826143836744761	0.8198944219719091
16.0.56.0	0.7858980865660441	1.002175401225616	2.502558075188462	2.502558075188462	0.9508397513197371	0.9244482399460711	0.8945397363695761	0.9508397513197371	0.9244482399460711	0.8945397363695761
17.0.28.0	0.9291352459513281	1.2067420894870011	2.312436092949354	2.312436092949354	0.9060067569997091	0.9236543302664391	0.941915352632091	0.9060067569997091	0.9236543302664391	0.941915352632091
18.0.	1.037621368506278	1.433884077063258	2.016064913079055	2.016064913079055	0.80138641558748	0.866802851186476	0.9492648076969691	0.80138641558748	0.866802851186476	0.9492648076969691
18.0.72.0	1.082167499092006	1.660408869290084	1.6563111337226282	1.6563111337226282	0.655964448336503	0.7550353718967301	0.905319543853727	0.655964448336503	0.7550353718967301	0.905319543853728
19.0.439999999999998.0	1.042531864288677	1.856098310179541	1.270799794619601	1.270799794619601	0.49660758488289203	0.606032114967822	0.803062375249969	0.49660758488289203	0.606032114967822	0.803062375249969
20.0.16.0	0.919181420756584	1.990770493590635	0.8871352426614261	0.8871352426614261	0.34469191215271305	0.444627536010929	0.641850650219278	0.34469191215271305	0.444627536010929	0.641850650219277
20.0.88.0	0.7406148140416661	2.044297380565158	0.5312867091773911	0.5312867091773911	0.21268554795433	0.291322184813513	0.43216506067158306	0.21268554795433	0.291322184813513	0.43216506067158306
21.0.599999999999998.0	0.561542191329581	2.016508840837334	0.24200957587551902	0.24200957587551902	0.10858223888255	0.16023547743014702	0.216000822662887	0.10858223888255	0.16023547743014702	0.216000822662887
22.0.32.0	0.434945390397716	1.930504727395182	0.07702508989963801	0.07702508989963801	0.041969642153547	0.068035857212385	0.082274983744653	0.041969642153547	0.068035857212385	0.082274983744653
23.0.04.0	0.36318305432838904	1.817854638908584	0.033289351437908	0.033289351437908	0.015042728853633001	0.024932641022388003	0.038755942190897	0.015042728853633001	0.024932641022388003	0.038755942190897
23.0.759999999999998.0	0.320734996181669	1.699018910954511	0.032706198904888004	0.032706198904888004	0.009352941017534	0.012708052474220001	0.026853461726122	0.009352941017534	0.012708052474220001	0.026853461726122
24.0.48.0	0.291455915360026	1.582894539458624	0.041775977055417	0.041775977055417	0.010114264154676	0.011320517836458	0.023448287912665	0.010114264154676	0.011320517836457001	0.023448287912665
25.0.2.0	0.26830600706824803	1.472729921650247	0.055593534014160007	0.055593534014160007	0.012961166963478	0.013148849548489001	0.02245336059005	0.012961166963478	0.013148849548489001	0.02245336059005
25.0.919999999999998.0	0.24839625617147	1.369467383273351	0.07455805033844701	0.07455805033844701	0.017198117579293	0.016485309089688	0.022462776892118	0.017198117579293	0.016485309089688	0.022462776892118
26.0.64.0	0.230534514352588	1.273158372917117	0.10016857478598701	0.10016857478598701	0.023022330844269003	0.021243732289147003	0.023257663592690003	0.023022330844269003	0.021243732289147003	0.023257663592690003
27.0.36.0	0.21420748218867303	1.183529107213136	0.134481163910973	0.134481163910973	0.030908923076046	0.027772371141629	0.024938389956335003	0.030908923076046	0.027772371141629	0.024938389956335003
28.0.08.0	0.19917665871444	1.100202876546666	0.179998473146145	0.179998473146145	0.041499716495469005	0.036606926052278006	0.02773953532487	0.041499716495469005	0.036606926052278006	0.02773953532487
28.0.799999999999997.0	0.18532308889120103	1.022787744168488	0.23949557362797802	0.23949557362797802	0.055570576889494	0.048416287833200004	0.031999865085946	0.055570576889494	0.048416287833200004	0.031999865085946
29.0.52.0	0.172592969639549	0.9509133555570111	0.315678096206921	0.315678096206921	0.073981546967589	0.06396102158498601	0.038164417868103005	0.073981546967589	0.06396102158498601	0.038164417868103005
30.0.24.0	0.16098699188485402	0.8842508536958371	0.41070137542822105	0.41070137542822105	0.09759156319326501	0.084025791825152	0.046791223988628006	0.09759156319326501	0.084025791825152	0.046791223988628006
30.0.959999999999997.0	0.150573319436332	0.822530917753102	0.5256959479002961	0.5256959479002961	0.127153467537744	0.109331420341713	0.05855956906431901	0.127153467537744	0.109331420341713	0.05855956906431901
31.0.68.0	0.14151983880149602	0.76556842107119	0.660486943888969	0.660486943888969	0.163224023875426	0.140454556866069	0.074285371453088	0.163224023875426	0.140454556866069	0.074285371453088
32.0.4.0	0.134149406356184	0.713301056471844	0.8136101973885671	0.8136101973885671	0.20611912325192303	0.177784334683419	0.09494893226166601	0.20611912325192303	0.177784334683419	0.09494893226166601
33.0.12.0	0.129027606306988	0.6658509708975391	0.98258005459148	0.98258005459148	0.255920151494658	0.221526144548807	0.12173001558655301	0.255920151494658	0.221526144548807	0.12173001558655201
33.0.839999999999996.0	0.12709644011314	0.6236219072144501	1.164266497313718	1.164266497313718	0.312513279152558	0.27173803952772	0.15602584097844402	0.312513279152558	0.27173803952772	0.15602584097844402
34.0.56.0	0.12986429911258401	0.587447744239006	1.355234996508866	1.355234996508866	0.375633271504383	0.328370521458549	0.19940168410674802	0.375633271504383	0.328370521458549	0.19940168410674802
35.0.28.0	0.13963945961937801	0.5588064772751761	1.551949719612749	1.551949719612749	0.44488485987220805	0.391278066210127	0.253400562725328	0.44488485987220805	0.391278066210127	0.253400562725328
36.0.	0.159732557323814	0.540095441293443	1.750777048523236	1.750777048523236	0.5197163790354701	0.46017576791382203	0.31914878319462603	0.5197163790354701	0.46017576791382203	0.31914878319462603
36.0.72.0	0.19445294164766103	0.5349143323708211	1.947706832187412	1.947706832187412	0.5993099272639031	0.534522912057903	0.396788343664345	0.5993099272639031	0.534522912057903	0.396788343664345
37.0.44.0	0.24865382010022202	0.548222292317534	2.137595396086804	2.137595396086804	0.682313997564835	0.613317687819946	0.48494208446645004	0.682313997564835	0.613317687819946	0.48494208446645104
38.0.16.0	0.32667908424649905	0.586168397768558	2.3124869389082923	2.3124869389082923	0.7662520036500831	0.6947518380705571	0.580506124379848	0.7662520036500831	0.6947518380705571	0.580506124379848
38.0.879999999999995.0	0.430847477600074	0.6554192215165301	2.458297183275664	2.458297183275664	0.846281573259238	0.775558566641358	0.6788351001616161	0.846281573259239	0.775558566641358	0.6788351001616161
39.0.6.0	0.559769830218098	0.761930698300031	2.549943278348208	2.549943278348208	0.912975296191402	0.8497460657487531	0.7739322081781571	0.912975296191403	0.8497460657487531	0.7739322081781571
40.0.32.0	0.706539878646808	0.909197181128474	2.550379370417236	2.550379370417236	0.9500805022499411	0.9066946036148481	0.8581129606775371	0.9500805022499411	0.9066946036148481	0.8581129606775371
41.0.04.0	0.856691199398753	1.09596757011384	2.427107735180959	2.427107735180959	0.937223728274421	0.9303595894820611	0.9212796270791781	0.937223728274421	0.9303595894820611	0.9212796270791781
41.0.76.0	0.9870140713586361	1.3135649482076661	2.181435336225012	2.181435336225012	0.862623533166012	0.9037589808369421	0.9510994023004321	0.862623533166012	0.9037589808369421	0.9510994023004311
42.0.48.0	1.068316049006817	1.543802721200283	1.849425841551378	1.849425841551378	0.735281019030224	0.819417969409526	0.9351381485394911	0.735281019030224	0.819417969409526	0.9351381485394911
43.0.199999999999996.0	1.074130921629961	1.759525247010379	1.473426524029367	1.473426524029367	0.579999658716968	0.68692485622273	0.8638686316316111	0.579999658716968	0.68692485622273	0.8638686316316111
