time	II_f	II_l	mIIa_f	mIIa_l	V_f	V_l	Va_f	Va_l	VII_f	VII_l	VIIa_f	VIIa_l	VIII_f	VIII_l	VIIIa_f	VIIIa_l	IX_f	IX_l	IXa_f	IXa_l	X_f	X_l	Xa_f	Xa_l	APC_f	APC_l	PS_f	PS_l	VIIIai_f	VIIIai_l	Vai_f	Vai_l	PC_f	PC_l	TF_l	TF_VIIa_l	TF_VII_l	TF_VIIa_IX_l	TF_VIIa_IXa_l	TF_VIIa_X_l	TF_VIIa_Xa_l	TF_VII_Xa_l	IXa_VIIIa_l	Xa_Va_l	IXa_VIIIa_X_l	V_Xa_l	VIII_Xa_l	IIa_f	V_IIa_l	VIII_IIa_l	Xa_Va_II_l	Xa_Va_mIIa_l	XI_f	XI_IIa_l	XIa_l	APC_PS_l	APC_PS_VIIIa_l	TFPI_f	AT_f	IIa_AT_f	TFPI_Xa_l	TFPI_Xa_TF_VIIa_l	APC_PS_Va_l	IXa_AT_f	Xa_AT_f	VII_Xa_l	V_mIIa_l	VIII_mIIa_l	TM_l	IIa_TM_l	IIa_TM_PC_l	mIIa_AT_l	XIa_IX_l	LIPID	nnamed: 7
0.04	414.10900000000004	985.8910000000001	5.49708e-34	8.518219999999999e-31	0.00840291	19.9916	3.04415e-19	1.0099500000000002e-15	0.0190799	9.98091	6.57283e-05	0.0999249	0.000202951	0.699797	1.2189799999999999e-20	1.8796500000000003e-17	0.0300005	89.97	1.61255e-13	5.987190000000001e-10	12.6712	157.329	2.6900799999999998e-12	2.59479e-10	1.9301299999999996e-40	4.5144499999999995e-38	0.173775	299.82599999999996	1.3781799999999995e-66	4.3864299999999994e-63	3.5966499999999997e-65	2.3562299999999995e-61	1.9340400000000002	58.066	0.00498129	7.69536e-06	9.34875e-06	1.34729e-07	0	1.5000999999999998e-06	2.85832e-08	5.66053e-19	4.02124e-30	7.13658e-28	2.0153199999999995e-31	3.8192e-12	1.32811e-13	1.9175899999999997e-31	9.32286e-34	3.20834e-35	1.61062e-28	4.8855300000000006e-30	30	1.3855599999999998e-33	4.57733e-36	2.783e-39	7.716669999999998e-60	2.5	3400	1.10089e-34	7.25289e-16	2.80531e-25	4.14529e-58	2.4036900000000004e-18	1.41794e-16	6.92724e-13	4.13125e-33	1.4243299999999998e-34	1	4.67389e-34	6.1446e-36	3.0298e-38	8.92407e-39	686894	
0.044000000000000004	371.909	1028.09	2.4265999999999996e-33	3.53767e-30	0.00845601	19.9915	5.849359999999999e-19	1.87074e-15	0.019212	9.980780000000001	6.61617e-05	0.0999235	0.000204162	0.699796	2.34786e-20	3.47951e-17	0.0301839	89.9698	2.21207e-13	8.003239999999999e-10	10.689	159.311	4.2148e-12	3.88109e-10	1.1675999999999998e-39	2.56085e-37	0.17491099999999998	299.825	2.1371399999999996e-65	6.325189999999999e-62	5.5641599999999996e-64	3.399669999999999e-60	1.9472900000000002	58.0527	0.0049793	8.367739999999999e-06	1.03427e-05	1.62196e-07	0	1.7856799999999998e-06	3.8302300000000004e-08	1.0142399999999999e-18	1.09845e-29	2.14597e-27	6.1626899999999995e-31	6.36281e-12	2.21102e-13	7.95512e-31	4.30472e-33	1.4786199999999998e-34	5.480259999999999e-28	1.81839e-29	30	6.3908e-33	2.35145e-35	1.7558999999999998e-38	1.00156e-58	2.5	3400	5.092709999999999e-34	1.27095e-15	5.9593000000000005e-25	5.38349e-57	3.6712e-18	2.48472e-16	1.1186200000000001e-12	1.9091099999999997e-32	6.5709699999999996e-34	1	2.1587399999999997e-33	3.15299e-35	1.49276e-37	5.10011e-38	682477	
0.048	334.784	1065.22	9.217239999999999e-33	1.2738099999999998e-29	0.00850715	19.9915	1.05362e-18	3.2651400000000004e-15	0.019331	9.98066	6.65658e-05	0.0999221	0.00020537799999999998	0.699795	4.2376699999999997e-20	6.0692e-17	0.0303649	89.9696	2.94044e-13	1.04072e-09	9.20734	160.793	6.29629e-12	5.57053e-10	5.914769999999999e-39	1.2258399999999999e-36	0.175978	299.824	2.5450799999999997e-64	7.061709999999999e-61	6.611749999999999e-63	3.7977899999999994e-59	1.95902	58.041000000000004	0.00497732	9.0272e-06	1.1336199999999998e-05	1.9178200000000002e-07	0	2.0799400000000005e-06	4.972e-08	1.71235e-18	2.72571e-29	5.7872199999999996e-27	1.69029e-30	1.0079000000000002e-11	3.49979e-13	2.8612299999999996e-30	1.70769e-32	5.8545e-34	1.64664e-27	5.92179e-29	30	2.53249e-32	1.02854e-34	9.266149999999999e-38	1.01542e-57	2.5	3400	2.0241099999999997e-33	2.10371e-15	1.1751899999999999e-24	5.46131e-56	5.38056e-18	4.11276e-16	1.7181700000000001e-12	7.579719999999999e-32	2.6044299999999997e-33	1	8.566389999999999e-33	1.3775799999999996e-34	6.2713999999999996e-37	2.4596399999999995e-37	678617	
0.052000000000000005	302.07599999999996	1097.92	3.0899799999999993e-32	4.07342e-29	0.00855348	19.9914	1.79861e-18	5.42347e-15	0.019436900000000003	9.98055	6.69288e-05	0.0999207	0.00020649200000000001	0.6997939999999999	7.246510000000001e-20	1.0074700000000001e-16	0.030529900000000002	89.9695	3.80846e-13	1.3227400000000001e-09	8.0981	161.90200000000002	9.0423e-12	7.72683e-10	2.58444e-38	5.09366e-36	0.176939	299.823	2.431699999999999e-63	6.368349999999999e-60	6.3043099999999994e-62	3.42695e-58	1.9694099999999999	58.0306	0.00497533	9.67622e-06	1.23293e-05	2.2342300000000003e-07	0	2.38042e-06	6.28739e-08	2.7516900000000004e-18	6.24395e-29	1.4258400000000002e-26	4.2359399999999995e-30	1.53101e-11	5.31224e-13	9.13937e-30	5.97034e-32	2.04287e-33	4.4626099999999996e-27	1.726e-28	30	8.844219999999999e-32	3.93483e-34	4.212989999999999e-37	8.377950000000001e-57	2.5	3400	7.090109999999999e-33	3.3211999999999996e-15	2.17885e-24	4.50872e-55	7.621239999999998e-18	6.4929600000000005e-16	2.5317400000000003e-12	2.6521899999999997e-31	9.09742e-33	1	2.99587e-32	5.26432e-34	2.3076e-36	1.0297e-36	675237	
0.055999999999999994	273.22700000000003	1126.77	9.323339999999999e-32	1.17855e-28	0.00859481	19.9914	2.9344299999999996e-18	8.63915e-15	0.0195308	9.98046	6.72518e-05	0.09991939999999999	0.00020748900000000002	0.699793	1.18401e-19	1.60378e-16	0.030677299999999998	89.9693	4.82657e-13	1.64915e-09	7.26682	162.733	1.25639e-11	1.04144e-09	9.96576e-38	1.87786e-35	0.177795	299.822	1.9282199999999997e-62	4.793659999999999e-59	4.989499999999999e-61	2.5811200000000004e-57	1.9786099999999998	58.0214	0.00497334	1.0316800000000001e-05	1.3322e-05	2.5706700000000003e-07	0	2.6851799999999996e-06	7.778819999999999e-08	4.2418400000000005e-18	1.33694e-28	3.2556099999999997e-26	9.83815e-30	2.24479e-11	7.783029999999999e-13	2.6412499999999996e-29	1.8761099999999998e-31	6.40699e-33	1.1088500000000001e-26	4.581919999999999e-28	30	2.7761099999999997e-31	1.3442399999999999e-33	1.68864e-36	5.80659e-56	2.5	3400	2.2323e-32	5.03859e-15	3.8352099999999995e-24	3.1268199999999996e-54	1.0489800000000001e-17	9.85048e-16	3.60244e-12	8.34124e-31	2.85622e-32	1	9.41726e-32	1.7964599999999998e-33	7.592119999999999e-36	3.8246699999999995e-36	672270	
0.06	247.755	1152.25	2.5713e-31	3.13062e-28	0.00863154	19.9914	4.60596e-18	1.32773e-14	0.0196142	9.980369999999999	6.75384e-05	0.09991810000000001	0.000208375	0.699792	1.86078e-19	2.46322e-16	0.0308084	89.9692	6.00484e-13	2.02263e-09	6.643439999999999	163.357	1.69739e-11	1.3697799999999998e-09	3.4530999999999995e-37	6.2492e-35	0.178554	299.82099999999997	1.3032899999999998e-61	3.0907899999999996e-58	3.3664299999999995e-60	1.6652199999999998e-56	1.9867700000000001	58.0132	0.00497136	1.09504e-05	1.4314200000000001e-05	2.92666e-07	0	2.9927099999999996e-06	9.44768e-08	6.31127e-18	2.70194e-28	6.96664e-26	2.1414099999999998e-29	3.19342e-11	1.10637e-12	7.00798e-29	5.3818e-31	1.8343e-32	2.5588099999999996e-26	1.12318e-27	30	7.95461e-31	4.1685299999999995e-33	6.0758e-36	3.466259999999999e-55	2.5	3400	6.4161e-32	7.389e-15	6.458280000000001e-24	1.8677200000000003e-53	1.40897e-17	1.44455e-15	4.97563e-12	2.3948e-30	8.185989999999998e-32	1	2.7023299999999998e-31	5.564859999999999e-33	2.27014e-35	1.28234e-35	669661	
0.064	225.243	1174.76	6.5626e-31	7.725069999999999e-28	0.00866414	19.9913	6.99239e-18	1.97832e-14	0.019688099999999997	9.9803	6.779279999999999e-05	0.0999169	0.00020916200000000001	0.6997909999999999	2.8279e-19	3.66783e-16	0.0309248	89.9691	7.35306e-13	2.44582e-09	6.17586	163.82399999999998	2.23865e-11	1.76414e-09	1.0908200000000001e-36	1.9033799999999998e-34	0.179229	299.82099999999997	7.671419999999998e-61	1.74285e-57	1.9782799999999997e-59	9.39558e-56	1.9940099999999998	58.006	0.00496937	1.1578299999999999e-05	1.53061e-05	3.3018e-07	0	3.3018800000000004e-06	1.1294600000000001e-07	9.107919999999999e-18	5.19461e-28	1.40975e-25	4.4073500000000004e-29	4.42604e-11	1.53224e-12	1.72727e-28	1.4269499999999999e-30	4.8539e-32	5.54053e-26	2.5706000000000002e-27	30	2.1067299999999997e-30	1.1889299999999997e-32	1.99115e-35	1.8183599999999998e-54	2.5	3400	1.7045499999999999e-31	1.05237e-14	1.0467900000000001e-23	9.803909999999999e-53	1.85308e-17	2.0573899999999997e-15	6.6984399999999995e-12	6.35509e-30	2.1685e-31	1	7.16752e-31	1.58548e-32	6.25043e-35	3.9350999999999994e-35	667364	
0.068	205.332	1194.67	1.5656999999999999e-30	1.78776e-27	0.00869309	19.9913	1.03112e-17	2.86909e-14	0.0197538	9.98023	6.80186e-05	0.0999157	0.000209861	0.6997899999999999	4.1738999999999996e-19	5.31588e-16	0.0310281	89.969	8.880709999999999e-13	2.92128e-09	5.8252	164.175	2.89158e-11	2.23092e-09	3.1788399999999996e-36	5.36616e-34	0.179827	299.82	4.001759999999999e-60	8.74153e-57	1.0303700000000001e-58	4.71535e-55	2.0004299999999997	57.9996	0.00496739	1.2201300000000001e-05	1.62975e-05	3.6957099999999997e-07	0	3.6117900000000004e-06	1.33195e-07	1.27994e-17	9.56092e-28	2.71736e-25	8.639370000000001e-29	5.99672e-11	2.07439e-12	3.99263e-28	3.5325999999999994e-30	1.19926e-31	1.1351199999999999e-25	5.54235e-27	30	5.20957e-30	3.15239e-32	6.01427e-35	8.52083e-54	2.5	3400	4.22829e-31	1.4612200000000002e-14	1.6412400000000002e-23	4.59696e-52	2.3929699999999997e-17	2.8566999999999997e-15	8.81936e-12	1.57465e-29	5.36358e-31	1	1.77505e-30	4.19938e-32	1.6015999999999998e-34	1.1177499999999999e-34	665339	
0.07200000000000001	187.708	1212.29	3.52087e-30	3.91075e-27	0.008718799999999999	19.9913	1.4822199999999998e-17	4.0631599999999995e-14	0.0198121	9.98017	6.821899999999999e-05	0.0999145	0.000210482	0.6997899999999999	6.004490000000001e-19	7.523349999999999e-16	0.031119900000000002	89.9689	1.0597100000000001e-12	3.45156e-09	5.56239	164.438	3.66755e-11	2.7764699999999996e-09	8.629330000000001e-36	1.41343e-33	0.180359	299.82	1.8768499999999997e-59	3.9547500000000003e-56	4.82555e-58	2.1345599999999997e-54	2.0061400000000003	57.9939	0.0049654	1.28202e-05	1.72884e-05	4.1080399999999995e-07	0	3.9218e-06	1.5522e-07	1.75733e-17	1.69351e-27	5.01921e-25	1.62251e-28	7.96437e-11	2.75291e-12	8.72367e-28	8.234010000000001e-30	2.78972e-31	2.21558e-25	1.13404e-26	30	1.2128900000000001e-29	7.83908e-32	1.6907599999999998e-34	3.61514e-53	2.5	3400	9.87542e-31	1.98424e-14	2.49926e-23	1.9515799999999998e-51	3.0409000000000005e-17	3.87919e-15	1.13878e-11	3.6734899999999996e-29	1.2490399999999999e-30	1	4.13892e-30	1.0431699999999998e-31	3.85295e-34	2.96622e-34	663551	
0.076	172.09900000000002	1227.9	7.51445e-30	8.13948e-27	0.00874164	19.9913	2.08312e-17	5.63418e-14	0.0198639	9.98012	6.8397e-05	0.09991330000000001	0.00021103400000000003	0.699789	8.4440899999999995e-19	1.04254e-15	0.0312014	89.9688	1.2511100000000001e-12	4.03913e-09	5.36565	164.63400000000001	4.57783e-11	3.4070500000000006e-09	2.1999099999999997e-35	3.5053e-33	0.180832	299.819	8.01006e-59	1.63273e-55	2.0567099999999998e-57	8.81799e-54	2.0112	57.9888	0.00496342	1.34355e-05	1.8279000000000002e-05	4.53848e-07	0	4.23143e-06	1.79012e-07	2.3636999999999998e-17	2.89941e-27	8.92811e-25	2.93382e-28	1.0392700000000001e-10	3.58948e-12	1.81352e-27	1.8196e-29	6.15249e-31	4.14351e-25	2.21566e-26	30	2.67722e-29	1.84172e-31	4.46006e-34	1.4044299999999997e-52	2.5	3400	2.1867599999999998e-30	2.642e-14	3.7089e-23	7.586349999999999e-51	3.80974e-17	5.1651200000000006e-15	1.44538e-11	8.12499e-29	2.75769e-30	1	9.14986e-30	2.44828e-31	8.76593e-34	7.411430000000001e-34	661971	
0.08	158.267	1241.73	1.53098e-29	1.62072e-26	0.00876193	19.9912	2.86937e-17	7.667180000000001e-14	0.01991	9.98007	6.85551e-05	0.09991219999999999	0.00021152400000000002	0.699788	1.16374e-18	1.41779e-15	0.0312739	89.9687	1.4631799999999998e-12	4.68643e-09	5.21861	164.78099999999998	5.63359e-11	4.12884e-09	5.30296e-35	8.238589999999999e-33	0.181251	299.819	3.14251e-58	6.21218e-55	8.058819999999999e-57	3.35709e-53	2.0157	57.9843	0.00496144	1.4047599999999999e-05	1.92691e-05	4.98674e-07	0	4.54032e-06	2.04561e-07	3.12175e-17	4.81568e-27	1.53578e-24	5.12877e-28	1.33501e-10	4.60732e-12	3.60676e-27	3.83464e-29	1.29397e-30	7.460379999999999e-25	4.15482e-26	30	5.635489999999999e-29	4.11345e-31	1.11159e-33	5.04346e-52	2.5	3400	4.6178399999999995e-30	3.45689e-14	5.37901e-23	2.7260500000000003e-50	4.71297e-17	6.75825e-15	1.80679e-11	1.71378e-28	5.80629e-30	1	1.9289999999999999e-29	5.46253e-31	1.89775e-33	1.7549899999999998e-33	660573	
