# Time	[Fungal pathogen]	[Bacterial pathogen]	[LysM]	[PRRs]	[FLS2]	[LRR]	[MAPKKK]	[MAPKKK_2]	[MAPKKK1]	[MAPKKK18]	[MAPKKK19]	[MAPKKK20]	[EDR1]	[MAPKK]	[MAPKK_2]	[MAPKK2]	[MAPKK4]	[MAPKK5]	[MAPKK9]	[MAPK]	[MAPK_2]	[MAPK2]	[MAPK3]	[MAPK4]	[MAPK6]	[WRKY1]	[WRKY1_2]	[MYB2]	[MYB2_2]	[WRKY33]	[WRKY33_2]	[WRKY6]	[WRKY6_2]	[MYB4]	[MYB4_2]	[WRKY25]	[WRKY25_2]	[WRKY12]	[WRKY12_2]	[WRKY22]	[WRKY22_2]	[WRKY28]	[WRKY28_2]	[WRKY29]	[WRKY29_2]	[MYB44]	[NAC]	[bZIP]	[AP2]	[Response]	[SIMK]	[SAMK]	
64.8	1.16148	1.16149	1.16148	1.16149	1.16149	1.1615	1.16149	1.1615	1.16152	1.16149	1.1615	1.16149	1.16149	1.16152	1.16153	1.16154	1.16154	1.16154	1.16151	1.16154	1.16156	1.16155	1.16155	1.16155	1.16155	1.16155	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	1.16156	
67.2	1.1615	1.1615	1.1615	1.1615	1.1615	1.16151	1.1615	1.16151	1.16153	1.16151	1.16151	1.16151	1.16151	1.16152	1.16153	1.16154	1.16154	1.16154	1.16152	1.16154	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16156	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	
69.6	1.16151	1.16151	1.16151	1.16151	1.16151	1.16152	1.16151	1.16152	1.16153	1.16152	1.16152	1.16152	1.16151	1.16153	1.16154	1.16154	1.16154	1.16154	1.16153	1.16154	1.16155	1.16154	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	
72	1.16152	1.16152	1.16152	1.16152	1.16152	1.16152	1.16152	1.16152	1.16153	1.16152	1.16152	1.16152	1.16152	1.16153	1.16154	1.16154	1.16154	1.16154	1.16153	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16155	1.16155	1.16155	1.16154	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16154	1.16155	1.16154	1.16155	1.16154	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	1.16155	
74.4	1.16152	1.16153	1.16152	1.16152	1.16153	1.16153	1.16153	1.16153	1.16153	1.16153	1.16153	1.16153	1.16153	1.16153	1.16154	1.16154	1.16154	1.16154	1.16153	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	
76.8	1.16153	1.16153	1.16153	1.16153	1.16153	1.16153	1.16153	1.16153	1.16154	1.16153	1.16153	1.16153	1.16153	1.16153	1.16154	1.16154	1.16154	1.16154	1.16153	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	
79.2	1.16153	1.16153	1.16153	1.16153	1.16153	1.16153	1.16153	1.16153	1.16154	1.16153	1.16153	1.16153	1.16153	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	
81.6	1.16153	1.16153	1.16153	1.16153	1.16153	1.16153	1.16153	1.16153	1.16154	1.16153	1.16153	1.16153	1.16153	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	
84	1.16153	1.16153	1.16153	1.16153	1.16153	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	
86.4	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	1.16154	
