time	s5	s16	s1	s27	s28	s30	s31	s32	s33	s37	s46	s75	s101	s102	s107	s121	s155	s164	s171	s172	s173	s170	s195	s174	s239	s36	s123	s129	s159	s232	s176	s179	s183	s188	s245	s252	s268	s260	s270	s275	s278	s286	s288	s292	s61	s259	s266	s267	s304	s305	nnamed: 5
1600	1.24138	0.809357	0.681921	1.50872	1.49128	0.0607375	2.3109599999999997	0.7055130000000001	0.294487	0.0858673	0.73112	1.7779599999999998	0.9254629999999999	2.62433	1.87755	2.15462	0.07453739999999999	0.9254629999999999	0.00270967	0.00544241	0.00489369	0.0007944460000000001	1.9945599999999999	0.655076	1.44054	0.101721	0.354461	0.161971	0.296573	0.707978	1.34572	0.00191523	0.00218401	0.000548729	0.418533	3.7931	-4.2612899999999995e-67	-2.1436599999999996e-68	-4.5444099999999985e-67	-7.527239999999999e-67	-1.3272299999999998e-66	1.37267	0.313373	0.289802	1.17926	0.820742	-8.181019999999999e-68	-9.754819999999998e-68	0.5	9.515980000000001e-07	
1640	1.24138	0.809357	0.681921	1.50872	1.49128	0.0607375	2.3109599999999997	0.7055130000000001	0.294487	0.0858673	0.73112	1.7779599999999998	0.9254629999999999	2.62433	1.87755	2.15462	0.07453739999999999	0.9254629999999999	0.00268588	0.005367899999999999	0.00483426	0.0007874710000000001	1.99463	0.6550739999999999	1.44054	0.101721	0.35446	0.161971	0.296573	0.7079770000000001	1.34571	0.00189841	0.00214838	0.000533633	0.418533	3.7931	1.7880399999999998e-67	9.065959999999998e-69	1.9042899999999997e-67	3.154829999999999e-67	5.562059999999999e-67	1.37267	0.313373	0.289802	1.17926	0.820742	3.4358299999999994e-68	4.12258e-68	0.5	9.1274e-07	
1680	1.24138	0.809357	0.681921	1.50872	1.49128	0.0607375	2.3109599999999997	0.7055130000000001	0.294487	0.0858673	0.73112	1.7779599999999998	0.9254629999999999	2.62433	1.87755	2.15462	0.07453739999999999	0.9254629999999999	0.0026629	0.00529638	0.00477707	0.000780733	1.9947	0.655072	1.44054	0.101721	0.35446	0.161971	0.296573	0.707976	1.34571	0.00188216	0.00211418	0.00051931	0.418533	3.7931	6.133299999999999e-68	3.17055e-69	6.554599999999999e-68	1.08528e-67	1.9139799999999997e-67	1.37267	0.313373	0.289802	1.17926	0.820742	1.1793999999999998e-68	1.4389399999999997e-68	0.5	8.76399e-07	
1720	1.24138	0.809357	0.681921	1.50872	1.49128	0.0607375	2.3109599999999997	0.7055130000000001	0.294487	0.0858673	0.73112	1.7779599999999998	0.9254629999999999	2.62433	1.87755	2.15463	0.07453739999999999	0.9254629999999999	0.00264067	0.00522768	0.00472198	0.000774217	1.9947700000000002	0.6550699999999999	1.44054	0.101721	0.35446	0.16197	0.296573	0.707975	1.3457	0.00186646	0.00208131	0.000505702	0.418533	3.7931	1.1061899999999997e-69	5.974549999999999e-71	1.1122199999999998e-69	1.8594599999999997e-69	3.2615499999999997e-69	1.37267	0.313373	0.289802	1.17926	0.820742	2.1628099999999995e-70	2.7058199999999998e-70	0.5	8.42357e-07	
1760	1.24138	0.809357	0.681921	1.50872	1.49128	0.0607375	2.3109599999999997	0.7055130000000001	0.294487	0.0858673	0.731121	1.7779599999999998	0.9254629999999999	2.62433	1.87755	2.15463	0.07453739999999999	0.9254629999999999	0.00261917	0.00516162	0.00466886	0.0007679130000000001	1.9948400000000002	0.655069	1.44054	0.10172	0.354459	0.16197	0.296572	0.707974	1.3457	0.00185126	0.00204969	0.0004927590000000001	0.41853199999999996	3.7931	-4.3009999999999996e-69	-2.2155699999999998e-70	-4.5806299999999993e-69	-7.588529999999999e-69	-1.3378899999999997e-68	1.37267	0.313373	0.289802	1.17926	0.820742	-8.274719999999999e-70	-1.0059799999999998e-69	0.5	8.10417e-07	
1800	1.24138	0.809357	0.681921	1.50872	1.49128	0.0607375	2.3109599999999997	0.7055130000000001	0.294487	0.0858673	0.731121	1.77797	0.9254629999999999	2.62433	1.87755	2.15463	0.07453739999999999	0.9254629999999999	0.00259834	0.00509803	0.00461759	0.000761807	1.9949	0.655067	1.44054	0.10172	0.354459	0.16197	0.296572	0.707974	1.34569	0.00183653	0.00201925	0.000480434	0.41853199999999996	3.7931	-1.7043699999999996e-69	-8.80327e-71	-1.80996e-69	-2.9998099999999993e-69	-5.287479999999999e-69	1.37267	0.313373	0.289802	1.17926	0.820742	-3.2818199999999995e-70	-3.996489999999999e-70	0.5	7.804049999999999e-07	
1840	1.24138	0.809357	0.681921	1.50872	1.49128	0.0607375	2.3109599999999997	0.7055140000000001	0.294486	0.0858673	0.731121	1.77797	0.9254629999999999	2.62433	1.87755	2.15463	0.07453739999999999	0.9254629999999999	0.00257816	0.00503676	0.00456808	0.0007558889999999999	1.9949599999999998	0.655066	1.44054	0.10172	0.354459	0.16197	0.296572	0.707973	1.34569	0.00182227	0.00198992	0.000468683	0.41853199999999996	3.7931	-5.5971899999999995e-70	-2.886939999999999e-71	-5.971759999999998e-70	-9.890379999999998e-70	-1.7439899999999996e-69	1.37267	0.313373	0.289802	1.17926	0.820742	-1.07652e-70	-1.3105799999999996e-70	0.5	7.52163e-07	
1880	1.24138	0.809357	0.681921	1.50872	1.49128	0.0607375	2.3109599999999997	0.7055140000000001	0.294486	0.0858673	0.731121	1.77797	0.9254629999999999	2.62433	1.87755	2.15463	0.07453739999999999	0.9254629999999999	0.00255858	0.00497769	0.00452022	0.00075015	1.99502	0.655064	1.44054	0.10172	0.354459	0.16197	0.296572	0.707972	1.34569	0.00180843	0.00196164	0.00045747	0.41853199999999996	3.7931	-1.80987e-70	-9.260749999999999e-72	-1.9331799999999994e-70	-3.20119e-70	-5.645259999999999e-70	1.37267	0.313373	0.289802	1.17926	0.820742	-3.4779399999999997e-71	-4.207079999999999e-71	0.5	7.25551e-07	
1920	1.24138	0.809357	0.681921	1.50872	1.49128	0.0607375	2.3109599999999997	0.7055140000000001	0.294486	0.0858673	0.731121	1.77797	0.9254629999999999	2.62433	1.87755	2.15463	0.07453739999999999	0.9254629999999999	0.00253958	0.00492069	0.00447393	0.00074458	1.99508	0.6550630000000001	1.44054	0.10172	0.354458	0.16197	0.296572	0.707972	1.34568	0.001795	0.00193435	0.000446757	0.41853199999999996	3.7931	-4.48813e-71	-2.27947e-72	-4.781529999999999e-71	-7.92112e-71	-1.3965599999999998e-70	1.37267	0.313373	0.289802	1.17926	0.820742	-8.624709999999998e-72	-1.0363699999999998e-71	0.5	7.00442e-07	
1960	1.24138	0.809357	0.681921	1.50872	1.49128	0.0607375	2.3109599999999997	0.7055140000000001	0.294486	0.0858673	0.731122	1.77797	0.9254629999999999	2.62433	1.87755	2.15463	0.07453739999999999	0.9254629999999999	0.00252113	0.00486563	0.00442912	0.0007391710000000001	1.9951299999999998	0.655062	1.44054	0.10172	0.354458	0.16197	0.296572	0.707971	1.34568	0.00178196	0.00190799	0.000436514	0.41853199999999996	3.7931	-2.6497899999999997e-71	-1.35578e-72	-2.8221499999999993e-71	-4.675359999999999e-71	-8.24286e-71	1.37267	0.313373	0.289802	1.17926	0.820742	-5.095239999999999e-72	-6.159849999999998e-72	0.5	6.767199999999999e-07	
2000	1.24138	0.809357	0.681921	1.50872	1.49128	0.060737599999999996	2.3109599999999997	0.7055140000000001	0.294486	0.0858673	0.731122	1.77797	0.9254629999999999	2.62433	1.87755	2.15463	0.07453739999999999	0.9254629999999999	0.0025031999999999997	0.00481242	0.00438571	0.0007339139999999999	1.9951900000000002	0.6550600000000001	1.44054	0.10172	0.354458	0.16197	0.29657100000000003	0.70797	1.3456700000000001	0.00176929	0.00188251	0.00042671	0.41853199999999996	3.7931	-9.506519999999998e-72	-4.90175e-73	-1.0124299999999998e-71	-1.6772499999999997e-71	-2.9570599999999994e-71	1.37267	0.313373	0.289802	1.17926	0.820742	-1.8291099999999993e-72	-2.22544e-72	0.5	6.542829999999999e-07	
