time	Glc(int)	ATP	Glu6P	ADP	Fru6-P	Fru1,6-P2	AMP	glycerone phosphate	Gra3P	NAD	Gri2,3P2	NADH	Gri3P	Gri2P	phosphoenolpyruvate	pyruvate	acetaldehyde	nnamed: 1
0.82	0.0797701	1.13907	0.246169	1.7520799999999999	0.0486264	0.520103	1.20885	0.402918	0.018128099999999998	1.50453	7.524100000000001e-05	0.0854671	0.211561	0.029824700000000003	0.0196866	1.26959	0.12162200000000001	
0.84	0.08023580000000001	1.13141	0.24523499999999998	1.7516	0.048399	0.5183180000000001	1.21699	0.40220700000000004	0.018096200000000003	1.50443	7.471189999999999e-05	0.0855692	0.21098000000000003	0.0297407	0.0196294	1.26833	0.12137200000000001	
0.86	0.0806305	1.125	0.244461	1.7511599999999998	0.048210699999999995	0.516831	1.22384	0.401613	0.018069400000000003	1.50435	7.42722e-05	0.08565439999999999	0.21049600000000002	0.029670699999999998	0.019581900000000003	1.26728	0.121163	
0.88	0.08096439999999999	1.11963	0.24381799999999998	1.7507700000000002	0.048054400000000004	0.515591	1.2296	0.401117	0.018047099999999996	1.50427	7.39065e-05	0.08572560000000001	0.210092	0.029612400000000004	0.0195423	1.26639	0.12099000000000001	
0.9	0.0812464	1.11514	0.243283	1.75042	0.0479245	0.514556	1.23444	0.40070300000000003	0.0180285	1.50421	7.36019e-05	0.08578510000000002	0.20975500000000002	0.029563799999999998	0.0195093	1.26566	0.12084400000000001	
0.92	0.08148419999999999	1.1113899999999999	0.242838	1.7501200000000001	0.0478164	0.513692	1.2385	0.400357	0.018012900000000002	1.50417	7.3348e-05	0.0858348	0.20947399999999997	0.029523200000000003	0.019481799999999997	1.26504	0.120723	
0.94	0.08168450000000001	1.10824	0.24246700000000002	1.74985	0.0477265	0.512971	1.24191	0.400067	0.017999900000000003	1.5041200000000001	7.31362e-05	0.0858765	0.20923899999999998	0.0294892	0.0194588	1.26452	0.12062200000000001	
0.96	0.08185310000000001	1.10561	0.24215799999999998	1.7496200000000002	0.0476515	0.512367	1.2447700000000002	0.399825	0.017988999999999998	1.50409	7.295939999999999e-05	0.0859112	0.20904299999999998	0.029460900000000005	0.019439599999999998	1.26409	0.12053699999999999	
0.98	0.0819949	1.10341	0.2419	1.7494299999999998	0.0475889	0.511863	1.24716	0.399622	0.0179799	1.50406	7.28118e-05	0.0859404	0.208879	0.0294372	0.0194236	1.26373	0.120467	
1.0	0.08211399999999999	1.10156	0.24168499999999998	1.7492599999999998	0.047536699999999994	0.511442	1.2491700000000001	0.399453	0.0179723	1.50404	7.26885e-05	0.08596469999999999	0.208742	0.029417400000000003	0.0194102	1.2634299999999998	0.12040799999999999	
