time	AA	5-HPETE	5-HETE	LTA4	LTB4	w-LTB4	PLA2	15-LOX	12-LOX	COX-2	PGES	15-HPETE	TXAS	5-LOX	LTA4H	CYP4F3	PHGPx	exo-AA	15-HETE	12-HPETE	12-HETE	PGH2	PGE2	TXA2	TXB2	nnamed: 2
156000	0.143843	-3.901849999999999e-67	-1.95989e-40	-1.8956899999999998e-78	-2.4214899999999997e-80	90.0963	1.5	15.0	5e-324	0.2	0.5	32.9297	1.8100899999999998e-31	-1.23049e-65	0.00205408	0.07	0.8	0	2721.67	-0.0	0.263521	0.07675019999999999	2291.81	1.60337e-28	1.65471e-27	
162000	0.143844	-4.6409399999999986e-67	-4.12726e-42	2.1669099999999997e-79	2.767939999999999e-81	90.0963	1.5	15.0	-0.0	0.2	0.5	32.9301	4.08054e-31	-2.0374599999999997e-66	0.00205408	0.07	0.8	0	2721.69	0.0	0.263521	0.07538660000000001	2335.99	-4.891669999999999e-28	-1.6601400000000002e-26	
168000	0.143845	-2.4416399999999994e-69	8.79579e-43	1.1193e-81	1.4297599999999997e-83	90.0963	1.5	15.0	5e-324	0.2	0.5	32.9305	-1.73236e-30	9.639039999999998e-68	0.00205408	0.07	0.8	0	2721.7	0.0	0.263521	0.0740966	2379.37	-7.039660000000001e-28	-1.86885e-26	
174000	0.143846	3.298769999999999e-70	-8.64248e-44	4.282549999999999e-81	5.4703899999999986e-83	90.0963	1.5	15.0	0.0	0.2	0.5	32.9308	1.7146e-30	-7.49535e-69	0.00205408	0.07	0.8	0	2721.72	-5e-324	0.263521	0.0728738	2421.98	8.40398e-28	4.42997e-26	
180000	0.143846	3.0491199999999995e-69	-4.60803e-44	-2.5048099999999994e-80	-3.199559999999999e-82	90.0963	1.5	15.0	-1e-323	0.2	0.5	32.9311	-1.7697e-30	4.0471499999999993e-69	0.00205408	0.07	0.8	0	2721.73	-1e-323	0.263521	0.07171260000000002	2463.86	-1.5839699999999999e-27	-6.3893999999999995e-27	
186000	0.143847	6.800429999999999e-71	8.752139999999999e-45	6.964129999999999e-82	8.895749999999999e-84	90.0963	1.5	15.0	-0.0	0.2	0.5	32.9315	5.36871e-31	3.727199999999999e-71	0.00205408	0.07	0.8	0	2721.74	-0.0	0.263521	0.070608	2505.05	1.88649e-28	-1.9172699999999999e-28	
192000	0.143848	-2.2191599999999995e-69	-1.92497e-45	-7.016339999999999e-80	-8.962439999999998e-82	90.0963	1.5	15.0	1.5e-323	0.2	0.5	32.9318	1.2710499999999998e-28	3.9759e-69	0.00205408	0.07	0.8	0	2721.76	1.3e-322	0.263521	0.06955549999999999	2545.58	3.7105900000000005e-26	3.0016900000000003e-25	
198000	0.143849	-1.1278799999999997e-68	5.83622e-46	-3.215849999999999e-79	-4.107819999999999e-81	90.0963	1.5	15.0	1.04e-322	0.2	0.5	32.9321	6.55831e-28	1.97272e-68	0.00205408	0.07	0.8	0	2721.77	6.47e-322	0.263521	0.0685511	2585.48	1.6614300000000002e-25	-7.67849e-25	
204000	0.14385	-2.3964699999999994e-73	2.8979299999999994e-47	2.13587e-81	2.7282799999999997e-83	90.0963	1.5	15.0	0.0	0.2	0.5	32.9323	-2.32878e-31	-7.700929999999998e-72	0.00205408	0.07	0.8	0	2721.78	0.0	0.263521	0.0675913	2624.79	-9.105499999999999e-28	-3.80371e-25	
210000	0.14385	6.189009999999999e-76	5.90928e-49	-6.891709999999998e-83	-8.803239999999998e-85	90.0963	1.5	15.0	-0.0	0.2	0.5	32.9326	2.81544e-31	2.4244099999999995e-74	0.00205408	0.07	0.8	0	2721.79	-0.0	0.263521	0.066673	2663.52	7.74158e-29	-4.7285699999999994e-27	
216000	0.143851	3.1057499999999995e-78	-1.04583e-48	-2.46502e-84	-3.1487299999999994e-86	90.0963	1.5	15.0	-0.0	0.2	0.5	32.9328	1.75681e-31	1.0603799999999998e-76	0.00205408	0.07	0.8	0	2721.8	-0.0	0.263521	0.06579310000000001	2701.7	4.32893e-29	9.55681e-27	
222000	0.143852	-2.549489999999999e-77	-1.09343e-49	-1.1517899999999999e-84	-1.4712599999999997e-86	90.0963	1.5	15.0	5e-324	0.2	0.5	32.9331	-3.3587199999999996e-30	-7.791099999999999e-76	0.00205408	0.07	0.8	0	2721.81	-5e-324	0.263521	0.0649491	2739.35	-8.39833e-28	-3.4146599999999995e-26	
228000	0.143852	-3.475609999999999e-77	4.91218e-50	-3.353189999999999e-84	-4.2832599999999996e-86	90.0963	1.5	15.0	1e-323	0.2	0.5	32.9333	-4.60117e-30	-8.358579999999998e-76	0.00205408	0.07	0.8	0	2721.82	-5e-324	0.263521	0.0641385	2776.5	-2.73991e-27	-3.74053e-27	
234000	0.143853	-3.1842899999999996e-79	-2.99058e-51	-6.20583e-86	-7.927119999999998e-88	90.0963	1.5	15.0	-0.0	0.2	0.5	32.9335	-5.78706e-30	-2.1208199999999994e-78	0.00205408	0.07	0.8	0	2721.83	-0.0	0.263521	0.06335940000000001	2813.17	-1.53744e-27	-4.59181e-26	
240000	0.143853	4.3191399999999995e-80	-5.4273e-51	-1.6705e-86	-2.1338499999999994e-88	90.0963	1.5	15.0	-0.0	0.2	0.5	32.9337	-5.63616e-32	2.3719499999999995e-80	0.00205408	0.07	0.8	0	2721.84	0.0	0.263521	0.0626096	2849.37	-3.66901e-29	-9.733939999999999e-27	
246000	0.143854	-4.926649999999999e-83	-5.99887e-52	-1.9191399999999998e-88	-2.45145e-90	90.0963	1.5	15.0	-0.0	0.2	0.5	32.9339	1.37888e-35	-1.9816999999999998e-81	0.00205408	0.07	0.8	0	2721.85	-0.0	0.263521	0.061887300000000006	2885.12	-2.5797399999999997e-31	-5.065049999999999e-28	
252000	0.143854	-3.0460599999999997e-86	3.5686e-52	-1.4630199999999997e-91	-1.8688099999999997e-93	90.0963	1.5	15.0	-0.0	0.2	0.5	32.9341	1.62882e-32	-1.0285799999999998e-84	0.00205408	0.07	0.8	0	2721.86	0.0	0.263521	0.061190999999999995	2920.43	4.66667e-29	1.5105299999999999e-27	
258000	0.14385499999999998	6.55018e-86	6.16869e-53	-7.665529999999999e-91	-9.791689999999999e-93	90.0963	1.5	15.0	5e-324	0.2	0.5	32.9343	8.1495e-31	2.0729999999999997e-84	0.00205408	0.07	0.8	0	2721.87	0.0	0.263521	0.060519100000000006	2955.33	-1.32501e-28	1.6047899999999997e-26	
264000	0.14385499999999998	-4.3925999999999997e-85	1.6318799999999998e-53	5.579209999999998e-90	7.126699999999998e-92	90.0963	1.5	15.0	-2e-323	0.2	0.5	32.9345	-6.93598e-30	-1.2550799999999997e-83	0.00205408	0.07	0.8	0	2721.88	-2e-323	0.263521	0.059870299999999994	2989.83	-1.7130599999999998e-27	3.54078e-26	
270000	0.14385599999999998	6.973149999999999e-85	-1.5052699999999998e-53	-1.1377099999999997e-89	-1.4532699999999997e-91	90.0963	1.5	15.0	4e-323	0.2	0.5	32.9347	1.6273e-29	2.2989799999999997e-83	0.00205408	0.07	0.8	0	2721.88	4.4e-323	0.263521	0.05924310000000001	3023.93	2.07823e-27	-6.932970000000001e-26	
276000	0.14385599999999998	2.4963499999999994e-91	1.87272e-55	-4.226599999999999e-94	-5.398929999999999e-96	90.0963	1.5	15.0	0.0	0.2	0.5	32.9349	7.061989999999999e-30	1.5081199999999997e-89	0.00205408	0.07	0.8	0	2721.89	0.0	0.263521	0.0586365	3057.66	1.46902e-27	-1.6939899999999998e-25	
282000	0.14385699999999998	8.061359999999998e-93	-1.4457000000000002e-57	-2.9653999999999993e-95	-3.787909999999999e-97	90.0963	1.5	15.0	-1e-323	0.2	0.5	32.935	3.04499e-30	2.579399999999999e-91	0.00205408	0.07	0.8	0	2721.9	1e-323	0.263521	0.0580494	3091.03	8.84804e-28	4.3989e-27	
288000	0.14385699999999998	-1.3737999999999997e-95	1.23282e-58	2.6897999999999993e-97	3.4358699999999997e-99	90.0963	1.5	15.0	0.0	0.2	0.5	32.9352	1.97477e-32	-4.7387899999999997e-94	0.00205408	0.07	0.8	0	2721.91	0.0	0.263521	0.05748060000000001	3124.04	-1.8527e-30	-3.24945e-27	
294000	0.14385799999999999	-1.2021999999999998e-97	-1.7768499999999998e-58	-8.596299999999998e-100	-1.0980599999999998e-101	90.0963	1.5	15.0	-0.0	0.2	0.5	32.9354	-2.3315499999999997e-34	-4.0062499999999986e-96	0.00205408	0.07	0.8	0	2721.91	-0.0	0.263521	0.0569294	3156.71	2.58627e-30	-1.02436e-27	
300000	0.14385799999999999	-4.4244099999999994e-101	-2.8526299999999996e-59	2.30269e-100	2.941379999999999e-102	90.0963	1.5	15.0	-0.0	0.2	0.5	32.9355	3.4935e-31	-1.1225999999999995e-99	0.00205408	0.07	0.8	0	2721.92	0.0	0.263521	0.056394799999999995	3189.05	9.903309999999999e-29	8.56888e-28	
