time	A	E	G	R
94.0.4.0	7.9992406756759475	31990.61163284118	12791021.748255845	22766.22546419554
96.0.	7.999530304452476	31992.915533335625	12791966.481730321	22770.15117038378
97.0.60000000000001.0	7.999766800928807	31994.803296406284	12792740.644040372	22773.377392343948
99.0.2.0	7.999959822886174	31996.349047678123	12793374.602240916	22776.026489032127
100.0.80000000000001.0	8.000117293610819	31997.613954453678	12793893.418662913	22778.199954737942
102.0.4.0	8.000245708423359	31998.648432389644	12794317.753310373	22779.981847773684
104.0.	8.000350388232494	31999.493990594965	12794664.618626516	22781.44168712429
105.0.60000000000001.0	8.00043568897639	32000.184770894884	12794948.009330438	22782.636891806782
107.0.2.0	8.000505174405228	32000.74882930022	12795179.426903231	22783.614829206534
108.0.80000000000001.0	8.000561758453818	32001.209200844874	12795368.315511793	22784.414530573707
110.0.4.0	8.000607822429373	32001.584782885628	12795522.423692005	22785.068124348993
112.0.	8.000645311372859	32001.891066653865	12795648.103954704	22785.60203113643
113.0.60000000000001.0	8.000675813221736	32002.140742247564	12795750.560604079	22786.03795798745
115.0.2.0	8.00070062378774	32002.344198288232	12795834.054442521	22786.393724200472
116.0.80000000000001.0	8.000720800048772	32002.509934072477	12795902.071651304	22786.68394604482
118.0.4.0	8.000737203824093	32002.644899154577	12795957.462955644	22786.92060364046
120.0.	8.000750537543254	32002.75477284125	12796002.558180137	22787.113509613104
121.0.60000000000001.0	8.000761373521064	32002.84419400517	12796039.260453079	22787.2706960397
123.0.2.0	8.000770177902991	32002.91694987591	12796069.123603756	22787.39873354564
124.0.80000000000001.0	8.000777330240252	32002.97613099925	12796093.41569675	22787.502994156774
126.0.4.0	8.00078313948359	32003.02425832707	12796113.171144746	22787.587867596307
128.0.	8.000787857044502	32003.063387373193	12796129.233421274	22787.6569391009
129.0.6.0	8.00079168745662	32003.095193514953	12796142.29004455	22787.713135471393
131.0.20000000000002.0	8.000794797074281	32003.121041808394	12796152.901212428	22787.75884493275
132.0.8.0	8.000797321166804	32003.1420440943	12796161.523226362	22787.79601542346
134.0.4.0	8.000799369701987	32003.159105682003	12796168.527641717	22787.826235137854
136.0.	8.000801032059362	32003.172963493067	12796174.21691585	22787.850798480915
137.0.6.0	8.000802380869882	32003.184217211347	12796178.837187933	22787.870760043363
139.0.20000000000002.0	8.000803475142929	32003.193354710074	12796182.588711403	22787.886978746592
140.0.8.0	8.000804362812136	32003.200772798056	12796185.634366415	22787.900153927716
142.0.4.0	8.000805082807435	32003.206794139736	12796188.106602712	22787.91085482064
144.0.	8.000805666741014	32003.211681049386	12796190.113100119	22787.919544630135
145.0.6.0	8.000806140278812	32003.215646732686	12796191.74138182	22787.926600181327
147.0.20000000000002.0	8.000806524255857	32003.218864444923	12796193.062572755	22787.932327950824
148.0.8.0	8.000806835583152	32003.221474949532	12796194.134460703	22787.936977140474
150.0.4.0	8.000807087984851	32003.22359259038	12796195.00398847	22787.940750335125
152.0.	8.000807292597372	32003.225310234116	12796195.70928244	22787.943812187765
153.0.60000000000002.0	8.000807458456213	32003.22670329166	12796196.281303186	22787.946296494614
155.0.20000000000002.0	8.000807592891439	32003.227832989563	12796196.745188294	22787.948311956898
156.0.8.0	8.000807701848931	32003.228749030564	12796197.121344427	22787.949946871497
158.0.4.0	8.000807790151232	32003.22949175675	12796197.426335307	22787.951272948572
160.0.	8.000807861709399	32003.230093908016	12796197.673603574	22787.952348417784
