time	II	IIa	M	P2
594.0.	0.050999471965813004	0.8986620140583811	0.048464371056023005	0.0018741429197810001
603.0.	0.048750978988579004	0.9029324504924711	0.046438361732611004	0.001878208786338
612.0.	0.046601618815545004	0.9070241581476701	0.044492147146048	0.0018820758907340002
621.0.	0.044547020824713006	0.910944196755994	0.042623029418796005	0.001885753000495
630.0.	0.042583007088488	0.914699385386024	0.04082835902889	0.001889248496596
639.0.	0.040705583878065006	0.918296306977818	0.039105538753608005	0.001892570390507
648.0.	0.038910933542364	0.9217413132008081	0.037452026916346005	0.001895726340481
657.0.	0.037195406745022	0.925040529575415	0.035865340012428006	0.0018987236671320002
666.0.	0.035555515043642	0.9281998608056611	0.034343054782380006	0.0019015693683150001
675.0.	0.033987923796204	0.9312249962758371	0.032882809794597005	0.0019042701333600001
684.0.	0.032489445380236	0.9341214156696771	0.031482306593412	0.0019068323566730002
693.0.	0.031057032710932003	0.9368943946752061	0.030139310463122	0.001909262150738
702.0.	0.029687773045046002	0.939549010742811	0.028851650853593	0.0019115653585480002
711.0.	0.028378882057974	0.9420901488679371	0.027617221508601002	0.0019137475654870003
720.0.	0.027127698181955002	0.9445225073733751	0.026433980333985002	0.0019158141106840002
729.0.	0.025931677193904	0.9468506036692341	0.025299949038986	0.0019177700978760001
738.0.	0.024788387041851	0.9490787799715751	0.024213212580794	0.001919620405778
747.0.	0.023695502899484	0.9512112089632171	0.023171918439284	0.0019213696980140001
756.0.	0.022650802438718	0.9532518993825501	0.022174275746141003	0.0019230224325900002
765.0.	0.021652161310702002	0.9552047015282391	0.021218554290091	0.001924582870966
774.0.	0.020697548826053	0.9570733126695701	0.020303083417655	0.0019260550867200002
783.0.	0.019785023825549003	0.9588612823538101	0.019426250846811002	0.0019274429738290002
792.0.	0.018912730732868	0.9605720176034791	0.018586501409061002	0.001928750254591
801.0.	0.018078895781367	0.962208787997709	0.017782335733732002	0.0019299804871910002
810.0.	0.01728182340721	0.9637747306330541	0.017012308886796	0.0019311370729380001
819.0.	0.016519892801518003	0.9652728549601711	0.016275028975128	0.0019322232631820001
828.0.	0.015791554614531002	0.966706047493687	0.015569155725857	0.0019332421659240002
837.0.	0.015095327805081	0.9680770763934221	0.014893399049358002	0.001934196752138
846.0.	0.014429796628964	0.969388595915827	0.014246517593400001	0.001935089861808
855.0.	0.013793607760089002	0.9706431507351501	0.013627317295051001	0.001935924209709
864.0.	0.013185467538558001	0.9718431801343941	0.013034649936123001	0.001936702390925
873.0.	0.012604139340065	0.972991022066618	0.012467411707195002	0.0019374268861230002
882.0.	0.012048441061282	0.9740889170875511	0.011924541784565	0.0019381000666010002
891.0.	0.011517242716110002	0.9751390121608611	0.011405020923919	0.0019387241991100001
900.0.	0.011009464137910001	0.9761433643377051	0.010907870073924	0.0019393014504620002
