time	species_0	species_1	species_10	species_11	species_12	species_13	species_14	species_15	species_16	species_17	species_2	species_3	species_4	species_5	species_6	species_7	species_8	species_9
4400.0.	2.183428311419013	997.8164753775778	499.999975922	204.63683372502706	914.2631334954474	2650.2072141720523	3501.4834091156495	5129.323094719072	559.4373351281002	19.259089036579194	1.412952176062692	74.27052822385129	3924.3163269800757	127.3154127973997	27.353481684107393	61.9977513177732	99.9999903689	499.999951844
4600.0.	2.24128218609429	997.7586215029025	499.999975922	198.54903511521107	877.8510240079203	2542.1553296805773	3577.168090787909	5240.201242664749	565.9119830538893	18.87223972060172	1.112539400215803	66.03523319467739	3932.8520347850963	128.9636678996645	27.41403043283308	60.288947466785075	99.9999903689	499.999951844
4800.0.	2.290170762100955	997.7097329268959	499.999975922	193.68026089557017	846.5915002792287	2445.4145476231183	3639.4020758112715	5331.374469659275	571.0935258258281	18.55947116830991	0.9321642935872221	60.52173760087849	3938.545905485526	130.29040549134416	27.45639547272597	58.91984483521069	99.9999903689	499.999951844
5000.0.	2.330627186256244	997.6692765027408	499.999975922	189.8268907917128	820.5438310510659	2362.761936785752	3690.080729932262	5405.61923481734	575.1973306312212	18.309036466775556	0.8161438601507801	56.67785662375434	3942.5058068960866	131.3450010952933	27.486535427283215	57.835109276705005	99.9999903689	499.999951844
5200.0.	2.363716193127496	997.6361874958693	499.999975922	186.7860474887599	799.2015730467255	2294.0315321490266	3731.113106828839	5465.732185485966	578.43788585628	18.109324544666922	0.737619543338605	53.913764110127275	3945.348423726525	132.17977925444296	27.508352940417094	56.97851360442187	99.9999903689	499.999951844
5400.0.	2.390599649009317	997.6093040399874	499.999975922	184.38521741589085	781.8792099266428	2237.7653408074048	3764.2278344917627	5514.245716937727	580.9978040711848	17.95023640263655	0.6823956387297351	51.877983703638975	3947.439428037623	132.8403433157155	27.52440844427138	56.30189403929523	99.9999903689	499.999951844
5600.0.	2.412358460035398	997.5875452289614	499.999975922	182.485994609595	767.8919286523898	2192.1111456743524	3790.9070291127	5553.331118926385	583.0238054587659	17.823457821351802	0.642404432519295	50.35034715839299	3949.00705578908	133.36377771105697	27.53640078221001	55.76646730601583	99.9999903689	499.999951844
5800.0.	2.429931744092575	997.5699719449041	499.999975922	180.97989598204393	756.6277404182409	2155.248756447106	3812.384030678914	5584.795238739507	584.6310449980548	17.722316909608523	0.612782601321017	49.18708693782424	3950.1999378408473	133.77940007372305	27.54547550123877	55.341770224318594	99.9999903689	499.999951844
6000.0.	2.4441078334973723	997.5557958554991	499.999975922	179.78258622280032	747.5677851678585	2125.561098466901	3829.66816735481	5610.116751484543	585.9091504887439	17.64152117816012	0.5904524688447911	48.29098643477442	3951.118368476373	134.11013792757876	27.552419310262934	55.004088561436035	99.9999903689	499.999951844
6200.0.	2.455536307499811	997.5443673814967	499.999975922	178.82857280152658	740.2839797175939	2101.680349330508	3843.5778262357817	5630.494604459065	586.9277945097965	17.576890578369355	0.5733858433892121	47.594338030553516	3951.8320835060495	134.37387339790953	27.55778270758604	54.734989693780555	99.9999903689	499.999951844
