time	Delay01_mSHP1	Delay02_mSHP1	Delay03_mSHP1	Delay04_mSHP1	Delay05_mSHP1	Delay06_mSHP1	Delay07_mSHP1	Delay08_mSHP1	ERK1	ERK2	Epo	EpoR	JAK2	MEK1	MEK2	Raf	SHP1	SOS	actSHP1	mSHP1	mSOS	pERK1	pERK2	pEpoR	pJAK2	pMEK1	pMEK2	pRaf	pSOS	ppERK1	ppERK2	ppMEK1	ppMEK2
9.0.6.0	1.8720842550302952	2.270236715481871	2.068427907428296	1.510236113302427	0.9204240887192041	0.48159042900462506	0.22082264778502803	0.09013637820612601	5.014453107357282	15.281853085262062	50	0.008119348003581	0.029623527116636003	23.795370986947628	10.624398075575758	3.7716644137435402	0.28655744318715304	1.551035170056189	0.047661523462621	1.030922498392356	1.3084168362006311e-05	1.342525001858319	4.006733829696975	0.9918806519964191	1.970376472883364	0.06631422209597501	0.200200097716728	0.000235586256467	0.959051745775445	0.6430218907843951	1.711413085040986	0.138314790956399	0.17540182670749901
10.0.2.0	1.669624264172351	2.160661077613125	2.100305270315399	1.6357807848867751	1.063223116177939	0.5931897431727411	0.289978961902193	0.126171702198682	5.085845403305915	15.487144565239133	50	0.012592685564821002	0.042503403491593005	23.79628338937997	10.629037182356589	3.771707868709083	0.22564043614469803	1.5299226797260461	0.07310745796172201	0.8614171854543801	1.3714246604287571e-05	1.311394223870352	3.910116119605458	0.987407314435179	1.9574965965084081	0.070255424256534	0.20348190862214402	0.000192131290924	0.9801636060273461	0.6027603728237291	1.602739315155432	0.13346118636350401	0.167480909021254
10.0.799999999999999.0	1.477215610422062	2.031969132103051	2.099149239336144	1.737170753814941	1.19957960649849	0.710919614395999	0.36910862243949905	0.17055029390539903	5.163605606200758	15.710503108604659	50	0.018807323937948	0.06215413600656101	23.797746578421858	10.634577911769073	3.771742376765306	0.17847420638323802	1.511967128309502	0.10795015011080801	0.717012770590371	1.4494576084233232e-05	1.275987314563523	3.80082925172149	0.9811926760620521	1.937845863993439	0.07403924197507601	0.20617033328487103	0.0001576232347	0.9981183771144101	0.5604070792357151	1.488667639673874	0.12821417960307102	0.15925175494603502
11.0.4.0	1.297812337031353	1.8908594767387201	2.068758670238509	1.8128932494875412	1.32544951560006	0.831578891047231	0.45701814687378506	0.22350034344854003	5.2456019570099635	15.94581775570325	50	0.027179074918701	0.089852864462354	23.799673620696836	10.640834569259523	3.771769693669286	0.142206975996945	1.496927451518808	0.15411456341923402	0.594907830118084	1.542257619114865e-05	1.237096279469804	3.68136812843734	0.972820925081299	1.910147135537646	0.077613585396734	0.20826013174836502	0.00013030633072	1.013157125904997	0.517301763520229	1.3728141158594331	0.122712793906424	0.15090529899208902
12.0.	1.13312248398295	1.743070171563014	2.013455233737068	1.862655582512469	1.437480015761946	0.951859073658276	0.5520620404840051	0.284888412730103	5.330018205227617	16.18789753710812	50	0.038160803644132005	0.126808476006213	23.80199087937381	10.647652698553733	3.771791222767906	0.11463223863277701	1.484628594826805	0.21350900453113802	0.492365742406255	1.6495722891268523e-05	1.195459491898181	3.554032613819021	0.9618391963558681	1.873191523993787	0.080933111220296	0.20975602559854803	0.0001087772321	1.025454909450299	0.47452230287419805	1.2580698490728701	0.11707600940588701	0.14259127584769501
12.0.6.0	0.9839060727537101	1.593351252828929	1.937756490401141	1.887195302540667	1.5331035671762772	1.068529766045845	0.652239084235235	0.35421028772268304	5.4153141471240644	16.43235477593834	50	0.052236309852745	0.17396495232500803	23.80463523042438	10.65490319273571	3.77180808616296	0.09405154322929601	1.47495656381898	0.28793577323720904	0.40682085982901	1.770952326628454e-05	1.151773383906463	3.420964559100739	0.947763690147255	1.8260350476749911	0.083960179132019	0.210671634893209	9.191383704556077e-05	1.035125726657749	0.43291246896946806	1.146680664960946	0.111404590443596	0.134425172371057
13.0.2.0	0.850225329180439	1.445502591171999	1.8461219339918071	1.888068851661512	1.61056743584956	1.178596774157415	0.7553050714942531	0.430606799967155	5.500196687830405	16.6755178011434	50	0.06990851922187301	0.231800605126483	23.807551942621288	10.662477648314498	3.771821182168649	0.079167117810854	1.467853919090703	0.37900399796294104	0.33593409675206803	1.9055405195249525e-05	1.106694870817532	3.284158462850707	0.9300914807781271	1.768199394873517	0.08666535750911901	0.211028191051916	7.8817831356955e-05	1.042227025504098	0.393108441352059	1.0403237360059001	0.10578269986958601	0.126494160633561
13.0.799999999999999.0	0.731648514756682	1.30245260039903	1.7427674613289121	1.867438819518036	1.668910397181604	1.279426058567182	0.8588916236328711	0.512901576679439	5.583596979309651	16.91436106699013	50	0.091676029684922	0.30015567014675104	23.810693081056176	10.670284701650974	3.77183123184286	0.068998022419235	1.4633150943585131	0.488050363215749	0.277614562301261	2.0518554838805623e-05	1.060838348458721	3.145456823629611	0.908323970315078	1.699844329853249	0.08902754032198601	0.21085317021149502	6.876815714619371e-05	1.046764387086643	0.355564672231626	0.94018210938026	0.10027937862182601	0.118862128137506
14.0.399999999999999.0	0.62741147382918	1.166359267407884	1.631540079601905	1.827874094514796	1.707899515892536	1.368830935463714	0.9606219790250671	0.5996562160557081	5.664650823320338	17.14644514050576	50	0.11799108848137901	0.378127071595856	23.814016321937622	10.678247146023988	3.771838816772351	0.06281501256090301	1.461380453362273	0.616072419464021	0.23001900618428803	2.207595858709473e-05	1.014769964670448	3.006537850159973	0.882008911518622	1.621872928404143	0.09103375503336601	0.210178945895686	6.118322765398381e-05	1.048697470679135	0.320579212009211	0.847017009334271	0.09494992302901001	0.111573908080299
15.0.	0.536542258341074	1.038720055965712	1.515843006568423	1.7721721021358101	1.727939605490514	1.445123277466629	1.058216458483506	0.6892375819139871	5.742680718301179	17.369862224541563	50	0.149193973906518	0.464065206155134	23.8174840890321	10.686299671609179	3.771844409742122	0.060090349452002007	1.462127577234581	0.7636778902678241	0.19153741391452	2.3695086208665396e-05	0.96900101645861	2.868900681111716	0.8508060260934831	1.535934793844865	0.092678743742943	0.209041523397682	5.559025788397394e-05	1.047948727679206	0.28831826524020904	0.761237094346732	0.08983716722495601	0.10465880499311701
15.0.6.0	0.45795455709151905	0.9204813780323001	1.398601021200597	1.7032081310863552	1.7299667376863872	1.50713191500671	1.14958235269337	0.7798917083262531	5.81717871765046	17.58318496683344	50	0.1854252260328	0.5556906726299761	23.821062939240527	10.694387101683809	3.771848399418211	0.060459430890037004	1.4656581422804211	0.9310520143965091	0.160770753589966	2.53339343916669e-05	0.923981695385912	2.733851444864705	0.8145747739672	1.4443093273700232	0.09396438871450301	0.20747938930002602	5.160058179422409e-05	1.044416523785183	0.258839586963629	0.6829635883018711	0.084972672044969	0.09813350901614101
