time	ATP	Ade	DNA	GTP	Gua	HX	IMP	PRPP	RNA	SAM	SAMP	UA	XMP	Xa	dATP	dGTP
32.0.900000000000006.0	2481.5323909511158	0.9900034540651671	5179.349198168536	410.3605888024639	5.552383534851341	10.457113174515023	101.68960420861835	5.001701582457931	28685.016039121158	3.993919695865946	0.201329256278019	101.39874036444736	25.27675891059148	5.423895527712041	6.014177283102845	3.025833092946821
33.0.6.0	2481.5804712418576	0.9900001095492921	5179.349377936923	410.35959694503765	5.551802937757693	10.427178010736238	101.57683139296384	5.001939597921845	28685.038640414405	3.9939360037701883	0.20124160910195202	101.42090933329868	25.27666450019213	5.413543752839352	6.014189074631719	3.025825619960352
34.0.300000000000004.0	2481.6261458282	0.989995452877599	5179.349557398404	410.3587194523298	5.551217447519674	10.398218266805308	101.46791627991091	5.0021750682142	28685.0609309649	3.993951499449056	0.20115686479430803	101.44056807364927	25.276386287182877	5.403372182959337	6.01420066012292	3.025818283213972
35.0.	2481.6695053727117	0.9899896758765591	5179.34973655931	410.35795183586833	5.550631332847821	10.370212478199011	101.3627237139286	5.00240731512545	28685.0829080653	3.993966213579719	0.20107492583181902	101.4578360959966	25.27593249124361	5.393399425058843	6.014212034331922	3.025811086275026
35.0.7.0	2481.7106368832638	0.989982942909938	5179.349915426222	410.35728972186655	5.550048122482326	10.343137836250063	101.26112399540015	5.002635795355379	28685.10457008211	3.993980175591083	0.200995698400625	101.47283158924468	25.275311034913738	5.383640225809397	6.014223192660977	3.025804032270856
36.0.400000000000006.0	2481.749623921457	0.989975394770758	5179.350094005919	410.3567288535797	5.5494707140618225	10.316970558407586	101.16299254307718	5.002860079977833	28685.125916294448	3.993993413736332	0.20091909217206202	101.48567086039327	25.274529554576528	5.374105990685234	6.014234131121811	3.025797123914855
37.0.1.0	2481.7865467911834	0.9899671520330171	5179.350272305365	410.35626509260317	5.548901467669927	10.291686197914707	101.06820959181894	5.003079836819575	28685.14694675549	3.99400595515844	0.20084502010275201	101.49646787480354	25.2735954108682	5.364805243534605	6.014244846299979	3.025790363531245
37.0.800000000000004.0	2481.8214827098923	0.9899583179365251	5179.35045033167	410.35589441932774	5.548342286189024	10.267259901783957	100.97665992095375	5.003294815354093	28685.167662173415	3.994017825949583	0.20077339825568802	101.50533388435477	25.27251569856662	5.355744032361778	6.014255335320821	3.025783753078625
38.0.50000000000001.0	2481.854505964803	0.9899489808683861	5179.3506280920765	410.3556129327272	5.5477946842922226	10.243666624716743	100.88823260923097	5.003504833764453	28685.18806380902	3.994029051205239	0.20070414563949102	101.51237713212583	25.271297256007642	5.346926286697963	6.014265595816998	3.025777294172367
39.0.2.0	2481.8856880559315	0.9899392164962051	5179.350805593922	410.3554168496111	5.547259847649379	10.220881305542422	100.80282081288446	5.003709767875512	28685.208153387674	3.9940396550736343	0.200637184063363	101.51770262345188	25.269946674070574	5.338354131548709	6.014275625897516	3.025770988105897
39.0.900000000000006.0	2481.9150978275597	0.9899290896007411	5179.350982844628	410.3553025034528	5.546738683704556	10.198879011824923	100.72032156380533	5.003909541696118	28685.227933023587	3.994049660801139	0.200572438005645	101.52141195431841	25.26847030476908	5.330028162513612	6.014285424118212	3.025764835870924
40.0.6.0	2481.9428015895346	0.9899186556493301	5179.351159851681	410.35526634287845	5.546231865194887	10.17763505748252	100.64063558523883	5.004104119346754	28685.247405154758	3.994059090774071	0.20050983449412502	101.52360318906901	25.266874269479114	5.321947686289664	6.014294989453629	3.025758838176662
41.0.300000000000004.0	2481.968863229591	0.9899079621458591	5179.351336622607	410.3553049298888	5.545739867419599	10.157125097572765	100.5636671227779	5.004293498178546	28685.26657248697	3.99406796655736	0.20044930299656302	101.52437078032685	25.265164466831358	5.314110930397795	6.014304321270235	3.025752995468098
42.0.00000000000001.0	2481.993344317724	0.9898970497882741	5179.351513164964	410.355414937867	5.545263000129306	10.137325203796266	100.48932378873626	5.004477702915803	28685.28543794577	3.994076308930411	0.200390775320052	101.52380552486089	25.263346580292527	5.306515225617643	6.014313419300946	3.025747307943345
42.0.7.0	2482.016304203499	0.9898859534604041	5179.351689486318	410.3555931494215	5.544801434786214	10.118211923757029	100.41751641825257	5.004656780677225	28685.304004635243	3.994084137920509	0.20033418551808702	101.5219945498814	25.261426085456485	5.299157164280834	6.014322283620859	3.025741775570127
43.0.400000000000006.0	2482.037800107066	0.989874703081244	5179.351865594236	410.35583645410054	5.544355227842804	10.099762326572694	100.34815893570773	5.004830796750734	28685.3222758026	3.994091472834003	0.20027946980433703	101.5190213249246	25.259408257064045	5.292032737259914	6.014330914624189	3.025736398101424
44.0.1.0	2482.0578872045453	0.9898633243317321	5179.35204149627	410.35614184600786	5.543924340597603	10.081954037046174	100.28116823023531	5.004999831014087	28685.340254807903	3.9940983322855432	0.200226566472285	101.5149656950895	25.25729817576778	5.285137452199296	6.014339313002337	3.025731175090343
44.0.800000000000004.0	2482.0766187083555	0.9898518392762581	5179.352217199944	410.3565064213486	5.543508656109938	10.064765260281806	100.21646403927834	5.005163974908386	28685.357945098134	3.994104734225536	0.20017541581999101	101.50990393193246	25.25510073465649	5.278466435266466	6.014347479723055	3.025726105904215
45.0.50000000000001.0	2482.0940459429926	0.9898402668938331	5179.352392712749	410.3569273759229	5.543107993589124	10.048174798347443	100.15396883928916	5.005323328884454	28685.37535018505	3.9941106959660253	0.200125960079396	101.50390879880442	25.252820645552337	5.272014518455785	6.014355416010642	3.02572118973798
46.0.2.0	2482.110218416682	0.9898286235317431	5179.3525680421235	410.3574020025885	5.542722120616366	10.03216206034264	100.09360774279799	5.005478000253301	28685.392473626285	3.994116234205129	0.200078143349594	101.4970496278436	25.250462445092225	5.2657763142529035	6.014363123327138	3.025716425626886
46.0.900000000000006.0	2482.1251838893036	0.989816923292769	5179.352743195452	410.3579276887052	5.542350763508005	10.016707067026108	100.03530840118215	5.005628101381478	28685.40931900931	3.9941213650501872	0.200031911533658	101.4893924062149	25.248030500603875	5.259746279264191	6.014370603354487	3.025711812458523
47.0.6.0	2482.138988436905	0.9898051783654911	5179.352918180056	410.3585019135757	5.541993616086058	10.001790450979046	99.97900091256113	5.005773748180564	28685.42588993775	3.9941261040397262	0.19998721227861602	101.48099986952033	25.245529015785984	5.25391876823139	6.014377857977617	3.025707348984236
48.0.300000000000004.0	2482.1516765131	0.9897933993058731	5179.353093003177	410.3591222458912	5.541650347085	9.98739345312968	99.92461773432092	5.005915058847139	28685.442190019847	3.994130466164335	0.19994399491825302	101.47193160060043	25.242962036201074	5.2482880796858105	6.014384889268362	3.025703033829937
49.0.00000000000001.0	2482.1632910076105	0.9897815952771801	5179.353267671986	410.3597863411933	5.541320606391782	9.9734979163355	99.87209359983984	5.00605215281587	28685.45822285871	3.994134465886569	0.199902210418462	101.46224413220524	25.240333454588693	5.242848494347527	6.014391699470265	3.025698865506345
49.0.7.0	2482.173873302171	0.98976977425426	5179.353442193563	410.36049193935764	5.54100403028863	9.960086276609768	99.82136543904483	5.00618514989367	28685.4739920441	3.994138117159923	0.19986181132489603	101.45199105223966	25.237647016006296	5.237594307241764	6.014398290984168	3.025694842418683
50.0.400000000000006.0	2482.183463323995	0.9897579431974111	5179.353616574896	410.3612368621068	5.540700245844196	9.947141552485187	99.7723723024772	5.006314169547525	28685.48950114555	3.994141433446986	0.199822751712726	101.44122311048709	25.234906322804193	5.232519854385778	6.014404666354545	3.025690962875852
51.0.1.0	2482.1920995969826	0.9897461082002571	5179.353790822878	410.36201901055773	5.540408874578277	9.934647332928003	99.72505528858893	5.006439330322509	28685.504753706668	3.994144427736794	0.19978498713832601	101.42998832588817	25.23211483944084	5.227619534793821	6.014410828256596	3.02568722509911
51.0.800000000000004.0	2482.199819290816	0.98973427461548	5179.353964944302	410.36283636280695	5.540129535507502	9.922587764148213	99.67935747402602	5.006560749369946	28685.519753240358	3.9941471125614783	0.199748474592731	101.41833209360227	25.22927589714403	5.222887828453896	6.014416779484033	3.025683627230277
52.0.50000000000001.0	2482.2066582680864	0.989722447161651	5179.354138945853	410.3636869715605	5.539861847664203	9.910947535594087	99.63522384668674	5.006678542068627	28685.53450322499	3.9941495000122202	0.19971317245674702	101.40629729121041	25.226392698423403	5.218319310846851	6.01442252293752	3.02568016733948
