time	ACA	CAR1	ERK2	PKA	REGA	excAMP	incAMP
9.0.299999999999999.0	2.251118243417518	1.855491227906753	0.7731173303621001	2.144860165205127	0.8425445918906761	0.3412202976011	1.274359698451629
9.0.6.0	2.074919909647797	1.708790540042199	0.713430294843817	2.117311621376078	0.8916827219008511	0.313854366548094	1.210196218711525
9.0.9.0	1.930926446050925	1.575664678119134	0.6638583965572891	2.05611789200808	0.945468788540557	0.290326786574619	1.13198753146428
10.0.2.0	1.8224251312615962	1.462684821170215	0.6257639269113281	1.96708528206937	1.001156908403593	0.271474323203309	1.046228359197512
10.0.5.0	1.750378655222161	1.373625189159881	0.599638445941123	1.857833640929858	1.055796262032993	0.25768158242745903	0.959296165581047
10.0.799999999999999.0	1.714557404134697	1.310225755702733	0.5854889669684991	1.736873668869774	1.106297962123985	0.24905335599241601	0.8768807521830411
11.0.1.0	1.7143097391704312	1.272976692820385	0.5831174757178881	1.612740931507942	1.149534019308833	0.24555474328692503	0.803625405235542
11.0.4.0	1.748955980234762	1.261741214130017	0.5922783161776071	1.493300660989717	1.182481544984101	0.24710227834021603	0.742993869418702
11.0.7.0	1.817844888124923	1.276145316709184	0.612722632030803	1.385290550826003	1.202425732161138	0.253604863304598	0.6973344806229661
12.0.	1.9201142532340771	1.315726692859895	0.644143969742328	1.294115374496416	1.2072276908979571	0.264958953061256	0.668078760623933
12.0.299999999999999.0	2.054186109910594	1.379859372109535	0.6860364528741071	1.223857546802201	1.195644225307765	0.281002819411248	0.655993383097487
12.0.6.0	2.217029396713305	1.467475310738668	0.737476291378073	1.177430416191532	1.167655547728421	0.30143429505379804	0.66140258946603
12.0.9.0	2.403259716111009	1.576609140425688	0.7968461926943291	1.156780622270593	1.124720167987427	0.32569873500414304	0.684309350478652
13.0.2.0	2.60423240219198	1.7038145293529352	0.8615459597395421	1.163042827288663	1.069850725338869	0.352861818026031	0.724364543012314
13.0.5.0	2.807419967962441	1.8435521219261761	0.92777218702851	1.196564238837271	1.007415569828739	0.38149658514292	0.780665408192391
13.0.799999999999999.0	2.9965058123885413	1.9877304230602602	0.9904952139143661	1.256749723120636	0.9426379570327891	0.409633406296029	0.85141302135323
14.0.1.0	3.152664155385966	2.125667851615056	1.043782535255244	1.341734884915361	0.880878004707192	0.43483579285267604	0.9335246888699731
14.0.399999999999999.0	3.257272736015774	2.244773624441924	1.081566999719882	1.447972298919657	0.8268891434184421	0.454456037800322	1.02236415224202
14.0.7.0	3.295725757237327	2.332126179092636	1.098798938243513	1.569895454484068	0.7842679971674651	0.466073785521435	1.111778712401033
15.0.	3.261246235003366	2.376804486760473	1.092686214105799	1.699864972947776	0.755231436897695	0.46802918910053404	1.194571747390065
15.0.299999999999999.0	3.157142358018783	2.372381839480788	1.0635516979479571	1.8285591290840402	0.740705271758295	0.45987264463126404	1.263386331360845
15.0.6.0	2.996343070016045	2.318684683562414	1.014896043928828	1.945837957257906	0.7405924558237491	0.442536922624083	1.311796948048561
15.0.899999999999999.0	2.798263547241326	2.222044242272054	0.9525842235385481	2.041938285460725	0.7540669170003931	0.41813689747761	1.335306343191825
16.0.2.0	2.584325666420286	2.093867791367117	0.8834868730710521	2.108731520212134	0.7797958719472251	0.38947156393692905	1.331983756590013
16.0.5.0	2.373902801631351	1.9480934950300661	0.8141199090251301	2.140757474146187	0.8160683751707971	0.359431263468232	1.3026244025961051
16.0.8.0	2.181887560137121	1.798498655210215	0.749720218023845	2.135830951059069	0.8608551559763261	0.330519669023976	1.250465126583168
17.0.099999999999998.0	2.01808416076111	1.656701697923351	0.6939026819084521	2.095147322257331	0.9118363992231481	0.304602834916864	1.180586610263959
17.0.4.0	1.887900284048583	1.531221111245246	0.648784201167871	2.022930181108476	0.9664250821948931	0.282879431586057	1.099158674861512
17.0.7.0	1.793612294623476	1.427479362164977	0.615352692980867	1.9257396089615342	1.0218008434544381	0.26599503248211104	1.012670772377714
18.0.	1.7356426979758601	1.348389358750967	0.593883989270617	1.811593561557582	1.074962203543617	0.254212125813835	0.927261390566752
18.0.3.0	1.713554505114081	1.295145681747838	0.584288789534822	1.689057709649987	1.122804556670877	0.24757198486602203	0.8482266724191541
18.0.599999999999998.0	1.726671407937785	1.267954643416867	0.586343927115354	1.566438840567236	1.162234775390906	0.24601599674561003	0.779749280169566
18.0.9.0	1.774336706080875	1.2665678549434771	0.5998045220557681	1.451178705450002	1.190336178736554	0.24945687384058202	0.724845068932345
19.0.2.0	1.8558535227030721	1.2905771584857741	0.6244093171207741	1.3494951488666351	1.204595447266974	0.257801455659722	0.6854848648991301
19.0.5.0	1.9701433079861101	1.339475420402556	0.659792405560095	1.2662646203121661	1.203191545669849	0.27092994102488505	0.6628202863490991
19.0.8.0	2.115151476974071	1.412502309041629	0.705311866247965	1.205094701292007	1.1853230535662251	0.288636079082744	0.6574307173889821
20.0.099999999999998.0	2.287042632732975	1.508297148334543	0.759808147568879	1.168504321260342	1.151516145489439	0.31053317011555204	0.6695121299493081
20.0.4.0	2.479282272811949	1.624391009332042	0.8213190475084531	1.15811566869963	1.1038209684234621	0.33593493238522604	0.698943494521436
20.0.7.0	2.681807705280264	1.7566026027626291	0.8868080079128021	1.174765262968062	1.045790026262752	0.363730724973439	0.74519117087424
21.0.	2.88063420919863	1.8984658838814932	0.952005770076299	1.218462632109003	0.9821633769811501	0.392291522224515	0.807049146476955
21.0.3.0	3.058357837964083	2.040904356241712	1.011505299957371	1.288166711879213	0.918272775191	0.419461683792727	0.8822683704334261
21.0.599999999999998.0	3.19597128275229	2.172439883705741	1.059248720213825	1.381415229919187	0.859294323527781	0.44269905801573206	0.9671975025928891
21.0.9.0	3.276053036808594	2.280206113921066	1.089454934364328	1.493923438332494	0.80956188425825	0.45940260081795403	1.056613698684709
22.0.2.0	3.286707615737821	2.351841792070929	1.097841115954098	1.619337449137755	0.772137457413631	0.46739881931362603	1.143918863393036
22.0.5.0	3.224925938691586	2.377953441290839	1.082761933801042	1.7493393000228332	0.748716760105956	0.46546157425629403	1.221778631796321
22.0.8.0	3.097865068923105	2.35441279474183	1.045790435374177	1.874222241504639	0.739802247732527	0.45367107291701103	1.283109410229305
23.0.099999999999998.0	2.921291712201006	2.283589761160205	0.991433393948667	1.9838998152470082	0.7449933937943111	0.43344505064295	1.32216063793849
23.0.4.0	2.715770135823137	2.173941745449055	0.9260633337605051	2.069150083055541	0.7632574934427181	0.40721009116690104	1.335391261204361
23.0.7.0	2.5021963304990082	2.038078232167411	0.8565093911972911	2.122808959883804	0.7931141119108711	0.37784612914089	1.321926239478942
24.0.	2.298307410322853	1.890068968223321	0.7888379594632681	2.140650911876255	0.832733062159125	0.348122292312302	1.283536195678095
24.0.3.0	2.116982346981227	1.742963892264205	0.727654963200929	2.12180276069023	0.879978383664464	0.320302591093784	1.224219200064105
24.0.599999999999998.0	1.9662057721979431	1.607197225691138	0.6759627528662071	2.06866521903356	0.9324324448654261	0.29598589807756304	1.149530369528857
24.0.9.0	1.850044110249376	1.49004006720782	0.635399877764522	1.9864184309703181	0.9874225054751311	0.27614058491584603	1.065811958723641
25.0.2.0	1.769951402527108	1.395867163679362	0.606642498759214	1.882246118770299	1.042061138149162	0.26124747524165404	0.9794550869896691
25.0.5.0	1.7259490050838862	1.3268517866784	0.5897999923875561	1.764433796198576	1.093307534884771	0.251470564717929	0.8962940168340371
25.0.8.0	1.717473640556745	1.283748927470513	0.584717663056446	1.641489960860008	1.138058192476096	0.24680438404290303	0.8211986034179221
26.0.099999999999998.0	1.7438523943589161	1.266554223125647	0.591160400674261	1.5214117451393792	1.173279132770456	0.247175711080538	0.7578893904757881
26.0.4.0	1.804434227895544	1.274944537237971	0.608881990941606	1.411173208581232	1.196193214865131	0.252495467594802	0.708956836290844
26.0.7.0	1.898419847415362	1.308480260504953	0.637593512071135	1.316462589116659	1.204530759017781	0.262664266104766	0.676029830425331
27.0.	2.024422554032683	1.3665815624237911	0.676842811548627	1.241644171223246	1.196835750891444	0.27753642205196405	0.660016559264128
27.0.3.0	2.17979084144767	1.4482989260814612	0.725815570334431	1.189880185111262	1.1727918643433641	0.29684682577536103	0.66133523022353
27.0.599999999999998.0	2.359751008239332	1.55190228225266	0.7830746678303231	1.163323854928498	1.133496890575156	0.32010659223617804	0.6800605122830311
27.0.9.0	2.556501451695162	1.674330322679137	0.846274316421676	1.163287716948602	1.081585064962661	0.34647979518341604	0.7159301563690741
28.0.2.0	2.7585131053597562	1.8105852509482512	0.9119210227788991	1.190301295906676	1.021097673859516	0.374666578071697	0.768185122607653
28.0.5.0	2.95043222385624	1.953232164366777	0.9752978594499361	1.244000560732868	0.9570550972581661	0.40283623078678304	0.8352602964908311
28.0.799999999999997.0	3.114051646889786	2.092249165968558	1.030697321341568	1.3228419622907701	0.894786750481205	0.42866986426510806	0.9144045023842591
29.0.099999999999998.0	3.230666175819628	2.2155215587891712	1.07207751173695	1.423706394708297	0.839186852750719	0.449570118808708	1.00137637634539
29.0.4.0	3.284637664936179	2.310195760773688	1.094124973927051	1.541538463838788	0.794113221577719	0.46305559413148	1.090401158371888
29.0.7.0	3.267257299191307	2.364836513468313	1.093487166337516	1.669218050612424	0.7620874029761271	0.46727541986729104	1.174535695617956
30.0.	3.179431132353956	2.371907156565082	1.069739529621865	1.797840099632751	0.744315945341617	0.46148622468390704	1.246457114058554
