time	CYCDcdk4	CYCDcdk4p27	CYCEcdk2p27	E2F	aCYCEcdk2	aCYCEcdk20	aCYCEcdk21	iCYCEcdk2	p27	pRB	pRBE2F
185.0.	0.00154254849886	0.045629155516237	3.105818487790834	0.39195530251673805	2.284599635434708	1.989842411469296	1.848471042690905	11.375393085610344	0.011878348812291	1.6151548315023492	0.002519394903418
190.0.	0.0015407446667460001	0.043408597530466005	2.8460578576095292	0.361717212289405	1.898860215273151	1.9897063387540652	1.8421712254717142	11.45687559800046	0.013169135525352002	1.631848689853506	0.0026497873035470003
195.0.	0.0015390003719900002	0.041296435667289	2.60877493406256	0.333855439719126	1.787742041725847	1.989662039528734	1.835749444131272	11.44084893681786	0.012840120684009	1.64789976399967	0.0027266777823830002
200.0.	0.0015373190936760002	0.039287105458618	2.391397967500164	0.30821698455545404	1.70376407614107	1.989670733394096	1.829252328597367	11.355040669008565	0.012351262658486	1.663325670210797	0.00271727276479
205.0.	0.001535705252253	0.037375605925469006	2.192126970994949	0.28457083385263904	1.6090036632799811	1.989709397847856	1.822630077110811	11.248502477508715	0.011988161349572	1.67814410985923	0.0026843481183540002
210.0.	0.0015341612763660002	0.035557211655299	2.009458177652221	0.26273781796849405	1.507685638133681	1.989764334427263	1.815867459269326	11.139954594608371	0.011728014798036	1.692372796358975	0.002655272618487
215.0.	0.001532687335052	0.033827413012551	1.842020407082644	0.24257372107157102	1.405479846505074	1.989827411160838	1.80897073683688	11.032717314528503	0.011533453774514	1.706029300186597	0.0026352203995340003
220.0.	0.001531282097279	0.032181910800888	1.688545971243959	0.22395081352855	1.304603824902797	1.9898938326803581	1.801951225307089	10.926113405775505	0.011390831522988	1.71913097766301	0.002623674675196
225.0.	0.0015299434010640001	0.030616613365278003	1.547866486208618	0.20675122319559702	1.205480055317055	1.9899608037538261	1.7948196908391392	10.819040380611275	0.011300822107703001	1.731694945078199	0.0026200590480830004
230.0.	0.001528668666486	0.029127630151641003	1.418908278564275	0.19086533682835102	1.107983725144208	1.990026726112245	1.787585479999318	10.710529354213499	0.011270549833065	1.743738065850574	0.0026246275096950002
