time	Ar	ArH	H2O2	NADH	NADrad	O2	coI	coII	coIII	per2	per3	super
3000.0.	3.674619633349249e-05	499.9999632538022	2.4081850802887993e-05	74.0000330010425	3.3671014381282586e-05	1.9666240549665042	1.2721981196767322e-05	0.00036527345432200005	0.384851304336956	0.009012734975382	1.00575796525214	7.735313814695316e-05
3100.0.	7.800210443282461e-05	499.9999219978938	0.00010511580468400001	81.58302201453368	2.9818814298634017e-05	6.204427393719498	2.9733018696182553e-05	0.000855755068147	0.596226004035591	7.030349632394575e-05	0.8028182043812361	0.00027071029094
3200.0.	0.00011480765630000001	499.99988519234205	0.00029018580953400004	88.81632965463434	3.467409109249677e-05	8.307895827122266	4.7624349155439556e-05	0.0013716548436460002	0.9730741098144451	3.235826718209346e-05	0.42547425272556605	0.0007915626862760001
3300.0.	0.0005815736633310001	499.99941842633484	0.030997201460953003	95.47421394285608	0.00016267805110600002	9.192857554428445	0.00026431232353000004	0.0073467583652370005	1.372817815697334	5.53412273790815e-06	0.019565579491154002	0.022941156317804003
3400.0.	4.690962754546041e-05	499.999953090371	4.479072555775247e-05	79.79501043255692	3.1035706314703004e-05	3.283716066097647	1.75051801348239e-05	0.00050298229717	0.42489992520720504	0.000190608620334	0.9743889786951481	0.00012290466175
3500.0.	8.793064210346849e-05	499.9999120693563	0.000140675120969	87.2627393921467	3.2365874861540606e-05	6.853994326624456	3.584562111667265e-05	0.001031964030786	0.6897285911013871	6.0927717441504766e-05	0.709142671529261	0.00036727511408500004
3600.0.	0.000126231057364	499.99987376894114	0.00048184990583000005	94.36862287265191	3.8446397912839544e-05	8.588859016602148	5.563798760466563e-05	0.0016023704574800002	1.114851008018167	2.326686886654115e-05	0.283467716667875	0.0013497280410380002
3700.0.	0.019749416548108002	499.9802505834504	0.09708973846957501	90.55161969963464	0.009355856916722001	4.613145315433015	0.008616884296901	0.23425525108666803	0.9968940928337641	0.003114415065794	0.157119356716865	0.11670510933415401
3800.0.	6.171247807896377e-05	499.99993828751974	7.539904004844704e-05	85.7186889154995	3.169828259557758e-05	4.767670712980131	2.4726101007342393e-05	0.000711118701187	0.49587133325097105	0.00011068191754600001	0.9032821400292801	0.00019658967414900002
3900.0.	0.00010136092820500001	499.9998986390695	0.00020880308540500002	93.03378914801955	3.552231233108188e-05	7.569419213794854	4.40474468582246e-05	0.00126839140976	0.835471046856307	4.8103016980988654e-05	0.563168411270086	0.000559718452196
4000.0.	0.00015658423995	499.99984341575777	0.001880275506855	99.96255010008457	4.759104521084769e-05	8.884326432838872	7.325299150242474e-05	0.0021018902580960002	1.309088235416368	8.972280656858683e-06	0.08872764905337001	0.004820059015994
4100.0.	3.674283436567827e-05	499.9999632571632	2.7150320029329442e-05	84.1818508581422	3.8558035818014434e-05	1.946440313216635	1.4470989912644772e-05	0.000415477853405	0.38553520463754803	0.009588660001966	1.004446186517162	8.77832296006812e-05
4200.0.	7.900317651520428e-05	499.999920996821	0.00012117603952800001	91.70914807999206	3.3943717244409464e-05	6.156681841509587	3.3852444241029895e-05	0.0009743036434540001	0.621959428942082	7.812884191444194e-05	0.7769542861283011	0.00031589388800200004
