time	A1	A1_2	A2	A2_2	A3	A3_2	CREB_n	DUSP_c	DUSP_n	DUSP_n_ERK_n	DUSP_n_pERK_n	DUSP_n_ppERK_n	DUSPmRNA	ERK_c	ERK_n	Elk1_n	F	FOSn	FOSn_2	FmRNA	Fn	Kin	Kin_2	MEK	PreDUSPmRNA	PreFOSmRNA	PreFmRNA	RSK_c	RsD	RsT	c_FOS_c	c_FOSmRNA	pCREB_n	pDUSP_c	pDUSP_n	pDUSP_n_ERK_n	pDUSP_n_pERK_n	pDUSP_n_ppERK_n	pERK_c	pERK_n	pElk1_n	pMEK	pRSK_c	pRSK_n	pc_FOS_c	ppERK_c	ppERK_n
550.0.	181.90982753142924	0.442572468571574	22.829624367458926	2.5573956325411302	12.967048317955461	0.12557168204454802	981.0183949192545	0.784315144590771	0.6985313687297521	1.3888060982676391	0.625413148598551	0.028418807986515002	13.020952625621911	63.47514615075458	1154.0858552887667	1293.8103464499231	1.3913742867498242e-10	0.12782452103122702	0.008237761167412	3.7485158709331815e-09	2.565174059075788e-11	81.47709100674835	1.188648993251649	525.2992048296413	6429.179908921802	93.33294998300731	3.449776589115857e-06	352.6145251469602	235.77045381053912	11.6330461894611	0.008466246570761001	7.511509192987408	18.981605080746434	2.0819869016351482e-05	0.000519350903612	0.001032456388429	0.00046497246590900004	2.112783162368317e-05	99.64101055376469	82.37393655086254	216.18965355007728	112.02199517035409	0.32103118604983405	0.275350213505545	0.00015061295980900002	403.6855356333363	401.8471206507624
605.0.	181.87092658131314	0.481473418687679	22.666377636391204	2.720642363608866	12.955279379937602	0.13734062006240602	982.6964102122685	1.329195679693349	1.302917466811678	2.832447498828117	0.687085211435276	0.041859380731144	17.968168192033808	73.22847680875644	1261.3957488245335	1387.7343899695475	2.6813101638366932e-09	0.25431147526418	0.014218024176910002	5.2568463085751786e-08	5.139573737692648e-10	81.36027294960017	1.305467050399786	528.6518237115772	7907.899817132006	110.74688977702569	3.4888233607281416e-05	352.6328335311102	236.97249232764648	10.431007672354056	0.016363423484134002	11.524247563517559	17.303589787732268	3.4401387458425544e-05	0.000935511797605	0.0020341335861920004	0.000493368196806	3.0059002633344516e-05	106.66752283790932	48.51594752840155	122.26561003045347	108.66937628841889	0.30565258019464103	0.262832069880824	0.000279768509693	389.15784174497236	317.25260441284473
660.0.	181.83291105834817	0.519488941652638	22.515254012811145	2.8717659871889243	12.943647127770554	0.14897287222945102	984.670104602203	2.023612346101296	2.11279868407289	4.889915739255181	0.720423990292267	0.051635001452666	23.042974606640207	83.70568211992513	1342.5838224311883	1483.7026779589567	2.419561599686423e-08	0.439958749790168	0.02049958691716	3.6085766084917874e-07	4.757970506287514e-09	81.24393618863412	1.421803811365847	533.6670222811031	9252.381738507704	123.56652210147428	0.000180043044749	352.6543977839469	238.07334427980956	9.330155720190673	0.02767873319653	16.050443074256574	15.3298953977979	5.069565084724663e-05	0.0013128789264750002	0.003039584216133	0.00044771642722700005	3.2091902000055954e-05	115.96605110864564	31.369800897903747	26.29732204104411	103.65417771889284	0.287635141018635	0.247677502419432	0.000450019606006	371.6787350425549	241.296272661631
715.0.	181.7957605389616	0.5566394610392741	22.37535299143336	3.011667008566701	12.932149967302069	0.16047003269794102	986.5625754750898	2.857731681230802	3.129954708329357	7.572606284922314	0.7356987748394931	0.057117382739625	27.91669506115146	94.78070691668202	1403.2354235115922	1497.5053248473773	1.315131189466414e-07	0.690341678038303	0.025917515403757002	1.528327902322365e-06	2.6338258985151367e-08	81.12810565172218	1.537634348277782	539.5704701788578	10299.17998070746	123.7491824095797	0.000583410239938	352.6773320396443	239.02924471664593	8.374255283354387	0.042630480947037	20.717432240202324	13.437424524910412	6.891439045620537e-05	0.001596427879092	0.0038639650330150005	0.000375292232087	2.9139479328234365e-05	125.79231511987518	21.624095225406332	12.494675152623527	97.75072982113845	0.26850041561583404	0.23144314570392402	0.0006543179846900001	352.53938682501797	180.15788892426124
770.0.	181.75945508287478	0.592944917126037	22.24584098723858	3.14117901276147	12.9207863231264	0.171833676873606	988.2752013883205	3.811005536220745	4.343333748752207	10.84034919524867	0.738345835710089	0.05899559863211701	32.1472008303844	106.2718087540185	1447.393271002177	1502.3755952574986	4.955615740233916e-07	1.003676854010799	0.029632526603014003	4.545948084899126e-06	1.0062188233532689e-07	81.01280554324512	1.6529344567548492	545.7370560898055	10899.474078920488	113.23014574226981	0.0013378896276500002	352.70061824117516	239.82892392418202	7.574576075818465	0.061021995510634	24.99586211659442	11.72479861167987	8.800471974197459e-05	0.001773664922914	0.0044287382398710004	0.000301557669793	2.40977805030054e-05	135.43444085101348	15.638992166602625	7.6244047425011985	91.58414391019036	0.24909109143783903	0.21487830610490502	0.0008794439552750001	332.48810653777866	134.08952465224536
825.0.	181.7239752211233	0.6284247788776091	22.125946358004214	3.261073641995842	12.909554638361467	0.183065361638544	989.769548350886	4.852255225642001	5.724694636903702	14.595504754751875	0.7329159954121891	0.058767259910723006	35.39869881598444	117.8857032055258	1478.3864916970301	1504.8872181822596	1.418988727943777e-06	1.371042147824314	0.031758711428862	1.0402182295784751e-05	2.911555986703946e-07	80.89805934635552	1.767680653644406	551.7169627168548	11127.971177352783	98.50484023194764	0.002396336856463	352.7233256840881	240.4826147397777	6.920885260222747	0.082329743781685	28.588704881575882	10.230451649114281	0.000106813439333	0.0018630020612540002	0.004751874727436	0.00023854823835200002	1.9129493068070554e-05	144.44170879347732	11.778006932225065	5.11278181774132	85.6042372831415	0.230181526914728	0.19865100753066803	0.001110846737448	312.3045836621798	101.33762234674077
880.0.	181.68930194436294	0.663098055638064	22.01495479732587	3.372065202674183	12.898453374423038	0.19416662557698403	991.038086492842	5.9496652841048885	7.232636265169901	18.707787253516795	0.7233287689380781	0.057759743985406	37.6602340478986	129.32043051788577	1499.721529451945	1506.3083257995054	3.308574023073596e-06	1.7806123082094651	0.032980893131399	1.9719207499483245e-05	6.842324277300889e-07	80.78388982577752	1.8818501742223792	557.2274555409508	11171.871316568788	83.8318061737461	0.003654621505862	352.7447008509126	241.01152105059208	6.391978949408386	0.105921741275596	31.444615049636035	8.96191350715819	0.000124437663976	0.001897120889955	0.004908983440592	0.00018975379329100003	1.5153832531590783e-05	152.52230619465126	9.200426913328647	3.691674200496981	80.09374445904591	0.21239500912563103	0.18331768892503403	0.001337002563099	292.70604584439604	78.83391941572722
935.0.	181.65541669155806	0.696983308442879	21.912205071550165	3.474814928449887	12.887481010812808	0.20513898918721502	992.096623212844	7.078556301466539	8.824833381245003	23.05415254541659	0.711914979804344	0.056590952295097	39.126451758347045	140.33508258519345	1514.6021348020606	1507.175651024379	6.625665083144905e-06	2.22111746307291	0.033779962420985	3.2767363708459055e-05	1.378278800748254e-06	80.67031903119269	1.995420968807261	562.1233606631124	11144.15583761306	70.68422037470985	0.005040314344715	352.764281472805	241.43982796307498	5.963672036925544	0.131195486584388	33.627058251769434	7.903376787156568	0.00014039763826	0.00190351817123	0.004974533409365	0.000153578003795	1.2209162715178623e-05	159.55157245255742	7.4214708312978175	2.824348975622959	75.19783933688397	0.196111204366811	0.16923128844509702	0.001550317609813	274.2163753640207	63.303038397299595
990.0.	181.62230133890705	0.730098661093868	21.81708507345748	3.5699349265425653	12.876636044898623	0.21598395510140303	992.9714647886213	8.221999686826702	10.466977889129586	27.537716052912916	0.699844395768447	0.055467121998675005	40.01880784697322	150.73259183156935	1525.2449684692765	1507.7415985696543	1.1850719406151172e-05	2.682886793901943	0.034365887192612	4.9613633353546774e-05	2.47607569025554e-06	80.55736830109538	2.108371698904573	566.3594840060475	11089.321605666679	59.34617504943199	0.006513248118080001	352.7818427003248	241.78989705906417	5.613602940936372	0.157624263777247	35.22953398800474	7.02853521137941	0.00015459106622500002	0.0018979666597890002	0.0049949360656640004	0.000126915076859	1.00596040799806e-05	165.52598587312843	6.1510375184088915	2.258401430347242	70.96171599394874	0.181513657367556	0.156568289857306	0.001746920656458	257.17709123927796	52.31173086113711
1045.0.	181.58993818908988	0.762461810911077	21.72902817008722	3.657991829912819	12.865916991701901	0.226703008298126	993.6898686412613	9.368923842640841	12.134394713338118	32.08803740737227	0.6878551294695161	0.054493450931908	40.51651465302794	160.34659145879175	1532.9915343625564	1508.1301599435817	1.946412029892105e-05	3.157824689883176	0.034861502812737005	7.022012539319037e-05	4.0805242418149e-06	80.44505826715941	2.22068173284056	569.9548550073109	11023.63743896352	49.72111745129903	0.008052660075044	352.79731153308705	242.0801717787053	5.323328221295281	0.184763247703464	36.344790363651235	6.310131358739251	0.00016718588721700001	0.001888681676561	0.004995765585167	0.000107072178974	8.483076707812296e-06	170.50482348578294	5.214913653427533	1.8698400564208781	67.36634499268543	0.168660697659786	0.145391377715441	0.001926124220483	241.79610295938096	44.33150544938198
