time	species_1	species_2	species_3	species_4
282.0.	1.140712411455053	1.867990781377417	0.019165825236687	0.730474048101419
288.0.	0.531321811647615	0.529590525597405	0.6754273496126351	0.08584737711517
294.0.	0.620398259923131	0.09012695612554	0.9991820837605041	0.039164702064677
300.0.	0.64985861758467	0.133125573112736	0.9999963983918131	0.05535459825697701
306.0.	0.6646481628980051	0.15775140916385202	0.9999946564110821	0.064420128909965
312.0.	0.675124609165756	0.175217119416846	0.9999890087260701	0.071146990698274
318.0.	0.684408005561662	0.19069682188926101	0.9999807131548941	0.077314646740628
324.0.	0.694371301630552	0.207314259365624	0.9999669467409331	0.084146711730535
330.0.	0.7074692463659911	0.22916815424230802	0.9999381124803691	0.093457434348562
336.0.	0.72999112748894	0.266776267366145	0.9998449602055771	0.110319093016206
342.0.	0.7929208308962461	0.372224880262428	0.998939570077723	0.16278274491951902
348.0.	1.196243040555484	1.3059233677632252	0.47099343989242404	0.6511343114593421
354.0.	1.1163301452793841	1.8346856895104322	0.018602801162284	0.70921063599366
360.0.	0.5333739584810191	0.35582630664139403	0.827376874034069	0.052632673489309
366.0.	0.625158599685093	0.095408683680942	0.9995709704356711	0.041537835770632005
372.0.	0.651838226702088	0.136413103393194	0.9999970544362701	0.056538161738351
378.0.	0.6659036795397411	0.15984435227245902	0.9999941434128611	0.065213095932085
384.0.	0.6761445936892361	0.176917754776203	0.9999882701068491	0.071815200154447
390.0.	0.6854144544550861	0.192375236530082	0.9999795771251591	0.07799484946615101
396.0.	0.6955698767909331	0.209313655100998	0.9999648705151231	0.08498327701363201
402.0.	0.7092500326038911	0.232140262261039	0.9999330054867601	0.09475178925878601
408.0.	0.7336604264702561	0.272908062475338	0.9998226324455691	0.11316588320161401
414.0.	0.8077921135759351	0.397269772440744	0.9984687426366351	0.176240697786702
420.0.	1.216108927661363	1.5001280924324631	0.29320795113796905	0.7097597004567341
426.0.	1.085897821684691	1.7876650649881851	0.019616825541194	0.6810923624792511
432.0.	0.547775120647518	0.23715625166404303	0.9092952803918071	0.036217549551639
438.0.	0.6293503848027651	0.100879086676512	0.9997748700551181	0.043727179891064005
444.0.	0.653694601885211	0.139500699806017	0.9999972262465311	0.057656574784698
450.0.	0.667118752547999	0.161869929065853	0.9999936084239781	0.065983956350865
456.0.	0.677154077872687	0.17860091647650903	0.9999875006731871	0.072478835094927
462.0.	0.68643055509877	0.194069790992096	0.999978377004002	0.078683851877842
468.0.	0.696806101522617	0.21137593839145302	0.9999626222385011	0.085849399559784
474.0.	0.7111391361250551	0.23529340496165302	0.9999272284139361	0.096132254224271
480.0.	0.737744469140825	0.279734740686778	0.9997948391613861	0.116366650888351
486.0.	0.826510679250358	0.428895128654236	0.9976451200403851	0.19370184635075702
492.0.	1.219889908354411	1.6557403792207501	0.17640421543732301	0.744963845548666
498.0.	1.046677952713055	1.723368619540871	0.022349012536814	0.64292405700401
504.0.	0.5635506556697181	0.16221988757505001	0.9524190685814591	0.029325073829318003
510.0.	0.633079292293076	0.10623340223731301	0.9998817432387671	0.045739833292013005
516.0.	0.6554427709554931	0.14241097286769	0.9999971330965671	0.058717260742242004
522.0.	0.668297841314716	0.163835562827744	0.9999930516293751	0.066735212776001
528.0.	0.6781553536325391	0.180270426020312	0.99998669831987	0.07313933463011
534.0.	0.687458616831299	0.19578433918879	0.9999771065257411	0.079383288931509
540.0.	0.69808444480953	0.213508575096569	0.9999601790601481	0.08674852597943501
546.0.	0.713150812010767	0.238651434853819	0.999920649260665	0.097610615017235
552.0.	0.7423254667064031	0.287394516495596	0.9997596336829111	0.11999692454843801
558.0.	0.85063131139639	0.46985713112995803	0.9960746518940321	0.21700025668063702
564.0.	1.215535458027485	1.767221073211712	0.106170361728496	0.762914898791728
570.0.	0.9943150730292751	1.634812642249738	0.027771163000913004	0.589384992815713
576.0.	0.577457076887199	0.11843843024864001	0.9750461293180951	0.027585398777212004
582.0.	0.636426347481819	0.11132619692063501	0.9999377178506581	0.047590764894229004
588.0.	0.657095564712286	0.14516395902763202	0.9999968904420011	0.059726684261659
594.0.	0.6694449845904951	0.16574798011594502	0.9999924727931441	0.067469157308312
600.0.	0.679150636681459	0.18192997814057202	0.999985860676812	0.073798108751515
