time	T	Tm	Tmw	Tw
44.0.	61095179.25395196	1001669.4176179023	30940.621353873525	338338.8006936566
45.0.	61896502.45293522	1072908.5452897896	33296.182979139754	364636.6652517583
46.0.	62699316.223461635	1150480.5121640502	35989.96131209802	393299.6316918136
47.0.	63502585.93985561	1235010.388580588	39079.15978310745	424560.6275681613
48.0.	64305149.14472663	1327186.994903785	42631.5212004072	458676.40778204385
49.0.	65105701.84173734	1427768.8669677074	46727.37664166096	495929.88585040596
50.0.	65902783.54443541	1537590.5465464855	51462.10389812345	536632.6377494303
51.0.	66694761.041952245	1657569.1354604196	56949.07695895569	581127.5731306962
52.0.	67479810.86703865	1788711.0201084092	63323.20328770065	629791.7619264559
53.0.	68255900.48653829	1932118.6324263893	70745.16324732594	683039.3954720828
54.0.	69020768.28151745	2088997.0616947783	79406.48608848898	741324.8498301755
55.0.	69771902.44681716	2260660.267281789	89535.61941847169	805145.8045059999
56.0.	70506519.021101	2448536.5632678918	101405.17380753635	875046.3516691342
57.0.	71221539.36219347	2654172.949981189	115340.55065477105	951620.0088083119
58.0.	71913567.51247886	2879237.7531313417	131730.18867478406	1035512.5209545558
59.0.	72578868.05910836	3125520.897480647	151037.690805474	1127424.3068338297
60.0.	73213345.28701793	3394930.9890361894	173816.11655169062	1228112.3663918949
61.0.	73812524.65145902	3689488.209665378	200724.74122209093	1338391.4252651348
62.0.	74371537.86111444	4011311.845696556	232548.58820249734	1459134.0456900368
63.0.	74885113.16001543	4362601.086262939	270221.02658608765	1591269.3845694864
64.0.	75347572.71892303	4745607.5519505115	314849.68532519386	1735780.230527683
65.0.	75752839.38072437	5162597.870527218	367745.8554806539	1893697.9067472348
66.0.	76094455.32747288	5615804.533128472	430457.42076000635	2066094.590845307
67.0.	76365615.51626492	6107363.279446168	504805.1581215312	2254072.5846194727
68.0.	76559218.92230295	6639235.421884776	592921.9686712921	2458750.0748584387
69.0.	76667940.67230512	7213113.882241682	697294.2192626753	2681242.973171634
70.0.	76684327.9796542	7830312.340924978	820803.8859464256	2922642.5208919663
71.0.	76600922.32522228	8491637.846789524	966769.588778878	3183988.5076600607
72.0.	76410409.48373412	9197248.551469894	1138983.904426127	3466238.1906287326
73.0.	76105797.7037855	9946499.93409734	1341743.5699603525	3770231.3220636095
74.0.	75680622.56573285	10737784.942524055	1579868.4069888627	4096652.0950013543
75.0.	75129174.76877338	11568375.800645327	1858704.0911717042	4445989.285882157
76.0.	74446744.410554	12434277.637722053	2184103.393865096	4818496.380009601
77.0.	73629872.38508576	13330106.30893108	2562380.384781717	5214153.962175313
78.0.	72676596.60666193	14249004.431284834	3000232.4763558167	5632637.074546705
79.0.	71586678.23685953	15182610.329928994	3504626.2695666575	6073290.507043353
80.0.	70361791.38670684	16121093.848639227	4082645.036549515	6535115.008074072
81.0.	69005659.33835958	17053270.47950085	4741298.365152463	7016767.112711747
82.0.	67524121.5630023	17966800.84835321	5487297.880261809	7516574.637372023
83.0.	65925118.92243153	18848476.372422427	6326806.774438586	8032568.888341703
84.0.	64218589.395735994	19684584.344420794	7265174.700576208	8562533.339800011
85.0.	62416273.12635511	20461337.592964903	8306672.865153429	9104067.081494149
86.0.	60531432.89048306	21165346.277206503	9454246.346515683	9654659.893664213
87.0.	58578503.36786715	21784103.436938293	10709301.264159739	10211774.577632636
88.0.	56572688.88457714	22306452.649582572	12071543.152961705	10772931.342064546
89.0.	54529533.71898755	22723006.20132828	13538879.742685188	11335788.752797503
90.0.	52464491.00599744	23026485.70620721	15107396.611672573	11898216.051828403
91.0.	50392515.516141474	23211963.68230786	16771408.45019427	12458352.497039119
92.0.	48327702.32613088	23276993.305425063	18523582.677846987	13014650.640416766
93.0.	46282988.2051651	23221623.187810462	20355126.681218922	13565901.961550884
94.0.	44269926.2257953	23048303.291230418	22256025.626173414	14111244.79715146
95.0.	42298537.54958282	22761695.872512158	24215315.08053911	14650155.867221417
96.0.	40377238.32835506	22368410.918964107	26221371.707332976	15182427.7547801
97.0.	38512834.78784084	21876688.531831186	28262205.93945002	15708135.374539068
98.0.	36710576.146585524	21296051.238968205	30325742.503460236	16227594.758110292
99.0.	34974253.136714056	20636947.66026787	32400077.48687418	16741317.433957081
100.0.	33306329.39409642	19910405.893734045	34473703.88012804	17249963.368245624
