time	A	I1	I2	S
88.0.	1605.1827401027113	16372.817865653615	0.051865702778412	1762.564650596543
89.0.	1605.1832809532418	16372.828515955345	0.04600075175910601	1762.5639183399596
90.0.	1605.1837533487217	16372.837896338553	0.040799006839712	1762.563269562136
91.0.	1605.184165861783	16372.846157882233	0.036185472964089	1762.5626947462094
92.0.	1605.1845260008402	16372.853433728993	0.03209363548429	1762.5621854602957
93.0.	1605.1848403412434	16372.859841210471	0.028464501199713003	1762.561734233792
94.0.	1605.185114640369	16372.865483721354	0.025245747835115	1762.5613344477802
95.0.	1605.1853539386007	16372.870452371628	0.022390969695285003	1762.5609802379247
96.0.	1605.1855626479269	16372.874827443347	0.019859008620764	1762.5606664084494
97.0.	1605.1857446296606	16372.878679674914	0.017613360598788	1762.5603883559127
98.0.	1605.185903262612	16372.882071393336	0.015621649474414	1762.5601420016822
99.0.	1605.1860415028784	16372.885057512398	0.01385516017416	1762.559923732097
100.0.	1605.1861619362776	16372.887686412578	0.012288424712558001	1762.5597303454676
