time	APC_PS_Va_l	APC_PS_l	APC_f	APC_l	AT_f	II_f	II_l	IIa_AT_f	IIa_TM_PC_l	IIa_TM_l	IIa_f	LIPID	PC_f	PC_l	PS_f	PS_l	TFPI_Xa_TF_VIIa_l	TFPI_Xa_l	TFPI_f	TF_VII_Xa_l	TF_VII_l	TF_VIIa_X_l	TF_VIIa_Xa_l	TF_VIIa_l	TF_l	TM_l	VII_Xa_l	VII_f	VII_l	VIIa_f	VIIa_l	V_IIa_l	V_Xa_l	V_f	V_l	V_mIIa_l	Va_f	Va_l	Vai_f	Vai_l	X_f	X_l	Xa_AT_f	Xa_Va_II_l	Xa_Va_l	Xa_Va_mIIa_l	Xa_f	Xa_l	alpha2M_IIa_l	alpha2M_Xa_l	alpha2M_l	mIIa_AT_l	mIIa_f	mIIa_l
250.0.	1.3081285416988811e-05	41.94948399414087	0.349549856265078	2.861842817992164	4719.318035574532	336.799897577149	829.9237630773498	1.196745011719321	0.021869552659241003	0.147020151632856	0.086285104482373	57305.36702548476	5.962755965510092	14.854484732147359	0.5133172108883041	73.53718571368543	0.003763789168184	0.595356089962894	11.700880120868971	1.936794697057068e-07	0.002698219194249	0.0020528769673620003	0.003084542190298	0.006539862655526	6.051614490842001e-05	0.8311102957079081	0.00043425596591100004	0.139368740601716	6.050216313505042	0.011724364368785	1.4801168417034472	6.073814147949489e-08	4.418681410695138e-07	2.531098671905171e-07	4.989406156217903e-05	3.626360174170038e-06	3.137928986466644e-08	6.015892713041047e-06	0.009060321292062001	1.74086515797595	35.38426336117035	106.72135862380712	0.035001000339748005	4.4094929654603045e-07	5.999939932072696e-07	7.509338854189082e-08	0.016913118389297002	0.08612773244701301	0.03377836993688	0.0016428580079310001	363.9645787720554	0.45021841339018903	0.095139052685729	5.745279485855214
255.0.	9.186178116371017e-06	42.28960412480133	0.353956701815049	2.8976297767483232	4719.288317085475	336.8226892820092	829.9009475085417	1.210233637155641	0.020407079095442003	0.139737457869964	0.081165607634333	57299.942624728064	5.854609777801612	14.58378335356036	0.5110065259722231	73.19938016304835	0.003938833323117	0.6099792520767501	11.686081914600182	1.8777714115668858e-07	0.0026261509909370003	0.002034947565931	0.0030578638273820002	0.0064835803869850005	5.8436128503443266e-05	0.839855463034599	0.00043028334741200005	0.138643205263302	6.018150449262474	0.011983268212315	1.5126512300429922	4.033802345373154e-08	3.1073356511392963e-07	1.7872410863061749e-07	3.522771021626011e-05	2.553625834284938e-06	2.186278867683142e-08	4.191078952329487e-06	0.009061289386468	1.740886226378896	35.38297116005515	106.70733896818645	0.035917213046659	3.058010641751046e-07	4.161120765721274e-07	5.206988753920185e-08	0.016849875165272	0.08579446210637301	0.034159144546846	0.0016858688061980002	363.96415498664726	0.46553206430298805	0.094898762816966	5.73022650419387
260.0.	6.457727037373778e-06	42.60680654149451	0.358104188404945	2.931312272428544	4719.2594375704775	336.84349610996014	829.8801241191782	1.222925695521391	0.019058789634505	0.13280846660245402	0.076395825556218	57294.991840989154	5.753626667741335	14.331085082569363	0.508850199619154	72.88433680115931	0.0041158811458120005	0.624495236286963	11.671388882567276	1.819998238145089e-07	0.002555952227259	0.002016328793615	0.003030138657595	0.0064250678036790005	5.644937221414335e-05	0.848132743763046	0.00042623694872000005	0.137923251081524	5.986382357316511	0.012239737057916	1.544884866967533	2.6829883565613912e-08	2.1865180605294168e-07	1.26311456902496e-07	2.4894825999240424e-05	1.7998332322561808e-06	1.5257573898412563e-08	2.9246402599979217e-06	0.009062149089483001	1.740900849301458	35.3814929314378	106.69364311164188	0.036829863954873004	2.1237807583714048e-07	2.889967548530229e-07	3.615697637619905e-08	0.016782041274841	0.08543857905856901	0.034517434435230004	0.0017287126163680001	363.96375385294857	0.48080687002466704	0.094658190047037	5.715206423843815
265.0.	4.544377779398628e-06	42.902900929736674	0.362008769443036	2.963024346041556	4719.231343321011	336.862474990612	829.8611337291502	1.23487518260864	0.01781426486191	0.126217498007302	0.07194678506586001	57290.47702405528	5.659253711930524	14.094993433608748	0.5068361021616851	72.59025842372385	0.0042947353576	0.638900364978612	11.656804899663836	1.76345530876756e-07	0.002487584364325	0.001997063059537	0.0030014303370910003	0.006364460559574001	5.454997633872895e-05	0.8559682371307931	0.000422114954541	0.13720911390252302	5.954917520227882	0.012493727130694	1.576812073760689	1.787123990880557e-08	1.539499722065867e-07	8.934825356633894e-08	1.760843633736071e-05	1.2696791382453808e-06	1.0664705937036541e-08	2.044116562379364e-06	0.009062916456387	1.7409109712866941	35.379847410120774	106.6802572881111	0.037738700098229	1.4769246218646322e-07	2.009798615976922e-07	2.514060395090802e-08	0.01670947946049	0.085059331857468	0.034854763615548005	0.001771377556582	363.963373858828	0.496042796260216	0.094417433039977	5.700221096397025
270.0.	3.201178397790068e-06	43.17952931250392	0.365685801063069	2.992891018486822	4719.203985047772	336.87976886035614	829.8438318506328	1.246131666355038	0.016664161618983	0.11994925830401701	0.06779246440393301	57286.36392928181	5.570987838625405	13.874238666523627	0.5049532209320421	72.31551426538566	0.00447519924166	0.653190887480756	11.642333913277628	1.708129267833212e-07	0.0024210088652140004	0.001977192576622	0.002971802251239	0.006301893677413	5.2732574922100944e-05	0.8633865800770041	0.000417917167963	0.136501021272824	5.923761501967562	0.012745194077589	1.608427098088973	1.1920769773004801e-08	1.084579949910387e-07	6.325739681668442e-08	1.2465722363148332e-05	8.964797053102799e-07	7.465615943676606e-09	1.430853245163296e-06	0.009063603955019001	1.740917950426801	35.37805167539826	106.66716906985441	0.038643462771372004	1.028367379853533e-07	1.399434216683424e-07	1.7502528488899542e-08	0.01663211419448	0.084656288034333	0.035172531136108	0.0018138514757280002	363.9630136173883	0.511239823080479	0.094176574431518	5.685271780943447
275.0.	2.257240704473683e-06	43.438183723560776	0.36914960960748205	3.021028858057308	4719.177317433481	336.8955080492168	829.828087082137	1.256740733190451	0.015600093439219	0.113988901410562	0.063909435836347	57282.62136747233	5.488370734794111	13.667664723300634	0.503191543538959	72.0586224756596	0.004657077102879	0.667363033192924	11.627979889704244	1.6540115220638332e-07	0.002356187246403	0.0019567592817120003	0.002941317395392	0.006237501300552	5.0992271907845634e-05	0.8704110051502231	0.000413644736767	0.13579919094428802	5.892919837239211	0.012994093844254002	1.6397242255073752	7.962526140760338e-09	7.645291355008796e-08	4.4824631424541725e-08	8.83277310066182e-06	6.335337788124139e-07	5.233701890235018e-09	1.003029634829234e-06	0.009064221445381	1.740922736058462	35.37612131259811	106.6543672077625	0.039543890638397	7.168822931534056e-08	9.755761324761664e-08	1.219932074584254e-08	0.016549922933449	0.08422928895975	0.035472023676245	0.0018561220993590002	363.96267185422454	0.52639794266823	0.09393568452497701	5.670359328518515
280.0.	1.593203139527678e-06	43.680221857102694	0.37241355755283	3.047546532063658	4719.15129873925	336.90981152691177	829.8137797127222	1.266744380762451	0.014614524233745001	0.108322070163891	0.060276556746743	57279.22089399078	5.410984314117765	13.474217621726405	0.501541954325877	71.81823459536835	0.0048401747258960005	0.681413056585223	11.613746768688923	1.601096810306728e-07	0.002293081128891	0.001935804754645	0.0029100382536990004	0.006171416440363	4.9324586821812576e-05	0.8770634056023681	0.00040929991634700003	0.13510382969766402	5.862397939842807	0.013240383401389002	1.670697871728601	5.325725597045493e-09	5.392290428525344e-08	3.179073588752395e-08	6.26408622840732e-06	4.481052538569225e-07	3.6741341182756983e-09	7.041052495186029e-07	0.009064776871276001	1.740925992288085	35.37407055688297	106.6418414900099	0.040439722396004005	5.0029890162374797e-08	6.808495931975393e-08	8.512415396886512e-09	0.016462928436538002	0.083778410224684	0.035754426629414006	0.0018981771546860001	363.962347396216	0.5415171575698471	0.09369482395111901	5.655484308337866
285.0.	1.1255977756361458e-06	43.90688093084087	0.375490107115444	3.072545336920394	4719.125890457322	336.922788019789	829.8008005024818	1.276181364297362	0.013700674010839001	0.10293492212699201	0.056874702385786007	57276.13653260642	5.338446683953519	13.292935141561374	0.49999614250580304	71.59312180105557	0.005024299826532	0.695337275105356	11.599638425068157	1.5493820458861988e-07	0.002231652288437	0.0019143701375040002	0.0028780266778320003	0.006103770723195	4.77254082926525e-05	0.8833644038621741	0.00040488586526800006	0.134415132439543	5.832201027495396	0.013484021340728	1.7013426582673432	3.566756811470855e-09	3.805366765569261e-08	2.2566343625367603e-08	4.446287412215235e-06	3.172264570293127e-07	2.582749762846262e-09	4.949313658679457e-07	0.009065276751155	1.740928183972225	35.37191242133363	106.6295826170335	0.041330699046170004	3.495180265677008e-08	4.7566237282215956e-08	5.946048754881492e-09	0.016371192044254003	0.083303926997132	0.036020833877896	0.0019400044772600001	363.9620391616449	0.556597479312913	0.093454045608238	5.640647094420528
290.0.	7.959911863438166e-07	44.11928997434013	0.37839088104266005	3.096119703119471	4719.101057004036	336.9345370106012	829.7890496123331	1.285087502821927	0.012852435412247001	0.097814143756142	0.053686534313729	57273.3445300409	5.270408555075518	13.12293765501901	0.49854652061826304	71.38216270905045	0.005209262492362	0.7091321009154481	11.585658636592235	1.4988653890413222e-07	0.0021718627043560003	0.0018924960551070001	0.0028453437672570003	0.006034694140321001	4.6190954054969084e-05	0.889333420831616	0.000400406469503	0.133733281532744	5.802334060822709	0.013724968358614002	1.731653473770471	2.3917811976913114e-09	2.6869641837932822e-08	1.603234083751773e-08	3.1587457572086e-06	2.247688257236699e-07	1.8179073776637753e-09	3.4835061303399595e-07	0.009065726528527001	1.740929636638541	35.36965881113156	106.61758209101183	0.042216565827610006	2.444259512808941e-08	3.3264686988013084e-08	4.157593158877555e-09	0.016274807811489	0.08280628379558601	0.036272256434790005	0.001981592101625	363.96174615146356	0.571638927292343	0.09321339609817601	5.625847925178002
295.0.	5.634313252040737e-07	44.318480730528584	0.38112672029272304	3.118357673050582	4719.076765447697	336.94514963275003	829.7784356613066	1.293495950576028	0.012064299901533002	0.09294695578310501	0.050696299393359005	57270.823137630265	5.206550043739462	12.96341996905599	0.497186152099077	71.18433255394102	0.005394875608767001	0.7227940672728881	11.571811057118389	1.4495455122089187e-07	0.0021136746064440003	0.0018702225376140001	0.002812049752435	0.005964314803838001	4.471773634724272e-05	0.8949887443153661	0.000395866191718	0.13305844632517	5.7728016945193446	0.013963187642912002	1.76162552305719	1.6058684718846632e-09	1.8983145669577492e-08	1.1400035542278251e-08	2.245987754005223e-06	1.5939633080724647e-07	1.2811676735195782e-09	2.454906373784785e-07	0.009066130823854001	1.740930578294606	35.36732062546072	106.60583211821168	0.043097073849572	1.710979759621297e-08	2.328559198628049e-08	2.909882784837929e-09	0.016173897391724	0.08228606814234701	0.036509630103692	0.0020229283380150003	363.96146744155834	0.5866415278566031	0.09297291680620401	5.611086944503363
300.0.	3.991872348435411e-07	44.50539733631655	0.38370773845187806	3.139341350747187	4719.052985266789	336.95470946995664	829.7688748934635	1.301437438178418	0.011331292521115002	0.08832111198514801	0.047889654931328005	57268.55241692485	5.14657782105883	12.813644061717415	0.49590868688982803	70.99869357760637	0.005580955267282001	0.7363198502674041	11.55809919446536	1.401421025982631e-07	0.0020570505196590002	0.001847588946014	0.002778203882138	0.005892758710977	4.3302531826191545e-05	0.9003475954937421	0.00039126994225300004	0.132390782846868	5.743608238936214	0.014198645177006001	1.791254365629472	1.0795114320838879e-09	1.341883765758799e-08	8.113111547597966e-09	1.598357650293745e-06	1.1313433736711799e-07	9.040019364834112e-10	1.7321451013677838e-07	0.009066493617081001	1.740931168631914	35.36490784856592	106.5943255227459	0.043971981466127005	1.198800079465149e-08	1.631529317285589e-08	2.038513028277024e-09	0.016068605577025	0.081743987600774	0.0367338222848	0.002064001836855	363.9612021758784	0.601605313545452	0.09273264472681501	5.596364230169068
305.0.	2.830811064845331e-07	44.680904928374396	0.386143372842762	3.159147323444413	4719.0296881346585	336.9632932714706	829.7602904396113	1.3089404874512551	0.010648914229117	0.083924893005878	0.045253516217037	57266.51406642114	5.090222569721498	12.672932608306908	0.494708304138522	70.82438648440596	0.00576732115357	0.7497062865338671	11.544526392312614	1.354490038256641e-07	0.002001953306294	0.001824633901112	0.002743864315816	0.005820149518917001	4.1942355284528535e-05	0.905426192765009	0.000386622968875	0.13173043364915302	5.714757630588077	0.014431309972792001	1.820535945176372	7.265444845754024e-10	9.490783107715814e-09	5.778819749694868e-09	1.138446848015336e-06	8.036793048378003e-08	6.386277085318531e-10	1.2236305100789458e-07	0.009066818381136	1.740931519447054	35.36242963123712	106.58305567044755	0.04484105542418	8.40697161532554e-09	1.144176107870911e-08	1.4293631111443e-09	0.015959096407750003	0.081180849750103	0.036945638037665006	0.002104801642657	363.9609495603197	0.6165303224444161	0.09249261310628501	5.581679813498658
310.0.	2.0092766499033047e-07	44.845797302337395	0.388442432353984	3.177847055407331	4719.006847727281	336.9709715920216	829.7526116613914	1.316031603250933	0.010013090924895001	0.079747096505889	0.042775923271246005	57264.69126695339	5.037236712666383	12.540663205382538	0.49357966115559804	70.66062283557932	0.0059537969127890005	0.7629503874776531	11.5310958156096	1.308749823242849e-07	0.0019483462054460002	0.001801395216528	0.002709088021862	0.005746608331801	4.0634436590074644e-05	0.91023981256922	0.000381930762682	0.131077527763401	5.686253410280724	0.014661154242977	1.849466611386789	4.895584043892955e-10	6.716300479846118e-09	4.1196453845679035e-09	8.115628645261451e-07	5.714020141649405e-08	4.516773329164371e-10	8.654062529464925e-08	0.009067108180612	1.7409317089359182	35.35989436383939	106.57201640171198	0.045704071814015	5.9008115060709925e-09	8.031001687910337e-09	1.003115968778153e-09	0.015845549775697	0.080597544703064	0.037145825495048	0.0021453172386370002	363.9607088572664	0.6314165976307651	0.09225285195147101	5.567033693025833
315.0.	1.427445579586551e-07	45.00080373793006	0.390613142073833	3.195507254883692	4718.984439551257	336.9778093648129	829.7457735672314	1.322735445178502	0.009420128367356001	0.07577702463074801	0.040445924098070005	57263.0685435707	4.987392382472609	12.416263211528062	0.492517847890016	70.5066782714353	0.006140210490541	0.7760493504767471	11.517810439032749	1.264196580708218e-07	0.0018961928696390002	0.0017779098361090002	0.0026739306823690004	0.005672253501313	3.93762003684419e-05	0.9148028470019001	0.00037719897792300004	0.13043218076030602	5.658098707737826	0.014888153521560001	1.8780431352027391	3.302512289189492e-10	4.755541789172882e-09	2.9393281011013333e-09	5.790294216435319e-07	4.066023018673143e-08	3.198153144688837e-10	6.127476202983977e-08	0.009067365745581	1.740931791708885	35.357309741873124	106.56120197229087	0.046560816847311004	4.145274148252608e-09	5.6417710568835075e-09	7.045782387358272e-10	0.015728158453997002	0.07999502982144001	0.037335080708964005	0.0021855385832380003	363.96047938070785	0.6462641866924831	0.092013388439696	5.5524258440023555
320.0.	1.015002229723048e-07	45.14659508859191	0.39266318484718005	3.212190215298752	4718.962440789544	336.9838664149875	829.7397162912063	1.3290749816404261	0.008866672279813	0.072004469561267	0.038253472143067006	57261.63164198708	4.940479603903732	12.299205133578559	0.49151834627947505	70.36188646362834	0.00632639444798	0.7890005674615661	11.504673038090486	1.2208252689349418e-07	0.0018454573985490002	0.00175421377608	0.0026384466049120003	0.005597200441915	3.816524803488409e-05	0.9191288581589241	0.000372433363783	0.129794494893156	5.630296231763845	0.015112286740166	1.906262718487069	2.2303493823161913e-10	3.369092634767239e-09	2.0989517034013015e-09	4.1347251516443273e-07	2.895779423191588e-08	2.2669917123866999e-10	4.343344757303611e-08	0.009067593527560001	1.740931805814308	35.354682824930045	106.55060700113738	0.04741108748418801	2.9144428612283633e-09	3.966628685857036e-09	4.952998870345531e-10	0.015607125495947002	0.079374316331054	0.037514051998637006	0.002225456139567	363.96026049186173	0.661073141306457	0.091774247254399	5.537856225034444
325.0.	7.223687375816499e-08	45.283789221966394	0.394599739897988	3.227954131974752	4718.940830162794	336.9891979201942	829.7343846271466	1.335071628388716	0.008349673017447	0.068419697739785	0.036189336006161005	57260.36741792525	4.896304665324962	12.189002495581748	0.490576993907594	70.2256337118891	0.006512186250018001	0.801801631218898	11.491686182531117	1.1786294976008328e-07	0.0017961043697800002	0.0017303420721550002	0.002602688641713	0.005521561461534001	3.6999341847902466e-05	0.9232306292427731	0.000367639706461	0.129164559311121	5.602848265114065	0.015333536266823001	1.934122998943364	1.507930520264123e-10	2.388199065127803e-09	1.5001048138474852e-09	2.955008561139149e-07	2.0640833866406472e-08	1.6086831905481783e-10	3.0820390935161954e-08	0.009067793742548	1.740931777668186	35.352020089804725	106.54022642450606	0.048254691927934	2.0507430847392213e-09	2.791133887137014e-09	3.484663166749197e-10	0.015482661953018001	0.078736457579442	0.037683343860451	0.002265060898618	363.9600515952409	0.675843516865482	0.09153545086426301	5.52332478272911
