time	IR	IRS	IRSiP	IRi	IRiP	IRins	IRp	X	Xp
13.0.8.0	0.298666590588476	7.078668745140982	2.921331254864027	6.502082666798658e-05	1.212665055631608	7.976196514112758	0.512406819302413	9.982653919231055	0.017346080767392
14.0.	0.298727560700544	7.081043980449094	2.918956019555916	6.502684182915582e-05	1.209879853351363	7.9787525881095664	0.5125749714586221	9.982611655912143	0.017388344086307
14.0.200000000000001.0	0.29878622697733803	7.083332908704006	2.9166670913010053	6.503268294834695e-05	1.207207391440866	7.981205061059766	0.512736288301	9.98257089774919	0.017429102249262002
14.0.4.0	0.29884268092652605	7.085538721120682	2.914461278884329	6.503835264300263e-05	1.204642585212149	7.983558615680658	0.512891080289943	9.982531590853188	0.017468409145265002
14.0.600000000000001.0	0.298897010158637	7.087664488837601	2.912335511167413	6.504385378506746e-05	1.202180618419249	7.985817686700071	0.5130396413301831	9.982493683281433	0.017506316717017002
14.0.8.0	0.298949298564595	7.089713167361416	2.9102868326436	6.504918945526152e-05	1.19981692616634	7.987986476704069	0.5131822498374671	9.982457124966416	0.017542875032034
15.0.	0.29899962648529105	7.091687600880606	2.90831239912441	6.505436290317065e-05	1.197547179121821	7.990068970769179	0.5133191697227341	9.982421867647298	0.017578132351154
15.0.200000000000001.0	0.29904807087338403	7.093590526445451	2.906409473559566	6.505937751242737e-05	1.195367268921623	7.9920689499881625	0.513450651301246	9.982387864803925	0.017612135194526
15.0.4.0	0.299094705447611	7.095424578012982	2.904575421992035	6.506423677035488e-05	1.193273294656946	7.993990003987238	0.5135769321333611	9.98235507159329	0.017644928405162002
15.0.600000000000001.0	0.29913960083983504	7.0971922903567854	2.902807709648235	6.506894424152489e-05	1.191261550352144	7.995835542522726	0.5136982378029811	9.982323444788301	0.017676555210152
15.0.8.0	0.299182824735136	7.098896102842398	2.9011038971626197	6.507350354475195e-05	1.189328513347822	7.997608806236366	0.513814782639057	9.982292942718844	0.017707057279609
16.0.	0.29922444200520804	7.100538363069827	2.899461636935194	6.507791833310677e-05	1.187470833512572	7.999312876640763	0.5139267703850461	9.982263525215014	0.017736474783441
16.0.2.0	0.29926451483536104	7.102121330385248	2.8978786696197743	6.508219227658327e-05	1.185685323214087	8.00095068539949	0.514034394820713	9.982235153552427	0.017764846446027
16.0.400000000000002.0	0.299303102845408	7.103647179264498	2.896352820740523	6.508632904710084e-05	1.183968947987072	8.002525022960173	0.514137840340236	9.982207790399592	0.017792209598861002
16.0.6.0	0.299340263204714	7.105118002571237	2.89488199743378	6.50903323055599e-05	1.182318817841224	8.004038546593467	0.514237282490231	9.98218139976719	0.017818600231263002
16.0.8.0	0.299376050741682	7.106535814692974	2.893464185312045	6.509420569070686e-05	1.1807321791578311	8.005493787885795	0.514332888470947	9.982155946959248	0.017844053039203
17.0.	0.29941051804795205	7.107902554558332	2.892097445446688	6.509795280959109e-05	1.179206407128256	8.006893159729358	0.5144248176035731	9.982131398526121	0.017868601472326003
17.0.2.0	0.299443715577555	7.109220088539115	2.8907799114659083	6.510157722942375e-05	1.177738998691836	8.008238962848965	0.514513221766367	9.982107722219206	0.017892277779241
17.0.400000000000002.0	0.299475691741285	7.110490213240729	2.889509786764294	6.510508247067235e-05	1.176327565934497	8.009533391901686	0.5145982458020201	9.982084886947312	0.017915113051132
17.0.6.0	0.29950649299651705	7.111714658184645	2.8882853418203753	6.510847200124236e-05	1.17496982991284	8.0107785411821	0.5146800278985031	9.98206286273468	0.017937137263763
17.0.8.0	0.29953616393271404	7.112895088386569	2.88710491161845	6.511174923161628e-05	1.173663614871522	8.011976409963095	0.514758699945403	9.982041620680508	0.017958379317933003
18.0.	0.299564747352823	7.114033106833936	2.8859668931710853	6.511491751083551e-05	1.172406842824546	8.013128907499471	0.514834387867621	9.982021132920005	0.017978867078435
18.0.2.0	0.299592284350784	7.115130256866395	2.884869743138628	6.511798012322286e-05	1.171197528473581	8.014237857719401	0.5149072119380881	9.982001372586854	0.017998627411586
18.0.400000000000002.0	0.29961881438534504	7.116188024462814	2.883811975542208	6.512094028575732e-05	1.170033774438708	8.015305003626557	0.514977287071081	9.981982313777065	0.018017686221372002
18.0.6.0	0.299644375350377	7.117207840438326	2.882792159566693	6.51238011460203e-05	1.1689137667790561	8.016332011433867	0.515044723097532	9.981963931514176	0.018036068484262
18.0.8.0	0.299669003641852	7.118191082554787	2.881808917450233	6.512656578064347e-05	1.167835770782602	8.017320474448116	0.515109625023628	9.981946201715699	0.01805379828274
19.0.	0.299692734221681	7.119139077548068	2.880860922456953	6.512923719419925e-05	1.166798127006284	8.018271916722924	0.515172093273899	9.981929101160825	0.018070898837616003
19.0.200000000000003.0	0.299715600678558	7.120053103075179	2.879946896929841	6.513181831847316e-05	1.165799247548799	8.019187796496421	0.515232223919882	9.981912607459307	0.018087392539137
19.0.400000000000002.0	0.29973763528595204	7.120934389584823	2.879065610420197	6.513431201207246e-05	1.164837612540067	8.020069509428582	0.5152901088953711	9.981896699021481	0.018103300976964002
19.0.6.0	0.299758869057419	7.121784122113964	2.878215877891055	6.513672106032448e-05	1.163911766832542	8.020918391651785	0.5153458361991771	9.98188135502939	0.018118644969057
19.0.8.0	0.29977933179935	7.122603442013489	2.877396557991528	6.513904817544241e-05	1.1630203168811781	8.021735722647056	0.515399490086222	9.98186655540896	0.018133444589487003
20.0.	0.29979905216129804	7.123393448606003	2.8766065513990142	6.514129599689178e-05	1.162161927798576	8.022522727958304	0.515451151247811	9.981852280803206	0.018147719195243002
