time	Epo	EpoR	Epo_EpoR	Epo_EpoRi	dEpoe	dEpoi
273.0.	54.15459813772387	474.8907467629402	33.89680996409378	137.9132225892414	1511.3623972748574	292.86297203408697
276.0.	51.968409207209916	476.6776292144039	32.657510482265025	133.37053066944083	1518.037177672895	294.1563719681918
279.0.	49.8780243845593	478.38757810994423	31.462066024338256	128.95142144748573	1524.4914458170692	295.4070423265494
282.0.	47.878756136888846	480.0233703539964	30.309137183616073	124.65469580764172	1530.7312548249508	296.61615604690405
285.0.	45.96616574340963	481.5877584028399	29.197396586435772	120.47896975953505	1536.7625941751974	297.78487373542407
288.0.	44.13605095698677	483.0834608184141	28.12553284356608	116.42269313342028	1542.5913810725656	298.9143419934636
291.0.	42.384433958142886	484.513153989786	27.092253932522443	112.48416747693888	1548.223452713555	300.0056919188443
294.0.	40.707549652595056	485.8794649609649	26.096290057618447	108.66156310389901	1553.6645594120985	301.060037773792
297.0.	39.101834352300145	487.18496529895486	25.136396033969838	104.95293525980497	1558.9203585426624	302.07847581126487
300.0.	37.56391487016994	488.43216593276804	24.211353240425474	101.35623938164007	1563.9964092566383	303.06208325112897
