time	C1	C2	C3	C4	C5	C6	C7	C8	C9	MAPK	MAPKMEKpp	MAPKPH	MAPKp	MAPKpMAPKPH	MAPKpMEKpp	MAPKpp	MAPKppMAPKPH	MEK	MEKPH	MEKRAFp	MEKp	MEKpMEKPH	MEKpRAFp	MEKpp	MEKppMEKPH	RAF	RAFK	RAFPH	RAFRAFK	RAFp	RAFpRAFPH
55.0.	0	0	0	0	0	0	0	0	0	0.36943255452275003	0.016861885594202	0.29018459016208903	0.0037070886995770004	0.009754546074433	0.000157361452765	2.569989279479593e-05	6.0863763477197075e-05	0.071781680057367	0.16393590220657	0.043988712607079004	0.018224479568063	0.033127232308948006	0.011238596268798001	0.0016831866582930001	0.0029368654844810003	0.094730266453801	0.16773945837964901	0.278100801646107	0.032260541620350004	0.09588268469607701	0.021899198353892
60.0.	0	0	0	0	0	0	0	0	0	0.36256898053941905	0.020023051193685002	0.287544737066164	0.004668198411279001	0.012352654178351002	0.000241914503249	4.259241853007998e-05	0.000102608755483	0.067484007146585	0.16316245504698002	0.043123185234031004	0.018381836341372002	0.033309454300131006	0.011888859128393001	0.0020196014996610003	0.0035280906528880004	0.09115017560975801	0.16882904216105302	0.277205386107	0.031170957838946002	0.09987220829587101	0.022794613892998
65.0.	0	0	0	0	0	0	0	0	0	0.35552844425753205	0.023127085061273003	0.284756909319045	0.005685691308329	0.015082116295255	0.000349689750906	6.59989410042908e-05	0.000160974385699	0.063759215830611	0.16257786261041202	0.042177155510463006	0.018416222876889002	0.033289303338723	0.012385831626222001	0.0023626619540450004	0.004132834050864001	0.088276647148776	0.169716937087232	0.276436979815532	0.030283062912767004	0.10331428261730201	0.023563020184466002
70.0.	0	0	0	0	0	0	0	0	0	0.34846075050045505	0.026115609209774	0.28189046106767	0.006736920511617001	0.017871599082673002	0.00048046831312900006	9.671253269447038e-05	0.00023793984965600002	0.060510202426227004	0.16212762424714902	0.041192602444359	0.018365887236290002	0.033131255937104004	0.012756087400063001	0.0027067672173030004	0.0047411198157460005	0.085987716906016	0.170433523272932	0.275778824185891	0.029566476727068	0.106275940708383	0.024221175814108
75.0.	0	0	0	0	0	0	0	0	0	0.34149043515356803	0.028946922587598	0.279006609999218	0.007801242595441	0.020658791053076	0.000632797120981	0.000135212541629	0.00033459894770400004	0.05766158187206401	0.161772264489244	0.040199876191166	0.018259715622514	0.032883486196164005	0.013024235172732001	0.003047135922185	0.0053442493145900005	0.084180398294853	0.17100590968050303	0.275216162655244	0.028994090319496003	0.10881756267699401	0.024783837344755002
80.0.	0	0	0	0	0	0	0	0	0	0.33471625158376905	0.031593782057716	0.276156558739785	0.008860675661476	0.023392346740938003	0.000804218499514	0.00018163093730800002	0.00045109451927600005	0.055154068870332	0.161483701578537	0.039221011704435	0.018119057525354	0.032581452354426	0.01321177796907	0.0033797849521130002	0.005934846067036001	0.082768070981971	0.17145792547237002	0.274736060705274	0.028542074527629004	0.110993125522167	0.025263939294725
85.0.	0	0	0	0	0	0	0	0	0	0.32821274772812603	0.034040856057615004	0.273381094935479	0.009900185382581	0.026032250494341002	0.000991552312191	0.00023575345496400002	0.0005866545701790001	0.052940308701222	0.161242291150236	0.038271888558815005	0.017959386147766	0.032250861423944004	0.013336811941227001	0.0037014874313960004	0.006506847425819	0.081678145128841	0.17181025693579202	0.27432721093572604	0.028189743064207	0.11285062224263301	0.025672789064273
90.0.	0	0	0	0	0	0	0	0	0	0.322032987305553	0.03628221342744	0.270711141822537	0.010907704402580001	0.028549152531588	0.0011911868654810001	0.00029704982148000004	0.000739705645874	0.050981833397942	0.16103451651723102	0.037363701154813	0.017791691459761002	0.031910029606044	0.013414172021742	0.0040097181900470005	0.007055453876724	0.080850002369592	0.17208067256974002	0.273979746111009	0.027919327430259003	0.11443254313460101	0.026020253888990003
95.0.	0	0	0	0	0	0	0	0	0	0.316211751227055	0.038319042551214	0.268168838954424	0.011873972977271	0.030923125443343004	0.0013993470025560001	0.000364725196328	0.0009080356022310001	0.04924685835008501	0.160851232967573	0.036504012080722	0.017623596943833	0.031571721864538	0.013455784958953	0.0043025910802070005	0.0075770451678880005	0.08023319865561	0.17228429482576801	0.273685068557243	0.027715705174231	0.11577636768772401	0.026314931442756002
100.0.	0	0	0	0	0	0	0	0	0	0.310768787621558	0.040157688885861006	0.265768851266296	0.012792270546782001	0.033142169219295005	0.001612319876726	0.00043778433536700005	0.001088979514408	0.047708692636509	0.16068636043529602	0.035697544825186	0.017460230295207	0.031244567343897002	0.013471092843352002	0.0045787910724500005	0.008069072220806	0.079785906807883	0.172433889529543	0.273435697778629	0.027566110470456002	0.11691504283175001	0.026564302221370004
