time	species_0	species_1	species_10	species_11	species_12	species_2	species_3	species_4	species_5	species_6	species_7	species_8	species_9
700.0.	0.43054039312408104	999.5693632958781	499.999951844	3.268626088048864	96.73136428085083	3406.2816124560795	489.5465158179746	104.17148648595897	138.6480048747753	278.1808503754051	583.1710484388173	99.9999903689	499.999951844
750.0.	0.47253873420457804	999.5273649547971	499.999951844	3.438314146598346	96.56167622230136	3734.3052294217805	229.56464491661498	36.12974042161778	197.28658687840078	320.59123154963953	482.122085260957	99.9999903689	499.999951844
800.0.	0.6710586013603971	999.3288450876412	499.999951844	4.5014902006101565	95.49850016828962	3981.3714278728007	18.21710527591957	0.41108161129233506	400.9569680994081	333.3463211368756	265.69661445271356	99.9999903689	499.999951844
850.0.	1.5640193333069812	998.435884355694	499.999951844	7.770840127968014	92.2291502409317	3955.70655512659	43.88950490519013	0.40355472823125305	701.7806653470524	209.1510421630735	89.06819617887146	99.9999903689	499.999951844
900.0.	28.591965076338834	971.4079386126621	499.999951844	17.496669977843695	82.5033203910561	3065.4858140787787	804.5171302214783	129.9966704597512	930.2213526082984	64.4453546036332	5.333196477064682	99.9999903689	499.999951844
950.0.	0.68764989766905	999.3122537913316	499.999951844	12.8327137955466	87.16727657335343	2767.289308468324	965.9840695719765	266.72623671969797	398.50082851137785	344.4121748476505	257.0869003299696	99.9999903689	499.999951844
1000.0.	0.42321845551166604	999.5766852334891	499.999951844	3.550035934691916	96.44995443420808	3074.368219279878	738.0572118143305	187.57418366579313	130.23247402910457	264.262726043776	605.5047036161171	99.9999903689	499.999951844
1050.0.	0.38980127004146603	999.6101024189594	499.999951844	2.9351250022118203	97.06486536668815	3414.185699827918	481.22118809239197	104.59272683969114	62.16516578380477	205.95324077047977	731.8814971347133	99.9999903689	499.999951844
1100.0.	0.42224053095780606	999.577663158043	499.999951844	3.087830392853509	96.91215997604647	3754.6659246184654	211.52070782497154	33.81298231656082	110.82395699406769	281.0493639352973	608.1265827596327	99.9999903689	499.999951844
1150.0.	0.5588332347459041	999.4410704542545	499.999951844	3.8752743736131263	96.12471599528692	3992.17986866219	7.758534822064062	0.061211275743278004	291.42213376680957	352.75178801979206	355.82598190239463	99.9999903689	499.999951844
1200.0.	1.009224062769301	998.9906796262305	499.999951844	6.021695972715997	93.97829439618404	3980.524297691378	19.389859730052017	0.08545733856608001	569.507818028543	279.29434620528065	151.1977394551733	99.9999903689	499.999951844
1250.0.	5.807681048602821	994.1922226403965	499.999951844	12.466750164885216	87.53324020401473	3733.7873420357787	254.8827452901709	11.329527434046119	891.8743275233118	86.09914140116669	22.026434764518065	99.9999903689	499.999951844
1300.0.	1.375450209356912	998.6244534796415	499.999951844	19.910366289831014	80.089624079069	2685.880804480661	1032.2650518894804	281.853758389845	604.3292077324269	290.67401442904253	104.9966815275256	99.9999903689	499.999951844
