time	species_0	species_1	species_10	species_11	species_12	species_13	species_14	species_15	species_16	species_17	species_18	species_2	species_3	species_4	species_5	species_6	species_7	species_8	species_9
400.0.	598.7400909113554	401.2598127776454	499.999975922	15.734199524591867	0.023498571315264002	0.005888186431236	3.507826312942994e-05	0	658.9871416625222	108.61191670260196	5.111527187767046e-05	3301.3638606189097	596.5505717936506	102.08518234744598	182.15334300717151	30.13177921904228	4.381523573069371	99.9999903689	499.999951844
440.0.	608.8115954067015	391.18830828229966	499.999975922	33.35833214329732	0.48718872405960006	0.129713175097759	0.0008263281800630001	0	600.1438682226774	149.83105752374144	0.0012045219858650002	3162.4708716070877	693.5577256734729	143.97101747944635	165.82937061234844	41.5514918261902	9.28578336074454	99.9999903689	499.999951844
480.0.	635.1798213283582	364.8200823606425	499.999975922	69.02417823759593	8.718520692727349	2.410972631069547	0.016150083366633	0	516.0694154440947	198.23966420802557	0.023547383027480003	2994.4808864883003	802.7703957756555	202.74833249604882	142.49545832145404	54.956849809362105	19.214337668467028	99.9999903689	499.999951844
520.0.	674.7522077546636	325.24769593433683	499.999975922	149.82530616431694	134.98947400473278	39.99879584856341	0.28052135126940003	0	385.0857512606402	248.4222004647588	0.409096474932136	2747.180344207617	948.7183838863671	304.100886666023	106.0970574569175	68.82482480633409	41.744763536031535	99.9999903689	499.999951844
560.0.	722.8722229829676	277.12768070603363	499.999975922	386.8473315746581	666.4937133453074	329.2094381847993	3.224619388151926	0	161.02501448852507	235.46091182653313	4.708627220762555	2275.9857455498714	1174.234389231255	549.7794799788829	43.76011318825201	64.90396706794297	108.00256554308825	99.9999903689	499.999951844
600.0.	773.5323148160894	226.4675888729122	499.999975922	759.7442682849417	1048.5881529093026	915.7984610999719	15.03336413891893	0	2.095989537196425	21.49300006757832	21.980511485063584	1461.2450626158952	1352.0891774449588	1186.6653746991567	0.452931548542	5.943500323295519	210.27021392744567	99.9999903689	499.999951844
640.0.	819.8512887220148	180.14861496698694	499.999975922	767.3460058206216	1210.8123459206959	1536.345416875345	38.74805413695924	0	2.127843124275553	13.859408944819137	56.692253618509	950.1006836188494	1282.4906509418954	1767.408280199264	0.370792390118001	3.8211646527073873	212.47468875645782	99.9999903689	499.999951844
680.0.	860.1871181721935	139.81278551680916	499.999975922	766.9800787699452	1278.1221124997578	2070.313604716067	73.49763819783544	0	3.3306865752249992	13.022492544546605	107.57340670081443	756.7908126296583	1222.1205223400411	2021.0882797903107	0.531205195094107	3.567472706660541	212.56796789752775	99.9999903689	499.999951844
720.0.	894.099207884222	105.90069580478009	499.999975922	762.484244904808	1306.0140841490218	2494.238391671441	117.17742797430195	0	6.055988453179238	14.793024531729007	171.5418273218827	792.2032508181926	1251.9522687706487	1955.8440951711673	0.9818414372510741	4.130533892039631	211.55427046999245	99.9999903689	499.999951844
760.0.	921.4646796603342	78.53522402866913	499.999975922	750.8842522721673	1317.5004873379817	2818.2203290890275	167.63754226250808	0	12.878223265506374	19.5707823520428	245.44761189073662	1029.419584735886	1324.593738462668	1645.9862915614547	2.313865211967942	5.799440677878823	208.55333990943618	99.9999903689	499.999951844
800.0.	942.5296568652057	57.470246823798036	499.999975922	711.6769532236606	1321.9900917762707	3060.922645354537	223.05171886095616	0	39.12101267340494	32.53529199264944	326.61454066003944	1473.43972805665	1333.2355248973663	1193.3243618059914	8.41943285519436	10.561656909374314	197.68555603471418	99.9999903689	499.999951844
840.0.	957.500658871566	42.499244817437514	499.999975922	497.4217261670411	1321.095994349484	3240.1324031566246	281.97493776475505	0	226.41179201697057	59.49973970570279	412.9249293188764	2147.6165280000155	1160.2468780572146	692.1362087027745	58.684522196884515	20.596907834131468	137.3852157682668	99.9999903689	499.999951844
880.0.	961.9282600376379	38.0716436513657	499.999975922	102.7063633775343	1074.006910820965	3325.812741257872	343.1221249407999	0	661.4140739869846	19.212820525195376	502.49761268385026	3090.364983198947	675.5866934742488	234.04793808681083	180.93780244566162	7.64993852972638	28.078904823894685	99.9999903689	499.999951844
920.0.	927.5429151719892	72.45698851701434	499.999975922	5.274170098612082	452.29581033029973	2969.250933458727	401.3825532469765	0	777.4039209898323	0.655166801269314	587.8618559200993	3904.0192786283415	87.69545381856906	8.284882313098006	214.94523159167758	0.285377841000844	1.436036366604041	99.9999903689	499.999951844
960.0.	867.5408143098318	132.45908937917153	499.999975922	0.171190105387376	187.6046142891046	2395.7106345150432	449.42575802487954	0	783.1183916027447	0.043676181581439	658.2685899731019	3935.233279950182	63.79435114845468	0.9719836613742681	216.59874639992674	0.021279997246345002	0.04661940210925	99.9999903689	499.999951844
1000.0.	814.3081657282189	185.69173796078462	499.999975922	0.005142413862099	77.81518818125804	1845.8113068883326	485.90366662580846	0	783.2398406181261	0.08827485769635	711.7318251304129	3894.046405863871	103.3610803703623	2.592128525777172	216.61905567981137	0.046185601626877	0.00140451787305	99.9999903689	499.999951844
