time	CDK2cycA	CDK2cycA_star_	Cdk2	CyclinA
7.0.56.0	1.636887991556418e-08	2.3772301859446353e-08	5.985881822498935e-08	3.598588182249892e-07
7.0.68.0	1.636716011151794e-08	2.3779964231529442e-08	5.985287565695252e-08	3.598528756569523e-07
7.0.8.0	1.636558638080073e-08	2.3786975955216212e-08	5.984743766398296e-08	3.598474376639828e-07
7.0.92.0	1.636414631297869e-08	2.379339228327856e-08	5.984246140374263e-08	3.598424614037424e-07
8.0.04.0	1.636282855258942e-08	2.3799263775939127e-08	5.983790767147133e-08	3.598379076714712e-07
8.0.16.0	1.636162362210857e-08	2.3804632633012923e-08	5.983374374487836e-08	3.5983374374487817e-07
8.0.28.0	1.636052478053113e-08	2.380952886520073e-08	5.982994635426797e-08	3.5982994635426785e-07
8.0.4.0	1.635951886476347e-08	2.3814011103451473e-08	5.98264700317849e-08	3.598264700317847e-07
8.0.52.0	1.63585980150159e-08	2.3818114353690054e-08	5.982328763129392e-08	3.598232876312938e-07
8.0.64.0	1.635775503641935e-08	2.3821870661660172e-08	5.982037430192039e-08	3.5982037430192016e-07
8.0.76.0	1.6356983342826262e-08	2.382530936326937e-08	5.981770729390427e-08	3.598177072939042e-07
8.0.879999999999999.0	1.635627690530172e-08	2.382845731376869e-08	5.981526578092952e-08	3.5981526578092936e-07
9.0.	1.635563020493825e-08	2.3831339097537732e-08	5.981303069752399e-08	3.5981303069752377e-07
9.0.12.0	1.635503818970083e-08	2.383397722013119e-08	5.981098459016794e-08	3.598109845901677e-07
9.0.24.0	1.635449623490151e-08	2.383639228407567e-08	5.980911148102277e-08	3.598091114810225e-07
9.0.36.0	1.635400010704471e-08	2.383860314980192e-08	5.980739674315331e-08	3.5980739674315295e-07
9.0.48.0	1.6353545930715772e-08	2.384062708296165e-08	5.980582698632253e-08	3.5980582698632216e-07
9.0.6.0	1.635313015828939e-08	2.3842479889288112e-08	5.980438995242246e-08	3.598043899524221e-07
9.0.719999999999999.0	1.635274954218965e-08	2.3844176038048133e-08	5.980307441976216e-08	3.598030744197617e-07
9.0.84.0	1.635240110950978e-08	2.38457287750559e-08	5.980187011543427e-08	3.598018701154338e-07
9.0.959999999999999.0	1.635208213877093e-08	2.384715022612712e-08	5.98007676351019e-08	3.598007676351014e-07
10.0.08.0	1.6351790138656232e-08	2.384845149178579e-08	5.979975836955792e-08	3.597997583695572e-07
10.0.2.0	1.635152282853801e-08	2.3849642733960594e-08	5.979883443750134e-08	3.597988344375007e-07
10.0.32.0	1.635127812065851e-08	2.3850733255350808e-08	5.979798862399062e-08	3.5979798862399e-07
10.0.44.0	1.6351054103813972e-08	2.385173157207981e-08	5.979721432410618e-08	3.5979721432410555e-07
10.0.559999999999999.0	1.635084902842305e-08	2.38526454802055e-08	5.97965054913714e-08	3.597965054913708e-07
10.0.68.0	1.6350661292855523e-08	2.385348211660581e-08	5.979585659053863e-08	3.59795856590538e-07
10.0.799999999999999.0	1.635048943092024e-08	2.38542480147162e-08	5.979526255436353e-08	3.597952625543628e-07
10.0.92.0	1.635033210040945e-08	2.3854949155553602e-08	5.979471874403693e-08	3.597947187440363e-07
11.0.04.0	1.6350188072614008e-08	2.385559101442603e-08	5.979422091295996e-08	3.597942209129593e-07
11.0.16.0	1.635005622272408e-08	2.385617860369236e-08	5.979376517358355e-08	3.59793765173583e-07
11.0.28.0	1.634993552104305e-08	2.385671651190658e-08	5.979334796705041e-08	3.5979334796704967e-07
11.0.4.0	1.634982502494356e-08	2.385720893965188e-08	5.979296603540454e-08	3.597929660354038e-07
11.0.52.0	1.6349723871504902e-08	2.385765973234504e-08	5.979261639615008e-08	3.597926163961492e-07
11.0.639999999999999.0	1.6349631270772212e-08	2.3858072410266642e-08	5.979229631896117e-08	3.597922963189603e-07
11.0.76.0	1.6349546499586582e-08	2.3858450196052422e-08	5.979200330436102e-08	3.597920033043601e-07
11.0.879999999999999.0	1.634946889593642e-08	2.385879603985981e-08	5.979173506420378e-08	3.597917350642029e-07
12.0.	1.634939784364962e-08	2.3859112687583698e-08	5.979148946876665e-08	3.597914894687658e-07
