time	E	P	Q	X
14.0.399999999999999.0	0.9976576584612601	0.00234234153874	0.997653559155208	4.099306049755346e-06
14.0.7.0	0.9979829468468361	0.002017053153165	0.9979799080234301	3.0388234035544478e-06
15.0.	0.9982631787778071	0.0017368212221940001	0.998260926296433	2.2524813707319737e-06
15.0.299999999999999.0	0.998504564763909	0.0014954352360920002	0.99850289527693	1.6694869759271982e-06
15.0.6.0	0.9987124671290111	0.00128753287099	0.9987112298271981	1.237301810550381e-06
15.0.899999999999999.0	0.9988915138106581	0.0011084861893430002	0.9988905968660491	9.16944607177259e-07
16.0.2.0	0.9990456974233781	0.0009543025766220001	0.999045017924277	6.794990987486465e-07
16.0.5.0	0.999178461353429	0.0008215386465710001	0.9991779578342551	5.035191717195943e-07
16.0.8.0	0.9992927744788411	0.00070722552116	0.999292401377273	3.731015657049073e-07
17.0.099999999999998.0	0.9993911959407441	0.000608804059257	0.999390919485837	2.7645490465431545e-07
17.0.4.0	0.9994759312338171	0.000524068766185	0.999475726396242	2.048375711634402e-07
17.0.7.0	0.9995488807372541	0.00045111926274700004	0.9995487289676891	1.517695627115793e-07
18.0.	0.9996116816739851	0.000388318326016	0.9996115692261931	1.124477891541394e-07
18.0.3.0	0.9996657443650081	0.000334255634993	0.9996656610526221	8.33123837382947e-08
18.0.599999999999998.0	0.9997122835374721	0.000287716462529	0.9997122218123901	6.172507962674788e-08
18.0.9.0	0.999752345348708	0.00024765465129300004	0.9997522996179771	4.573072914705297e-08
19.0.2.0	0.999786830703087	0.000213169296914	0.9997867968225891	3.3880494924958604e-08
19.0.5.0	0.999816515363336	0.00018348463666500002	0.999816490262555	2.510077861116344e-08
19.0.8.0	0.9998420672918901	0.00015793270811100002	0.999842048695823	1.859606472071317e-08
20.0.099999999999998.0	0.9998640615999911	0.00013593840001	0.999864047823078	1.3776909742518919e-08
20.0.4.0	0.999882993431742	0.000117006568259	0.9998829832251671	1.020657229891457e-08
20.0.7.0	0.9998992890663041	0.00010071093369700001	0.9998992815048401	7.561461213117022e-09
21.0.	0.9999133154831141	8.668451688702104e-05	0.9999133098812861	5.6018254157251775e-09
21.0.3.0	0.999925388601772	7.461139822951627e-05	0.9999253844517341	4.150034560974207e-09
21.0.599999999999998.0	0.999935780379377	6.421962062414835e-05	0.999935777304889	3.0744851278870422e-09
21.0.9.0	0.999944724923125	5.527507687636393e-05	0.9999447226454461	2.277675353700094e-09
22.0.2.0	0.999952423754319	4.7576245681925934e-05	0.9999524220669471	1.6873693883389652e-09
22.0.5.0	0.9999590503412731	4.094965872897163e-05	0.9999590490912191	1.2500505576413012e-09
22.0.8.0	0.9999647540023741	3.5245997627400895e-05	0.9999647530763001	9.260707956007859e-10
23.0.099999999999998.0	0.999969663266659	3.0336733342167362e-05	0.999969662580599	6.860568562757565e-10
23.0.4.0	0.9999738887671361	2.6111232865224104e-05	0.9999738882588851	5.082477155754222e-10
23.0.7.0	0.999977525731734	2.2474268266701854e-05	0.9999775253552091	3.7652190768872175e-10
24.0.	0.9999806561277591	1.9343872242479352e-05	0.9999806558488201	2.789360364724341e-10
24.0.3.0	0.999983350507985	1.6649492016498242e-05	0.9999833503013401	2.0664201206237469e-10
24.0.599999999999998.0	0.9999856695998711	1.4330400130174052e-05	0.9999856694467831	1.5308487794299822e-10
24.0.9.0	0.9999876656735971	1.2334326403846142e-05	0.999987665560186	1.134085197895594e-10
25.0.2.0	0.999989383719689	1.0616280312602641e-05	0.999989383635671	8.401538663855185e-11
25.0.5.0	0.9999908624627111	9.137537290199562e-06	0.9999908624004681	6.224031339739413e-11
25.0.8.0	0.9999921352338471	7.864766154554314e-06	0.9999921351877351	4.610887565890122e-11
26.0.099999999999998.0	0.9999932307219831	6.769278017970258e-06	0.9999932306878221	3.4158370108433275e-11
26.0.4.0	0.999994173620226	5.8263797752534024e-06	0.999994173594918	2.530519071874822e-11
26.0.7.0	0.999994985182386	5.0148176139788136e-06	0.999994985163637	1.874657681481135e-11
27.0.	0.9999956837019851	4.316298015780225e-06	0.9999956836880941	1.3887825099774469e-11
27.0.3.0	0.9999962849245401	3.7150754608870457e-06	0.9999962849142491	1.028836626414769e-11
27.0.599999999999998.0	0.999996802402452	3.1975975492013406e-06	0.9999968023948281	7.621817087684663e-12
27.0.9.0	0.9999972478004581	2.7521995435997046e-06	0.999997247794809	5.6463860103749515e-12
28.0.2.0	0.9999976311585481	2.36884145382083e-06	0.9999976311543621	4.182948850054078e-12
28.0.5.0	0.9999979611182651	2.038881737213435e-06	0.999997961115163	3.0988067732841176e-12
28.0.799999999999997.0	0.999998245117485	1.754882517270561e-06	0.9999982451151871	2.29565382692674e-12
29.0.099999999999998.0	0.999998489558072	1.5104419307832541e-06	0.999998489556368	1.7006630169928152e-12
29.0.4.0	0.9999986999501781	1.300049825561155e-06	0.9999986999489141	1.259882682000195e-12
29.0.7.0	0.9999988810364471	1.1189635567261691e-06	0.99999888103551	9.333443859888422e-13
30.0.	0.9999990368989211	9.631010825419862e-07	0.9999990368982261	6.914387450846741e-13
