time	IkBa_cytoplasm	IkBa_mRNA_cytoplasm	IkBa_mRNA_nucleus	IkBa_pre_mRNA_1	IkBa_pre_mRNA_2	JNK	JNK_P	LPS	MSK1	MSK1_P	TNFR1_EL	TNFR1_cytoplasm	TNFa_TNFR1_EL	TNFa_TNFR1_cytoplasm	TNFa_mRNA_LSEC	TNFa_mRNA_MC	TNFa_pre_mRNA_LSEC	TNFa_pre_mRNA_MC	p38	p38_P	p65_2P	p65_IkBa_nucleus	p65_cytoplasm	p65_nucleus	s11	s14	s15	s16	s19	s3	s5	s8
10800.0.	0.783987185591933	3.744225223238656	3.8371548375660835e-05	2.31398847765663	2.332535455488128	0.5288201535725581	0.47117984642743804	0.10426420016669401	14.994876556694916	0.005123443275057001	8.649031603923845e-07	3.9788072075495215e-08	4.509129036851903e-10	0.00029978780677	1.864629002629783e-07	1.148964881248156e-06	0.11096289445829001	0.059608371250134004	0.590780437702037	0.409219562297961	0.363390762502661	0.674080781589112	0.000352629451269	0.01762755624982	1.567974237321926	0.29998738978335504	1.2610216290776482e-05	0.009207779524338001	0.033703863597151	0.007260077629167001	0.158618190564452	0.36297127820673003
11700.0.	0.75364241996348	3.258080298374121	3.845484236985781e-05	2.360739275093967	2.337599429779925	0.5292540144607041	0.47074598553929303	0.07552063801339501	14.994878558420442	0.0051214415495300005	7.946220427185328e-07	3.662544082637349e-08	4.508523812476027e-10	0.00029980497157400005	1.891335813690041e-07	1.1679155326821231e-06	0.11255120913598701	0.060584656424849004	0.590926871135614	0.409073128864384	0.36164976525722903	0.673747633985688	0.00036583887564	0.018288012678558	1.507284722070014	0.29998739067989505	1.260931975070589e-05	0.010020829204538001	0.033687206461933	0.0072802130031450005	0.158141432786941	0.363978055846079
12600.0.	0.7034058559343791	2.870540195352115	3.9764859794313356e-05	2.480422695933631	2.417233635313235	0.529476682415286	0.47052331758471105	0.054701103297715006	14.994879505317869	0.00512049465211	7.402838765809397e-07	3.418023986619125e-08	4.508106440943969e-10	0.000299818242618	1.9106438154962338e-07	1.1817470717572759e-06	0.11369946847560701	0.061296988384398	0.590996289283757	0.40900371071624103	0.361212984334425	0.672827433583803	0.00039062939000400005	0.019527534600758	1.406811607630492	0.299987391299168	1.260870047757992e-05	0.010755380412759	0.033641196819604	0.007285390226859	0.157123569743213	0.36423695391347005
13500.0.	0.637392688684229	2.570210447496252	4.2346491176521775e-05	2.681732567351161	2.574166982716558	0.5295917479639121	0.47040825203608505	0.039621099319997	14.994879963144506	0.005120036825471	6.975196536394875e-07	3.2255863939124024e-08	4.5078091813520153e-10	0.00029982868694900005	1.9243878793000857e-07	1.191687735524758e-06	0.11451681125795601	0.061808759895959006	0.591029960827251	0.40897003917274705	0.36170361270553303	0.671296627184319	0.00042913164556200004	0.021452650982148002	1.274785283770335	0.299987391740201	1.2608259444917481e-05	0.011414029208258	0.033564657042353	0.007279956754760001	0.155498968951013	0.36396534501347905
14400.0.	0.560617634009977	2.348730844190067	4.641126241481974e-05	2.9827342335825033	2.821257827461099	0.529651807436612	0.47034819256338506	0.028698351885098002	14.994880191714806	0.005119808255170001	6.633758253879354e-07	3.071940365112069e-08	4.507592181223834e-10	0.00029983702591500003	1.933989124564976e-07	1.198707932111823e-06	0.11508776284527601	0.06217002724362	0.591046848645937	0.408953151354061	0.362993768935212	0.669043171898956	0.00048491885646700006	0.024242021127233	1.121235181456536	0.299987392062153	1.2607937492276541e-05	0.012000929395867001	0.033451985033584	0.007265513088329001	0.153150661359084	0.363243258427406
15300.0.	0.479045138403111	2.201181500421815	5.2325640217230505e-05	3.410585491615779	3.180783086134905	0.52968361201736	0.47031638798263703	0.020786788182446003	14.994880311043921	0.005119688926054001	6.357910447829475e-07	2.947809868438281e-08	4.507430376716577e-10	0.00029984376296	1.94052848658646e-07	1.2035566697439118e-06	0.11547661326691501	0.062419409693375005	0.591055719776831	0.40894428022316803	0.365109462013923	0.665889088713362	0.000562869327753	0.028139559873866002	0.9580901930170961	0.29998739230221405	1.2607697432089492e-05	0.012521158855646001	0.033294281899063	0.0072418841861250005	0.149925307714702	0.36206194949964104
16200.0.	0.399541322797736	2.12630790564523	6.0577903260098295e-05	3.997415723254194	3.682424360525713	0.529700802016373	0.470299197983624	0.015056284943443	14.994880377056337	0.005119622913637	6.132875340135578e-07	2.8465449311263573e-08	4.507307473879049e-10	0.000299849259003	1.944817309360365e-07	1.206802223955329e-06	0.11573161724026002	0.06258619858177	0.5910606647220851	0.40893933527791304	0.36816471372840703	0.661647440600439	0.0006679107714610001	0.033391651929584	0.7990825597228841	0.299987392484557	1.2607515089054232e-05	0.012980246888526	0.033082200821708	0.007207820098987	0.14568980750808602	0.36035892893480703
17100.0.	0.32947554263623	2.126145808323206	7.161144640723071e-05	4.762989844483697	4.353134689600753	0.529710357640911	0.47028964235908605	0.010905567247171	14.99488041615015	0.0051195838198190005	5.947812941958028e-07	2.7632675820340423e-08	4.5072125772774954e-10	0.00029985377879100005	1.947458699515216e-07	1.2088703512467088e-06	0.11588864400307002	0.062692334132031	0.591063617966684	0.408936382033314	0.37226522076233304	0.6562952122719581	0.0008006794553450001	0.040030106866737004	0.658950992184516	0.299987392625348	1.260737429769258e-05	0.013383837186303002	0.032814590965925004	0.007162039753556001	0.14048780437877	0.35807014468596704
18000.0.	0.275557830057204	2.203745273570878	8.533663340310304e-05	5.671620157342782	5.187464753026765	0.529715869156378	0.47028413084361903	0.007899119695993	14.994880441022218	0.005119558947752001	5.794612360905035e-07	2.6943279398596842e-08	4.507138222454077e-10	0.000299857520416	1.9488978067703062e-07	1.210077107384954e-06	0.11597416814654801	0.06275410068129801	0.591065512473825	0.408934487526174	0.377313092967673	0.6503256879790771	0.000948529790986	0.047422636522580004	0.551115555251761	0.29998739273566205	1.2607263983161272e-05	0.013737458495850001	0.032516116244661004	0.007105427409208001	0.134820276143397	0.35523978977680504
18900.0.	0.24184728017494103	2.357033504056345	0.00010029209649000001	6.576448555307584	6.096579741596733	0.5297191965468561	0.47028080345314105	0.0057214898138930005	14.99488045794425	0.005119542025717	5.667098584139418e-07	2.636947265890952e-08	4.507079185772337e-10	0.000299860634691	1.9494615024300999e-07	1.210655541865739e-06	0.11600762967686001	0.06278350430429	0.5910668108285341	0.40893318917146404	0.38273474248736106	0.645034593780981	0.0010783612624780002	0.053914206480805006	0.48369444107951104	0.29998739282325004	1.2607176395443972e-05	0.014046377162121001	0.032251562458196	0.007044274953755001	0.12981641870868602	0.352182404156308
