time	A	I1	I2	S
27.0.	2532.501305584777	8290.142578057988	488.50717712444845	393.02722484182533
28.0.	2532.3270683197734	8289.988344361362	488.26021841687935	393.03833761631296
29.0.	2532.204181553511	8289.883253718692	488.08229210636756	393.0460507392926
30.0.	2532.117498367241	8289.811679013432	487.9541858700944	393.05140513079675
31.0.	2532.0563437317187	8289.762953544845	487.8620070762624	393.0551227550106
32.0.	2532.013193049922	8289.729799020488	487.7957186741731	393.0577044149117
33.0.	2531.9827415528125	8289.707250999572	487.74807515204515	393.05949754966076
34.0.	2531.9612488393623	8289.691924586949	487.7138501936353	393.0607432368848
35.0.	2531.9460771359795	8289.681512790605	487.68927670531843	393.0616087803045
36.0.	2531.9353659686735	8289.67444393033	487.67164124833863	393.06221030556685
37.0.	2531.927802909639	8289.66964774423	487.65899059088275	393.0626284297751
38.0.	2531.922461999542	8289.66639575925	487.6499195798603	393.0629191293171
39.0.	2531.918689849156	8289.664192384253	487.6434179293337	393.06312127853363
40.0.	2531.916025337947	8289.662700636001	487.6387596513457	393.06326187988003
41.0.	2531.9141429904384	8289.661691504189	487.6354233211786	393.06335969310277
42.0.	2531.912813042512	8289.661009445996	487.63303461916047	393.0634277539344
43.0.	2531.9118732738784	8289.66054888228	487.6313249530501	393.0634751224098
44.0.	2531.9112091369416	8289.660238194843	487.6301016793987	393.06350809665577
45.0.	2531.910739736365	8289.660028836013	487.629226685221	393.0635310557344
46.0.	2531.9104079352624	8289.659887921114	487.6286009914931	393.0635470450141
47.0.	2531.910173372432	8289.65979319251	487.62815369130885	393.063558182802
48.0.	2531.9100075334272	8289.65972959796	487.6278340063361	393.0635659428657
49.0.	2531.909890270899	8289.65968696714	487.62760558525576	393.063571350764
50.0.	2531.9098073477307	8289.65965843482	487.6274424132569	393.06357512031195
51.0.	2531.909748702112	8289.659639371557	487.627325878625	393.0635777484497
52.0.	2531.909707222247	8289.659626659002	487.6272426699694	393.06357958120964
53.0.	2531.9096778808907	8289.659618199164	487.62718326946907	393.0635808595959
54.0.	2531.9096571239584	8289.659612582334	487.6271408735962	393.0635817515001
55.0.	2531.9096424385743	8289.659608862605	487.627110620312	393.06358237390646
56.0.	2531.9096320478525	8289.659606406218	487.62708903589345	393.06358280834695
57.0.	2531.909624695209	8289.659604789269	487.627073639099	393.06358311165724
58.0.	2531.9096194919234	8289.659603728709	487.6270626580085	393.0635833234663
59.0.	2531.9096158093835	8289.659603035929	487.6270548275214	393.06358347141224
60.0.	2531.909613202918	8289.659602585498	487.62704924457927	393.0635835747748
61.0.	2531.9096113579435	8289.659602294221	487.6270452646894	393.06358364700577
62.0.	2531.9096100518896	8289.65960210705	487.6270424279783	393.0635836974937
63.0.	2531.9096091272663	8289.659601987676	487.6270404063667	393.0635837327916
64.0.	2531.9096084726307	8289.659601912224	487.62703896584	393.06358375747556
65.0.	2531.909608009114	8289.659601865054	487.62703793950766	393.06358377474123
66.0.	2531.909607680897	8289.65960183597	487.62703720836834	393.06358378682086
67.0.	2531.9096074484705	8289.659601818355	487.62703668758235	393.0635837952739
68.0.	2531.909607283868	8289.659601807936	487.62703631667307	393.0635838011907
69.0.	2531.9096071672893	8289.659601801979	487.6270360525393	393.0635838053332
70.0.	2531.9096070847204	8289.659601798734	487.6270358644614	393.0635838082341
71.0.	2531.9096070262335	8289.659601797113	487.6270357305533	393.0635838102659
72.0.	2531.909606984802	8289.659601796433	487.62703563522285	393.0635838116894
73.0.	2531.9096069554525	8289.659601796271	487.6270355673628	393.063583812687
74.0.	2531.90960693466	8289.659601796378	487.6270355190617	393.0635838133861
75.0.	2531.9096069199286	8289.65960179661	487.6270354846854	393.0635838138763
76.0.	2531.90960690949	8289.659601796877	487.62703546021737	393.0635838142201
77.0.	2531.909606902134	8289.65960179714	487.62703544290036	393.06358381445983
78.0.	2531.909606896957	8289.659601797375	487.6270354306628	393.0635838146268
79.0.	2531.909606893268	8289.659601797579	487.6270354219065	393.0635838147446
80.0.	2531.909606890638	8289.659601797744	487.62703541564196	393.0635838148279
81.0.	2531.9096068887625	8289.659601797879	487.62703541116025	393.06358381488667
82.0.	2531.9096068874264	8289.659601797985	487.6270354079541	393.0635838149283
83.0.	2531.9096068864733	8289.659601798066	487.62703540566076	393.0635838149577
84.0.	2531.909606885794	8289.65960179813	487.6270354040204	393.06358381497853
85.0.	2531.90960688531	8289.659601798181	487.627035402847	393.0635838149932
86.0.	2531.909606884964	8289.65960179822	487.6270354020079	393.06358381500365
87.0.	2531.909606884719	8289.659601798248	487.6270354014078	393.0635838150109
88.0.	2531.9096068845415	8289.659601798267	487.6270354009787	393.06358381501633
89.0.	2531.9096068844165	8289.659601798285	487.62703540067173	393.0635838150199
90.0.	2531.9096068843287	8289.659601798301	487.62703540045237	393.06358381502235
91.0.	2531.9096068842637	8289.659601798301	487.6270354002954	393.0635838150246
92.0.	2531.909606884216	8289.659601798303	487.62703540018316	393.0635838150261
93.0.	2531.9096068841823	8289.659601798303	487.6270354001028	393.0635838150273
94.0.	2531.9096068841586	8289.659601798307	487.6270354000453	393.0635838150279
95.0.	2531.909606884142	8289.659601798307	487.6270354000041	393.06358381502855
96.0.	2531.90960688413	8289.659601798307	487.6270353999748	393.063583815029
97.0.	2531.9096068841204	8289.659601798307	487.6270353999535	393.06358381502923
98.0.	2531.909606884115	8289.659601798307	487.6270353999385	393.0635838150295
99.0.	2531.9096068841104	8289.659601798307	487.6270353999279	393.0635838150296
100.0.	2531.909606884106	8289.659601798307	487.62703539992	393.06358381502974
