time	MAPK	MAPK_P	MAPK_PP	MKK	MKKK	MKKK_P	MKK_P	MKK_PP
3060.0.	179.4328397216944	64.77627737811066	55.79088290019513	207.3418209438399	47.05678674844185	52.943213251558056	46.60926897320715	46.048910082954755
3150.0.	83.59330894792281	76.15528259441281	140.25140845766452	150.32404816972135	49.08857183646228	50.91142816353763	64.2438218772527	85.43212995302778
3240.0.	2.224134817850839	21.792292144910963	275.98357303723856	113.56839228085869	60.07663514432383	39.923364855676084	74.8816291015746	111.54997861756891
3330.0.	0.43839184526924	2.952022219619672	296.6095859351113	103.79068012532431	72.40900507334788	27.590994926651938	80.88180400731092	115.32751586736707
3420.0.	0.5780387743777651	3.47803590636329	295.9439253192588	117.25386331325615	82.99296533289213	17.007034667107632	84.57655282427339	98.16958386247266
3510.0.	1.165399770981154	5.307705679068086	293.52689454995055	148.7843905355714	90.77596377905671	9.224036220942985	85.54078011723837	65.67482934719236
3600.0.	3.987370369682205	11.19523364473361	284.817395985584	191.89751003089108	94.95093036825219	5.049069631747526	79.9286151616179	28.173874807493142
3690.0.	17.40509823697113	24.16827909290183	258.42662267012685	238.55041634042618	96.2275692597768	3.772430740222937	56.56332988571053	4.886253773865496
3780.0.	43.94511800021313	36.291333615566884	219.76354838421992	278.0765711790775	96.05201672384162	3.947983276158201	20.46580241082554	1.45762641009922
3870.0.	74.97952667406688	45.3563880874365	179.66408523849645	294.856854368488	95.15453056371518	4.845469436284612	4.437293517966264	0.70585211354799
3960.0.	108.28364684816962	52.162574642122586	139.55377850970777	295.8706540994445	93.48590442394347	6.51409557605633	3.536504146640791	0.592841753916952
4050.0.	141.9940256397869	57.007218567257794	100.99875579295538	293.7326127745233	90.37286919878053	9.627130801219215	5.155631088360623	1.111756137118376
4140.0.	174.13815220050336	59.706406583069665	66.1554412164272	288.1630202799352	84.01932760074999	15.980672399249736	9.043920923832353	2.7930587962347273
4230.0.	199.30087142054498	60.01546955514067	40.68365902431462	272.5220530728373	70.65826489209269	29.34173510790703	18.52277860502671	8.955168322138137
4320.0.	198.20900434600514	61.295972138185604	40.49502351580941	232.7723059701511	51.79181812775748	48.20818187224229	37.14516131706056	30.082532712790567
4410.0.	134.376486919583	71.6291730733494	93.99434000706759	174.07984443284428	46.44627148884015	53.55372851115962	57.327048642795184	68.5931069243628
4500.0.	17.28678533667953	66.92144259876788	215.79177206455236	126.51335668049747	54.692076292475875	45.3079237075239	70.9449838104818	102.54165950902316
4590.0.	0.48392453718064604	3.109132882952699	296.4069425798664	104.93681396031606	67.11236482140387	32.88763517859587	78.60082139270358	116.46236464698298
4680.0.	0.487503916300203	3.144352132370583	296.368143951329	108.76269505689828	78.59410524192567	21.405894758074083	83.18630532325419	108.05099961985006
4770.0.	0.805899066628262	4.243076995917239	294.9510239374545	132.98992227366514	87.7550560723037	12.244943927696013	85.59825284385171	81.4118248824855
4860.0.	2.16372079532982	7.753907320822698	290.0823718838475	171.91267605100114	93.54736138213121	6.4526386178684625	83.69695975057779	44.39036419842345
4950.0.	9.3767010146631	17.931637975059417	272.6916610102777	218.05981526544554	95.91941799915688	4.080582000842782	70.02084956418186	11.919335170375028
5040.0.	31.36784836697806	31.377586553994828	237.25456507902723	262.4547584836897	96.24044680603883	3.759553193960862	35.518047274894656	2.027194241418196
5130.0.	60.882688612187586	41.66334462326984	197.4539667645426	290.74512440416083	95.62909569628242	4.3709043037172215	8.239550954899478	1.015324640942203
5220.0.	93.41629441765451	49.40282295353931	157.1808826288062	296.0775297750541	94.34526339768935	5.654736602310281	3.37454735288771	0.547922872061085
5310.0.	127.1505176057042	55.110087493296305	117.73939490099963	294.94846262012993	92.00379331609444	7.996206683905249	4.247462098050128	0.8040752818229021
5400.0.	160.32295930103416	58.80560020804782	80.87144049091812	291.2905916725548	87.42067056500495	12.579329434994742	6.907617338958915	1.801790988489138
5490.0.	189.75655625084846	60.1377674664612	50.1056762826904	281.48064155537816	77.70457665151017	22.29542334848958	13.306129966060707	5.21322847856386
5580.0.	204.19721312834537	59.995140573403106	35.80764629825151	254.001308321827	59.7323019295813	40.26769807041845	27.955594951564038	18.0430967266116
5670.0.	172.03928302993367	66.05219586612048	61.90852110394568	200.34122459221788	46.467804722646314	53.532195277353445	48.99604088440096	50.66273452338392
5760.0.	68.86638138494723	76.51435449025945	154.6192641247933	144.73232843405967	50.092024171787216	49.90797582821254	65.81913354604758	89.4485380198955
5850.0.	1.624781956610287	12.044554063312608	286.33066398007725	111.07146542061693	61.55229954375499	38.44770045624477	75.75486146095868	113.17367311842744
5940.0.	0.44351522379887404	2.973008630947116	296.58347614525394	104.25988015640168	73.74728354104823	26.252716458951564	81.41028958889332	114.32983025470807
6030.0.	0.612515454478593	3.5999421087375003	295.7875424367838	120.09573038980183	84.0633151010388	15.936684898960992	84.8665684210062	95.03770118919496
6120.0.	1.306473120212529	5.691786740704181	293.0017401390832	153.34482106554526	91.44999284850759	8.550007151492164	85.34966225943839	61.30551667501929
6210.0.	4.748992872796475	12.389394473237715	282.86161265396555	197.30048797975036	95.21850429165279	4.7814957083469505	78.43233458075402	24.267177439498443
6300.0.	20.039637713196907	25.761921168995524	254.19844111780748	243.77616544825787	96.25934934733237	3.740650652667415	52.33418704205545	3.889647509689496
6390.0.	47.38559493093746	37.481071931133485	215.1333331379289	281.44835195122494	95.97994433276526	4.020055667234577	17.18896027240405	1.36268777637374
6480.0.	78.7711871789432	46.253315153515096	174.97549766754153	295.3504420738925	95.00711304690594	4.9928869530939135	4.00062274012778	0.648935185982307
6570.0.	112.21132789154598	52.82582154347998	134.96285056497393	295.73130231369197	93.21891804696392	6.78108195303593	3.645576634282591	0.6231210520278491
6660.0.	145.86164200692508	57.438735807048936	96.69962218602588	293.32284854979713	89.8534277868141	10.14657221318582	5.455765535888171	1.221385914317273
