time	species_0	species_1	species_2	species_3	species_4	species_5	species_6
14.0.399999999999999.0	0.37719707344020503	0.452246101913986	0.8416546486394171	1.136721074770362	2.042453447611315	3.040511989812895	1.654069118241312
14.0.7.0	0.39903755304155203	0.48695292732299805	0.819936715723218	1.00205101158991	2.210254995630777	3.320573532955555	1.8762893580539792
15.0.	0.43036836730319505	0.5439160497706771	0.8342959369578681	0.8752600751703651	2.421845266287969	3.57728567185258	2.103973323502127
15.0.299999999999999.0	0.46976762836588404	0.622193299648746	0.884852054617108	0.768951865797864	2.664248470974584	3.769893784238607	2.311784883260987
15.0.6.0	0.5146476074216411	0.719193458194976	0.9706285685745131	0.690039933212641	2.9169244945417363	3.862204159418268	2.4683297536982742
15.0.899999999999999.0	0.561099680838104	0.829755111942978	1.088642421253833	0.640412066855777	3.152541987381693	3.836659966861995	2.543181671463956
16.0.2.0	0.604128927769768	0.9456315501061201	1.232883504819523	0.619104591400199	3.3408556749251073	3.701910842681688	2.517025801354402
16.0.5.0	0.6383959277270921	1.055674350240598	1.393566082755941	0.6243600032727551	3.455262155062436	3.487719837226588	2.39015678274583
16.0.8.0	0.6593318834517741	1.146933648126735	1.557052467554639	0.6546532952545451	3.479721745996115	3.231529570861842	2.184030378550284
17.0.099999999999998.0	0.664232176318257	1.206701940465342	1.706780942246233	0.708675176512608	3.412943823077317	2.966785927870748	1.934340419423267
17.0.4.0	0.652872661201093	1.225204995360025	1.8253264427381932	0.784660354058716	3.267947332266265	2.7181472256718573	1.679367694415248
17.0.7.0	0.627407936981561	1.198257022251	1.8973717415573592	0.879499398835728	3.067526575107076	2.501723712603244	1.449722348315519
18.0.	0.591657680852336	1.128903714472421	1.912928992620846	0.988032949101566	2.838014011703038	2.327000027586057	1.263629696463172
18.0.3.0	0.550133408508614	1.027156500996211	1.869799992660874	1.102812950657388	2.6039292277624	2.198839068349788	1.12789937776308
18.0.599999999999998.0	0.507177199705349	0.907605002301987	1.774280169401441	1.214412413400489	2.384934891907668	2.119229578814431	1.041945303177424
18.0.9.0	0.466426584309414	0.7857492426478171	1.639683059465369	1.3121878623283	2.19510179860055	2.088720988387819	1.002006729876439
19.0.2.0	0.430627710980832	0.6745811326052661	1.4831855498187	1.385366271986079	2.0436706142267	2.1074620963072	1.004049437411571
19.0.5.0	0.40169819610003205	0.582697482468528	1.32220553041547	1.424403565783656	1.936400105684005	2.175735692512094	1.045137521038084
19.0.8.0	0.38091107895994203	0.514268378141835	1.171565584739547	1.422591527383589	1.8768669208864712	2.293860993050867	1.123660161814991
20.0.099999999999998.0	0.369096221056229	0.470276584211666	1.042121633006987	1.3777554625712432	1.8673879893972791	2.46129335436204	1.238809401271714
20.0.4.0	0.36679357405065005	0.45011964416507305	0.9407983223628701	1.293597904875004	1.909422158194897	2.674742225263313	1.389496968894562
20.0.7.0	0.37432098333707803	0.45287801855422005	0.871495841814067	1.17997619327701	2.003373945165601	2.925310738427466	1.572725716370491
21.0.	0.39173400788295604	0.47793792522092104	0.836231387164977	1.05146255528611	2.147740924744218	3.195252631498448	1.7814426084911221
21.0.3.0	0.41866585922575106	0.5249467345715111	0.8360228073798981	0.924189227945827	2.337619221494256	3.456032044179045	2.00221144840056
21.0.599999999999998.0	0.45405842107756406	0.5932316428169501	0.871241823743889	0.81206118275877	2.562818105951167	3.670433044257468	2.213687612551144
