time	R	Rin	x1	x1p	x2	x2p	x3	x3p
27.0.5.0	0.0008400985030870001	0.49915990149691203	0.9973949199899391	0.0026050800100610003	0.9906775640440421	0.009322435955957002	0.9449669361904681	0.055033063809530006
28.0.	0.0008400985030870001	0.49915990149691203	0.9974023277834061	0.002597672216594	0.9908673370071831	0.009132662992817	0.9483842328296411	0.051615767170357006
28.0.5.0	0.0008400985030870001	0.49915990149691203	0.9974087084595111	0.0025912915404890003	0.9910340010271681	0.008965998972831	0.9514420304975041	0.048557969502494004
29.0.	0.0008400985030870001	0.49915990149691203	0.9974142044213171	0.002585795578683	0.991180314150029	0.008819685849970001	0.95417479502126	0.045825204978738
29.0.5.0	0.0008400985030870001	0.49915990149691203	0.9974189383313421	0.0025810616686570004	0.991308714630823	0.008691285369176	0.956614335256984	0.043385664743013
30.0.	0.0008400985030870001	0.49915990149691203	0.9974230158473851	0.002576984152614	0.9914213563734081	0.008578643626592001	0.9587898747908931	0.041210125209105004
30.0.5.0	0.0008400985030870001	0.49915990149691203	0.997426527979373	0.0025734720206260003	0.9915201407442801	0.008479859255719	0.9607281541644681	0.039271845835530006
31.0.	0.0008400985030870001	0.49915990149691203	0.9974295531196871	0.002570446880313	0.9916067450722861	0.008393254927714	0.962453554525555	0.037546445474443
31.0.5.0	0.0008400985030870001	0.49915990149691203	0.9974321587921601	0.0025678412078390003	0.9916826481319191	0.008317351868081	0.9639882352096361	0.036011764790362
32.0.	0.0008400985030870001	0.49915990149691203	0.9974344031587191	0.0025655968412800004	0.9917491528912451	0.008250847108755	0.9653522791991511	0.034647720800847
32.0.5.0	0.0008400985030870001	0.49915990149691203	0.9974363363172121	0.002563663682787	0.9918074067872161	0.008192593212784	0.966563841677025	0.033436158322973
33.0.	0.0008400985030870001	0.49915990149691203	0.9974380014193711	0.0025619985806290004	0.991858419772192	0.008141580227807001	0.967639297980672	0.032360702019326004
33.0.5.0	0.0008400985030870001	0.49915990149691203	0.9974394356338071	0.0025605643661920003	0.9919030803564671	0.008096919643533	0.9685933881819541	0.031406611818044
34.0.	0.0008400985030870001	0.49915990149691203	0.9974406709755291	0.00255932902447	0.9919421698528951	0.008057830147105	0.9694393562798381	0.030560643720160003
34.0.5.0	0.0008400985030870001	0.49915990149691203	0.9974417350204651	0.002558264979534	0.9919763750117561	0.008023624988243001	0.97018908261248	0.029810917387518003
35.0.	0.0008400985030870001	0.49915990149691203	0.997442651520931	0.002557348479068	0.9920062992168471	0.007993700783152001	0.9708532085919581	0.029146791408040003
35.0.5.0	0.0008400985030870001	0.49915990149691203	0.9974434409357831	0.002556559064215	0.9920324723977141	0.007967527602285	0.9714412532555591	0.028558746744439003
36.0.	0.0008400985030870001	0.49915990149691203	0.99744412088706	0.002555879112939	0.9920553597979431	0.007944640202056001	0.971961721429303	0.028038278570696
