time	bound	free	lytic	translocate
125.0.	0.0004962509558430001	0.000710174389408	0.720774970253044	0.278018604401703
127.0.5.0	0.000429270649802	0.0006143166788440001	0.729668004695278	0.269288407976074
130.0.	0.000371330446222	0.000531397622238	0.738281507038533	0.260815764893005
132.0.5.0	0.000321210354317	0.00045967078974900005	0.746623762039555	0.252595356816377
135.0.	0.00027785498905200004	0.00039762548063100004	0.7547028777976421	0.244621641732673
137.0.5.0	0.000240351372588	0.00034395490506000003	0.7625267794911761	0.23688891423117403
140.0.	0.000207909726228	0.00029752866070700004	0.770103204921833	0.22939135669123
142.0.5.0	0.00017984685093600002	0.00025736892435500005	0.777439701591893	0.22212308263281502
145.0.	0.000155571748248	0.00022262985712400002	0.784543625077994	0.215078173316632
147.0.5.0	0.000134573180027	0.00019257978952700003	0.7914221384976111	0.208250708532832
150.0.	0.00011640890594600001	0.00016658581114600002	0.7980822128928741	0.201634792390032
152.0.5.0	0.00010069637268600001	0.00014410044036000002	0.804530628380914	0.19522457480603803
155.0.	8.710465917413121e-05	0.00012465009336	0.8107739759411461	0.189014269306319
157.0.5.0	7.534750854732729e-05	0.000107825109597	0.816818659728182	0.18299816765367302
160.0.	6.517730030048354e-05	9.327112356008524e-05	0.822670899814936	0.177170651761203
162.0.5.0	5.637983581374182e-05	8.068160118424951e-05	0.8283367352841061	0.171526203278896
165.0.	4.876982754814912e-05	6.979138366936106e-05	0.83382202759805	0.166059411190732
167.0.5.0	4.2186996978734844e-05	6.037110274200693e-05	0.8391324641872341	0.16076497771304402
170.0.	3.6492699135122275e-05	5.222234973234951e-05	0.8442735622062151	0.15563772274491702
172.0.5.0	3.1567002694502734e-05	4.5173496717829936e-05	0.8492506724136991	0.15067258708688802
175.0.	2.7306164155206442e-05	3.9076081719312235e-05	0.8540689831397641	0.14586463461436
177.0.5.0	2.362044291118011e-05	3.380168181516233e-05	0.858733524308932	0.14120905356634
180.0.	2.043221122206834e-05	2.9239208315218613e-05	0.863249171492649	0.13670115708781302
182.0.5.0	1.7674319280695992e-05	2.5292567025977222e-05	0.8676206499689031	0.13233638314479002
185.0.	1.5288680949797722e-05	2.187863432781755e-05	0.8718525387702901	0.12811029391443202
187.0.5.0	1.3225050385594491e-05	1.8925506436682554e-05	0.8759492747049471	0.12401857473823001
190.0.	1.1439963784876981e-05	1.6370984976402833e-05	0.87991515633739	0.120057032713848
192.0.5.0	9.895823969099984e-06	1.4161266964995761e-05	0.8837543479186161	0.11622159499044901
195.0.	8.560108526727667e-06	1.2249811623609762e-05	0.8874708832567421	0.112508306823106
197.0.5.0	7.4046848369596215e-06	1.059636014099886e-05	0.891068669521159	0.108913329433862
200.0.	6.40521754875372e-06	9.166087747940568e-06	0.8945514909745771	0.105432937720124
202.0.5.0	5.540656036107346e-06	7.928870242704522e-06	0.8979230126286061	0.10206351784511301
205.0.	4.792791034841713e-06	6.858649519231384e-06	0.901186783819495	0.09880156473994901
207.0.5.0	4.145871123109208e-06	5.932884734863222e-06	0.904346241701622	0.09564367954251801
210.0.	3.586270968182132e-06	5.1320775581951035e-06	0.907404714656995	0.09258656699447501
212.0.5.0	3.102204352318085e-06	4.439361497883041e-06	0.9103654256197371	0.08962703281441001
215.0.	2.6834759335876287e-06	3.840146662907686e-06	0.913231495315007	0.08676198106239301
217.0.5.0	2.3212665133518843e-06	3.3218124722830496e-06	0.916005945412324	0.08398841150868701
220.0.	2.007947287770294e-06	2.873441842104061e-06	0.9186917015935671	0.08130341701730001
222.0.5.0	1.7369191711624019e-06	2.485591251416927e-06	0.9212915965363231	0.078704180953251
225.0.	1.502473807097578e-06	2.1500918440710246e-06	0.9238083728134451	0.0761879746209
227.0.5.0	1.299673339863671e-06	1.8598773773867408e-06	0.9262446857099521	0.073752154739327
230.0.	1.124246414089235e-06	1.6088353939175788e-06	0.9286031059585391	0.07139416095964901
232.0.5.0	9.724982120856775e-07	1.391678481706545e-06	0.9308861223951471	0.06911151342815501
235.0.	8.41232634133821e-07	1.203832911537908e-06	0.9330961445361101	0.066901810398339
237.0.5.0	7.276849826907272e-07	1.041342305677342e-06	0.935235505078531	0.064762725894175
240.0.	6.29463732723542e-07	9.007843091846351e-07	0.937306462325562	0.06269200742639
242.0.5.0	5.445001617470856e-07	7.791985087415195e-07	0.9393112025383491	0.060687473762975
245.0.	4.710047786813008e-07	6.7402408083083e-07	0.9412518422164061	0.058747012754727004
247.0.5.0	4.074296338400943e-07	5.830458560214609e-07	0.9431304303082271	0.056868579216276006
250.0.	3.524357162409329e-07	5.043476633875505e-07	0.9449489503539191	0.055050192862693005
