time	s130	s137	s149	s153	s161	s166	s47	s48	s49	s50	s56	s60	s63	s64	s67	s71	s72	s75	s80	s81	s83	s84	s90	s91
28.0.	0	0.047730923605970005	0.0013204477179	0.000577538201464	0.007938075692134	0.021358807866451	0.000793506954793	0.00013996789222	0	0.0027918776073210002	0.083977172157964	0.503491450525414	0.12296185594940101	0	0.28127552988930704	0.0016953714434560002	0.055604326613238005	0.013992969815910002	0.9813035470490801	0.014102890943619	0.013819152828430001	0.09443630315321201	3.5323903185965444e-05	0.9997834966771961
30.0.	0	0.04791665598907	0.001229601262897	0.000489779868324	0.007806799155126	0.02023326691423	0.00079464244537	0.00014696727193400002	0	0.002929272299037	0.08733233553252401	0.5345391717952861	0.111747550384568	0	0.280684971266209	0.0016991265120300002	0.055073387163536006	0.014153143305684	0.9802021803535601	0.014269413432014	0.014730717414418	0.057254977883208005	2.404142869581687e-05	0.9997611062456611
32.0.	0	0.048088562068163004	0.0011352966402720002	0.00043419155806900003	0.007703248317591001	0.01926526282813	0.0008048843669280001	0.00015396960875300002	0	0.003066580675076	0.090637546859928	0.564297633546588	0.10538238941889101	0	0.275686121978918	0.001734672510508	0.055152073251927	0.014283118770096002	0.979076852469509	0.014405940670073001	0.015623907879229001	0.037807311838342	1.9308101333976392e-05	0.9997093960512521
34.0.	0	0.048206061268727	0.001045740002133	0.000394021321454	0.007618096795081001	0.018410026047453003	0.0008192884227160001	0.000161056187379	0	0.003205385795644	0.09392850508677	0.5928206337902371	0.10125836786268401	0	0.26887902531645	0.0017857023819950002	0.055484843731344005	0.014388359879655001	0.9779141177917191	0.014517911129044	0.016523810124017	0.027762692833873	1.7280991701106892e-05	0.9996405620126441
36.0.	0	0.048255307177510004	0.0009634312077770001	0.00036204237400400005	0.007547108217313	0.017642005703096	0.000835649100461	0.000168297548512	0	0.0033470555059300004	0.09723389744433	0.6201394733018201	0.098192067867507	0	0.261435040809806	0.0018451141046220002	0.055915717469026	0.014473343304306002	0.976701400907061	0.014609779496517001	0.017449174498206002	0.022627790876515	1.6861296948033633e-05	0.99956086253773
38.0.	0	0.048233555420345006	0.000888696774348	0.000334956310597	0.007488194448342001	0.016944783255749	0.00085292762381	0.000175759222248	0	0.0034928544017530003	0.100578311509882	0.646276586080875	0.09563996852895401	0	0.25388409435507403	0.00190958468321	0.05637201627607501	0.014541729942891001	0.975426067038023	0.014685194798394	0.018414901235235002	0.020057776092858002	1.753714656045732e-05	0.9994747384625
40.0.	0	0.048142238277352006	0.000821077140373	0.000311143162032	0.007440223760045	0.016306679399231	0.0008706081880290001	0.000183506622584	0	0.003644039398415	0.103984588334842	0.6712503913404431	0.09334694644200901	0	0.24646724021742403	0.0019774650398370003	0.05681767921978301	0.014596509457711002	0.97407452575618	0.014747146373425002	0.019434305467840002	0.018836766035768	1.8968557898235553e-05	0.9993855771573831
42.0.	0	0.047983853277906004	0.0007598696237940001	0.00028973234762100003	0.007402553061060001	0.015718718939511	0.000888418999601	0.00019161011379300002	0	0.0038019578772410002	0.10747595977134801	0.695076314468538	0.09119018143713101	0	0.23929321940339002	0.0020478850122380003	0.057233293592001	0.014640120098075	0.9726312013586761	0.014798083521429	0.020520922085303	0.018331049328881	2.0902073272715322e-05	0.999295952794754
44.0.	0	0.047760495477951005	0.000704337115009	0.00027020491481200004	0.007374853880212	0.015173600236766002	0.0009062057074790001	0.000200150664609	0	0.00396815634963	0.11107813808392202	0.7177661407068091	0.089108806381887	0	0.232409022044256	0.002120346968295	0.057607074863204	0.014674547046313002	0.971077265581997	0.014840013607826	0.021690071570152	0.018206837889849	2.314850923396428e-05	0.9992078164455471
46.0.	0	0.047473071106722005	0.000653782867782	0.000252215805742	0.007357062390043001	0.014665110978315	0.000923871459307	0.00020922675234800003	0	0.00414451233091	0.11482160751233701	0.7393264616995441	0.087071386595302	0	0.225832507044178	0.0021945302884520002	0.057930526048068004	0.014701402539256002	0.969388956300221	0.014874582554193001	0.02296049427045	0.01828586185606	2.556940856255846e-05	0.999122681519901
