time	A	E	G	R
78.0.4.0	0.121712399309174	563.8666038866138	226983.33999713633	118.81755499826154
80.0.	0.11524508749460301	533.8890278106134	214915.64737773573	112.19616618068417
81.0.60000000000001.0	0.10912232551489001	505.510251412091	203491.59369061614	105.95945809857142
83.0.2.0	0.10332566052171901	478.64445856300756	192676.62804406622	100.08351588531863
84.0.80000000000001.0	0.097837638451002	453.2104994330443	182438.07864550813	94.54606284209842
86.0.4.0	0.09264174879997601	429.1316300283372	172745.04787171146	89.32633431514128
88.0.	0.08772237258842201	406.33526703717666	163568.31351060825	84.40496247787691
89.0.60000000000001.0	0.083064733305463	384.7527569940076	154880.23577550607	79.76387097840471
91.0.2.0	0.07865485065748601	364.3191588472292	146654.66972250896	75.38617851958999
92.0.80000000000001.0	0.074479496945641	344.9730390837458	138866.8827292449	71.25611053427988
94.0.4.0	0.070526155913192	326.6562786246766	131493.47671785415	67.35891820302311
96.0.	0.066782983913879	309.31389076274155	124512.3148278831	63.68080413742697
97.0.60000000000001.0	0.06323877326240801	292.8938494631583	117902.45226547326	60.208854119931004
99.0.2.0	0.059882917637448005	277.3469273969038	111644.07107424003	56.9309743512248
100.0.80000000000001.0	0.056705379415953	262.6265431183512	105718.4185906756	53.83583371060044
102.0.4.0	0.053696658825541005	248.68861683895668	100107.74936293546	50.912810582913046
104.0.	0.050847764808858005	235.49143428521054	94795.27032662636	48.15194384915851
105.0.60000000000001.0	0.048150187500650005	222.99551816273853	89765.08904481452	45.543887676518
107.0.2.0	0.045595872224458	211.16350677954847	85002.1648320333	43.07986977855871
108.0.80000000000001.0	0.043177194921671005	199.96003941018108	80492.26259368133	40.751652847552776
110.0.4.0	0.040886938931057	189.35164800915098	76221.90922295248	38.551498888966215
112.0.	0.038718273041887005	179.30665490675577	72178.35240740252	36.47213621342097
113.0.60000000000001.0	0.036664730748472006	169.7950761432441	68349.52170650507	34.506728864146595
115.0.2.0	0.034720190638236004	160.7885301186263	64723.99177013973	32.648848278384946
116.0.80000000000001.0	0.032878857849563	152.26015125521658	61290.94757594584	30.892446999628145
118.0.4.0	0.031135246539404002	144.18450838843518	58040.15157091337	29.231834274174144
120.0.	0.029484163304203004	136.5375276185878	54961.91260951497	27.661653380458937
121.0.60000000000001.0	0.027920691501007	129.29641937236894	52047.05658714794	26.176860553144433
123.0.2.0	0.026440176418723003	122.4396094378056	49286.89867369146	24.772705376152288
124.0.80000000000001.0	0.025038211252408002	115.94667375034332	46673.21705762287	23.444712529872785
126.0.4.0	0.023710623836179	109.79827672085374	44198.22811640981	22.188664787763326
128.0.	0.022453464092907	103.97611290858079	41854.562933828136	21.000587166589956
129.0.6.0	0.021262992161236	98.46285185350152	39635.2450894746	19.876732142753205
131.0.20000000000002.0	0.020135667162738003	93.24208589331596	37533.669650071504	18.81356585456231
132.0.8.0	0.019068136574096003	88.29828080034532	35543.58329621756	17.80775521705455
134.0.4.0	0.018057226171241	83.6167290830613	33659.06552204397	16.85615588206946
136.0.	0.017099930514177002	79.1835058058353	31874.510848808848	15.955800981840621
137.0.6.0	0.016193403943034	74.98542678881637	30184.61199681453	15.103890599416262
139.0.20000000000002.0	0.015334952057514001	71.01000905766811	28584.343963184692	14.297781913812887
140.0.8.0	0.014522023653438002	67.24543342024525	27068.948955999283	13.5349799719889
142.0.4.0	0.013752203091611001	63.68050905420073	25633.92213806949	12.813129043535096
144.0.	0.013023203075536002	60.30463999601801	24274.998136255093	12.130004517454614
145.0.6.0	0.012332857815869002	57.10779342807975	22988.138274690697	11.483505303575448
147.0.20000000000002.0	0.011679116560677001	54.08046966614471	21769.518492607745	10.87164670403492
148.0.8.0	0.011060037471759002	51.21367375502917	20615.51790962445	10.292553722922705
150.0.4.0	0.010473781828328001	48.49888858539795	19522.708003433498	9.744454784589903
152.0.	0.009918608540441002	45.92804944938549	18487.842366757002	9.22567583334849
153.0.60000000000002.0	0.009392868955464	43.493519957304905	17507.847012265727	8.73463478931582
155.0.20000000000002.0	0.008895001941811	41.188069241981324	16579.811195882743	8.269836337020674
156.0.8.0	0.008423529235063001	39.00485038128017	15700.978730516605	7.829867025095766
158.0.4.0	0.007977051032345	36.93737997320786	14868.739763802037	7.413390656950503
160.0.	0.0075542418216650005	34.979518801569704	14080.622994879297	7.019143953763519
