time	species_1	species_10	species_11	species_12	species_13	species_14	species_15	species_7	species_8	species_9
9.0.	2.6845028490066102e-05	7.71531755062238e-07	5.519614857190827e-06	1.53193622975675e-06	8.606709467036971e-07	7.291997101850175e-07	2.8859550128219664e-05	3.34644874012579e-07	1.8291370686196191e-07	1.398408865344034e-06
9.0.6.0	2.5257023971653752e-05	8.020434442879981e-07	5.737898514426568e-06	1.592519558763409e-06	8.947078146344873e-07	7.580372982618489e-07	3.0051798345671642e-05	3.148500491042236e-07	1.7223389706730908e-07	1.453711601012358e-06
10.0.2.0	2.376295252777593e-05	8.307503170003374e-07	5.943270334947076e-06	1.649519284390386e-06	9.267313459436275e-07	7.851690956568471e-07	3.1173574953519136e-05	2.9622601395960907e-07	1.62134092232023e-07	1.5057430890669221e-06
10.0.799999999999999.0	2.235725838594331e-05	8.577591210086213e-07	6.136494003190066e-06	1.7031473627049998e-06	9.568606215860397e-07	8.106959931903077e-07	3.222902895233999e-05	2.787035332032738e-07	1.525990934915439e-07	1.554696810958093e-06
11.0.4.0	2.103471431529617e-05	8.831702915708449e-07	6.318288042973357e-06	1.753603215713484e-06	9.85207680642441e-07	8.347129154852824e-07	3.3222071055198714e-05	2.622174643010896e-07	1.4360753777421272e-07	1.6007548065750277e-06
12.0.	1.979040220631962e-05	9.070783245321745e-07	6.489328486965086e-06	1.801074472256547e-06	1.011877936568576e-06	8.573091736329319e-07	3.4156385161209604e-05	2.467065157913924e-07	1.351348737585893e-07	1.64408835056294e-06
12.0.6.0	1.861969479517368e-05	9.295721274710295e-07	6.6502513888176646e-06	1.845737665237193e-06	1.03697056891109e-06	8.785687970720852e-07	3.5035440118824895e-05	2.32113019747222e-07	1.271551964821231e-07	1.684858588778812e-06
13.0.2.0	1.7518238469902022e-05	9.507353500581017e-07	6.801655186589044e-06	1.887758887574213e-06	1.0605788918346839e-06	8.985708458222746e-07	3.586250140152485e-05	2.1838271769191227e-07	1.196423645992385e-07	1.723217137070351e-06
13.0.799999999999999.0	1.648193709191284e-05	9.706466949080808e-07	6.9441029266068576e-06	1.927294409422439e-06	1.082790700888211e-06	9.17389704279795e-07	3.6640642477617536e-05	2.05464559141563e-07	1.125706681364738e-07	1.759306644697793e-06
14.0.399999999999999.0	1.5506936772291533e-05	9.893802100853826e-07	7.0781243560834775e-06	1.9644912589655827e-06	1.103688599305154e-06	9.350953576743636e-07	3.737275575082884e-05	1.933105120243862e-07	1.059152150318072e-07	1.793261324503401e-06
