time	P	Q	R
26.0.8.0	0.33806410067352005	0.999391365331138	0.038845429282516004
27.0.200000000000003.0	0.35270540943244605	0.999239451641706	0.047890346391182004
27.0.6.0	0.366960951860541	0.9990280565096241	0.060068791862981
28.0.	0.38085587392462406	0.998725136827157	0.07674882747190201
28.0.400000000000002.0	0.39441041829460705	0.9982768370995301	0.099894089735476
28.0.8.0	0.407639354645535	0.9975933874279871	0.132037201586409
29.0.200000000000003.0	0.42055051709575003	0.9965206740251241	0.176073837501861
29.0.6.0	0.43314156185138003	0.9947753063690651	0.23484493347597002
30.0.	0.445392406291205	0.9917730160642981	0.310641452464263
30.0.400000000000002.0	0.457245492680785	0.9861173082554171	0.40475715876567503
30.0.8.0	0.46854794338033906	0.9739667224909281	0.516991343644674
31.0.200000000000003.0	0.47888108966726806	0.9447580946063051	0.644556280151512
31.0.6.0	0.48721069730405603	0.8781974873467171	0.7787253607272661
32.0.	0.49171476546004106	0.758206028791591	0.8941967773252071
32.0.4.0	0.49049187048663206	0.598942523432878	0.942463841831855
32.0.800000000000004.0	0.482791703130006	0.434914478741792	0.9436407096886711
33.0.2.0	0.46888523279263605	0.280554222944263	0.9344878382281011
33.0.6.0	0.44944952938274	0.145771172760185	0.9159190817019971
34.0.	0.425801653980509	0.055790100052452	0.88113284452997
34.0.4.0	0.40054020070038204	0.03839342694826	0.820165940982702
34.0.800000000000004.0	0.37593594500159006	0.054850074564338006	0.72409836533611
35.0.2.0	0.35312045357446104	0.103015656327281	0.5881461379859401
35.0.6.0	0.33394589732929403	0.21559770308164503	0.41479310218257803
36.0.	0.32158798888031803	0.425484039067452	0.219722492818783
36.0.4.0	0.31996650819549505	0.738625406766883	0.058525371244944
36.0.800000000000004.0	0.331256287018569	0.99943795793995	0.035710070420386
37.0.2.0	0.346083008986297	0.9993147852673221	0.043437899369188
37.0.6.0	0.360510934870841	0.9991334010210471	0.054057079351619006
38.0.	0.37456737735559603	0.9988773371899581	0.06847822201267001
38.0.400000000000006.0	0.38827484681901603	0.998503811454945	0.088395445078459
38.0.800000000000004.0	0.40165072280206304	0.9979418388344241	0.11609337057457
39.0.2.0	0.414706263290724	0.9970716437294931	0.15434309898561502
39.0.6.0	0.42744434725797104	0.9956809837612651	0.20607139899169902
40.0.	0.43985439494751605	0.9933566955408801	0.27387939091165103
