time	species_1	species_2	species_3	species_4
33.0.5.0	0.15330127986469802	0.9999736871296161	0.15330127986469802	0.9999736871296161
34.0.	0.15330127986469802	0.999973690144285	0.15330127986469802	0.999973690144285
34.0.5.0	0.15330127986469802	0.999973691972967	0.15330127986469802	0.999973691972967
35.0.	0.15330127986469802	0.999973693082235	0.15330127986469802	0.999973693082235
35.0.5.0	0.15330127986469802	0.999973693755111	0.15330127986469802	0.999973693755111
36.0.	0.15330127986469802	0.9999736941632741	0.15330127986469802	0.9999736941632741
36.0.5.0	0.15330127986469802	0.999973694410864	0.15330127986469802	0.999973694410864
37.0.	0.15330127986469802	0.9999736945610501	0.15330127986469802	0.9999736945610501
37.0.5.0	0.15330127986469802	0.999973694652152	0.15330127986469802	0.999973694652152
38.0.	0.15330127986469802	0.999973694707417	0.15330127986469802	0.999973694707417
38.0.5.0	0.15330127986469802	0.9999736947404051	0.15330127986469802	0.9999736947404051
39.0.	0.15330127986469802	0.9999736947605621	0.15330127986469802	0.9999736947605621
39.0.5.0	0.15330127986469802	0.9999736947729391	0.15330127986469802	0.9999736947729391
40.0.	0.15330127986469802	0.9999736947805371	0.15330127986469802	0.9999736947805371
40.0.5.0	0.15330127986469802	0.999973694785202	0.15330127986469802	0.999973694785202
41.0.	0.15330127986469802	0.9999736947880671	0.15330127986469802	0.9999736947880671
41.0.5.0	0.15330127986469802	0.9999736947898261	0.15330127986469802	0.9999736947898261
42.0.	0.15330127986469802	0.999973694790905	0.15330127986469802	0.999973694790905
42.0.5.0	0.15330127986469802	0.9999736947915681	0.15330127986469802	0.9999736947915681
43.0.	0.15330127986469802	0.9999736947919761	0.15330127986469802	0.9999736947919761
43.0.5.0	0.15330127986469802	0.9999736947922251	0.15330127986469802	0.9999736947922251
44.0.	0.15330127986469802	0.9999736947923791	0.15330127986469802	0.9999736947923791
44.0.5.0	0.15330127986469802	0.9999736947924731	0.15330127986469802	0.9999736947924731
45.0.	0.15330127986469802	0.9999736947925311	0.15330127986469802	0.9999736947925311
45.0.5.0	0.15330127986469802	0.999973694792566	0.15330127986469802	0.999973694792566
46.0.	0.15330127986469802	0.9999736947925881	0.15330127986469802	0.9999736947925881
46.0.5.0	0.15330127986469802	0.9999736947926021	0.15330127986469802	0.9999736947926021
47.0.	0.15330127986469802	0.9999736947926101	0.15330127986469802	0.9999736947926101
47.0.5.0	0.15330127986469802	0.9999736947926151	0.15330127986469802	0.9999736947926151
48.0.	0.15330127986469802	0.9999736947926181	0.15330127986469802	0.9999736947926181
48.0.5.0	0.15330127986469802	0.9999736947926201	0.15330127986469802	0.9999736947926201
49.0.	0.15330127986469802	0.9999736947926211	0.15330127986469802	0.9999736947926211
49.0.5.0	0.15330127986469802	0.9999736947926221	0.15330127986469802	0.9999736947926221
50.0.	0.15330127986469802	0.9999736947926221	0.15330127986469802	0.9999736947926221
