time	a1	a2	a3	x1	x2	x3
9.0.5.0	6.36984653083015e-06	0.021929107383899003	1803132461619501.2	5.104280592256482	9.294729202386815	9.304243152487526
10.0.	2.0218518552170713e-06	0.0034326684632020005	2177796126888974.5	4.132598161478691	9.507390413169379	9.566124405977721
10.0.5.0	7.878025781000557e-07	0.000527686552524	2495299573474875.5	3.446187550225822	9.382348493094934	9.732270559943082
11.0.	3.5533942257275465e-07	9.221658193171225e-05	2765882767429994.5	2.9482351629267782	8.390713127990336	9.83588504456742
11.0.5.0	1.7855809007520862e-07	2.2926516037039303e-05	3003420023517691.5	2.5737037732061863	6.726055926845832	9.899812293686367
12.0.	9.744575151364402e-08	8.47901664425483e-06	3220385248930246.0	2.28276428854411	5.305514828009805	9.938992588352248
12.0.5.0	5.675008945789923e-08	4.239182716784956e-06	3426425866572626.5	2.050602531140291	4.300675506890427	9.962908096943135
13.0.	3.4828865473182324e-08	2.6185315881961705e-06	3628503448070400.5	1.861188093726815	3.5928233340367752	9.97746974174045
13.0.5.0	2.231826353008561e-08	1.881429544999283e-06	3831493744479891.5	1.70377580590048	3.077448475184853	9.98632258240098
14.0.	1.482801413999849e-08	1.511942858503607e-06	4038794616930530.5	1.570918914865877	2.688835977465865	9.991699759851688
14.0.5.0	1.01588613923153e-08	1.3237130679004098e-06	4252808112124585.5	1.457303693935126	2.38678467096643	9.99496400508224
15.0.	7.146264238626093e-09	1.239758913695828e-06	4475286401331450.5	1.359041054125289	2.146052687511055	9.996944909259017
15.0.5.0	5.14379367718857e-09	1.2259145799864019e-06	4707568008905225.0	1.273221068541818	1.950221129840526	9.998146770998977
16.0.	3.7777503429064264e-09	1.267434051084848e-06	4950734928955733.0	1.197624025125004	1.788243177698584	9.998875877788652
16.0.5.0	2.8243309398144733e-09	1.3598688541312028e-06	5205715698651780.0	1.130527730962289	1.6524653896492132	9.999318155235397
17.0.	2.145280321558322e-09	1.505364467166953e-06	5473352619770026.0	1.070575781162111	1.5374571910560682	9.999586429137668
17.0.5.0	1.652813619275932e-09	1.711309063765699e-06	5754445597336457.0	1.016685486108545	1.439296428722548	9.999749152502796
18.0.	1.289810987207626e-09	1.990176764999071e-06	6049780885354995.0	0.9679822280871531	1.355121466430911	9.999847851795908
18.0.5.0	1.0182806433771142e-09	2.360109358241591e-06	6360150159172967.0	0.9237518178983791	1.282844999292738	9.999907716894267
19.0.	8.124478055874148e-10	2.846059701503028e-06	6686363422909567.0	0.8834053540171121	1.2209699604297661	9.999944027262137
19.0.5.0	6.545091398500121e-10	3.481428157585486e-06	7029258010658489.0	0.846452922043319	1.168472753647009	9.999966050742627
20.0.	5.319645197297735e-10	4.3101396850484125e-06	7389705131253212.0	0.8124836471276501	1.12473313258934	9.999979408706427
20.0.5.0	4.359049456178515e-10	5.389045581185717e-06	7768614886001649.0	0.7811503799734081	1.089498179647491	9.999987510738642
21.0.	3.598929645609924e-10	6.790365747522174e-06	8166940355260236.0	0.752157808489435	1.0628724363513191	9.999992424876128
21.0.5.0	2.992177018087668e-10	8.603562455562503e-06	8585681136454868.0	0.725253133808722	1.045328426179252	9.999995405453618
22.0.	2.503911586008087e-10	1.0935482908949031e-05	9025886580011180.0	0.7002186881014291	1.037731927457961	9.999997213266168
