time	CC	CCPT	CLK	PDP	PER	PT	TIM	VRI	clkm	clkp	pdpm	pdpp	perm	perp	prcpdp	prcper	prct	prcv	prpc	prvc	timm	timp	vrim	vrip
7.0.199999999999999.0	1.720554483282821	0.5932903623543111	4.161808109311631	3.924457612829885	2.947009862673595	0.15541579260516603	2.947009862673596	4.228519786334227	0.24698160816873702	0.003185	0.341651850631401	0.003185	0.306665387736125	0.003185	0.450900622865025	0.379693613375769	0.379693613375769	0.46440381553214904	0.37435811280095205	0.550293470932097	0.306665387736125	0.003185	0.37322049326503004	0.003185
7.0.92.0	0.9565624325306321	0.598478492617863	3.827737850490091	3.947193065861586	3.044416044299201	0.281233594167841	3.044416044299203	4.434225357091543	0.24069290166648602	0.003185	0.348631495148366	0.003185	0.317428134960865	0.003185	0.437488932434475	0.35237583123888705	0.35237583123888705	0.42842068838978403	0.364246650098478	0.562583816716942	0.317428134960865	0.003185	0.38907716308716606	0.003185
8.0.64.0	0.36707453499646203	0.560347809562675	3.502488428449743	3.976117580777514	3.222678418063968	0.6826058935440701	3.222678418063967	4.622670231468332	0.234558071929852	0.003185	0.355151965917719	0.003185	0.327002987907867	0.003185	0.40931624467611805	0.31048996302220905	0.31048996302220905	0.37526188634635305	0.35543357468163805	0.573338659374743	0.327002987907867	0.003185	0.402847126559199	0.003185
9.0.36.0	0.15494072855420501	0.513762412691543	3.284174867475992	4.009905107456966	3.534381467898362	1.486628925616216	3.534381467898361	4.786462325017931	0.22883917303998902	0.003185	0.36108541448949805	0.003185	0.33495369752917104	0.003185	0.374817011760656	0.264676988607149	0.264676988607149	0.31762220556519705	0.348067813051169	0.582365860872954	0.33495369752917104	0.003185	0.413837242990838	0.003185
10.0.08.0	0.090298859340876	0.491236725971378	3.15798022049302	4.047221908917267	3.8803645400764992	2.4430658307603412	3.8803645400765	4.918737650018801	0.223730957233357	0.003185	0.36633056330336206	0.003185	0.341022842245774	0.003185	0.34083254402184004	0.223152917655972	0.223152917655972	0.265751194385487	0.342262809902849	0.5895181687472041	0.341022842245774	0.003185	0.42165611254697305	0.003185
10.0.799999999999999.0	0.06317366720539801	0.47765975267872	3.073506910642366	4.086766573938561	4.196293763393184	3.397595325476468	4.196293763393185	5.015320934143792	0.219376532123765	0.003185	0.370813751906512	0.003185	0.345137678442062	0.003185	0.30918463123189704	0.18747624591660703	0.18747624591660703	0.22154455273046703	0.338081986270158	0.594721773385115	0.345137678442062	0.003185	0.426243198728036	0.003185
11.0.52.0	0.049094360712297	0.46785866840356005	3.010807350047931	4.127293581097082	4.466505414531802	4.283713832374948	4.466505414531803	5.07493008079672	0.215872127946504	0.003185	0.374478237019689	0.003185	0.347339320216142	0.003185	0.280187595406287	0.15731657161363702	0.15731657161363702	0.18449300056283602	0.33551967732625204	0.597991478360813	0.347339320216142	0.003185	0.42774019523848006	0.003185
12.0.24.0	0.040894538103253004	0.46056874179815704	2.964115325562127	4.167627492309895	4.68805437459936	5.063947548418413	4.688054374599362	5.098563084922891	0.213268740737793	0.003185	0.377282784078636	0.003185	0.34774384333241404	0.003185	0.253796447443482	0.13199646080123	0.13199646080123	0.15366046841787	0.33450603555818	0.5994172650942851	0.34774384333241404	0.003185	0.426412513829362	0.003185
12.0.959999999999999.0	0.035847432701156	0.45545017999598303	2.9316398258260543	4.206675586259577	4.861311307722387	5.714253937519609	4.861311307722389	5.088801946965823	0.21157614871281702	0.003185	0.37920218818259105	0.003185	0.346515120398499	0.003185	0.22986193302100902	0.110820282425048	0.110820282425048	0.128105809717415	0.33492442930521804	0.5991406505611411	0.346515120398499	0.003185	0.422594949296729	0.003185
13.0.68.0	0.032719321926539	0.452358096579738	2.9124592154273143	4.24343963586893	4.987764042378375	6.219670831376999	4.987764042378376	5.049202275696386	0.21076974460101403	0.003185	0.38022739196647204	0.003185	0.343843355802924	0.003185	0.20820463179300003	0.093155898209308	0.093155898209308	0.10698480681257701	0.336629975134766	0.5973323813747791	0.343843355802924	0.003185	0.41665153047695	0.003185
14.0.399999999999999.0	0.030888084001179	0.45116519038642405	2.9057045324816233	4.277026114497973	5.069418416641805	6.572645408518952	5.069418416641808	4.983807446521682	0.210798718161358	0.003185	0.38036487889318205	0.003185	0.339928641953045	0.003185	0.18864155285865802	0.07845293088456701	0.07845293088456701	0.089570405715386	0.33946456118015805	0.5941753361905281	0.339928641953045	0.003185	0.408947172183224	0.003185
15.0.12.0	0.030023004102254003	0.45172373758459106	2.910385810880663	4.306654126487394	5.108574307021096	6.771915325675954	5.108574307021096	4.896789288776301	0.21159412480773301	0.003185	0.37963545118631403	0.003185	0.33496914767304103	0.003185	0.17099697610275702	0.06624170485330601	0.06624170485330601	0.075248485338332	0.343267495973103	0.589852863920674	0.33496914767304103	0.003185	0.39982914537055003	0.003185
15.0.84.0	0.029952070456616003	0.45386389522740905	2.925396084937598	4.331660649054521	5.107700499785184	6.821462197806062	5.107700499785185	4.792201474003127	0.21307593322766702	0.003185	0.37807259600741105	0.003185	0.329153287545333	0.003185	0.155107176040474	0.056126115391690004	0.056126115391690004	0.06350634371319401	0.34788238209133404	0.5845415319545171	0.329153287545333	0.003185	0.38961623010871305	0.003185
16.0.56.0	0.030603254907629003	0.45740070067546906	2.949559553871004	4.351502982624038	5.069344121733344	6.729477395364123	5.069344121733345	4.673825204727661	0.21515867635350902	0.003185	0.375720646515519	0.003185	0.322655085378105	0.003185	0.140822559034905	0.04777507000396	0.04777507000396	0.053919856832168	0.35316116332341	0.578407068672238	0.322655085378105	0.003185	0.378593532787635	0.003185
17.0.28.0	0.031980248974076	0.46214172100507805	2.981683615150877	4.365758566269696	4.996059911583863	6.507376504361411	4.996059911583867	4.545085804034419	0.217755681941385	0.003185	0.372632920064051	0.003185	0.315631963947392	0.003185	0.12800873824269302	0.040914303077440005	0.040914303077440005	0.046141570131158	0.358966207460921	0.5716024781619421	0.315631963947392	0.003185	0.36701126871490103	0.003185
18.0.	0.034158462387904	0.46789288319750605	3.020603285024003	4.374122511736727	4.890356435068837	6.168908275341346	4.890356435068838	4.40902099134055	0.220782041383096	0.003185	0.368869987566444	0.003185	0.30822430467526	0.003185	0.116547347395461	0.035319341733119	0.035319341733119	0.039890667606990005	0.36517107685960404	0.5642675847169151	0.30822430467526	0.003185	0.35508620366673105	0.003185
18.0.72.0	0.037298201374486	0.47446165324534606	3.065216661155184	4.376403353985616	4.75465944870447	5.729392381286505	4.754659448704472	4.2682852999490635	0.22415654039464203	0.003185	0.36449820852470705	0.003185	0.30055627412893504	0.003185	0.106337169423368	0.030810072126162002	0.030810072126162002	0.034945361527203005	0.371660428993898	0.5565295206184201	0.30055627412893504	0.003185	0.343004836517574	0.003185
19.0.439999999999998.0	0.041679892905961004	0.48165692885133604	3.114514406801127	4.372517631804637	4.591294569786619	5.205108221499501	4.59129456978662	4.1251792307836475	0.227802771949407	0.003185	0.35958866616089	0.003185	0.292737584321245	0.003185	0.09729621441018	0.027247391889498002	0.027247391889498002	0.031138331338060002	0.378329315246267	0.548503877715795	0.292737584321245	0.003185	0.33092776702902704	0.003185
20.0.16.0	0.047777299768698	0.48928420229949304	3.1676093808359562	4.362484036077981	4.402495175461292	4.612852527928691	4.402495175461292	3.981695944242091	0.231649614034652	0.003185	0.354216672634493	0.003185	0.284866042549607	0.003185	0.089365750040044	0.024532824666278003	0.024532824666278003	0.028356413383583003	0.38508200580299	0.540296412931779	0.284866042549607	0.003185	0.31899504989590904	0.003185
20.0.88.0	0.056408353697515005	0.49713200420808606	3.223777778226436	4.346418059168621	4.190450530253042	3.9696946332086833	4.190450530253039	3.8395827563084453	0.235631200753343	0.003185	0.348462119252728	0.003185	0.277030989667207	0.003185	0.082518244938257	0.022612997161629	0.022612997161629	0.026547207094928003	0.39183034110448606	0.5320053613085051	0.277030989667207	0.003185	0.307332763665892	0.003185
21.0.599999999999998.0	0.0690649145711	0.504938227456543	3.282536419576892	4.3245284728504	3.9574325008398663	3.293005072728546	3.957432500839867	3.700420420576477	0.23968644966395303	0.003185	0.342411203778822	0.003185	0.26931812638002	0.003185	0.0767735922967	0.021493454070978003	0.021493454070978003	0.025738918088872003	0.398491457855345	0.523724623492349	0.26931812638002	0.003185	0.296061707376958	0.003185
22.0.32.0	0.08870652547749801	0.5123010180897061	3.34381976285674	4.297117848897904	3.7061056726474	2.60098366892716	3.706105672647401	3.5657329039302548	0.24375812120712903	0.003185	0.336160702462146	0.003185	0.26181707057659304	0.003185	0.07223451731486401	0.021273298047844003	0.021273298047844003	0.026089686056477	0.40498448440857604	0.515548474206545	0.26181707057659304	0.003185	0.285310572110525	0.003185
23.0.04.0	0.121927229012508	0.518411355331959	3.408448507525933	4.264591508772145	3.440340993755104	1.914426120739433	3.440340993755104	3.437161985895672	0.247791242546665	0.003185	0.329827654593762	0.003185	0.25463514193763603	0.003185	0.069171984335928	0.022233615146614	0.022233615146614	0.028012987604399003	0.41122526148573	0.507579280830676	0.25463514193763603	0.003185	0.275239600977634	0.003185
23.0.759999999999998.0	0.18575971641847602	0.521140983683367	3.479554668185633	4.227485163026443	3.1676447844652182	1.262386200047444	3.1676447844652182	3.316799714121214	0.251730427395163	0.003185	0.323572407177936	0.003185	0.24792727603509002	0.003185	0.068260029188493	0.025086996621153	0.025086996621153	0.032530395313526	0.417116783354522	0.49994191267713406	0.24792727603509002	0.003185	0.26609164194433904	0.003185
24.0.48.0	0.329851155061315	0.5142335680755871	3.567293563607429	4.186539139861503	2.907068828309221	0.700265837555585	2.907068828309221	3.207952925596832	0.255514854491184	0.003185	0.317659212194409	0.003185	0.24197260432235002	0.003185	0.071298706727094	0.031754224176906	0.031754224176906	0.042363474322662006	0.42252912011431504	0.492815001489019	0.24197260432235002	0.003185	0.25832223910463403	0.003185
25.0.2.0	0.665078162859387	0.48970160515953204	3.6989720076301493	4.142896750952573	2.7049701442197422	0.330139993715415	2.7049701442197422	3.117097536688182	0.259067438920813	0.003185	0.31261212033961505	0.003185	0.23737110564198802	0.003185	0.082998427980215	0.047253834565334	0.047253834565334	0.064531294131302	0.42725079892281803	0.48650821599811306	0.23737110564198802	0.003185	0.25292822135492604	0.003185
25.0.919999999999998.0	1.214367618475685	0.46718047922889105	3.9000076914370663	4.098524151548831	2.601695640633121	0.172817603884958	2.601695640633121	3.057397111126239	0.262269347059919	0.003185	0.30938235702575	0.003185	0.23525395445302302	0.003185	0.110473606702063	0.07883267991982501	0.07883267991982501	0.10872635532338101	0.430875713185267	0.48163277051101105	0.23525395445302302	0.003185	0.25175782790073503	0.003185
