time	Active_R2	Active_Rec	Active_Rec_endo	Inactive_Rec	S2_c	S2_n	S4_c	S4_n	S7	Smad7mRNA	Smad7mRNA1	TGFb	TGFb_In	TGFb_R1_endo	TGFb_R1_surface	TGFb_R2_endo	TGFb_R2_surface	pS2_c	pS2_n	pS2_pS2_S4_c	pS2_pS2_S4_n	pS2_pS2_pS2_c	pS2_pS2_pS2_n
39.0.	2.900508394469432	10.100939340201084	1.409628112177207	11.93274523504114	259.3252071408442	121.42225150556496	275.86506379267706	227.15610413590363	2.6456830642592832	1.055924357080929	10.266686565862875	99.58799042302408	0.13614927013796602	14.122383964871846	7.314379320736412	8.582578545326871	0.30326006704234604	0.33936123081971103	0.47270061185986406	87.43874616060589	136.60483171792745	5.358864118894559	74.99268494043136
42.0.	2.806232900791616	9.845156123556356	1.376478569506569	12.472289266613444	258.6376065971518	120.82348278313016	279.1739060307125	226.13087329772006	2.838724913226579	1.205304890834983	10.977248613035023	99.55075967813407	0.134280713453306	14.257622214582767	7.487484259105371	8.450102951322545	0.297239428915049	0.33344292771586104	0.47125060242033706	85.43030576982558	135.02925886160094	5.133945230443618	80.07893759797999
45.0.	2.713638362729419	9.558073734417894	1.338601971461898	13.071103492967831	258.8853639232535	120.54945010853801	282.5967536271382	224.9715935797986	3.065440824236139	1.341335273756524	11.54340918607614	99.51189729003625	0.132065948190132	14.358250725244835	7.657551233510658	8.291161648561454	0.29159294981480605	0.32754407352951204	0.46963695322048904	83.44965351877447	133.30414788877326	4.899526089568302	84.51619557394909
48.0.	2.622566198764169	9.246522891811553	1.296940155632821	13.719100877342054	259.9868940907283	120.57493712962076	286.09244536335297	223.74915243658478	3.326340507226397	1.461965551925736	11.976022525023888	99.47125115814795	0.129570371241921	14.43035698392427	7.827116933976164	8.108205935259525	0.286268069393464	0.32167726156841503	0.46783156537769705	81.48818372335995	131.4581451503866	4.663347045735704	88.34344633075345
51.0.	2.533067864379987	8.917157414445162	1.25242429102202	14.405396886208617	261.8664669844374	120.87499715008924	289.63580026385415	222.50133309830818	3.621717981989762	1.5661093704314082	12.286237062943046	99.4286991859828	0.126858279491848	14.480230074942199	7.998241243741575	7.904467075319318	0.281227501145463	0.31585403487121905	0.46582169502413506	79.5433284261661	129.5089652820484	4.4301163223693365	91.60104204200394
54.0.	2.445348822705775	8.576271568373304	1.2059464054402471	15.118897719870713	264.45075956441707	121.42484095111985	293.20910935714284	221.2476969932487	3.951611716374964	1.6533987302723872	12.485109451196267	99.38415058516853	0.123991102317811	14.514003734885506	8.17248914647578	7.683637562406372	0.276446602361465	0.310086619450048	0.46360669251428405	77.61613123911238	127.47037757463772	4.202703415091616	94.32922284596059
57.0.	2.3597146352196843	8.229664550777521	1.158337921388209	15.848763779040935	267.66795585785474	122.20001339378604	296.7978570072646	219.9983790378194	4.315746921600852	1.723992376853448	12.583463848662724	99.33754571585911	0.12102604922456901	14.537400862681055	8.350939750494547	7.44962052563884	0.27191045392962204	0.304388199532656	0.46119407569555404	75.70969264696303	125.35507741412253	3.98286649832517	96.56736099523557
60.0.	2.276521983483172	7.882542929558429	1.110353953721953	16.58476941016198	271.4476246641113	123.17654888019383	300.38863417081205	218.75894728206285	4.713471808659085	1.7784299590762132	12.591836320760052	99.28885478113322	0.11801513022495601	14.555559759243833	8.534214336979451	7.206333666799966	0.267610972858283	0.29877286910898404	0.45859651251142103	73.82830599756979	123.1757281415708	3.771688245628998	98.35357579518549
63.0.	2.196136576178658	7.539454831530284	1.062662346909575	17.31757442464131	275.72077746528	124.33105779945289	303.9681694552373	217.53294236655157	5.143699027885846	1.817522033526757	12.520440687201026	99.23807564248136	0.115004481373354	14.572925349852586	8.722518134806549	6.957557404712384	0.263544285417045	0.293255526763452	0.45582990253154004	71.9770041649585	120.94526615345406	3.5698352961883	99.72454747884183
66.0.	2.118899318082313	7.204252482718421	1.015836825904048	18.0389177073383	280.41998689185397	125.64077785652553	307.5229448631798	216.3231408398627	5.604862413047541	1.842267021834798	12.379134402430974	99.18523098842785	0.11203394601005101	14.593191965127199	8.915691974153635	6.706819513417518	0.259708519362402	0.287851706341325	0.45291227669633705	70.16129771704449	118.67692976008584	3.377712016096829	100.71544243056701
69.0.	2.045101475367284	6.880081294690353	0.9703539243107631	18.74173986083455	285.47959138530007	127.08363147616097	311.0391408480208	215.1321509137367	6.094897258582076	1.853788060442655	12.177379368806998	99.13036506530506	0.109136884440858	14.619287284303901	9.11327060171444	6.457310735664299	0.25610210557670304	0.282577296879426	0.44986317381057406	68.38697319642861	116.38417675776152	3.195550518861417	101.35990031456576
72.0.	1.974968844416514	6.569393948490862	0.926593465329946	19.420240611467023	290.83602004921397	128.63831385225058	314.5027842128944	213.96266778596362	6.611249521776966	1.85328442991625	11.924198105510413	99.07354016232976	0.10634019776955601	14.653389352138483	9.314544644682623	6.211827495170093	0.252722612048469	0.277448138764857	0.446703232829944	66.65989074439887	114.0805380598468	3.023461936586398	101.69005175939044
75.0.	1.9086542177431842	6.273987164673059	0.8848423229207961	20.06987730288017	296.4282375873489	130.28441686835012	317.9000249285736	212.81755346289958	7.150915736980925	1.841993675148537	11.62812742846358	99.01483302667572	0.103664553264977	14.69697004475767	9.518623282244153	5.97273880845777	0.24956607369421602	0.272479524050562	0.443453842848527	64.98576607873854	111.77942028287315	2.861464278869528	101.73654558990809
78.0.	1.846236859853899	5.995057574265271	0.84530104194484	20.68731250313438	302.198273620455	132.0025795476497	321.21748621841397	211.69982137060842	7.710511559028401	1.821161627400422	11.297172448715958	98.95433136403949	0.10112479155475301	14.750859093870188	9.724494823440356	5.741974831480811	0.24662673763825502	0.26768565559059304	0.44013677631637205	63.36994671134897	109.4938685302626	2.709496698712454	101.52857212869365
81.0.	1.7877273453578941	5.733271868083231	0.8080927207580031	21.270320687577975	308.0917785047481	133.7746476411532	324.44263879705886	210.6125661388678	8.286363388652378	1.792018374383661	10.938764025281982	98.89213055445654	0.098730484647657	14.815323038364735	9.931082705845885	5.521034319675684	0.24389711953586102	0.263079128296807	0.436773787230866	61.817202228131904	107.23630757114768	2.567426649635648	101.09387534183271
