time	Ta	Tastarstar	Tm	Tmstarstar	Ttot	Tv	V
1883.0.4.0	6.343245475898329	0.363833737396942	417.5846677896944	33.13453482138968	907.3427163647672	449.9164345403906	144.50313357565898
1905.0.3000000000002.0	6.261618208604487	0.36999092064014005	413.3704696574028	33.679367509784846	903.59788083682	449.9164345403906	147.00631873512623
1927.0.2000000000003.0	6.193868192640195	0.374474456327402	409.7572971683563	34.0740942358054	900.3161685935165	449.9164345403906	148.8364355706863
1949.0.1000000000001.0	6.13848255184243	0.37753200466302506	406.70830595845166	34.34123411691434	897.4819891722584	449.9164345403906	150.09195685575486
1971.0.0000000000002.0	6.093962963107229	0.37940531538403205	404.1779792621032	34.5026681165457	895.0704501975268	449.9164345403906	150.86937442126376
1992.0.9.0	6.058872344273641	0.380320284467693	402.1157494540099	34.57877068329524	893.0501473064331	449.9164345403906	151.2591148463072
2014.0.8000000000002.0	6.031864807142305	0.38048090652313205	400.4689431249155	34.587888903338666	891.3856122823062	449.9164345403906	151.34302845878653
2036.0.7000000000003.0	6.011703128089048	0.38006628847122603	399.18506608523097	34.546092952680574	890.039362994858	449.9164345403906	151.19312126787338
2058.0.6000000000004.0	5.997267194557777	0.379229911584858	398.21349136904644	34.46712455924674	888.9735475748217	449.9164345403906	150.8712043827283
2080.0.5.0	5.987556104914695	0.37810043410599203	397.5066353609929	34.36248019322394	888.1512066336236	449.9164345403906	150.42917560137195
2102.0.4.0	5.981685926338891	0.376783463890626	397.02071291225144	34.24157829108381	887.5371951339508	449.9164345403906	149.90970199626523
2124.0.3.0	5.9788845771215335	0.37536386837579905	396.71615825069864	34.11197226966723	887.098813506249	449.9164345403906	149.3471274187511
2146.0.2000000000003.0	5.978484888922599	0.37390831118530005	396.55778925574566	33.979582010848645	886.8061990070878	449.9164345403906	148.7684779802775
2168.0.1000000000004.0	5.979916600760683	0.37246780442648303	396.5147813198652	33.84892537090002	886.6325256363377	449.9164345403906	148.19447893558285
2190.0.	5.98269781660855	0.371080142593034	396.5605054281945	33.72333807368315	886.5540560014642	449.9164345403906	147.64052762732686
