time	T	TStar	V
174.0.	280.2523542684321	89.73848776226998	295851.9994078509
177.0.	277.04962460452606	90.27540688937759	298440.7074746388
180.0.	274.0333845000538	90.60276663434351	300315.7319643878
183.0.	271.24060737854023	90.73248826845222	301498.926345308
186.0.	268.69980625940224	90.68022909782222	302027.1381915863
189.0.	266.43127641638546	90.46449998807961	301949.7072282221
192.0.	264.44758651283666	90.10576526116989	301325.67261474446
195.0.	262.7542533421834	89.62558037816608	300220.89188341587
198.0.	261.3505364860908	89.04581025783513	298705.24958730396
201.0.	260.230295381209	88.38795704594713	296850.09694065864
204.0.	259.38286055661695	87.67261255388837	294726.02125035523
207.0.	258.793881423152	86.91903879021739	292401.00164379587
210.0.	258.44612357458715	86.14487078203544	289938.9699108869
213.0.	258.32019814303385	85.36592946117523	287398.7648876227
216.0.	258.3952137945434	84.59612861187401	284833.4468030093
219.0.	258.649348252512	83.84745833244305	282289.9242066575
222.0.	259.06034083628896	83.13002763151567	279808.8394597657
225.0.	259.6059105903477	82.45215012832497	277424.6578310777
228.0.	260.2641064183974	81.82045888178564	275165.9083972261
231.0.	261.0135965068153	81.24003875148756	273055.530717111
234.0.	261.83390448453633	80.71456711165129	271111.2883834464
237.0.	262.70559944695884	80.24645600638416	269346.21809065004
240.0.	263.61044635102854	79.83699083875608	267769.0901211027
243.0.	264.53152250648577	79.48646237438656	266384.86271492584
246.0.	265.45330504600844	79.19429020151145	265195.1184240991
249.0.	266.3617334256837	78.95913684004148	264198.4751787468
252.0.	267.24425023413573	78.77901246349941	263390.9684297888
255.0.	268.08982290315043	78.65137072851489	262766.40345676494
258.0.	268.88894833135544	78.57319653683581	262316.6788532284
261.0.	269.6336419628234	78.5410867228098	262032.08344728578
264.0.	270.31741250534384	78.55132469973931	261901.56960330086
267.0.	270.9352232247463	78.59995004205311	261913.00609600355
270.0.	271.48344060476825	78.68282385350778	262053.4136524666
273.0.	271.95977110638813	78.7956905976717	262309.1859106851
276.0.	272.3631867837657	78.93423686570344	262666.2980244214
279.0.	272.6938406014721	79.0941473452246	263110.50452093536
282.0.	272.95297243348494	79.27115804789396	263627.5273505477
285.0.	273.14280689133284	79.46110666492122	264203.2344060045
288.0.	273.266444309229	79.65997975982988	264823.80817900767
291.0.	273.32774639072323	79.86395638458966	265475.90369725
294.0.	273.33121817815237	80.06944762457431	266146.7944761128
297.0.	273.2818881287095	80.27313154277873	266824.504944815
300.0.	273.1851881577579	80.47198300472957	267497.9276785123
