time	ADP	ATP	BPG	P3G	pep	phos	pyr
13.0.950000000000001.0	0.0009236566687680001	9.999076343331236	0.17216247372297802	6.327837526277023	2.743088347736356	2.254672835209436	2.436911652263647
14.0.4.0	0.000943082880195	9.999056917119809	0.17213615684958	6.327863843150424	2.6860859821899723	2.311720943840644	2.493914017810031
14.0.85.0	0.0009633395140840001	9.999036660485919	0.17210875720044103	6.327891242799559	2.629094428612178	2.368760153701466	2.5509055713878253
15.0.3.0	0.000984480763851	9.999015519236155	0.17208020949851602	6.327919790501482	2.572114175929153	2.425790095336184	2.6078858240708502
15.0.75.0	0.00100656563025	9.998993434369755	0.172050441934317	6.327949558065678	2.5151457471160352	2.482810376579903	2.664854252883968
16.0.2.0	0.001029658463802	9.998970341536205	0.17201937585892502	6.327980624141068	2.458189702255614	2.539820580349267	2.721810297744388
16.0.650000000000002.0	0.001053829582608	9.9989461704174	0.17198692527300802	6.328013074726983	2.401246642013277	2.596820262296324	2.778753357986726
17.0.1.0	0.00107915597787	9.99892084402214	0.17195299614599102	6.328047003853998	2.344317211567563	2.653808948264315	2.83568278843244
17.0.55.0	0.001105722121796	9.998894277878213	0.17191748557882902	6.32808251442116	2.287402105051214	2.7107861314917523	2.892597894948789
18.0.	0.0011336208955690001	9.998866379104442	0.17188028080969903	6.328119719190289	2.230502070572641	2.7677512695132283	2.949497929427361
18.0.45.0	0.001162954658559	9.998837045341453	0.17184125805150502	6.3281587419484815	2.173617915903784	2.824703780703269	3.006382084096219
18.0.900000000000002.0	0.001193836484459	9.998806163515553	0.171800281141572	6.3281997188584125	2.116750514938395	2.881643040404492	3.063249485061607
19.0.35.0	0.0012263915954020001	9.998773608404612	0.171757199975959	6.328242800024023	2.059900815045977	2.938568376573466	3.120099184954025
19.0.8.0	0.0012607590319440001	9.99873924096807	0.171711848692695	6.328288151307284	2.003069845472009	2.995479064867239	3.176930154527993
20.0.25.0	0.0012970936052800002	9.998702906394739	0.171664043559069	6.32833595644091	1.946258726966064	3.052374323080146	3.233741273033938
20.0.7.0	0.0013355681887390002	9.998664431811285	0.17161358050734202	6.328386419492642	1.8894686828574598	3.109253304823937	3.290531317142542
21.0.150000000000002.0	0.001376376419132	9.998623623580897	0.17156023225008002	6.328439767749906	1.832701051845318	3.166115092323734	3.347298948154683
21.0.6.0	0.0014197358957600001	9.998580264104282	0.171503744889969	6.328496255110018	1.775957302828894	3.2229586881768952	3.404042697171106
22.0.05.0	0.0014658919869550001	9.99853410801308	0.17144383391835802	6.328556166081628	1.719239052178219	3.279783005890377	3.460760947821781
22.0.5.0	0.001515122382587	9.998484877617445	0.17138017947056403	6.328619820529419	1.662548083939042	3.33658685897298	3.517451916060958
22.0.95.0	0.0015677425680000001	9.998432257432029	0.17131242067230001	6.328687579327685	1.6058863735859061	3.393368948309794	3.5741136264140962
23.0.400000000000002.0	0.001624112443491	9.99837588755654	0.171240148868038	6.328759851131948	1.549256116091108	3.450127847484343	3.630743883908892
23.0.85.0	0.001684644377601	9.998315355622431	0.171162899465333	6.328837100534653	1.492659759276626	3.506861985635643	3.6873402407233753
24.0.3.0	0.0017498130681120002	9.998250186931918	0.17108014205440703	6.32891985794558	1.436100043676279	3.5635696273374258	3.7438999563237223
24.0.75.0	0.001820167699639	9.99817983230039	0.17099126836328202	6.329008731636704	1.379580050478088	3.6202488488582683	3.8004199495219133
25.0.2.0	0.0018963470430580001	9.998103652956974	0.170895577476175	6.329104422523811	1.3231032595721461	3.6768975099947383	3.856896740427855
25.0.650000000000002.0	0.00197909835638	9.998020901643647	0.17079225756377	6.329207742436214	1.266673620340731	3.733513220451878	3.913326379659269
26.0.1.0	0.002069301244247	9.997930698755777	0.170680363129586	6.329319636870399	1.2102956386566621	3.790093299457998	3.969704361343338
26.0.55.0	0.0021679980509560002	9.997832001949067	0.170558786439323	6.32944121356066	1.153974484693775	3.846634726917857	4.026025515306225
27.0.	0.0022764329558800003	9.997723567044142	0.17042622132930701	6.329573778670675	1.097716127733584	3.903134083892989	4.082283872266418
27.0.45.0	0.002396102796439	9.997603897203582	0.170281116924651	6.329718883075332	1.041527506375464	3.959587479496322	4.138472493624537
27.0.900000000000002.0	0.0025288238961	9.99747117610392	0.170121617844556	6.329878382155425	0.9854167457299701	4.015990460321574	4.194583254270031
28.0.35.0	0.0026768210361640004	9.997323178963859	0.169945486087015	6.330054513912969	0.9293934377703851	4.072337897178765	4.250606562229616
28.0.8.0	0.0028428475231910004	9.997157152476833	0.16974999774100802	6.3302500022589765	0.873469007784594	4.128623841997591	4.306530992215409
29.0.25.0	0.003030349635963	9.996969650364061	0.169531804606763	6.330468195393218	0.817657200012705	4.184841345016497	4.3623427999872995
29.0.7.0	0.003243695540149	9.996756304459874	0.16928674611775202	6.330713253882227	0.761974731055014	4.240982218367383	4.418025268944991
30.0.150000000000002.0	0.0034884996830890002	9.996511500316933	0.16900958965620402	6.330990410343777	0.7064421838201581	4.297036726206729	4.473557816179846
30.0.6.0	0.0037720916343980003	9.996227908365627	0.168693665735583	6.331306334264397	0.651085253388317	4.3529931725105	4.528914746611687
31.0.05.0	0.004104208612929	9.995895791387097	0.168330345612932	6.331669654387047	0.5959365193340761	4.408837343665921	4.584063480665926
31.0.5.0	0.004498043414871001	9.995501956585157	0.167908277352069	6.332091722647911	0.541038025219011	4.464551740843791	4.638961974780989
31.0.95.0	0.0049718731718020005	9.995028126828226	0.167412242362795	6.332587757637185	0.486445129633622	4.520114501175387	4.693554870366378
32.0.4.0	0.005551667068297001	9.99444833293173	0.166821399446204	6.333178600553777	0.43223242081960406	4.57549784680249	4.747767579180396
32.0.85.0	0.0062754000317490006	9.993724599968278	0.166106511568647	6.3338934884313325	0.378503090409536	4.630665798053568	4.801496909590464
33.0.300000000000004.0	0.007200445939674001	9.992799554060353	0.165225431643466	6.334774568356514	0.32540430877290605	4.685570705523306	4.854595691227093
33.0.75.0	0.008416729970392	9.99158327002964	0.164115519630138	6.335884480369843	0.27315338373658704	4.740147826603669	4.9068466162634135
34.0.2.0	0.010070990409186001	9.989929009590844	0.16268051602750103	6.337319483972481	0.22208391248286302	4.794306561898827	4.9579160875171375
34.0.65.0	0.012412806352743002	9.987587193647286	0.160767309870185	6.339232690129798	0.172729663837473	4.847915832645089	5.007270336162525
35.0.1.0	0.015882007406649003	9.984117992593387	0.15812492684496102	6.341875073155021	0.12597801170862402	4.900779068853068	5.054021988291374
35.0.550000000000004.0	0.021261872297755002	9.97873812770228	0.15433741179034402	6.34566258820964	0.08333304092490401	4.952591419582511	5.096666959075095
36.0.	0.029861096274983002	9.97013890372505	0.148746301772631	6.351253698227353	0.047243145218508004	5.002871649283848	5.132756854781491
36.0.45.0	0.043338793173111005	9.95666120682692	0.14050323016521502	6.359496769834768	0.020952845855714	5.050882717152185	5.159047154144286
36.0.9.0	0.06222642048286801	9.937773579517161	0.12913690558243202	6.37086309441755	0.006446714488908	5.095642800411528	5.173553285511091
37.0.35.0	0.084062477459099	9.915937522540927	0.11559184662962001	6.384408153370359	0.001245681263679	5.1362249495658	5.178754318736319
