time	TFPI	VIIa_TF	VIIa_TF_X	VIIa_TF_Xa	VIIa_TF_Xa_TFPI	X	Xa	Xa_TFPI	Xa_TFPI_VIIa_TF
3.0.	0.032825869313695	0.001311641091623	0.0007138576208830001	0.0007148771590350001	1.00539874969195	132.45970951612708	35.171687618406516	1.34591450655784	0.015860874436505003
3.0.15.0	0.030806361614006003	0.0013100978524970002	0.0007127506193930001	0.000714292010094	1.005285452637869	132.41477399969736	35.214605319286946	1.347930778867972	0.015977406880145
3.0.3.0	0.029283889687339002	0.001309007485694	0.0007118970946790001	0.0007139494035860001	1.005171170952109	132.36989959188674	35.25795845130218	1.3494509642966142	0.016093975063929
3.0.4499999999999997.0	0.028134531405157003	0.0013082543204480002	0.0007112322431250001	0.000713787473249	1.005056149584664	132.32507253366884	35.30163697801971	1.350598742631659	0.016210576378512
3.0.5999999999999996.0	0.027265175524337004	0.001307752847718	0.000710708165692	0.000713760466198	1.004940569732524	132.28028257043246	35.345558136459736	1.351467045955266	0.016327208787865
3.0.75.0	0.026605881811172002	0.00130743951429	0.000710289270139	0.000713834364305	1.004824566120397	132.23552204521707	35.38965971295935	1.352125681337556	0.016443870730866002
3.0.9.0	0.026104131318561003	0.001307266937466	0.000709949027456	0.0007139837956150001	1.004708239217357	132.1907852344753	35.43389496401984	1.352627068441971	0.016560561022105
4.0.05.0	0.02572049982163	0.001307199724216	0.000709667627343	0.00071418980136	1.004591664080184	132.14606785717027	35.47822878522234	1.353010557331284	0.016677278766895003
4.0.2.0	0.025425402818608	0.001307211406932	0.0007094302598600001	0.000714438198696	1.004474896841681	132.10136671009718	35.52263482426246	1.353305677046874	0.016794023292829002
4.0.35.0	0.025196647302784002	0.001307282178854	0.000709225845689	0.0007147183702470001	1.00435797950898	132.0566793961217	35.56709330696483	1.353534579092	0.016910794096229
4.0.5.0	0.025017590852623003	0.0013073972119240001	0.0007090460931620001	0.0007150223646430001	1.00424094352937	132.01200412125758	35.61158940113686	1.3537138748171	0.0170275908009
4.0.6499999999999995.0	0.024875757802021004	0.0013075454032040002	0.0007088847957100001	0.0007153442259660001	1.004123812448456	131.96733954295823	35.65611198582176	1.353856016622853	0.017144413126663
4.0.8.0	0.024761799333008	0.001307718438676	0.0007087373073270001	0.0007156794927850001	1.004006603895733	131.9226846566034	35.700652725929196	1.353970335905774	0.017261260865478002
4.0.95.0	0.024668712274893003	0.0013079100930740001	0.0007086001504050001	0.0007160248233600001	1.003889331069748	131.87803871052606	35.74520537677475	1.354063822791941	0.017378133863412002
5.0.1.0	0.024591252449442002	0.001308115705761	0.000708470722256	0.0007163777149820001	1.003772003849941	131.83340114238717	35.78976526162463	1.354141711693552	0.017495032007059
5.0.25.0	0.024525494266901003	0.001308331788164	0.000708347075371	0.0007167362936800001	1.003654629629454	131.7887715315302	35.83432887936723	1.354207920890308	0.01761195521333
5.0.3999999999999995.0	0.024468500230065002	0.001308555729629	0.000708227752833	0.000717099156603	1.003537213939137	131.74414956330304	35.87889361001713	1.354265382408995	0.017728903421796
5.0.55.0	0.024418073006326	0.0013087855770170002	0.0007081116650200001	0.000717465253862	1.003419760915142	131.69953500234473	35.92345749374217	1.354316289489568	0.017845876588958
5.0.7.0	0.024372569506821002	0.001309019869514	0.0007079979972390001	0.0007178337999550001	1.003302273649344	131.65492767258783	35.968019065121226	1.354362282159883	0.017962874683946
5.0.85.0	0.024330761515277	0.00130925751487	0.000707886140539	0.00071820420737	1.003184754451903	131.61032744229092	36.01257722887585	1.354404586347497	0.018079897685317002
6.0.	0.024291731249853003	0.001309497696663	0.0007077756398890001	0.0007185760368210001	1.003067205047975	131.56573421283986	36.05713116673264	1.354444118123514	0.018196945578652
6.0.1499999999999995.0	0.024254793130757003	0.001309739804834	0.000707666155382	0.0007189489599590001	1.002949626725053	131.5211479103705	36.101680267644205	1.3544815617894121	0.018314018354772
6.0.3.0	0.024219435199571003	0.001309983383679	0.00070755743318	0.0007193227314410001	1.002832020443303	131.4765684795045	36.14622407552976	1.3545174283487231	0.018431116008397003
6.0.45.0	0.024185275269955002	0.001310228092894	0.000707449283782	0.000719697168005	1.002714386918163	131.4319958786658	36.19076225015167	1.354552099274719	0.018548238537158
6.0.6.0	0.024152028117289	0.001310473678437	0.000707341565752	0.000720072132809	1.002596726682159	131.3874300765815	36.235294537836545	1.354585859259702	0.018665385940845002
6.0.75.0	0.024119480937281	0.001310719950714	0.000707234173559	0.000720447523707	1.002479040131157	131.34287104966722	36.27982074957212	1.354618920710693	0.018782558220863003
6.0.8999999999999995.0	0.024087474996331	0.001310966768272	0.0007071270284810001	0.0007208232644770001	1.002361327558952	131.29831878007468	36.32434074462797	1.354651442064893	0.018899755379818
7.0.05.0	0.024055891916543	0.001311214025601	0.000707020071803	0.0007211992982600001	1.002243589183128	131.25377325423426	36.368854418311514	1.354683541479115	0.019016977421208
7.0.199999999999999.0	0.024024643428571003	0.0013114616440190001	0.000706913259739	0.0007215755826550001	1.00212582516439	131.20923446176704	36.41336169281841	1.3547153070578362	0.019134224349198002
7.0.35.0	0.023993663718280003	0.0013117095648590002	0.0007068065596400001	0.000721952086049	1.002008035621003	131.16470239467367	36.457862510398144	1.3547468044922621	0.019251496168449
7.0.5.0	0.023962903712778	0.0013119577443860002	0.0007066999471590001	0.000722328784882	1.001890220639579	131.12017704672908	36.502356828250804	1.354778082763645	0.019368792883993003
7.0.6499999999999995.0	0.023932326815935	0.001312206149996	0.0007065934041370001	0.000722705661601	1.001772380283125	131.0756584130315	36.5468446147178	1.354809178399793	0.019486114501141003
7.0.8.0	0.023901905726886	0.001312454757379	0.000706486917024	0.0007230827031270001	1.001654514597061	131.03114648966618	36.59132584643965	1.354840118650639	0.019603461025409
7.0.949999999999999.0	0.023871620067343002	0.0013127035484110001	0.000706380475706	0.000723459899718	1.001536623613695	130.986641273455	36.63580050623604	1.354870923856485	0.01972083246247
8.0.1.0	0.023841454612771002	0.0013129525095670002	0.0007062740726250001	0.0007238372441200001	1.001418707355573	130.94214276176993	36.68026858152519	1.354901609213535	0.019838228818115002
8.0.25.0	0.023811397974209003	0.001313201630752	0.000706167702128	0.000724214730928	1.001300765837969	130.89765095239446	36.72473006314579	1.354932186089594	0.019955650098223
8.0.4.0	0.023781441616293003	0.0013134509044240002	0.0007060613599730001	0.000724592356118	1.001182799070741	130.85316584342002	36.769184944479306	1.354962663004218	0.020073096308743002
8.0.549999999999999.0	0.023751579126009	0.001313700324936	0.0007059550429770001	0.000724970116692	1.00106480705972	130.80868743316915	36.81363322079631	1.35499304635859	0.020190567455675
8.0.7.0	0.023721805668343	0.001313949888055	0.000705848748737	0.000725348010412	1.000946789807735	130.76421572013857	36.85807488876975	1.355023340978856	0.020308063545061
8.0.85.0	0.02369211758122	0.0013141995905970002	0.0007057424754320001	0.0007257260356120001	1.000828747315385	130.71975070295642	36.902509946112865	1.355053550520416	0.020425584582974003
9.0.	0.023662512074191	0.001314449430159	0.000705636221675	0.000726104191045	1.000710679581607	130.67529238035084	36.94693839130974	1.355083677768684	0.020543130575514
9.0.15.0	0.023632987004386003	0.001314699404917	0.000705529986399	0.00072648247578	1.000592586604102	130.6308407511264	36.9913602234149	1.355113724862706	0.020660701528801003
9.0.299999999999999.0	0.023603540709977004	0.0013149495134800002	0.000705423768777	0.0007268608891180001	1.000474468379649	130.58639581414678	37.03577544190439	1.355143693461394	0.020778297448975
9.0.45.0	0.02357417188643	0.001315199754774	0.0007053175681600001	0.0007272394305330001	1.000356324904344	130.54195756832166	37.08018404656516	1.355173584867033	0.020895918342189002
9.0.6.0	0.023544879494591	0.001315450127965	0.000705211384028	0.000727618099629	1.000238156173767	130.49752601259723	37.12458603741279	1.355203400117028	0.021013564214610002
9.0.75.0	0.02351566269244	0.001315700632396	0.000705105215962	0.0007279968961050001	1.000119962183121	130.45310114594898	37.16898141463051	1.35523314005202	0.021131235072416002
9.0.9.0	0.023486520784431003	0.0013159512675390002	0.000704999063614	0.0007283758197300001	1.000001742927319	130.4086829673763	37.21337017852385	1.355262805366449	0.021248930921797003
10.0.049999999999999.0	0.023457453183911	0.001316202032967	0.000704892926691	0.000728754870326	0.999883498401064	130.36427147589887	37.257752329487104	1.35529239664607	0.021366651768952003
10.0.2.0	0.023428459385236	0.001316452928321	0.0007047868049400001	0.0007291340477560001	0.999765228598895	130.31986667055324	37.302127867978356	1.355321914395777	0.021484397620088
10.0.35.0	0.023399538943104002	0.0013167039533000002	0.000704680698136	0.00072951335191	0.99964693351523	130.27546855039108	37.34649679450106	1.355351359060238	0.021602168481425002
10.0.5.0	0.023370691457231002	0.00131695510764	0.00070457460608	0.0007298927827000001	0.9995286131443941	130.23107711447724	37.3908591095903	1.355380731039185	0.021719964359186
10.0.65.0	0.023341916560997003	0.00131720639111	0.0007044685285870001	0.000730272340055	0.9994102674806411	130.18669236188876	37.43521481380273	1.35541003069875	0.021837785259607
10.0.799999999999999.0	0.023313213913039	0.001317457803498	0.0007043624654850001	0.000730652023915	0.9992918965181721	130.14231429171366	37.479563907709085	1.355439258379856	0.021955631188930003
10.0.95.0	0.023284583191016003	0.0013177093446120002	0.0007042564166120001	0.00073103183423	0.999173500251141	130.09794290305072	37.52390639188855	1.355468414404436	0.022073502153404003
11.0.1.0	0.023256024087003002	0.001317961014271	0.0007041503818140001	0.0007314117709560001	0.999055078673671	130.0535781950086	37.56824226692479	1.355497499080035	0.022191398159288
11.0.25.0	0.023227536304077003	0.0013182128123040001	0.00070404436094	0.0007317918340550001	0.998936631779855	130.00922016670538	37.61257153340285	1.355526512703219	0.022309319212846002
11.0.4.0	0.023199119553786	0.001318464738546	0.000703938353846	0.0007321720234900001	0.9988181595637651	129.96486881726867	37.65689419190694	1.355555455562093	0.022427265320353003
11.0.549999999999999.0	0.023170773554285002	0.001318716792841	0.0007038323603880001	0.00073255233923	0.998699662019452	129.92052414583495	37.70121024301886	1.35558432793817	0.022545236488089003
11.0.7.0	0.023142498028948	0.001318968975033	0.0007037263804280001	0.000732932781246	0.998581139140952	129.87618615154975	37.745519687316744	1.355613130107755	0.022663232722343003
11.0.85.0	0.023114292705343	0.0013192212849720002	0.000703620413828	0.0007333133495080001	0.9984625909222841	129.83185483356706	37.78982252537418	1.355641862342961	0.022781254029409
12.0.	0.023086157314478002	0.001319473722511	0.000703514460452	0.00073369404399	0.998344017357455	129.78753019104963	37.83411875775959	1.355670524912471	0.022899300415592003
12.0.15.0	0.023058091590233	0.001319726287505	0.0007034085201660001	0.000734074864667	0.9982254184404601	129.7432122231688	37.87840838503578	1.3556991180821	0.023017371887203
12.0.299999999999999.0	0.02303009526895	0.001319978979809	0.0007033025928360001	0.0007344558115130001	0.998106794165284	129.6989009291042	37.92269140775956	1.355727642115205	0.023135468450558003
12.0.45.0	0.023002168089114	0.001320231799283	0.0007031966783320001	0.0007348368845040001	0.9979881445258971	129.65459630804386	37.966967826481564	1.355756097273001	0.023253590111984003
12.0.6.0	0.022974309791133	0.0013204847457850002	0.0007030907765200001	0.0007352180836170001	0.9978694695162641	129.61029835918418	38.01123764174606	1.355784483814786	0.023371736877814003
12.0.75.0	0.022946520117158	0.0013207378191780002	0.000702984887272	0.0007355994088280001	0.9977507691303361	129.56600708172957	38.05550085409077	1.3558128019981162	0.023489908754386002
12.0.9.0	0.022918798810959002	0.0013209910193210002	0.000702879010458	0.0007359808601150001	0.9976320433620561	129.52172247489275	38.099757464046895	1.355841052078933	0.02360810574805
