time	II	IIa	IIa_ATIII	IIa_alpha2M	PL	PT	RVV	V	Va	X	Xa	Xa_ATIII
11.0.	0.9008040213729801	0.009059765122667	0.40037215486235406	0.089764058641998	0.04999998688292501	3.1170750024446113e-09	0.03	0.029209920817507003	0.000790066065417	0.007172047612586	0.0005143475066620001	0.192313501763675
11.0.25.0	0.8993666378597921	0.008398567369154	0.40208639976153304	0.09014839500952	0.049999987098186004	2.9018133849073016e-09	0.03	0.029206583156691	0.000793403941495	0.006648483663196001	0.00047681200205100006	0.19287460143293803
11.0.5.0	0.8980342837756651	0.0077855127116730006	0.403675524312025	0.09050467920063401	0.049999987299467	2.700532734747619e-09	0.03	0.029203489447663003	0.0007964978518030001	0.0061631302511150005	0.00044201418533700005	0.19339475286301502
11.0.75.0	0.8967992802092941	0.007217123714101	0.405148641676127	0.09083495440047501	0.049999987487543	2.5124565209169603e-09	0.03	0.029200621874159	0.0007993656133830001	0.0057132001104750006	0.00040975459694000006	0.19387694278012602
12.0.	0.8956545102522331	0.006690167602411001	0.406514206084642	0.09114111606071201	0.049999987663169	2.336830582169608e-09	0.03	0.029197963914916	0.000802023748253	0.005296109095438001	0.000379848278881	0.194323940288848
12.0.25.0	0.894593377793206	0.006201640528294	0.40778005935051703	0.09142492232798201	0.049999987827073	2.1729263071220742e-09	0.03	0.029195500251285002	0.0008044875757870001	0.004909461405659001	0.00035212372472600005	0.194738312696686
12.0.5.0	0.8936097693424051	0.005748752507985001	0.40895347435586504	0.091688003793744	0.04999998797995701	2.020042910184075e-09	0.03	0.029193216681006003	0.00080677129895	0.004551035882535	0.000326421904966	0.195122440192455
12.0.75.0	0.8926980186620471	0.005328913090495001	0.410041195650843	0.091931872596613	0.049999988122491006	1.877508962337506e-09	0.03	0.029191100037824002	0.000808888084666	0.004218773299159	0.00030259536249300004	0.19547852946083702
13.0.	0.8918528739960381	0.004939717783148	0.41104947731081604	0.09215793090999601	0.04999998825531601	1.7446833115071471e-09	0.03	0.029189138116648004	0.000810850138668	0.003910764572419	0.00028050737320800003	0.195808626309688
13.0.25.0	0.891069467706972	0.004578935242713	0.411984118201686	0.092367478848628	0.04999998837904401	1.6209555064514971e-09	0.03	0.029187319603914002	0.00081266877513	0.003625239830712	0.000260031167128	0.19611462738120303
13.0.5.0	0.8903432881428981	0.004244495226042	0.412850494803398	0.09256172182766001	0.049999988494254	1.5057458202586911e-09	0.03	0.029185634012854	0.0008143544813990001	0.0033605582755510005	0.00024104920568900003	0.196398291013011
13.0.75.0	0.8896701535694711	0.003934477283732	0.41365359173938904	0.09274177740740601	0.049999988601495	1.3985049542652871e-09	0.03	0.029184071623352	0.0008159169781420001	0.0031151987796870003	0.00022345251124000003	0.19666124731056603
