time	AA	Cn	DFG	E1	E2	FA	Fru	Glu	Gly	MG	Man	Mel	_1DG	_3DG
72.0.	4.714332993843544	0.8270730333713391	0.6361153127980621	0.016015269350306	0.052476926258129004	1.5308665224241071	0.207203677215808	0.50798119320459	6.714758578628872	1.434411654274994	0.331003614563712	1.580633912964625	0.0059578700104980006	0.024751328270261
74.0.	4.761931949889581	0.7879036289858391	0.590978629194406	0.014878878127142002	0.048753352187098004	1.557868772614313	0.20855955096554502	0.5097655552318371	6.727853709565809	1.460086132278384	0.33265589595945605	1.617535430925539	0.005535121208087	0.023719366989530002
76.0.	4.806751662973092	0.750122950114664	0.5490446985598221	0.013823121362153001	0.045293984060812004	1.583592818151406	0.20981921670720302	0.511297324843078	6.739096282996487	1.484537050040037	0.334150746263755	1.652741913020719	0.005142368431169	0.022756245552151003
78.0.	4.848946937652497	0.7137453695324201	0.51008626391037	0.012842277570789	0.042080077159376006	1.6080867293599952	0.21098950090259003	0.512594914127546	6.748689016135665	1.50780882855274	0.335499400510458	1.6863023652237952	0.004777483571916001	0.021857509030976
80.0.	4.888665027698799	0.6787744644338961	0.47389219368209606	0.011931031215582	0.039094215926469	1.631398619360801	0.212076745683333	0.5136754266813061	6.756813830308801	1.529946169520973	0.33671229643739004	1.718268728867046	0.004438489412344	0.021018930121898
82.0.	4.926045875149936	0.6452046794444031	0.440266337523432	0.011084443914118001	0.036320219983762	1.653576340339224	0.21308684319794502	0.514554750457028	6.7636339411335005	1.550993739066915	0.33779913105665205	1.748695057445182	0.004123548959025	0.020236511596193
84.0.	4.961222359707548	0.613022788113698	0.40902646327685105	0.010297927684820001	0.033743056695165	1.6746672294517082	0.21402526752880802	0.515247644027648	6.76929574117011	1.5709959010575592	0.33876891321226704	1.777636811173049	0.0038309555195390004	0.019506484666446
86.0.	4.994320555150627	0.582209174094886	0.380003269388874	0.00956722008805	0.031348759859451	1.69471789811125	0.214897104348915	0.515767816730318	6.7739304947108945	1.589996493986475	0.33963001240933205	1.805150255952725	0.0035591234734940005	0.018825304378541
88.0.	5.025459989909126	0.552738951459765	0.353039467396254	0.008888361129327001	0.029124354123947004	1.713774059093565	0.21570707847714002	0.51612800312435	6.777655862835541	1.608038645990075	0.34039020417890203	1.831291954514925	0.0033065796923110002	0.01818964289045
90.0.	5.054753909360444	0.5245829418797671	0.327988929515983	0.008257671800332001	0.027057784730886002	1.731880386538003	0.216459579480084	0.516340032166289	6.780577275344361	1.6251646231693342	0.34105671222421	1.8561183386084321	0.00307195556396	0.017596381300929
92.0.	5.082309537786071	0.49770852474431204	0.304715896719547	0.007671734141954001	0.025137852229188	1.74908040448644	0.217158685458466	0.516414891476778	6.782789164720899	1.641415706925106	0.341636247576502	1.8796853521884072	0.0028539795811270002	0.017042600536298
94.0.	5.108228338257635	0.47208037472009906	0.283094242999664	0.007127372721620001	0.023354151806438003	1.765416400113661	0.21780818514643802	0.516362787047385	6.784376075892694	1.656832096501058	0.342135044972599	1.902048156579578	0.002651470453723	0.016525571682205
96.0.	5.1326062690147864	0.447661099789589	0.26300679184228504	0.006621637424715001	0.021697016917766	1.780929358258875	0.21841159844328	0.516193198710876	6.785413664264408	1.67145283336593	0.34255889665128403	1.9232608895508192	0.002463330709118	0.016042746052523
98.0.	5.15553403515489	0.424411791451886	0.24434468119951402	0.006151787466939	0.020157466909589	1.795658914274676	0.218972195488528	0.515914931675524	6.78596959329711	1.6853157444595182	0.34291318375164304	1.9433764711268422	0.002288540745835	0.015591745213636002
100.0.	5.17709733467961	0.40229249752600205	0.227006773522011	0.005715276541012001	0.018727158356602002	1.809643322571552	0.21949301438378702	0.515536164402701	6.786104341802493	1.698457401678335	0.343202905483501	1.9624464497778762	0.002126153308776	0.015170351124891
102.0.	5.197377098139482	0.38126262686342904	0.210899107653571	0.0053097390172830005	0.017398339849697003	1.822919438557257	0.21997687765717402	0.515064493087218	6.78587193010975	1.7109130952905	0.343432706228029	1.9805208833696932	0.001975288356208	0.014776496511444002
104.0.	5.21644972128729	0.361281294249851	0.195934389617496	0.004932977123468	0.016163809990682003	1.835522711955126	0.220426407559586	0.5145069729814511	6.785320573341969	1.7227168192488431	0.343606900715388	1.997648249926379	0.00183512829081	0.014408255551298
106.0.	5.234387290297318	0.34230761284885103	0.182031519535121	0.004582949034059001	0.015016878366738002	1.8474871897374072	0.220844040275633	0.513870156787225	6.784493269203685	1.733901266619458	0.343729497415853	2.013875383860391	0.001704913528997	0.014063834931849001
108.0.	5.251257799232973	0.324300940707124	0.169115152112667	0.004257757804854	0.013951329293467	1.858845527132504	0.221232039126245	0.5131601303234841	6.783428326925791	1.7444978335632961	0.343804220271179	2.029247433863214	0.0015839383845760002	0.013741565310992
110.0.	5.267125359552367	0.307221087093696	0.15711528831451801	0.003955641092663001	0.012961388130295001	1.869629005361707	0.22159250683448803	0.5123825456630821	6.782159843332639	1.754536630503615	0.343834528883987	2.043807839129876	0.00147154724443	0.013439893202491001
112.0.	5.282050401532094	0.291028483777987	0.145966896010054	0.003674961604457	0.012041689985793	1.8798675549344661	0.22192739692104302	0.511542651918246	6.780718131382826	1.7640464992848361	0.34382363727456505	2.05759832101686	0.0013671310155460002	0.013157373293711002
114.0.	5.296089867565958	0.27568432575601004	0.13560955753814502	0.003414198224216	0.011187250643450001	1.8895897834841962	0.22223852429111102	0.510645323841576	6.779130105983892	1.7730550352810441	0.34377453130676	2.070658887610285	0.001270123824126	0.012892661195197
116.0.	5.309297397359388	0.261150685403845	0.125987142279335	0.0031719377693870004	0.010393439550359	1.898823007261131	0.222527575070112	0.509695088397571	6.777419631386448	1.7815886135471972	0.343689984877378	2.083027849014458	0.001179999948911	0.012644506615305001
118.0.	5.321723505093344	0.24739060356637801	0.117047502461237	0.0029468673322760003	0.009655954722491	1.90759328551718	0.222796115741472	0.508696149448693	6.775607834019581	1.789672418224949	0.343572574956842	2.0947418414644012	0.001096270972101	0.012411746948515
120.0.	5.333415748675189	0.23436816067109	0.10874219054860301	0.002737767164867	0.008970799430572001	1.915925457121777	0.22304560163603002	0.5076524106897471	6.773713384231973	1.7973304745198382	0.343424695562602	2.105835858623972	0.0010184831324280001	0.012193301262944002
122.0.	5.344418891229356	0.222048530585975	0.10102619668646601	0.002543504068517	0.008334260540233	1.923843178839106	0.223277384819064	0.506567496954886	6.771752750047183	1.804585682658761	0.343248570741053	2.116343288657589	0.0009462148660470001	0.011988164670454
124.0.	5.354775055009115	0.21039801961236002	0.09385770477348301	0.002363025252687	0.007742888389055001	1.93136896477728	0.223492721417679	0.5054447740126911	6.769740425722961	1.8114598533178392	0.343046266628285	2.126295955861802	0.0008790745219110001	0.011795403061474
126.0.	5.364523867932896	0.199384092712934	0.08719786584350701	0.0021953526294510002	0.007193478091473001	1.9385242265903662	0.223692778428268	0.504287366956638	6.76768913761929	1.817973744082102	0.342819702655047	2.135724165816267	0.0008166982392630001	0.011614148185970001
128.0.	5.373702602965786	0.18897538881841902	0.081010587527285	0.0020395775128330003	0.006683052170210001	1.945329314075718	0.22387864004093702	0.503098177290588	6.765610029624617	1.824147096560981	0.34257066195664204	2.144656753165045	0.0007587479757250001	0.011443593061775
130.0.	5.382346310579326	0.179141726829427	0.07526233845325901	0.0018948556942730002	0.006208844420127001	1.951803555863045	0.22405131351517502	0.5018798988019151	6.763512830161368	1.8299986738386171	0.34230080104416605	2.153121131270962	0.0007049096753070001	0.011282987691616
132.0.	5.390487944531714	0.169854103729621	0.069921966527462	0.001760402867519	0.005768284917042001	1.9579652999387211	0.224211734638596	0.5006350323083001	6.761406002587338	1.8355462979860842	0.342011658789515	2.161143343100629	0.0006548915664200001	0.011131635070524
134.0.	5.398158481215974	0.16108468604945	0.064960530107683	0.001635490378152	0.005358986090268	1.963831953790066	0.224360772798354	0.49936589935809805	6.759296880626488	1.840806887404816	0.341704664772832	2.168748112797397	0.0006084225806380001	0.01098888746588
136.0.	5.405387032826717	0.152806795763685	0.060351141156961004	0.001519441274711	0.004978729783406	1.9694200239902022	0.22449923569270602	0.49807465495853903	6.757191790298773	1.845796493807407	0.34138114703766004	2.1759588974861392	0.0005652508836740001	0.010854142952986002
138.0.	5.412200954596695	0.144994891568373	0.056068819526408006	0.001411626640019	0.004625455233251001	1.974745155075436	0.22462787370825602	0.49676329940074604	6.755096159671582	1.85053033867413	0.341042339295805	2.182797938928729	0.0005251425105860001	0.010726842189806001
140.0.	5.418625946353293	0.137624546361586	0.05209035757764301	0.0013114621828290002	0.004297247901685001	1.979822167594293	0.22474738398660002	0.49543368924565206	6.7530146176238475	1.855022849051688	0.340689387620965	2.189286314713989	0.00048788009782900005	0.010606465415303001
142.0.	5.42468614864221	0.130672421645423	0.048394194411186	0.001218405071306	0.003992329100015	1.9846650952310232	0.22485841420242703	0.49408754753035605	6.750951082695636	1.859287692585117	0.34032335666740804	2.195443988721847	0.00045326170526900004	0.010492529656624
144.0.	5.430404233661648	0.124116239472653	0.044960299019196	0.001131950991207	0.003709046349542	1.989287220926857	0.22496156607352402	0.49272647325023805	6.748908842990178	1.8633378116950952	0.33994523544738303	2.201289860649867	0.00042109972179100004	0.010384586131168001
146.0.	5.435801491245372	0.11793475247847901	0.041770061729311005	0.001051631412796	0.003445864426105	1.99370111194007	0.22505739862173302	0.49135195016822103	6.746890628000062	1.867185456831384	0.339555942698592	2.206841814431718	0.000391219848558	0.010282217830411
148.0.	5.440897910127092	0.11210771246501601	0.038806193351284005	0.000977011051688	0.0032013570400820004	1.997918653801179	0.22514643120251301	0.489965354998919	6.7448986731439575	1.870842218749118	0.339156331870797	2.212116765412984	0.00036346015441400005	0.010185037273132
150.0.	5.445712254712192	0.106615837941923	0.036052631479845006	0.0009076855098720001	0.002974199106744	2.001951083132787	0.22522914631954502	0.48856796501203603	6.7429347777233755	1.874319059768482	0.338747195758601	2.217130706180159	0.000337670198313	0.010092684416452
152.0.	5.4502621375759475	0.10144078097022001	0.033494453446011	0.000843279084108	0.0027631595650850003	2.005809019314894	0.225305992239605	0.48716096509621504	6.741000356939958	1.877626343990261	0.338329270805492	2.221898750964837	0.00031371021401900004	0.010004824713816
154.0.	5.454564087900042	0.09656509360682401	0.031117795445090003	0.000783442729845	0.002567094706204	2.009502494986139	0.22537738542191502	0.485745454321628	6.739096488551544	1.880773866449944	0.33790324110249403	2.226435178567315	0.000291450352657	0.009921147309779001
156.0.	5.4586336160517615	0.091972194203779	0.028909777403094004	0.0007278521696	0.0023849419750830003	2.013040985379637	0.225443712775095	0.484322452036876	6.7372239546895	1.883770881201833	0.337469742103083	2.230753473762726	0.00027076997900500003	0.009841363362082
158.0.	5.462485274502502	0.08764633377802	0.026858433174394004	0.0006762061355740001	0.002215714212165	2.016433436499079	0.22550533375398402	0.48289290353323405	6.735383279309165	1.8866261283320611	0.337029364074502	2.234866367168704	0.00025155701772900003	0.009765204482163
160.0.	5.466132715274615	0.083572562634044	0.024952645692326	0.0006282247369530001	0.002058494303544	2.019688292146548	0.22556258230766701	0.48145768530695005	6.73357476170009	1.889347859905755	0.336582655304187	2.238785873567092	0.00023370734599700003	0.009692421285827
162.0.	5.46958874409779	0.079736697392535	0.023182086721289002	0.000583647943071	0.0019124302107460002	2.022813519818449	0.225615768689283	0.48001760994811804	6.731798506441542	1.8919438648588711	0.336130125078671	2.242523328683359	0.000217124229194	0.009622782046368001
164.0.	5.472865371448634	0.076125288552359	0.021537160883851002	0.0005422341741950001	0.0017767303531890002	2.025816635489955	0.22566518113741602	0.47857343068261904	6.730054450151997	1.894421492849733	0.33567224645111604	2.246089424436775	0.00020171779668300003	0.009556071442948
166.0.	5.475973860639434	0.072725588690946	0.020008953659505002	0.00050375899231	0.0016506593182880002	2.028704727311689	0.225711087438168	0.47712584559174404	6.728342385347826	1.89678767708892	0.33520945881246905	2.249494242682078	0.000187404554755	0.009492089397543
168.0.	5.47892477311472	0.0695255213885	0.018589183073262003	0.00046801388479500005	0.0015335338759530001	2.031484478245032	0.22575373637640903	0.47567550153238003	6.726661981696337	1.8990489561692492	0.334742170280177	2.252747287469663	0.000174106934145	0.009430649994223
170.0.	5.481728011106917	0.06651365094447201	0.017270154812273	0.00043480513440700004	0.0014247192758930001	2.034162187664558	0.22579335908404002	0.474222997779	6.725012804921038	1.901211494919977	0.334270759917406	2.255857515856399	0.000161752869651	0.009371580474967
172.0.	5.484392857795384	0.06367915293990101	0.016044720527224002	0.000403952769457	0.001323625807639	2.03674379195772	0.225830170292588	0.472768889407194	6.723394333592456	1.9032811043113131	0.333795579794794	2.258833367303232	0.00015027540958600002	0.009314720306604001
174.0.	5.486928015106092	0.061011785686386	0.014906239092528	0.00037528958846	0.0012297056046710001	2.039234884153124	0.22586436949693	0.47131369043708604	6.721805974015508	1.905263260436818	0.333316956905902	2.261682791698838	0.00013961235293700002	0.009259920313874001
176.0.	5.489341639282724	0.05850186259133001	0.013848540615375	0.000348660254009	0.0011424496753030002	2.0416407326095882	0.22589614203642802	0.469857876753673	6.720247073404306	1.907163122602383	0.332835194946759	2.264413276051009	0.00012970591227300001	0.009207041873922
178.0.	5.491641374353331	0.056140225459489004	0.012865892998579001	0.000323920450935	0.0010613851442500002	2.043966298798689	0.22592566009936602	0.468401888819916	6.718716931517103	1.9089855505512712	0.33235057596912604	2.267031869889136	0.00012050240057300001	0.00915595616789
180.0.	5.493834383610579	0.05391821874260701	0.011952970876015	0.00030093610421	0.00098607268993	2.046216254213824	0.225953083656102	0.46694613419728404	6.717214810907497	1.9107351208552021	0.33186336191646204	2.269545209422352	0.000111951940273	0.009106543485569
182.0.	5.495927379217615	0.051827664741847	0.0111048267523	0.000279582652332	0.0009161041635950001	2.048394996438808	0.225978561326018	0.46549098988742404	6.7157399459332	1.9124161425017152	0.331373796050889	2.271959540498578	0.00010400819296000001	0.009058692579351001
184.0.	5.497926650045786	0.049860839761671	0.010316864190312	0.000259744372282	0.0008511003774130001	2.050506664408927	0.22600223118294302	0.464036804507634	6.714291550650004	1.914032671708117	0.330882104278915	2.274280740409996	9.662810824403232e-05	0.009012300063993001
186.0.	5.499838087844987	0.048010451208725005	0.009584812901228	0.00024131375237100003	0.0007907090494930001	2.052555152897004	0.226024221503435	0.46258390031195	6.712868825706434	1.9155885259921621	0.33038849638308104	2.276514338590482	8.977169045109158e-05	0.008967269858950001
188.0.	5.501667211842081	0.046269615624955004	0.008904705602097001	0.00022419090959300002	0.0007346028947260001	2.054544126256652	0.226044651461964	0.461132575068784	6.71147096434342	1.9170872975293762	0.329893167166218	2.278665536250172	8.340178187172907e-05	0.008923512670254001
190.0.	5.503419191857823	0.044631837640547005	0.008272856515526	0.00020828304831400002	0.000682477851095	2.056477031454266	0.22606363177676503	0.459683103805306	6.710097157593266	1.9185323658264901	0.32939629751450705	2.280739224991803	7.748386138689332e-05	0.008880945509151
192.0.	5.505098870027809	0.043090989829334	0.007685841394954001	0.000193503957381	0.0006340514318410001	2.058357110420671	0.22608126530986303	0.45823574042802	6.70874659876308	1.9199269097399831	0.328898055385114	2.282740004452743	7.198585738440204e-05	0.008839491244875
194.0.	5.506710781208518	0.041641293446814005	0.007140478967274001	0.00017977354290300002	0.00058906119455	2.060187411752665	0.22609764762452902	0.45679071922831804	6.707418487279549	1.921273918868113	0.328398596723735	2.284672199015722	6.687797394986334e-05	0.008799078189148001
196.0.	5.508259172144936	0.040277300028968004	0.006633813692221001	0.00016701739419400002	0.000547263318871	2.061970801793796	0.22611286750317303	0.45534825628117004	6.7061120319644605	1.922576204344165	0.32789806631704704	2.286539873630252	6.213252939052631e-05	0.008759639710158001
198.0.	5.509748019472188	0.038993873828505006	0.006163099745099001	0.000155166380508	0.000508431285158	2.063709975122988	0.226127007428492	0.45390855074454606	6.704826453803586	1.923836409057918	0.327396598584664	2.28834684878565	5.772380621695713e-05	0.008721113873916001
200.0.	5.511181046619558	0.037786175063933	0.005725786136055001	0.000144156276393	0.000472354646866	2.065407464478655	0.22614014403047902	0.45247178606659905	6.703560988265371	1.925057017331572	0.326894318314894	2.290096714675318	5.3627911769587124e-05	0.008683443111062
