time	CIS	CISRNA	CISnRNA1	CISnRNA2	CISnRNA3	CISnRNA4	CISnRNA5	Epo	EpoRJAK2	EpoRJAK2_CIS	EpoRpJAK2	SHP1	SHP1Act	SOCS3	SOCS3RNA	SOCS3nRNA1	SOCS3nRNA2	SOCS3nRNA3	SOCS3nRNA4	SOCS3nRNA5	STAT5	npSTAT5	p12EpoRpJAK2	p1EpoRpJAK2	p2EpoRpJAK2	pSTAT5
54.0.	6.675947478086264	0.12032246349612201	1377.624413519056	1461.5938682101332	1470.061360664695	1383.77631220707	1208.8976553176233	1.24997e-07	3.709568480734098	-4.8061939538175365e-29	0.13482393737456	26.5811850208139	0.14391497918610302	7.51895514216354	0.043298809875177	0.0014346751094920002	0.0014562936662070002	0.001477957339314	0.001499630930522	0.001521275718044	48.2731451740675	14.441767429054917	0.033613065000580006	0.018947440699707	0.079267076191048	21.551639718447422
57.0.	7.8435904180262135	0.127046472708943	1321.5772128969136	1421.474958095995	1459.7032041419388	1412.5958110869385	1276.447752037239	1.24997e-07	3.716637178374023	-3.895987769149506e-29	0.133164976342065	26.579456275125583	0.145643724874418	7.893703044084703	0.045456830251898006	0.001366544470447	0.001387783650604	0.001409155746579	0.001430634812395	0.0014521921317430001	49.918805611942716	13.75018136127885	0.031538124871498	0.018404351447249	0.07647536896515701	20.38144470216874
60.0.	9.045565096529527	0.13210456413635802	1264.4913943068866	1375.5129485157925	1437.6958798539063	1425.3392235513613	1327.2605716343473	1.24997e-07	3.722788823358692	-3.1958378932426674e-29	0.131674472685668	26.577900353120086	0.14719964687991502	8.23332558696425	0.047412577589755006	0.00130020522637	0.001320849136301	0.001341689518603	0.0013627076822220001	0.00138388276528	51.463790340174214	13.078880330725235	0.029786347609723002	0.017926088731209003	0.07404426761470201	19.297979432443327
63.0.	10.263348701040856	0.135557425966326	1207.4335320757043	1325.6102223076214	1406.454762083911	1424.0288670403502	1361.9460490720905	1.24997e-07	3.728151622686863	-2.674168713569837e-29	0.130338486324972	26.57649617562674	0.14860382437326	8.539139806165458	0.049173636235324	0.001236178211187	0.001256074318019	0.001276211504315	0.0012965767453930002	0.0013171553224550002	52.9108386542258	12.43258977679916	0.028300301643848003	0.017504980538775	0.071924608805537	18.295255874216366
66.0.	11.479829082628319	0.137517456461133	1151.2122085801705	1273.3244177687357	1368.148283174679	1410.7801246533995	1381.6335854923855	1.24997e-07	3.732832567423462	-2.264957288134045e-29	0.129143748053126	26.575225502786527	0.149874497213474	8.812689626319969	0.050748897084336005	0.0011748191511150002	0.001193864264539	0.0012131803211940001	0.0012327587007820002	0.001252589467516	54.263362798501255	11.814480724272487	0.027034535903010002	0.017134312054589002	0.070074836565807	17.36768170355342
69.0.	12.679730333848559	0.138131323035927	1096.4274340794082	1219.9085660774126	1324.6709425685976	1387.6757137563243	1387.7968275224614	1.24997e-07	3.736921539651632	-1.901858005400445e-29	0.128077791265231	26.574072485942413	0.15102751405759002	9.055664216964571	0.052148087427645005	0.001116355758575	0.0011344849030640002	0.001152903449281	0.001171606180031	0.0011905868629570001	55.52523090238267	11.226521415237286	0.025952750752623002	0.016808210956888	0.068459707373621	16.51003562463411
72.0.	13.8498528958861	0.13756502101936902	1043.5121499240547	1166.3529832449512	1277.6404185229328	1356.6795762131198	1382.103562833256	1.24997e-07	3.740494518300866	-1.589567960879437e-29	0.12712901187091902	26.573023302727677	0.152076697272317	9.26983518371934	0.053381409262894	0.0010609171444000002	0.0010780947382920002	0.001095571432445	0.0011133446195120001	0.0011314109148430002	56.70059866928715	10.669755983201568	0.025025704538029003	0.016521541148381003	0.0670492241418	15.717444092254548
75.0.	14.979162188809113	0.13599180823754	992.7666278608463	1113.425657142311	1228.4102421865043	1319.583242846894	1366.294509434797	1.24997e-07	3.743616104812331	-1.3293494280822479e-29	0.126286680699879	26.57206585770754	0.15303414229246	9.457008662200431	0.054459263424543006	0.0010085571014640002	0.001024769976361	0.001041284982781	0.0010581014959060002	0.00107521830165	57.793779739475774	10.144524928682875	0.024229647998744	0.016269806863767	0.065817759625273	14.985359372047897
78.0.	16.058760721199572	0.133583004212426	944.3866920036942	1061.7093309361762	1178.0916471097528	1277.977449594336	1342.0908850661008	1.24997e-07	3.746341529102451	-1.110509484749604e-29	0.1255409254192	26.57118953512061	0.153910464879394	9.618989179013667	0.05539204147541701	0.0009592725010140001	0.00097452438862	0.000990076423833	0.001005929469334	0.001022083946852	58.809146694835334	9.650639191200481	0.023545142077264002	0.016049067665454	0.064743335735626	14.30953886120782
81.0.	17.081776236533983	0.13050140415528302	898.4866833770726	1011.6344456053531	1127.5800175105096	1233.2424299159104	1311.1282461680657	1.24997e-07	3.748718254360479	-9.479299798553264e-30	0.124882693750005	26.570384993348917	0.154715006651091	9.757552781307131	0.056189970971829005	0.000913017793555	0.0009273249820310001	0.0009419266200020001	0.000956824668024	0.0009720207623780001	59.751056299822984	9.187517241819362	0.022956157199699	0.015855864005275	0.06380703068453701	13.686025596419995
84.0.	18.043194192603952	0.126896933352408	855.1180183314352	963.507711520572	1077.5827992335473	1186.5512948612022	1274.9128345763095	1.24997e-07	3.750787269451002	-7.9767344109955e-30	0.12430370604712201	26.569643993045208	0.15545600695480202	9.874427445388811	0.05686300264567701	0.0008697164067020001	0.0008831043285200001	0.0008967783088840001	0.000910741100542	0.0009249952234420001	60.62379386810884	8.754292725229174	0.022449381236445003	0.015687152584181	0.062992490681247	13.111129883290184
87.0.	18.939657838289172	0.122904123765008	814.2840963071667	917.5364423594913	1028.646835553583	1138.8819929588578	1234.796230477996	1.24997e-07	3.752584136156501	-6.99576009553556e-30	0.12379640267548901	26.568959252584747	0.156140747415266	9.971279181481494	0.057420730388101006	0.000829269673034	0.000841770234181	0.0008545465689490001	0.0008676019833650001	0.0008809396220990001	61.431532678443936	8.349898665621287	0.022013683585702003	0.015540250539618002	0.06228552704268601	12.581411988935782
90.0.	19.76925408107155	0.11864100356047201	775.9522092889387	873.8489843685476	981.1838964050252	1091.03437227299	1191.964199686482	1.24997e-07	3.754139842674774	-6.1536291935096614e-30	0.12335388977335202	26.568324325835786	0.15677567416422802	10.049702576343973	0.057872336788867	0.0007915637935540001	0.000803213292236	0.0008151270075940001	0.000827308613114	0.0008397616764290001	62.17830518963154	7.9731330400403095	0.021639697054896	0.015412787435071	0.06167378306190101	12.093665845335355
93.0.	20.53129867301043	0.114209029968814	740.0630056679615	832.5116674634679	935.4937408608824	1043.6497722576748	1147.4360219882356	1.24997e-07	3.7554815030191353	-5.244877719539964e-30	0.12296988571006601	26.56773349826517	0.15736650173483802	10.111214774680757	0.058226558478235005	0.0007564752405910001	0.0007673127541310001	0.0007784021368870001	0.000789747286109	0.0008013520360660001	62.867983465326276	7.622709555342494	0.021319489336372	0.015302664055197002	0.06114645787922301	11.644903715370615
96.0.	21.226130213051743	0.10969375045191901	706.5379704679642	793.5427316841855	891.7844421051094	997.2313248415566	1102.0711358466096	1.24997e-07	3.75663293312512	-4.3919911801840955e-30	0.122638669662484	26.567181698189167	0.157918301810849	10.157252107140911	0.058491666709352005	0.0007238749225470001	0.000733941065662	0.000744246310128	0.000754794666679	0.0007655901159150001	63.5042667480385	7.297296691551518	0.021046303143904002	0.015208017083235001	0.060694076985251005	11.232341776514895
99.0.	21.854919152272952	0.10516593596823401	675.2853041344555	756.9236700966107	850.1899578044748	952.1637414475066	1056.5805254583247	1.24997e-07	3.7576151277598253	-3.7551842291026116e-30	0.12235503313102601	26.56666442060005	0.15843557939996	10.189168737780568	0.058675459569857	0.0006936313678760001	0.000702967345024	0.0007125295172030001	0.000722321924775	0.000732348602896	64.09067454464775	6.9955474562397955	0.020814349346768003	0.015127188830544001	0.060308300931829005	10.853386579182636
102.0.	22.41949538415526	0.10068298644581801	646.2045136660344	722.6083952380112	810.7850842165435	908.7318193473519	1011.5408420891417	1.24997e-07	3.758446657201876	-3.1214720653190925e-30	0.12211423481095	26.566177661487853	0.158922338512165	10.208236835530458	0.058785262969549	0.00066561313368	0.0006742600238130001	0.0006831202764930001	0.000692197898732	0.0007014969110100001	64.63054392402505	6.716121800412571	0.020618641291466	0.015058701286502002	0.05998176540919901	10.505622338186754
105.0.	22.922196037941145	0.09629045875891601	619.1899721502223	690.5305921280187	773.5980189003443	867.1372375536466	967.4097557690058	1.24997e-07	3.759143998711103	-2.6959522575055773e-30	0.12191195896635701	26.56571786096283	0.159382139037199	10.215647879180509	0.058827938155464006	0.000639690602736	0.0006476888272570001	0.0006558878130940001	0.0006642914873670001	0.000672903804416	65.12702999788407	6.457703251339392	0.020454861341329	0.015001233852422002	0.059707947128782	10.186799016815721
108.0.	23.365733677185926	0.09202360991942801	594.1336546710803	660.6095738389149	738.6207966980099	827.5134517023686	924.5414595529918	1.24997e-07	3.759721814745965	-2.272691557034165e-30	0.121744277281932	26.56528185379296	0.159818146207062	10.212514789031223	0.058809893987366	0.000615737299521	0.0006231262342570001	0.000630703674635	0.0006384734342450001	0.0006464393637840001	65.58310877220687	6.219011001979361	0.020319252773745	0.014953604211372	0.05948105098697801	9.894821163928095
111.0.	23.753084138019865	0.08790888256340901	570.9272188409868	632.7549098341495	705.817873012243	789.9386602152625	883.2015938286501	1.24997e-07	3.7601931874991923	-2.0292005687715502e-30	0.12160761406064101	26.564866826217056	0.160233173782956	10.199874644951713	0.058737102590074	0.000593630829276	0.000600448529231	0.0006074429052770001	0.000614617633926	0.0006219764356700001	66.00158172931388	5.998808444199367	0.020208531752926	0.014914751864864002	0.059295914822370004	9.627737465294967
114.0.	24.087392626828652	0.083965286646039	549.4635656402049	606.870055022445	675.1331189547217	754.4469189608918	843.5811277192855	1.24997e-07	3.760569817449152	-1.7158598603220455e-30	0.121498714573518	26.564470278092625	0.160629721907388	10.178691803553768	0.058615117304118	0.0005732535228770001	0.0005795365349230001	0.0005859848739170001	0.000592602063599	0.0005993916762140001	66.38508163851992	5.7959089311964505	0.020119815285299002	0.014883723936894001	0.059147928755129	9.38373097127857
117.0.	24.371896349853927	0.08020565147913	529.6379896817156	582.8551697933341	646.4954727785059	721.0375440513407	805.8089377673969	1.24997e-07	3.7608621921470613	-1.4886849024919132e-30	0.12141461633581802	26.56408998959835	0.16101001040166502	10.14986126927843	0.058449092098546006	0.000554492853331	0.000560276097091	0.000566213832991	0.000572309422382	0.000578566277832	66.73607920326613	5.60917939326359	0.020050561966443	0.014859662906119002	0.059032966644551	9.161109963861312
120.0.	24.609861795512128	0.07663773693173101	511.3490064395558	560.6092885039092	619.8234665949574	689.6829746168768	769.9629716204308	1.24997e-07	3.761079730288645	-1.318108360337245e-30	0.12135262307182301	26.56372399184151	0.16137600815851003	10.114212207586686	0.058243801802045005	0.000537241676151	0.000542558377394	0.0005480192685810001	0.0005536275437190001	0.0005593864493550001	67.05689024019837	5.437542302174985	0.019998523017084	0.014841795978731	0.058947327643709004	8.958299427052651
123.0.	24.804534775435165	0.07326520284333801	494.49892650882714	540.0319658418736	595.0288202675873	660.3352789059019	736.079987197166	1.24997e-07	3.7612309051854362	-1.176866581255984e-30	0.12131028113148201	26.563370540826952	0.161729459173087	10.072511514899922	0.058003662660836	0.0005213983350150001	0.000526279999152	0.0005312960899920001	0.000536449632793	0.000541743705621	67.34968315532778	5.279976376529002	0.019961701634576	0.014829425858771	0.058887686189728006	8.773833085804954
126.0.	24.95910140636953	0.070088442455531	478.99423286030543	521.0245068261073	572.0192677775132	632.9314850067665	704.1639256832485	1.24997e-07	3.761323351003428	-1.0800010106996082e-30	0.12128535813094901	26.563028094331578	0.16207190566847302	10.025467380849198	0.05773275285228	0.0005068666654890001	0.0005113430813430001	0.0005159446969710001	0.0005206743701430001	0.0005255350109120001	67.61648653773362	5.135516338190854	0.019938319095058003	0.014821922710145001	0.058851049060412004	8.606345979756673
129.0.	25.076658347200283	0.067105289802635	464.74580568942	503.49086644400535	550.7007565427795	607.3979070999283	674.1930182388196	1.24997e-07	3.761363954535724	-9.959071494288836e-31	0.12127582360258501	26.562695291300244	0.16240470869981902	9.973732794885006	0.057434832678058004	0.000493555922651	0.0004976551887550001	0.000501870954708	0.000506205914022	0.00051066281139	67.8591967351086	5.003251964375272	0.019926786359281003	0.014818717136362002	0.058834718366042	8.454567539380008
132.0.	25.16019076780796	0.06431161321992	451.669030322484	487.3382885558678	530.9791377962704	583.6536231270335	646.125748578798	1.24997e-07	3.761358934790164	-8.478457293829957e-31	0.12127983145594001	26.56237093343786	0.16272906656218503	9.917908962267067	0.057113364235511006	0.000481380652978	0.000485129220311	0.000488986100421	0.0004929538272190001	0.000497034984272	68.07958531010681	4.88232662758482	0.019925680183444	0.014819294030859001	0.058836259539585004	8.317315133425296
135.0.	25.212556700988266	0.061701807992369004	439.68381630828947	472.4777402270505	512.7614464277513	561.6132426533436	619.9058022687711	1.24997e-07	3.7613139122790553	-7.7481542232252644e-31	0.121295704068098	26.56205396872217	0.16304603127786102	9.858548604612437	0.056771530424181	0.00047026052643600006	0.00047368325282500006	0.00047720660020500005	0.000480832948541	0.00048456472564000006	68.27930630376865	4.77193547391732	0.019933722931670003	0.014823187173397001	0.058853473547772005	8.193488057909944
138.0.	25.236476602861146	0.059269201115618	428.7145499438331	458.82418662427995	495.9568516654563	541.1890861846748	595.4661330598183	1.24997e-07	3.76123396957731	-6.994121055637069e-31	0.121321917838573	26.56174347660188	0.16335652339814302	9.796159128103422	0.056412253190267006	0.00046012014123800003	0.000463240353699	0.000466453970783	0.00046976322483000004	0.000473170394015	68.45990325374352	4.671323357051435	0.019949765440978002	0.014829974467090001	0.058884372676041005	8.08206193828044
141.0.	25.234527113080837	0.057006380503009005	418.68999777677493	446.2967426297765	480.47734545495115	522.2928803361893	572.7322701779809	1.24997e-07	3.761123704453074	-6.128495756901439e-31	0.12135709006017902	26.561438654679616	0.163661345320395	9.731205648601827	0.056038210947045	0.00045088881093300004	0.000453728373064	0.00045665457756	0.00045966951586900003	0.000462775323144	68.6228159317955	4.579782618812729	0.019972772412113003	0.014839273726735	0.05892715934789201	7.982083517767643
144.0.	25.209138159004617	0.054905459990887	409.54317486531096	434.8187300350419	466.23822315409404	504.8370576509649	551.6249806187951	1.24997e-07	3.760987276659773	-6.025068139157195e-31	0.12139996697247402	26.561138806707323	0.16396119329267902	9.664113867649492	0.055651855136613006	0.000442500341286	0.000445079723489	0.000447739417832	0.00045048138180200004	0.000453307614419	68.76938677810398	4.49665078625175	0.020001809897359002	0.01485073894263	0.058980207527758004	7.892665806344832
147.0.	25.162592685388265	0.052958290340309	401.2111885732402	424.31766327614247	453.1584009377529	488.73573583898394	532.0623889032664	1.24997e-07	3.760828449301414	-5.601946567393697e-31	0.12144941287845501	26.56084333174573	0.16425666825426702	9.595272796949248	0.055255425919079004	0.00043489280264900004	0.000437231153494	0.00043964389592300005	0.00044213286046800005	0.00044469991700100004	68.90086701992531	4.421308238541374	0.020036034534809	0.014864056955519001	0.059042046329795005	7.812983566074437
150.0.	25.097028412362157	0.051156625225472006	393.6350662845809	414.7251819119722	441.16060582647356	473.9054388567839	513.9616446162895	1.24997e-07	3.760650625536683	-4.799144575871294e-31	0.12150440021799501	26.56055171435987	0.164548285640113	9.52503733164917	0.054850966991082	0.00042800830215600005	0.00043012351958000004	0.00043230759546000004	0.00043456224031800003	0.00043688920184700004	69.01842246986713	4.353175883850171	0.020074684241682003	0.014878944487934	0.059111345515700006	7.74226910998287
153.0.	25.01444112967739	0.049492250015011	386.75957351757677	405.97694421597305	430.1714672651843	460.26561155012644	497.2402161515607	1.24997e-07	3.760456881266243	-4.105871150294304e-31	0.12156400050307802	26.56026351573964	0.164836484260339	9.453730674783342	0.054440339547165005	0.00042179275892900004	0.000423701560345	0.000425674052659	0.000427711833194	0.00042981653432300004	69.12313900483986	4.291712875972966	0.020117070130285002	0.014895145485323	0.059186902615065005	7.67980839292577
156.0.	24.916689125429837	0.047957080039724	380.53302740531353	398.01249317604805	420.12153344938844	447.73897043538483	481.81687790919443	1.24997e-07	3.760249994346982	-4.012627831037715e-31	0.12162737603031701	26.559978365648675	0.165121634351298	9.38164661670249	0.054025235406111004	0.00041619568468000004	0.000417913675285	0.00041969053353800004	0.00042152775018000003	0.00042342684894500004	69.21602773107149	4.236414392339914	0.020162569451684	0.014912428727253001	0.059267631443756005	7.624937374191887
159.0.	24.805498423975667	0.046543234025854	374.9071093113858	390.77510373363816	410.94523092164474	436.2517254575153	467.6124480006124	1.24997e-07	3.760032470793102	-3.7149533828130663e-31	0.12169377229547801	26.559695955117423	0.165404044882542	9.309051674377654	0.053607189330325	0.00041116997136800005	0.000412711710165	0.00041430781714500004	0.00041595968284600005	0.00041766872881500005	69.2980298437245	4.186809488633001	0.020210619405873	0.014930585674754	0.05935255183078501	7.577038632837408
162.0.	24.682468572018017	0.045243087468593006	369.83667940141476	384.21161812390534	402.5807821618955	425.7337010739637	454.55032442879	1.24997e-07	3.759806568353934	-2.9631334888971223e-31	0.121762511043022	26.559416029806435	0.16568397019352402	9.236187096173254	0.053187590570520006	0.000406671687071	0.000408050750266	0.00040947998627800005	0.00041096069155200005	0.00041249419164800005	69.37002119188135	4.142459040255319	0.020260711684868003	0.014949428524805	0.05944078039336401	7.53553821794025
165.0.	24.54907876537742	0.044049309928082	365.27959524436136	378.2722746089922	394.97009281862137	416.1183796133596	442.55685975086084	1.24997e-07	3.759574317799815	-2.929275460884993e-31	0.121832983890978	26.559138383974993	0.165961616024959	9.163270738138491	0.052767693670525	0.00040265988079300004	0.00040388892236700003	0.00040516422669600004	0.000406487001965	0.000407858483665	69.43281656117215	4.102953777036556	0.020312387637776	0.014968788447098001	0.059531522224326006	7.499902717112367
168.0.	24.40669415321455	0.042954889545509	361.1965359311175	372.9105336476915	388.05861774473266	407.3428853916081	431.5616073518563	1.24997e-07	3.759337542198158	-2.9037542482429333e-31	0.12190464647792301	26.558862854997823	0.16623714500212602	9.090498818117487	0.052348628568496	0.00039909639664900004	0.00040018720597700003	0.000401320635439	0.000402497810497	0.000403719882202	69.4871736872622	4.0679124145877275	0.020365233965567	0.014988513981765001	0.05962406337658	7.469636527705899
171.0.	24.25657219280263	0.041953147492146	357.5508327393542	368.08290455451674	381.7952130043528	399.3479243949544	421.49746658358697	1.24997e-07	3.759097874420581	-2.599796181578443e-31	0.12197701308458402	26.55858931837914	0.166510681620809	9.018047554076755	0.051931410031387	0.00039594569758800004	0.000396909254072	0.00039791203857800006	0.000398955099093	0.00040003950756400004	69.53379701392691	4.036979883455536	0.020418878868607	0.015008469579728002	0.059717764046493	7.444279316194579
174.0.	24.09986895757079	0.041037744569519	354.30830701709937	363.7487749181231	376.13197941429604	392.0776913338166	412.30074905304184	1.24997e-07	3.758856773087188	-1.977332095963488e-31	0.122049651687609	26.558317683219013	0.166782316780932	8.946074693030893	0.051516946459418005	0.00039317469866600004	0.000394021223378	0.000394903818515	0.00039582345954000003	0.000396781144345	69.57334120961949	4.009825655524349	0.020472988582749003	0.015028534269854002	0.059812052372591004	7.423403652204696
177.0.	23.93764532513859	0.040202681763838004	351.437115682165	359.87024443213596	371.0241019027837	385.479753422442	403.9111841751054	1.24997e-07	3.758615537124761	-1.8650909730681261e-31	0.12212217940750301	26.558047888091878	0.16705211190806601	8.874720936843525	0.051106048096685	0.00039075260970100004	0.000391491614108	0.000392263750768	0.00039306992729600004	0.000393911072285	69.60641445636234	3.9861421658539413	0.020527264250325	0.015048600439279	0.059906418778126004	7.406612804610234
180.0.	23.770872991377875	0.039442296212094004	348.9076045236691	356.41196430747533	366.42968794671805	379.50491825272235	396.271878630893	1.24997e-07	3.758375319090824	-1.8398949176095363e-31	0.12219425831666801	26.55777989730119	0.167320102698747	8.804111271014229	0.05069943468311101	0.000388650787112	0.000389291118934	0.00038996185007300003	0.000390663824683	0.000391397906541	69.6335815245319	3.965643327229713	0.020581439081079	0.015068572715081002	0.060000410796342	7.393538687994842
183.0.	23.600440271979817	0.03875125375097	346.69216933214335	353.34098305751564	362.3096075376336	374.1070915249044	389.32924149743525	1.24997e-07	3.7581371373946473	-1.7615461108668512e-31	0.12226559157694102	26.55751369747806	0.167586302521876	8.734356202351321	0.050297742581703005	0.000386842594584	0.000387392480919	0.00038797022552100005	0.000388576613216	0.00038921244717400003	69.65536664670834	3.948063134063811	0.020635275765412003	0.015088366937038002	0.060093628325956	7.383839948619969
186.0.	23.427157665261184	0.038124538984124004	344.7651247653882	350.6265991543874	358.6273364845169	369.24312910525146	383.0328844472106	1.24997e-07	3.757901887528443	-1.7953061687536812e-31	0.122335919879082	26.557249294494653	0.167850705505281	8.665552911189744	0.04990153141371301	0.00038530327223500004	0.00038577036003500004	0.000386262944417	0.00038678175475300006	0.000387327537561	69.672256203268	3.933154351860367	0.020688564108284003	0.015107909212534002	0.06018571927165001	7.377200179825164
189.0.	23.251763159594198	0.037557443610345	343.10258076978437	348.24022082912126	355.3488043558575	364.87268684384804	377.33550447718596	1.24997e-07	3.7576703524069632	-1.732899094777701e-31	0.12240501815938501	26.556986710666234	0.168113289333697	8.597786323553665	0.049511290232786005	0.000384009813888	0.00038440120792700003	0.00038481590448300005	0.00038525458110600004	0.00038571793137000005	69.68470123183691	3.9206872881980663	0.02074111885723	0.015127135045830001	0.060276375530583	7.373326257524088
192.0.	23.074927276375426	0.037045553597841	341.68232631435507	346.1552331163209	352.4422479666657	360.95807075730374	372.19275504656605	1.24997e-07	3.757443211900948	-1.688334113783427e-31	0.12247269257096001	26.556725982217927	0.168374017782	8.531130108393672	0.049127443267648	0.00038294085202500005	0.00038326315048300004	0.00038360671400600004	0.00038397217172800004	0.00038436016775200005	69.69311977212448	3.910448641050315	0.020792777702056002	0.015145988534851001	0.060365329291177	7.371946787150579
195.0.	22.89725784526316	0.036584735662184	340.48372015204745	344.3468721144782	349.8780710070068	357.4640895218767	367.56311021993747	1.24997e-07	3.757221051638957	-1.4555914790655781e-31	0.122538777689373	26.556467156994593	0.16863284300533402	8.465647604754936	0.04875035526129701	0.00038207655004	0.00038233587782700003	0.00038261457953400003	0.00038291323906700005	0.000383232454311	69.69789905703696	3.902240420227133	0.020843399427359	0.015164421629484	0.060452349614821	7.372810654054063
198.0.	22.719304512844523	0.036171123402357	339.4875882950957	342.79210633702843	347.62871016925885	354.35791070027733	363.4077253762595	1.24997e-07	3.757004371142889	-1.2609731556092762e-31	0.122603133934208	26.55621029239403	0.168889707605897	8.401392683460301	0.048380336433084	0.00038139850135600003	0.00038160054131100004	0.0003818202007	0.000382058021183	0.00038231455747800004	69.69939756034228	3.895878937759328	0.020892862201856002	0.015182393446102001	0.06053723927494001	7.375685669945347
